2023-11-21 23:03:03
GET: nan
GET: 198080.00
GET: 202688.00
GET: 193269.33
GET: 188824.00
GET: 186176.00
GET: 184880.00
GET: 183826.28
GET: 183232.39
GET: 182080.86
GET: 182087.17
GET: 182586.70
GET: 184557.16
GET: 183704.70
GET: 182686.09
GET: 181462.02
GET: 180548.86
GET: 179688.55
GET: 180374.14
GET: 180150.70
GET: 179328.94
GET: 179013.53
GET: 178251.23
GET: 177233.88
GET: 177635.73
GET: 177589.50
GET: 176831.88
GET: 175869.66
GET: 174736.19
GET: 173728.31
GET: 173508.59
GET: 174251.58
GET: 173788.56
GET: 172874.45
GET: 172367.92
GET: 171798.91
GET: 171596.53
GET: 171823.61
GET: 171765.11
GET: 171449.55
GET: 170606.69
GET: 170003.91
GET: 169713.20
GET: 169708.92
GET: 169822.05
GET: 169775.17
GET: 169817.27
GET: 169751.38
GET: 169704.23
GET: 169717.78
GET: 169957.28
GET: 169861.06
GET: 170214.70
GET: 169930.14
GET: 169720.12
GET: 170015.70
GET: 170037.98
GET: 170314.27
GET: 170346.62
GET: 170367.58
GET: 170169.80
GET: 169972.73
GET: 169701.31
GET: 169857.59
GET: 170019.00
GET: 170385.55
GET: 170181.95
GET: 170122.19
GET: 170040.67
GET: 169971.72
GET: 170015.77
GET: 170189.52
GET: 170252.84
GET: 170290.78
GET: 170150.94
GET: 170278.23
GET: 170297.92
GET: 170405.98
GET: 170572.38
GET: 170705.66
GET: 170605.50
GET: 170552.83
GET: 170347.78
GET: 170228.97
GET: 170288.11
GET: 170477.55
GET: 170618.58
GET: 170499.55
GET: 170220.42
GET: 170133.78
GET: 170035.16
GET: 170335.64
GET: 170430.66
GET: 170366.73
GET: 170234.81
GET: 170270.19
GET: 170177.64
GET: 170141.70
GET: 170421.28
GET: 170490.48
GET: 170571.41
GET: 170437.73
GET: 170459.30
GET: 170384.23
GET: 170577.12
GET: 170731.31
GET: 170802.09
GET: 170697.34
GET: 170697.27
GET: 170461.95
GET: 170395.70
GET: 170426.27
GET: 170611.58
GET: 170663.19
GET: 170548.98
GET: 170522.11
GET: 170526.56
GET: 170551.72
GET: 170579.16
GET: 170536.00
GET: 170543.58
GET: 170483.06
GET: 170512.69
GET: 170395.86
GET: 170365.22
GET: 170545.53
GET: 170626.92
GET: 170643.02
GET: 170625.64
GET: 170625.12
GET: 170734.52
GET: 170781.25
GET: 170964.31
GET: 171074.28
GET: 171064.25
GET: 171082.30
GET: 171029.34
GET: 170987.44
GET: 170982.48
GET: 171111.20
GET: 171157.05
GET: 171204.72
GET: 171208.20
GET: 171160.98
GET: 171050.94
GET: 171163.28
GET: 171277.16
GET: 171360.34
GET: 171403.09
GET: 171382.64
GET: 171464.95
GET: 171510.83
GET: 171651.36
GET: 171770.83
GET: 171815.48
GET: 171803.28
GET: 171730.16
GET: 171650.03
GET: 171737.81
GET: 171659.86
GET: 171731.50
GET: 171767.12
GET: 171781.58
GET: 171826.25
GET: 171784.23
GET: 171835.53
GET: 171987.30
GET: 171969.77
GET: 171874.80
GET: 171855.30
GET: 171777.73
GET: 171761.84
GET: 171821.58
GET: 171932.38
GET: 171820.52
GET: 171870.48
GET: 171868.14
GET: 171705.06
GET: 171712.30
GET: 171856.33
GET: 171887.86
GET: 171895.72
GET: 171904.89
GET: 171893.88
GET: 171825.66
GET: 171975.38
GET: 172063.52
GET: 172014.28
GET: 171971.02
GET: 171992.31
GET: 171898.53
GET: 171926.02
GET: 172000.50
GET: 172096.06
GET: 172043.42
GET: 171974.75
GET: 171976.02
GET: 172002.59
GET: 172108.83
GET: 172122.25
GET: 172223.94
GET: 172247.00
GET: 172233.44
GET: 172202.38
GET: 172149.03
GET: 172095.75
GET: 172186.16
GET: 172230.36
GET: 172211.19
GET: 172173.00
GET: 172159.23
GET: 172146.67
GET: 172254.86
GET: 172321.80
GET: 172355.84
GET: 172369.81
GET: 172352.84
GET: 172349.02
GET: 172394.05
GET: 172447.28
GET: 172532.45
GET: 172532.64
GET: 172457.52
GET: 172474.25
GET: 172438.17
GET: 172402.27
GET: 172445.05
GET: 172457.59
GET: 172578.28
GET: 172531.22
GET: 172619.83
GET: 172584.20
GET: 172593.55
GET: 172659.75
GET: 172680.97
GET: 172625.45
GET: 172599.84
GET: 172599.80
GET: 172682.50
GET: 172733.69
GET: 172783.94
GET: 172769.94
GET: 172703.02
GET: 172608.03
GET: 172616.48
GET: 172633.41
GET: 172682.03
GET: 172738.42
GET: 172734.03
GET: 172750.98
GET: 172805.27
GET: 172768.62
GET: 172811.50
GET: 172907.48
GET: 172999.73
GET: 172961.59
GET: 172933.61
GET: 172888.31
GET: 172913.38
GET: 172994.52
GET: 173116.72
GET: 173184.84
GET: 173329.67
GET: 173569.42
GET: 173916.95
GET: 174338.95
GET: 174730.02
GET: 175090.14
GET: 175447.45
GET: 175869.98
GET: 176381.02
GET: 176850.19
====== GET ======
  12000008 requests completed in 67.84 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.13% <= 0.2 milliseconds
1.46% <= 0.3 milliseconds
5.13% <= 0.4 milliseconds
8.84% <= 0.5 milliseconds
13.16% <= 0.6 milliseconds
19.85% <= 0.7 milliseconds
28.30% <= 0.8 milliseconds
37.43% <= 0.9 milliseconds
46.72% <= 1.0 milliseconds
55.16% <= 1.1 milliseconds
62.28% <= 1.2 milliseconds
68.03% <= 1.3 milliseconds
72.62% <= 1.4 milliseconds
76.38% <= 1.5 milliseconds
79.48% <= 1.6 milliseconds
82.06% <= 1.7 milliseconds
84.20% <= 1.8 milliseconds
85.99% <= 1.9 milliseconds
87.51% <= 2 milliseconds
95.00% <= 3 milliseconds
97.59% <= 4 milliseconds
98.79% <= 5 milliseconds
99.35% <= 6 milliseconds
99.63% <= 7 milliseconds
99.79% <= 8 milliseconds
99.89% <= 9 milliseconds
99.94% <= 10 milliseconds
99.96% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
176892.12 requests per second


