2023-11-21 23:03:04
GET: nan
GET: 162144.00
GET: 168352.00
GET: 169984.00
GET: 176552.00
GET: 179238.41
GET: 181392.00
GET: 180091.33
GET: 177226.16
GET: 177977.81
GET: 180209.34
GET: 180998.19
GET: 181868.80
GET: 181221.03
GET: 181832.72
GET: 182013.33
GET: 183920.06
GET: 184553.03
GET: 184529.44
GET: 184410.70
GET: 184183.89
GET: 183826.39
GET: 183212.08
GET: 183588.45
GET: 184524.98
GET: 185098.81
GET: 185234.92
GET: 184878.88
GET: 184105.08
GET: 183311.83
GET: 183342.30
GET: 182745.58
GET: 182496.94
GET: 182886.48
GET: 182934.27
GET: 182956.61
GET: 183034.53
GET: 182887.77
GET: 183278.00
GET: 183052.98
GET: 182843.20
GET: 182592.97
GET: 182413.25
GET: 182708.94
GET: 182589.27
GET: 182533.19
GET: 182610.23
GET: 182426.81
GET: 182093.78
GET: 181893.78
GET: 181433.75
GET: 181282.12
GET: 181691.70
GET: 181630.84
GET: 181782.48
GET: 181579.06
GET: 181457.81
GET: 181352.59
GET: 181187.59
GET: 181172.89
GET: 181251.42
GET: 181489.38
GET: 181728.95
GET: 181762.44
GET: 181722.42
GET: 181803.20
GET: 181784.12
GET: 181509.31
GET: 181537.92
GET: 181368.25
GET: 181732.03
GET: 181719.81
GET: 181991.33
GET: 181851.03
GET: 181911.19
GET: 181870.48
GET: 181974.23
GET: 182017.97
GET: 181916.67
GET: 182069.73
GET: 182390.89
GET: 182388.23
GET: 182500.31
GET: 182518.77
GET: 182552.38
GET: 182453.89
GET: 182594.66
GET: 182897.17
GET: 183022.00
GET: 183266.92
GET: 182953.09
GET: 182984.62
GET: 182915.70
GET: 182829.34
GET: 182846.22
GET: 182811.89
GET: 182942.88
GET: 182907.27
GET: 182995.77
GET: 182707.38
GET: 182708.78
GET: 182433.06
GET: 182504.23
GET: 182487.08
GET: 182302.33
GET: 182337.69
GET: 182578.16
GET: 182661.48
GET: 182804.17
GET: 182871.19
GET: 182691.00
GET: 182675.70
GET: 182547.64
GET: 182328.67
GET: 182287.50
GET: 182363.84
GET: 182578.95
GET: 182619.23
GET: 182504.09
GET: 182386.62
GET: 182532.50
GET: 182560.30
GET: 182505.78
GET: 182578.23
GET: 182743.38
GET: 182876.22
GET: 182883.69
GET: 182856.75
GET: 182807.25
GET: 182660.09
GET: 182571.28
GET: 182413.28
GET: 182340.08
GET: 182168.88
GET: 182341.69
GET: 182467.64
GET: 182532.31
GET: 182546.52
GET: 182493.56
GET: 182460.00
GET: 182446.78
GET: 182459.38
GET: 182504.22
GET: 182605.44
GET: 182543.28
GET: 182492.03
GET: 182480.23
GET: 182359.84
GET: 182292.28
GET: 182143.88
GET: 182125.75
GET: 182078.02
GET: 182153.55
GET: 182186.50
GET: 182058.75
GET: 182006.70
GET: 181883.17
GET: 181881.77
GET: 181775.02
GET: 181661.70
GET: 181686.50
GET: 181720.12
GET: 181761.62
GET: 181738.08
GET: 181721.89
GET: 181668.05
GET: 181647.23
GET: 181525.05
GET: 181461.55
GET: 181448.73
GET: 181423.86
GET: 181555.84
GET: 181556.66
GET: 181567.81
GET: 181447.45
GET: 181462.62
GET: 181459.42
GET: 181510.84
GET: 181457.09
GET: 181434.14
GET: 181519.97
GET: 181654.12
GET: 181642.45
GET: 181689.56
GET: 181692.56
GET: 181677.89
GET: 181664.75
GET: 181729.72
GET: 181863.22
GET: 181991.08
GET: 182043.70
GET: 182024.81
GET: 182012.61
GET: 182029.86
GET: 182008.69
GET: 181909.52
GET: 181895.55
GET: 181914.02
GET: 181984.94
GET: 182033.78
GET: 182011.95
GET: 181940.22
GET: 181883.77
GET: 181804.41
GET: 181860.61
GET: 181881.34
GET: 181863.53
GET: 181969.00
GET: 182004.58
GET: 181962.56
GET: 181935.56
GET: 181959.73
GET: 181953.97
GET: 181900.06
GET: 181944.98
GET: 182025.16
GET: 182147.22
GET: 182180.83
GET: 182268.64
GET: 182260.34
GET: 182290.17
GET: 182228.62
GET: 182217.58
GET: 182154.33
GET: 182186.25
GET: 182245.77
GET: 182255.78
GET: 182241.77
GET: 182231.53
GET: 182121.44
GET: 182062.33
GET: 181933.98
GET: 181922.50
GET: 181930.58
GET: 181989.14
GET: 181988.03
GET: 181960.66
GET: 181991.41
GET: 181988.05
GET: 181946.44
GET: 181936.91
GET: 181905.03
GET: 181958.06
GET: 182068.00
GET: 182142.23
GET: 182125.05
GET: 182123.56
GET: 182055.06
GET: 182085.84
GET: 182058.61
GET: 181988.23
GET: 181970.66
GET: 181992.20
GET: 182102.20
GET: 182171.08
GET: 182256.08
GET: 182278.88
GET: 182289.44
GET: 182336.83
GET: 182433.83
GET: 182650.92
GET: 183157.94
====== GET ======
  12000032 requests completed in 65.42 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.20% <= 0.2 milliseconds
2.15% <= 0.3 milliseconds
7.03% <= 0.4 milliseconds
12.38% <= 0.5 milliseconds
18.44% <= 0.6 milliseconds
25.75% <= 0.7 milliseconds
34.52% <= 0.8 milliseconds
43.78% <= 0.9 milliseconds
52.57% <= 1.0 milliseconds
60.09% <= 1.1 milliseconds
66.24% <= 1.2 milliseconds
71.19% <= 1.3 milliseconds
75.22% <= 1.4 milliseconds
78.52% <= 1.5 milliseconds
81.23% <= 1.6 milliseconds
83.47% <= 1.7 milliseconds
85.32% <= 1.8 milliseconds
86.88% <= 1.9 milliseconds
88.23% <= 2 milliseconds
94.98% <= 3 milliseconds
97.54% <= 4 milliseconds
98.71% <= 5 milliseconds
99.29% <= 6 milliseconds
99.60% <= 7 milliseconds
99.76% <= 8 milliseconds
99.86% <= 9 milliseconds
99.93% <= 10 milliseconds
99.95% <= 11 milliseconds
99.97% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 22 milliseconds
183430.64 requests per second


