2023-11-21 22:46:14
GET: nan
GET: 275360.00
GET: 296464.00
GET: 283413.34
GET: 273496.00
GET: 265721.59
GET: 259424.00
GET: 251725.72
GET: 247584.00
GET: 247772.44
GET: 246908.80
GET: 247383.27
GET: 246458.67
GET: 246168.61
GET: 244987.42
GET: 242824.53
GET: 242520.00
GET: 242708.08
GET: 241327.70
GET: 238782.58
GET: 236751.05
GET: 236262.81
GET: 237017.81
GET: 237624.48
GET: 237552.83
GET: 236176.59
GET: 235325.75
GET: 234394.56
GET: 234368.47
GET: 233982.36
GET: 234561.45
GET: 234048.52
GET: 232865.78
GET: 232382.94
GET: 232262.53
GET: 232118.83
GET: 231723.69
GET: 231668.91
GET: 230889.73
GET: 230857.50
GET: 231299.48
GET: 231602.89
GET: 231670.23
GET: 231716.58
GET: 231552.89
GET: 231967.31
GET: 231743.41
GET: 232023.14
GET: 232337.17
GET: 232167.11
GET: 232074.22
GET: 231789.28
GET: 232099.03
GET: 232348.19
GET: 232226.84
GET: 231710.98
GET: 231790.97
GET: 231076.44
GET: 230863.52
GET: 230402.48
GET: 230389.23
GET: 230518.47
GET: 230623.34
GET: 229926.91
GET: 229897.31
GET: 229992.12
GET: 230080.19
GET: 230092.59
GET: 230082.06
GET: 230038.94
GET: 229701.42
GET: 229645.50
GET: 229610.22
GET: 229681.05
GET: 230036.95
GET: 230212.47
GET: 230155.59
GET: 230395.11
GET: 230322.59
GET: 230316.28
GET: 230479.23
GET: 230454.58
GET: 230275.66
GET: 229787.05
GET: 229970.22
GET: 229960.22
GET: 230208.52
GET: 230323.19
GET: 230316.80
GET: 230034.41
GET: 230185.19
GET: 230255.02
GET: 230437.33
GET: 230530.45
GET: 230240.25
GET: 229977.03
GET: 229946.78
GET: 229934.97
GET: 229929.92
GET: 230007.03
GET: 230116.88
GET: 229802.75
GET: 229958.78
GET: 230167.66
GET: 230248.59
GET: 230432.16
GET: 230456.91
GET: 230563.36
GET: 230725.00
GET: 230860.50
GET: 230763.62
GET: 230928.59
GET: 231029.52
GET: 230711.00
GET: 230674.33
GET: 230637.19
GET: 230704.89
GET: 230764.06
GET: 230725.20
GET: 230823.78
GET: 230695.53
GET: 230609.58
GET: 230634.86
GET: 230646.98
GET: 230637.00
GET: 230524.33
GET: 230291.62
GET: 230375.31
GET: 230332.05
GET: 230286.70
GET: 230389.42
GET: 230254.98
GET: 230167.95
GET: 230129.06
GET: 229958.84
GET: 230097.36
GET: 230101.94
GET: 230198.89
GET: 230257.34
GET: 230197.69
GET: 230379.81
GET: 230326.89
GET: 230330.11
GET: 230408.64
GET: 230472.77
GET: 230185.11
GET: 230116.05
GET: 230114.92
GET: 230147.97
GET: 230357.20
GET: 230438.77
GET: 230355.06
GET: 230200.31
GET: 230102.95
GET: 230135.61
GET: 230110.30
GET: 230105.59
GET: 230077.31
GET: 229908.52
GET: 229978.98
GET: 229887.28
GET: 229911.72
GET: 229882.34
GET: 229916.33
GET: 229816.70
GET: 229796.20
GET: 229870.88
GET: 229869.06
GET: 229813.14
GET: 229881.89
GET: 229939.09
GET: 230062.03
GET: 230151.00
GET: 230190.69
GET: 230161.62
GET: 230192.08
GET: 230130.03
GET: 229858.78
GET: 229870.08
GET: 229972.53
GET: 229877.20
GET: 229819.14
GET: 229900.34
GET: 229748.27
GET: 229664.03
GET: 229771.25
GET: 229811.77
GET: 229765.14
GET: 229732.09
GET: 229553.08
GET: 229451.02
GET: 229565.95
GET: 229457.89
GET: 229474.03
GET: 229609.17
GET: 229691.94
GET: 229596.69
GET: 229611.14
GET: 229639.67
GET: 229573.33
GET: 229616.94
GET: 229627.03
GET: 229602.69
GET: 229619.06
GET: 229625.86
GET: 229694.36
GET: 229690.80
GET: 229639.69
GET: 229586.78
GET: 229568.48
GET: 229591.78
GET: 229611.06
GET: 229602.27
GET: 229636.62
GET: 229616.33
GET: 229512.75
GET: 229411.11
GET: 229428.33
GET: 229471.80
GET: 229508.30
GET: 229463.95
GET: 229361.27
GET: 229345.19
GET: 229374.44
GET: 229406.56
GET: 229377.72
GET: 229383.52
GET: 229211.48
GET: 229177.16
GET: 229161.81
GET: 229138.70
GET: 229175.16
GET: 229134.27
GET: 229253.19
GET: 229309.47
GET: 229322.05
GET: 229371.19
GET: 229418.83
GET: 229428.47
GET: 229453.12
GET: 229325.70
GET: 229282.92
GET: 229236.66
GET: 229254.20
GET: 229212.11
GET: 229202.47
GET: 229095.03
GET: 229015.38
GET: 229028.56
GET: 229061.42
GET: 229125.61
GET: 229229.17
GET: 229122.39
GET: 229059.69
GET: 229025.06
GET: 229023.05
GET: 228967.14
GET: 228930.91
GET: 228999.69
GET: 228910.75
GET: 228919.92
GET: 228886.62
GET: 228973.73
GET: 228976.72
GET: 229013.36
GET: 229076.98
GET: 229092.53
GET: 229089.28
GET: 229174.70
GET: 229206.48
GET: 229257.20
GET: 229145.55
GET: 229141.34
GET: 229156.84
GET: 229171.41
GET: 229184.36
GET: 229179.27
GET: 229153.66
GET: 229091.42
GET: 229090.77
GET: 229108.56
GET: 229098.94
GET: 229124.64
GET: 229192.77
GET: 229050.19
GET: 229037.72
GET: 229011.73
GET: 228974.67
GET: 228930.20
GET: 228958.75
GET: 228899.33
GET: 228848.98
GET: 228823.34
GET: 228829.27
GET: 228858.09
GET: 228933.17
GET: 228913.81
GET: 228959.73
GET: 229022.30
GET: 228989.77
GET: 229008.08
GET: 229001.75
GET: 229101.78
GET: 228989.14
GET: 228964.22
GET: 229007.81
GET: 229054.89
GET: 229021.98
GET: 228988.77
GET: 228845.45
GET: 228848.09
GET: 228867.27
GET: 228871.56
GET: 228811.47
GET: 228845.08
GET: 228793.52
GET: 228810.33
GET: 228867.19
GET: 228812.88
GET: 228837.70
GET: 228888.44
GET: 228908.53
GET: 228835.30
GET: 228875.98
GET: 228945.33
GET: 228989.05
GET: 228991.31
GET: 229067.39
GET: 229089.00
GET: 229093.67
GET: 229139.77
GET: 229181.45
GET: 229200.14
GET: 229207.20
GET: 229104.11
GET: 229094.61
GET: 229147.03
GET: 229178.73
GET: 229166.55
GET: 229203.86
GET: 229129.83
GET: 229096.59
GET: 229137.89
GET: 229164.97
GET: 229209.56
GET: 229256.02
GET: 229185.02
GET: 229060.52
GET: 229032.02
GET: 229026.88
====== GET ======
  20000008 requests completed in 87.32 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.06% <= 0.2 milliseconds
6.56% <= 0.3 milliseconds
15.54% <= 0.4 milliseconds
24.35% <= 0.5 milliseconds
34.36% <= 0.6 milliseconds
44.64% <= 0.7 milliseconds
53.99% <= 0.8 milliseconds
61.78% <= 0.9 milliseconds
68.17% <= 1.0 milliseconds
73.33% <= 1.1 milliseconds
77.50% <= 1.2 milliseconds
80.83% <= 1.3 milliseconds
83.60% <= 1.4 milliseconds
85.89% <= 1.5 milliseconds
87.78% <= 1.6 milliseconds
89.36% <= 1.7 milliseconds
90.67% <= 1.8 milliseconds
91.77% <= 1.9 milliseconds
92.69% <= 2 milliseconds
97.58% <= 3 milliseconds
99.10% <= 4 milliseconds
99.67% <= 5 milliseconds
99.85% <= 6 milliseconds
99.94% <= 7 milliseconds
99.97% <= 8 milliseconds
99.98% <= 9 milliseconds
99.98% <= 10 milliseconds
99.99% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 19 milliseconds
100.00% <= 19 milliseconds
229029.59 requests per second


