2023-11-21 22:46:15
GET: 0.00
GET: 302087.66
GET: 268653.41
GET: 258457.45
GET: 244407.19
GET: 236504.80
GET: 234199.73
GET: 235584.48
GET: 235024.97
GET: 236905.86
GET: 236546.75
GET: 232279.06
GET: 230179.88
GET: 231058.09
GET: 230266.62
GET: 231000.27
GET: 230141.41
GET: 228244.47
GET: 228518.64
GET: 228089.17
GET: 226531.86
GET: 226215.03
GET: 226362.52
GET: 226913.12
GET: 227128.88
GET: 227576.72
GET: 227026.12
GET: 226176.44
GET: 226030.27
GET: 225830.20
GET: 225685.89
GET: 226075.53
GET: 225966.53
GET: 225093.45
GET: 224741.70
GET: 224278.53
GET: 223260.38
GET: 223101.50
GET: 223496.11
GET: 224078.69
GET: 224131.06
GET: 224502.92
GET: 223983.27
GET: 224093.67
GET: 224022.53
GET: 223673.92
GET: 223227.19
GET: 223651.06
GET: 223542.42
GET: 223207.91
GET: 223170.66
GET: 223074.06
GET: 222546.47
GET: 222500.27
GET: 222668.34
GET: 222953.56
GET: 223311.97
GET: 223941.11
GET: 223286.61
GET: 223241.25
GET: 223549.67
GET: 222790.12
GET: 222582.17
GET: 222530.05
GET: 222050.84
GET: 221967.17
GET: 222208.23
GET: 221945.23
GET: 222156.02
GET: 222274.50
GET: 222608.42
GET: 222728.45
GET: 223079.23
GET: 222578.39
GET: 222456.27
GET: 222438.20
GET: 222376.69
GET: 222180.12
GET: 222580.22
GET: 222692.50
GET: 222289.20
GET: 222415.72
GET: 222674.53
GET: 222260.55
GET: 222373.73
GET: 222759.66
GET: 222956.27
GET: 223269.66
GET: 223349.55
GET: 222974.91
GET: 222902.42
GET: 223109.17
GET: 222770.89
GET: 222883.48
GET: 223304.62
GET: 222904.31
GET: 222998.33
GET: 223023.48
GET: 222871.59
GET: 223082.92
GET: 223319.16
GET: 223342.98
GET: 223401.47
GET: 223429.97
GET: 223316.75
GET: 223443.86
GET: 223586.08
GET: 223461.72
GET: 223325.16
GET: 223300.55
GET: 223031.88
GET: 223018.98
GET: 223036.30
GET: 223112.47
GET: 222999.33
GET: 222837.83
GET: 223032.02
GET: 223014.59
GET: 223238.95
GET: 223309.30
GET: 222999.77
GET: 223073.58
GET: 223076.75
GET: 222974.52
GET: 222913.41
GET: 223112.22
GET: 222773.58
GET: 222576.73
GET: 222573.14
GET: 222654.14
GET: 222686.67
GET: 222611.98
GET: 222694.45
GET: 222704.73
GET: 222813.44
GET: 222797.83
GET: 222536.72
GET: 222571.44
GET: 222688.61
GET: 222649.72
GET: 222590.14
GET: 222708.14
GET: 222487.52
GET: 222543.27
GET: 222730.38
GET: 222532.25
GET: 222441.53
GET: 222479.98
GET: 222677.59
GET: 222758.36
GET: 222838.30
GET: 222836.25
GET: 222871.25
GET: 222863.36
GET: 222823.81
GET: 222681.19
GET: 222712.19
GET: 222640.73
GET: 222401.61
GET: 222385.52
GET: 222548.30
GET: 222342.59
GET: 222368.64
GET: 222528.94
GET: 222502.64
GET: 222645.64
GET: 222766.30
GET: 222544.27
GET: 222641.44
GET: 222640.20
GET: 222509.56
GET: 222410.92
GET: 222515.53
GET: 222464.95
GET: 222512.92
GET: 222543.70
GET: 222603.58
GET: 222557.98
GET: 222558.58
GET: 222624.14
GET: 222764.69
GET: 222900.12
GET: 222946.77
GET: 222776.53
GET: 222673.88
GET: 222665.66
GET: 222551.66
GET: 222487.22
GET: 222542.72
GET: 222323.69
GET: 222327.30
GET: 222327.84
GET: 222251.33
GET: 222343.72
GET: 222311.20
GET: 222406.30
GET: 222532.55
GET: 222555.83
GET: 222439.56
GET: 222481.16
GET: 222417.11
GET: 222369.14
GET: 222308.81
GET: 222377.80
GET: 222320.38
GET: 222210.94
GET: 222320.83
GET: 222292.17
GET: 222195.06
GET: 222142.48
GET: 222247.00
GET: 222244.69
GET: 222360.81
GET: 222371.81
GET: 222315.75
GET: 222351.77
GET: 222457.41
GET: 222337.19
GET: 222333.70
GET: 222443.06
GET: 222328.34
GET: 222269.19
GET: 222248.17
GET: 222295.47
GET: 222243.25
GET: 222269.95
GET: 222304.77
GET: 222339.70
GET: 222469.98
GET: 222530.28
GET: 222316.86
GET: 222363.86
GET: 222413.09
GET: 222356.08
GET: 222445.38
GET: 222427.62
GET: 222345.39
GET: 222335.91
GET: 222411.55
GET: 222430.50
GET: 222507.80
GET: 222477.22
GET: 222589.23
GET: 222626.22
GET: 222656.48
GET: 222596.83
GET: 222548.06
GET: 222591.36
GET: 222534.23
GET: 222551.55
GET: 222641.69
GET: 222531.66
GET: 222442.08
GET: 222534.44
GET: 222488.20
GET: 222448.36
GET: 222546.98
GET: 222579.62
GET: 222630.62
GET: 222691.59
GET: 222718.64
GET: 222692.78
GET: 222781.02
GET: 222803.16
GET: 222765.53
GET: 222821.59
GET: 222797.47
GET: 222805.33
GET: 222889.48
GET: 222844.88
GET: 222833.98
GET: 222897.88
GET: 222954.16
GET: 222967.59
GET: 222942.42
GET: 222976.61
GET: 222852.62
GET: 222864.50
GET: 222898.95
GET: 222749.08
GET: 222800.38
GET: 222833.77
GET: 222725.86
GET: 222681.22
GET: 222680.45
GET: 222608.89
GET: 222631.97
GET: 222689.11
GET: 222737.41
GET: 222827.41
GET: 222919.89
GET: 222877.78
GET: 222874.33
GET: 222966.61
GET: 222992.19
GET: 222965.05
GET: 222968.12
GET: 222980.73
GET: 222912.05
GET: 222947.34
GET: 222971.00
GET: 222876.03
GET: 222890.23
GET: 222985.81
GET: 223078.88
GET: 223106.42
GET: 223243.00
GET: 223285.98
GET: 223269.22
GET: 223321.36
GET: 223292.70
GET: 223289.02
GET: 223320.91
GET: 223335.23
GET: 223321.47
GET: 223380.77
GET: 223363.50
GET: 223327.38
GET: 223346.48
GET: 223421.41
GET: 223444.70
GET: 223437.06
GET: 223493.34
GET: 223383.73
GET: 223467.34
GET: 223493.58
GET: 223426.09
GET: 223491.11
GET: 223566.97
GET: 223472.94
GET: 223534.70
GET: 223576.00
GET: 223544.25
GET: 223535.42
GET: 223541.98
GET: 223553.77
GET: 223589.16
GET: 223580.98
GET: 223574.75
GET: 223560.64
GET: 223556.66
GET: 223560.59
GET: 223517.94
GET: 223488.11
GET: 223479.56
GET: 223408.77
GET: 223363.34
GET: 223373.66
GET: 223238.28
GET: 223292.97
GET: 223489.48
GET: 223839.39
GET: 224045.42
GET: 224245.47
GET: 224522.36
GET: 224821.47
====== GET ======
  20000008 requests completed in 88.90 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.92% <= 0.2 milliseconds
5.89% <= 0.3 milliseconds
14.51% <= 0.4 milliseconds
22.85% <= 0.5 milliseconds
32.61% <= 0.6 milliseconds
42.78% <= 0.7 milliseconds
52.01% <= 0.8 milliseconds
59.94% <= 0.9 milliseconds
66.55% <= 1.0 milliseconds
71.94% <= 1.1 milliseconds
76.33% <= 1.2 milliseconds
79.91% <= 1.3 milliseconds
82.91% <= 1.4 milliseconds
85.39% <= 1.5 milliseconds
87.42% <= 1.6 milliseconds
89.08% <= 1.7 milliseconds
90.43% <= 1.8 milliseconds
91.55% <= 1.9 milliseconds
92.50% <= 2 milliseconds
97.47% <= 3 milliseconds
99.01% <= 4 milliseconds
99.59% <= 5 milliseconds
99.82% <= 6 milliseconds
99.92% <= 7 milliseconds
99.96% <= 8 milliseconds
99.97% <= 9 milliseconds
99.98% <= 10 milliseconds
99.99% <= 11 milliseconds
99.99% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 20 milliseconds
224959.31 requests per second


