2023-11-24 03:18:07
GET: nan
GET: 315392.00
GET: 269984.00
GET: 244810.67
GET: 235504.00
GET: 233920.00
GET: 232255.83
GET: 230625.58
GET: 228363.62
GET: 226760.20
GET: 225848.11
GET: 226139.53
GET: 227160.55
GET: 226305.03
GET: 227182.17
GET: 228309.16
GET: 228111.95
GET: 228521.17
GET: 228076.42
GET: 228397.31
GET: 228019.20
GET: 227981.73
GET: 226224.66
GET: 224184.98
GET: 223786.75
GET: 223100.45
GET: 223240.86
GET: 223008.30
GET: 222521.56
GET: 220397.14
GET: 219769.67
GET: 220204.34
GET: 220405.91
GET: 220645.67
GET: 221074.58
GET: 219895.80
GET: 218852.70
GET: 218546.48
GET: 218996.42
GET: 218841.67
GET: 218801.05
GET: 218966.06
GET: 218084.94
GET: 218320.69
GET: 218315.22
GET: 218373.77
GET: 218498.12
GET: 218666.67
GET: 218784.41
GET: 218715.20
GET: 218659.64
GET: 218879.11
GET: 218770.23
GET: 218406.53
GET: 218293.84
GET: 218466.59
GET: 218814.42
GET: 218862.72
GET: 219008.06
GET: 219247.17
GET: 219021.92
GET: 218744.28
GET: 218394.58
GET: 218231.67
GET: 218313.28
GET: 218253.59
GET: 218547.12
GET: 218602.70
GET: 217857.12
GET: 217639.22
GET: 217875.83
GET: 217914.73
GET: 217769.53
GET: 217911.38
GET: 217459.34
GET: 217246.25
GET: 217222.28
GET: 217085.94
GET: 217122.06
GET: 217175.08
GET: 217300.75
GET: 216857.78
GET: 216865.27
GET: 216785.86
GET: 216822.58
GET: 216715.03
GET: 216884.14
GET: 216949.36
GET: 217006.19
GET: 217279.83
GET: 217298.31
GET: 217466.14
GET: 217484.62
GET: 217510.98
GET: 217526.22
GET: 217437.09
GET: 217572.41
GET: 217596.44
GET: 217585.38
GET: 217689.89
GET: 217389.58
GET: 217192.12
GET: 217317.17
GET: 217458.12
GET: 217366.30
GET: 217535.16
GET: 217479.34
GET: 217047.86
GET: 216958.19
GET: 216918.00
GET: 216991.67
GET: 217066.31
GET: 217119.06
GET: 216792.92
GET: 216682.14
GET: 216634.47
GET: 216668.16
GET: 216678.86
GET: 216781.55
GET: 216752.39
GET: 216642.70
GET: 216468.98
GET: 216622.98
GET: 216776.56
GET: 216837.91
GET: 216997.28
GET: 216932.25
GET: 217077.80
GET: 217264.06
GET: 217328.41
GET: 217313.97
GET: 217362.30
GET: 217535.67
GET: 217629.00
GET: 217586.30
GET: 217736.86
GET: 217715.86
GET: 217814.25
GET: 217931.61
GET: 217638.56
GET: 217554.20
GET: 217650.50
GET: 217847.48
GET: 217885.34
GET: 217883.14
GET: 217545.86
GET: 217503.94
GET: 217636.69
GET: 217783.42
GET: 217807.52
GET: 217807.62
GET: 217685.08
GET: 217635.91
GET: 217546.97
GET: 217509.31
GET: 217710.08
GET: 217732.30
GET: 217678.08
GET: 217585.27
GET: 217571.88
GET: 217588.84
GET: 217651.11
GET: 217750.50
GET: 217708.72
GET: 217691.09
GET: 217716.12
GET: 217750.66
GET: 217767.19
GET: 217792.28
GET: 217807.23
GET: 217770.06
GET: 217783.86
GET: 217854.75
GET: 217871.22
GET: 217870.03
GET: 217883.30
GET: 217948.20
GET: 217864.73
GET: 217870.44
GET: 217890.72
GET: 217939.23
GET: 217976.77
GET: 217995.44
GET: 217877.56
GET: 217638.73
GET: 217626.95
GET: 217717.09
GET: 217726.73
GET: 217789.53
GET: 217842.86
GET: 217672.20
GET: 217593.78
GET: 217705.44
GET: 217708.05
GET: 217755.47
GET: 217754.17
GET: 217644.36
GET: 217649.02
GET: 217622.44
GET: 217656.72
GET: 217587.17
GET: 217616.20
GET: 217695.00
GET: 217619.83
GET: 217700.48
GET: 217733.70
GET: 217775.30
GET: 217800.56
GET: 217774.53
GET: 217753.80
GET: 217840.52
GET: 217908.05
GET: 217945.98
GET: 218050.39
GET: 218087.16
GET: 218078.34
GET: 217848.50
GET: 217858.27
GET: 217879.09
GET: 217846.27
GET: 217831.77
GET: 217847.22
GET: 217679.95
GET: 217635.12
GET: 217605.12
GET: 217619.88
GET: 217631.83
GET: 217606.31
GET: 217542.84
GET: 217334.48
GET: 217319.52
GET: 217361.44
GET: 217441.75
GET: 217460.69
GET: 217512.97
GET: 217389.33
GET: 217289.77
GET: 217339.00
GET: 217419.94
GET: 217466.59
GET: 217497.55
GET: 217467.31
GET: 217510.81
GET: 217488.67
GET: 217433.02
GET: 217487.36
GET: 217535.94
GET: 217555.36
GET: 217595.66
GET: 217610.97
GET: 217657.38
GET: 217701.25
GET: 217680.66
GET: 217707.14
GET: 217672.59
GET: 217549.36
GET: 217459.97
GET: 217505.33
GET: 217509.66
GET: 217537.69
GET: 217544.69
GET: 217404.67
GET: 217371.36
GET: 217354.09
GET: 217318.19
GET: 217312.50
GET: 217330.89
GET: 217299.67
GET: 217190.97
GET: 217161.09
GET: 217178.95
GET: 217160.44
GET: 217148.17
GET: 217200.80
GET: 217174.94
GET: 217235.70
GET: 217231.80
GET: 217271.56
GET: 217260.19
GET: 217311.41
GET: 217326.27
GET: 217333.27
GET: 217435.06
GET: 217413.45
GET: 217478.66
GET: 217525.66
GET: 217527.59
GET: 217519.83
GET: 217601.62
GET: 217657.75
GET: 217696.38
GET: 217707.48
GET: 217707.44
GET: 217624.31
GET: 217537.83
GET: 217578.61
GET: 217615.42
GET: 217664.81
GET: 217678.02
GET: 217665.88
GET: 217502.19
GET: 217464.67
GET: 217469.47
GET: 217494.28
GET: 217525.25
GET: 217548.47
GET: 217476.19
GET: 217447.72
GET: 217433.77
GET: 217468.36
GET: 217456.72
GET: 217503.05
GET: 217501.20
GET: 217469.33
GET: 217524.86
GET: 217487.02
GET: 217488.89
GET: 217570.19
GET: 217630.94
GET: 217669.25
GET: 217684.03
GET: 217663.53
GET: 217661.16
GET: 217698.30
GET: 217714.89
GET: 217681.45
GET: 217661.28
GET: 217655.52
GET: 217628.72
GET: 217692.42
GET: 217709.41
GET: 217702.20
GET: 217651.80
GET: 217609.56
GET: 217649.09
GET: 217667.09
GET: 217674.80
GET: 217713.88
GET: 217670.84
GET: 217576.73
GET: 217586.28
GET: 217557.42
GET: 217566.44
GET: 217552.45
GET: 217536.31
GET: 217483.73
GET: 217425.64
GET: 217407.14
GET: 217407.88
GET: 217418.06
GET: 217421.23
GET: 217463.03
GET: 217385.70
GET: 217368.09
GET: 217384.30
GET: 217388.23
GET: 217443.47
GET: 217475.91
GET: 217469.62
GET: 217474.70
GET: 217471.59
GET: 217489.22
GET: 217550.77
GET: 217541.47
GET: 217537.58
GET: 217530.92
GET: 217577.61
GET: 217640.08
====== GET ======
  20000000 requests completed in 91.88 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.56% <= 0.1 milliseconds
16.86% <= 0.2 milliseconds
37.41% <= 0.3 milliseconds
55.17% <= 0.4 milliseconds
67.52% <= 0.5 milliseconds
75.22% <= 0.6 milliseconds
80.95% <= 0.7 milliseconds
85.20% <= 0.8 milliseconds
88.26% <= 0.9 milliseconds
90.55% <= 1.0 milliseconds
92.31% <= 1.1 milliseconds
93.65% <= 1.2 milliseconds
94.71% <= 1.3 milliseconds
95.56% <= 1.4 milliseconds
96.25% <= 1.5 milliseconds
96.81% <= 1.6 milliseconds
97.27% <= 1.7 milliseconds
97.66% <= 1.8 milliseconds
98.00% <= 1.9 milliseconds
98.29% <= 2 milliseconds
99.63% <= 3 milliseconds
99.91% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
100.00% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 11 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
217679.97 requests per second


