2023-11-21 22:46:15
GET: nan
GET: 281792.00
GET: 248544.00
GET: 252437.33
GET: 251832.00
GET: 248236.23
GET: 244696.81
GET: 240638.55
GET: 239125.75
GET: 238505.77
GET: 238683.72
GET: 237039.19
GET: 238017.30
GET: 237779.55
GET: 237380.45
GET: 235756.31
GET: 233815.45
GET: 234520.17
GET: 235315.28
GET: 235534.44
GET: 232842.94
GET: 231715.64
GET: 232297.58
GET: 232005.55
GET: 232235.56
GET: 232893.14
GET: 232196.58
GET: 231527.88
GET: 230957.06
GET: 230684.47
GET: 230832.64
GET: 231359.88
GET: 231958.06
GET: 230961.88
GET: 230646.47
GET: 230105.25
GET: 231003.00
GET: 231377.19
GET: 232050.47
GET: 230783.86
GET: 230689.58
GET: 231117.52
GET: 231153.73
GET: 231226.91
GET: 231410.83
GET: 231339.38
GET: 231312.02
GET: 231574.22
GET: 231591.73
GET: 231688.14
GET: 231989.12
GET: 231842.66
GET: 231664.34
GET: 231989.16
GET: 232212.55
GET: 232226.70
GET: 232524.66
GET: 232306.25
GET: 231675.89
GET: 231413.14
GET: 231256.66
GET: 231457.52
GET: 231406.44
GET: 231547.30
GET: 231021.78
GET: 230981.23
GET: 230816.92
GET: 231022.61
GET: 230982.89
GET: 231020.33
GET: 230542.80
GET: 230355.05
GET: 230497.77
GET: 230738.62
GET: 230902.56
GET: 230811.45
GET: 231198.14
GET: 230998.02
GET: 231114.97
GET: 231109.17
GET: 230996.80
GET: 230991.02
GET: 231128.09
GET: 230666.66
GET: 230679.09
GET: 230568.30
GET: 230570.44
GET: 230572.52
GET: 230814.00
GET: 230663.84
GET: 230556.11
GET: 230703.45
GET: 230643.84
GET: 230729.59
GET: 230711.12
GET: 230339.62
GET: 230171.05
GET: 230156.73
GET: 230227.08
GET: 230192.64
GET: 230385.92
GET: 230138.50
GET: 229938.23
GET: 230042.69
GET: 229932.12
GET: 230092.80
GET: 230099.31
GET: 230102.72
GET: 230111.09
GET: 230384.22
GET: 230326.30
GET: 230439.34
GET: 230510.36
GET: 230453.92
GET: 230176.91
GET: 230122.41
GET: 229990.28
GET: 230083.14
GET: 230260.88
GET: 230299.12
GET: 230065.75
GET: 229999.80
GET: 230111.98
GET: 230247.67
GET: 230137.77
GET: 230191.08
GET: 229943.03
GET: 229679.77
GET: 229687.38
GET: 229849.30
GET: 229977.38
GET: 229985.97
GET: 229907.78
GET: 229823.25
GET: 229994.16
GET: 229993.84
GET: 230084.05
GET: 230202.81
GET: 230356.45
GET: 230395.17
GET: 230535.20
GET: 230584.59
GET: 230706.91
GET: 230722.23
GET: 230694.92
GET: 230409.78
GET: 230368.98
GET: 230352.45
GET: 230379.86
GET: 230429.02
GET: 230378.34
GET: 230157.70
GET: 230116.41
GET: 230110.11
GET: 230190.23
GET: 230263.14
GET: 230250.91
GET: 230144.56
GET: 229905.42
GET: 229996.19
GET: 229953.34
GET: 230034.75
GET: 230086.72
GET: 230089.48
GET: 229921.98
GET: 230026.41
GET: 229999.19
GET: 230062.27
GET: 230074.55
GET: 230183.16
GET: 230243.47
GET: 230203.45
GET: 230308.86
GET: 230243.59
GET: 230348.30
GET: 230282.83
GET: 230065.17
GET: 230038.88
GET: 230087.61
GET: 230158.83
GET: 230220.91
GET: 230199.45
GET: 230086.03
GET: 229899.25
GET: 229875.56
GET: 229856.09
GET: 229990.50
GET: 230004.33
GET: 229979.05
GET: 229760.34
GET: 229816.05
GET: 229877.34
GET: 229937.34
GET: 229868.19
GET: 230009.03
GET: 229766.89
GET: 229745.00
GET: 229759.69
GET: 229728.52
GET: 229813.03
GET: 229903.89
GET: 230015.95
GET: 230117.56
GET: 230195.66
GET: 230165.62
GET: 230193.44
GET: 230139.19
GET: 230016.42
GET: 229896.67
GET: 230013.97
GET: 230034.38
GET: 230084.14
GET: 230126.81
GET: 230198.05
GET: 230081.69
GET: 230138.80
GET: 230222.61
GET: 230205.95
GET: 230278.12
GET: 230249.19
GET: 230229.53
GET: 230200.22
GET: 230174.77
GET: 230255.20
GET: 230305.81
GET: 230390.78
GET: 230193.61
GET: 230251.70
GET: 230238.33
GET: 230196.45
GET: 230216.66
GET: 230231.42
GET: 230296.38
GET: 230295.86
GET: 230333.47
GET: 230292.39
GET: 230442.30
GET: 230433.20
GET: 230348.44
GET: 230277.47
GET: 230274.92
GET: 230264.83
GET: 230349.55
GET: 230356.20
GET: 230454.28
GET: 230259.59
GET: 230311.38
GET: 230326.88
GET: 230305.41
GET: 230305.66
GET: 230370.25
GET: 230242.45
GET: 230175.95
GET: 230180.67
GET: 230133.06
GET: 230167.09
GET: 230200.36
GET: 230119.02
GET: 230091.36
GET: 230141.69
GET: 230147.23
GET: 230170.61
GET: 230183.81
GET: 230225.00
GET: 230326.20
GET: 230306.56
GET: 230242.00
GET: 230309.69
GET: 230313.12
GET: 230351.38
GET: 230198.89
GET: 230159.88
GET: 230038.25
GET: 230048.02
GET: 230074.03
GET: 230069.41
GET: 229960.66
GET: 229920.34
GET: 229962.67
GET: 230012.25
GET: 230008.73
GET: 230024.45
GET: 229945.95
GET: 229805.98
GET: 229832.73
GET: 229864.67
GET: 229931.95
GET: 229936.48
GET: 229922.09
GET: 229778.36
GET: 229771.91
GET: 229821.31
GET: 229768.86
GET: 229770.25
GET: 229770.11
GET: 229807.91
GET: 229853.36
GET: 229891.59
GET: 229917.88
GET: 229888.69
GET: 229930.47
GET: 230019.25
GET: 229985.14
GET: 229992.73
GET: 230016.06
GET: 230033.25
GET: 230055.88
GET: 230073.88
GET: 229996.44
GET: 229940.30
GET: 229952.92
GET: 229967.42
GET: 229976.19
GET: 229985.31
GET: 229869.41
GET: 229780.53
GET: 229851.81
GET: 229765.97
GET: 229830.72
GET: 229801.53
GET: 229775.22
GET: 229720.59
GET: 229707.80
GET: 229717.97
GET: 229710.89
GET: 229810.02
GET: 229843.08
GET: 229910.50
GET: 229936.36
GET: 229940.69
GET: 229939.58
GET: 229919.48
GET: 229926.81
GET: 229812.03
GET: 229689.81
GET: 229707.67
GET: 229787.02
GET: 229811.70
GET: 229873.36
GET: 229848.88
GET: 229782.88
GET: 229791.16
GET: 229758.08
GET: 229801.81
GET: 229813.86
GET: 229804.62
GET: 229717.53
GET: 229783.45
====== GET ======
  20000016 requests completed in 87.05 seconds
  32 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.14% <= 0.2 milliseconds
6.70% <= 0.3 milliseconds
15.87% <= 0.4 milliseconds
24.91% <= 0.5 milliseconds
35.11% <= 0.6 milliseconds
45.27% <= 0.7 milliseconds
54.30% <= 0.8 milliseconds
61.70% <= 0.9 milliseconds
67.90% <= 1.0 milliseconds
73.01% <= 1.1 milliseconds
77.18% <= 1.2 milliseconds
80.59% <= 1.3 milliseconds
83.45% <= 1.4 milliseconds
85.81% <= 1.5 milliseconds
87.71% <= 1.6 milliseconds
89.30% <= 1.7 milliseconds
90.63% <= 1.8 milliseconds
91.75% <= 1.9 milliseconds
92.70% <= 2 milliseconds
97.57% <= 3 milliseconds
99.11% <= 4 milliseconds
99.65% <= 5 milliseconds
99.85% <= 6 milliseconds
99.92% <= 7 milliseconds
99.96% <= 8 milliseconds
99.98% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 13 milliseconds
100.00% <= 13 milliseconds
229747.92 requests per second


