2023-11-24 03:18:07
GET: nan
GET: 279330.69
GET: 247505.00
GET: 219898.81
GET: 211612.38
GET: 214081.53
GET: 219299.12
GET: 219942.89
GET: 219726.14
GET: 217979.58
GET: 216259.11
GET: 216590.34
GET: 217559.48
GET: 217350.97
GET: 217892.03
GET: 219293.00
GET: 218735.31
GET: 219084.45
GET: 219131.75
GET: 219488.95
GET: 219804.05
GET: 219938.30
GET: 220745.33
GET: 221177.53
GET: 221359.11
GET: 221537.67
GET: 222107.38
GET: 222061.33
GET: 222768.17
GET: 220821.41
GET: 220173.31
GET: 220559.94
GET: 220716.41
GET: 220570.59
GET: 220886.00
GET: 220133.92
GET: 219210.30
GET: 219254.98
GET: 219405.11
GET: 219002.77
GET: 219123.38
GET: 219197.81
GET: 218167.20
GET: 217920.39
GET: 217795.31
GET: 217640.95
GET: 217619.89
GET: 217873.39
GET: 217844.36
GET: 217578.84
GET: 217530.00
GET: 217628.61
GET: 217604.67
GET: 217652.89
GET: 217944.02
GET: 217784.17
GET: 218083.14
GET: 218403.59
GET: 218315.83
GET: 218082.97
GET: 218034.39
GET: 218286.39
GET: 218282.55
GET: 218577.45
GET: 218590.67
GET: 218710.30
GET: 218666.33
GET: 218793.36
GET: 218307.70
GET: 218089.72
GET: 218143.52
GET: 218017.80
GET: 218196.41
GET: 218311.39
GET: 218510.59
GET: 217932.39
GET: 217945.70
GET: 217957.42
GET: 218121.42
GET: 218221.73
GET: 218139.17
GET: 217862.34
GET: 217587.98
GET: 217727.67
GET: 217903.64
GET: 217981.38
GET: 217884.67
GET: 217762.98
GET: 217545.47
GET: 217623.02
GET: 217831.06
GET: 217921.34
GET: 217978.70
GET: 217997.34
GET: 218015.58
GET: 218064.42
GET: 218148.56
GET: 218165.67
GET: 218319.86
GET: 218464.80
GET: 218486.88
GET: 218643.77
GET: 218737.36
GET: 218844.66
GET: 218926.22
GET: 218735.33
GET: 218652.19
GET: 218717.41
GET: 218239.59
GET: 218281.86
GET: 218338.78
GET: 218324.92
GET: 218435.28
GET: 218519.92
GET: 218158.78
GET: 218089.38
GET: 218217.00
GET: 218109.73
GET: 218106.50
GET: 218262.22
GET: 218284.16
GET: 218067.50
GET: 217951.42
GET: 218058.08
GET: 218100.83
GET: 218165.16
GET: 218260.72
GET: 218089.50
GET: 218108.66
GET: 218075.45
GET: 218129.64
GET: 218195.44
GET: 218260.98
GET: 218271.17
GET: 218189.52
GET: 218204.34
GET: 218277.31
GET: 218340.80
GET: 218453.20
GET: 218399.42
GET: 218487.34
GET: 218604.94
GET: 218650.52
GET: 218687.03
GET: 218718.58
GET: 218849.88
GET: 218817.22
GET: 218491.61
GET: 218486.02
GET: 218536.33
GET: 218561.02
GET: 218666.31
GET: 218621.41
GET: 218454.56
GET: 218369.44
GET: 218354.56
GET: 218337.62
GET: 218460.91
GET: 218471.27
GET: 218393.14
GET: 218182.62
GET: 218212.58
GET: 218185.84
GET: 218243.30
GET: 218359.55
GET: 218389.06
GET: 218290.27
GET: 218336.12
GET: 218270.23
GET: 218254.72
GET: 218260.28
GET: 218250.81
GET: 218214.11
GET: 218186.14
GET: 218249.89
GET: 218311.44
GET: 218322.67
GET: 218390.17
GET: 218437.31
GET: 218470.72
GET: 218377.72
GET: 218425.20
GET: 218436.84
GET: 218534.91
GET: 218582.69
GET: 218559.05
GET: 218335.77
GET: 218216.52
GET: 218201.84
GET: 218235.34
GET: 218280.16
GET: 218283.81
GET: 218343.23
GET: 218173.28
GET: 218237.28
GET: 218301.78
GET: 218370.34
GET: 218459.50
GET: 218439.97
GET: 218272.39
GET: 218314.95
GET: 218362.48
GET: 218373.61
GET: 218421.02
GET: 218455.27
GET: 218389.91
GET: 218292.73
GET: 218378.56
GET: 218476.03
GET: 218524.66
GET: 218593.55
GET: 218655.25
GET: 218676.83
GET: 218742.08
GET: 218764.09
GET: 218794.11
GET: 218860.86
GET: 218873.05
GET: 218873.95
GET: 218937.39
GET: 218964.03
GET: 218998.78
GET: 219034.70
GET: 219032.44
GET: 219056.03
GET: 218919.59
GET: 218884.88
GET: 218905.16
GET: 218890.03
GET: 218896.72
GET: 218988.88
GET: 218916.66
GET: 218741.08
GET: 218678.25
GET: 218720.94
GET: 218733.47
GET: 218725.81
GET: 218787.75
GET: 218667.42
GET: 218624.27
GET: 218704.78
GET: 218741.75
GET: 218786.48
GET: 218784.11
GET: 218817.80
GET: 218756.47
GET: 218760.88
GET: 218767.44
GET: 218776.28
GET: 218853.14
GET: 218912.38
GET: 218890.58
GET: 218942.97
GET: 219017.70
GET: 219008.34
GET: 219078.69
GET: 219162.52
GET: 219139.75
GET: 219101.55
GET: 219108.34
GET: 219103.78
GET: 219072.89
GET: 219075.41
GET: 219034.64
GET: 218987.52
GET: 218929.89
GET: 218977.05
GET: 218924.44
GET: 218965.34
GET: 218981.31
GET: 219026.56
GET: 218886.95
GET: 218883.17
GET: 218846.83
GET: 218861.27
GET: 218817.02
GET: 218803.80
GET: 218727.97
GET: 218700.31
GET: 218731.34
GET: 218760.33
GET: 218816.42
GET: 218814.61
GET: 218852.38
GET: 218806.17
GET: 218782.30
GET: 218821.56
GET: 218890.77
GET: 218936.50
GET: 218938.95
GET: 218923.64
GET: 218960.20
GET: 218960.16
GET: 218946.67
GET: 218922.72
GET: 218910.75
GET: 218945.02
GET: 218967.31
GET: 218998.27
GET: 219045.38
GET: 219034.27
GET: 219064.69
GET: 219093.84
GET: 219040.45
GET: 218955.52
GET: 218989.98
GET: 218992.03
GET: 219022.72
GET: 219069.94
GET: 219050.89
GET: 218934.14
GET: 218872.34
GET: 218884.36
GET: 218891.61
GET: 218889.23
GET: 218877.52
GET: 218831.09
GET: 218712.27
GET: 218704.73
GET: 218726.25
GET: 218767.22
GET: 218831.55
GET: 218869.75
GET: 218817.30
GET: 218804.36
GET: 218800.75
GET: 218848.09
GET: 218852.02
GET: 218821.66
GET: 218854.45
GET: 218819.83
GET: 218839.62
GET: 218866.25
GET: 218894.16
GET: 218916.44
GET: 218940.20
GET: 219015.42
GET: 219024.05
GET: 219060.62
GET: 219025.84
GET: 219056.55
GET: 219065.14
GET: 219046.83
GET: 218960.62
GET: 218936.02
GET: 218970.34
GET: 219037.50
GET: 219105.64
GET: 219149.62
GET: 219107.33
GET: 219046.62
GET: 219056.73
GET: 219068.14
GET: 219113.83
GET: 219157.36
GET: 219196.09
GET: 219061.14
GET: 219079.53
GET: 219085.73
GET: 219104.33
GET: 219118.98
GET: 219133.30
GET: 219085.58
GET: 219105.73
GET: 219144.48
====== GET ======
  20000032 requests completed in 91.26 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.81% <= 0.1 milliseconds
17.56% <= 0.2 milliseconds
38.24% <= 0.3 milliseconds
55.90% <= 0.4 milliseconds
67.72% <= 0.5 milliseconds
75.23% <= 0.6 milliseconds
80.94% <= 0.7 milliseconds
85.14% <= 0.8 milliseconds
88.19% <= 0.9 milliseconds
90.50% <= 1.0 milliseconds
92.28% <= 1.1 milliseconds
93.65% <= 1.2 milliseconds
94.74% <= 1.3 milliseconds
95.61% <= 1.4 milliseconds
96.31% <= 1.5 milliseconds
96.88% <= 1.6 milliseconds
97.34% <= 1.7 milliseconds
97.73% <= 1.8 milliseconds
98.06% <= 1.9 milliseconds
98.35% <= 2 milliseconds
99.64% <= 3 milliseconds
99.91% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 14 milliseconds
219164.03 requests per second


