2023-11-24 03:18:07
GET: nan
GET: 271200.00
GET: 250496.00
GET: 238506.67
GET: 233576.00
GET: 223251.20
GET: 219434.67
GET: 218701.72
GET: 216892.00
GET: 217521.78
GET: 218825.59
GET: 217437.09
GET: 212808.00
GET: 213602.47
GET: 213638.86
GET: 214813.86
GET: 215606.00
GET: 216530.83
GET: 214712.89
GET: 214903.58
GET: 214948.80
GET: 215004.95
GET: 215166.55
GET: 214925.91
GET: 214885.33
GET: 213685.77
GET: 214288.00
GET: 214320.59
GET: 214571.42
GET: 214676.97
GET: 214469.33
GET: 214197.91
GET: 214408.19
GET: 214530.11
GET: 214724.84
GET: 214993.47
GET: 214577.03
GET: 214791.91
GET: 215227.86
GET: 215719.41
GET: 216326.36
GET: 216720.31
GET: 216667.36
GET: 216725.50
GET: 216511.22
GET: 215814.41
GET: 215679.36
GET: 215582.03
GET: 215624.06
GET: 215926.22
GET: 216208.61
GET: 215336.27
GET: 214997.69
GET: 215063.69
GET: 214903.88
GET: 214939.50
GET: 215152.81
GET: 215263.09
GET: 214485.94
GET: 214348.39
GET: 214569.02
GET: 214789.64
GET: 215012.45
GET: 215261.69
GET: 215289.36
GET: 215242.72
GET: 215387.94
GET: 215521.19
GET: 215497.66
GET: 215648.17
GET: 215607.05
GET: 215713.48
GET: 215726.34
GET: 215748.06
GET: 215804.20
GET: 215963.33
GET: 216039.98
GET: 216058.17
GET: 216246.06
GET: 216338.50
GET: 216365.02
GET: 216526.36
GET: 216504.34
GET: 216599.61
GET: 216176.67
GET: 216203.95
GET: 216227.23
GET: 216309.56
GET: 216477.97
GET: 216608.44
GET: 216817.41
GET: 216389.80
GET: 216472.48
GET: 216657.95
GET: 216714.25
GET: 216806.36
GET: 217017.88
GET: 216804.81
GET: 216632.78
GET: 216636.70
GET: 216655.61
GET: 216702.00
GET: 216788.25
GET: 216838.66
GET: 216519.09
GET: 216506.23
GET: 216389.83
GET: 216265.12
GET: 216266.50
GET: 216451.84
GET: 216536.98
GET: 216467.61
GET: 216597.94
GET: 216622.66
GET: 216763.64
GET: 216814.02
GET: 216830.70
GET: 216910.23
GET: 216921.50
GET: 216861.36
GET: 216859.25
GET: 216939.64
GET: 217018.45
GET: 216993.27
GET: 216811.17
GET: 216868.14
GET: 217050.36
GET: 217142.56
GET: 217161.89
GET: 217195.53
GET: 217049.56
GET: 217053.02
GET: 217081.88
GET: 217084.09
GET: 217123.73
GET: 217106.66
GET: 217094.75
GET: 216812.45
GET: 216809.58
GET: 216827.92
GET: 216923.22
GET: 217011.27
GET: 217081.86
GET: 217073.17
GET: 216967.11
GET: 217020.00
GET: 217018.72
GET: 217096.38
GET: 217179.31
GET: 217252.33
GET: 217284.28
GET: 217289.34
GET: 217322.31
GET: 217356.95
GET: 217407.33
GET: 217377.00
GET: 217349.52
GET: 217360.08
GET: 217437.31
GET: 217498.66
GET: 217388.94
GET: 217376.14
GET: 217450.58
GET: 217275.47
GET: 217156.14
GET: 217256.14
GET: 217364.95
GET: 217323.08
GET: 217468.62
GET: 217526.94
GET: 217267.36
GET: 217325.41
GET: 217462.02
GET: 217494.77
GET: 217478.09
GET: 217475.12
GET: 217224.14
GET: 217241.08
GET: 217372.11
GET: 217506.33
GET: 217483.39
GET: 217482.39
GET: 217481.45
GET: 217363.25
GET: 217393.05
GET: 217441.70
GET: 217555.88
GET: 217563.12
GET: 217508.20
GET: 217536.11
GET: 217515.56
GET: 217549.50
GET: 217579.39
GET: 217640.31
GET: 217661.53
GET: 217708.41
GET: 217772.97
GET: 217804.23
GET: 217848.27
GET: 217863.22
GET: 217818.56
GET: 217867.12
GET: 217736.12
GET: 217639.20
GET: 217668.95
GET: 217738.67
GET: 217855.69
GET: 217907.44
GET: 217862.45
GET: 217631.19
GET: 217621.75
GET: 217643.47
GET: 217668.02
GET: 217738.86
GET: 217763.47
GET: 217656.64
GET: 217587.83
GET: 217658.16
GET: 217609.62
GET: 217674.56
GET: 217640.50
GET: 217707.47
GET: 217574.58
GET: 217589.33
GET: 217662.20
GET: 217712.25
GET: 217719.25
GET: 217752.53
GET: 217853.86
GET: 217851.77
GET: 217863.61
GET: 217945.55
GET: 218007.20
GET: 218048.42
GET: 218059.91
GET: 218101.64
GET: 218094.50
GET: 218107.25
GET: 218148.14
GET: 218178.23
GET: 218227.12
GET: 218157.23
GET: 218058.19
GET: 218088.95
GET: 218204.14
GET: 218257.03
GET: 218307.92
GET: 218314.12
GET: 218159.58
GET: 218135.11
GET: 218121.19
GET: 218198.77
GET: 218187.25
GET: 218189.73
GET: 218155.17
GET: 218077.73
GET: 218090.84
GET: 218088.44
GET: 218135.62
GET: 218225.56
GET: 218271.50
GET: 218197.61
GET: 218215.59
GET: 218177.38
GET: 218237.47
GET: 218261.86
GET: 218321.30
GET: 218361.97
GET: 218360.44
GET: 218403.98
GET: 218459.28
GET: 218441.36
GET: 218459.56
GET: 218498.59
GET: 218469.98
GET: 218564.28
GET: 218550.94
GET: 218570.61
GET: 218624.06
GET: 218647.56
GET: 218636.52
GET: 218538.92
GET: 218570.75
GET: 218559.42
GET: 218575.52
GET: 218633.48
GET: 218697.55
GET: 218574.14
GET: 218553.42
GET: 218583.11
GET: 218614.36
GET: 218644.50
GET: 218615.62
GET: 218566.42
GET: 218471.86
GET: 218490.70
GET: 218523.56
GET: 218538.88
GET: 218588.00
GET: 218592.61
GET: 218490.89
GET: 218529.48
GET: 218555.33
GET: 218618.36
GET: 218655.20
GET: 218676.28
GET: 218636.70
GET: 218630.62
GET: 218657.30
GET: 218651.91
GET: 218655.22
GET: 218669.20
GET: 218728.62
GET: 218724.72
GET: 218756.45
GET: 218735.52
GET: 218715.33
GET: 218758.62
GET: 218770.98
GET: 218786.36
GET: 218699.00
GET: 218673.66
GET: 218710.84
GET: 218698.09
GET: 218698.27
GET: 218726.39
GET: 218564.95
GET: 218513.09
GET: 218469.75
GET: 218457.38
GET: 218505.00
GET: 218492.98
GET: 218519.08
GET: 218441.30
GET: 218450.66
GET: 218461.09
GET: 218488.72
GET: 218510.47
GET: 218560.88
GET: 218466.14
GET: 218430.09
GET: 218442.91
GET: 218456.62
GET: 218457.77
GET: 218482.42
GET: 218548.38
GET: 218555.53
GET: 218587.81
GET: 218598.03
GET: 218613.31
GET: 218682.44
GET: 218703.05
GET: 218728.36
GET: 218776.81
GET: 218803.12
GET: 218816.77
GET: 218848.67
GET: 218845.14
GET: 218872.14
GET: 218806.12
GET: 218803.94
GET: 218791.30
GET: 218842.62
GET: 218856.03
GET: 218894.41
GET: 218847.31
====== GET ======
  20000032 requests completed in 91.40 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.85% <= 0.1 milliseconds
17.68% <= 0.2 milliseconds
38.22% <= 0.3 milliseconds
55.80% <= 0.4 milliseconds
67.68% <= 0.5 milliseconds
75.21% <= 0.6 milliseconds
80.90% <= 0.7 milliseconds
85.07% <= 0.8 milliseconds
88.13% <= 0.9 milliseconds
90.45% <= 1.0 milliseconds
92.25% <= 1.1 milliseconds
93.64% <= 1.2 milliseconds
94.71% <= 1.3 milliseconds
95.57% <= 1.4 milliseconds
96.25% <= 1.5 milliseconds
96.81% <= 1.6 milliseconds
97.28% <= 1.7 milliseconds
97.69% <= 1.8 milliseconds
98.03% <= 1.9 milliseconds
98.31% <= 2 milliseconds
99.61% <= 3 milliseconds
99.91% <= 4 milliseconds
99.97% <= 5 milliseconds
99.99% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 13 milliseconds
218806.77 requests per second


