2023-11-24 03:21:53
GET: nan
GET: 327936.00
GET: 324704.00
GET: 294400.00
GET: 264296.00
GET: 248633.59
GET: 242624.00
GET: 238066.28
GET: 234948.00
GET: 232988.44
GET: 229171.20
GET: 226135.27
GET: 223581.33
GET: 222439.88
GET: 221612.11
GET: 222199.95
GET: 220708.83
GET: 220027.30
GET: 218854.48
GET: 218551.05
GET: 218508.30
GET: 217974.48
GET: 217540.09
GET: 215019.30
GET: 214346.94
GET: 214199.33
GET: 214020.00
GET: 213991.41
GET: 213376.75
GET: 212291.23
GET: 211905.09
GET: 211507.75
GET: 211728.08
GET: 212079.50
GET: 212325.58
GET: 211117.92
GET: 209940.02
GET: 209763.95
GET: 210107.34
GET: 210524.20
GET: 210733.86
GET: 209661.34
GET: 209026.09
GET: 209457.59
GET: 209521.91
GET: 209656.59
GET: 210076.16
GET: 209574.55
GET: 209515.75
GET: 209439.11
GET: 209406.50
GET: 209280.42
GET: 209162.91
GET: 209261.70
GET: 208780.33
GET: 208507.28
GET: 208522.22
GET: 208433.91
GET: 208362.98
GET: 208493.50
GET: 208635.12
GET: 208656.17
GET: 208844.22
GET: 208817.62
GET: 208754.36
GET: 208802.72
GET: 208562.27
GET: 208505.66
GET: 208463.88
GET: 208625.92
GET: 208760.48
GET: 208916.48
GET: 208783.34
GET: 208439.56
GET: 208336.34
GET: 208258.50
GET: 208190.70
GET: 208236.42
GET: 208046.36
GET: 207618.94
GET: 207381.36
GET: 207395.31
GET: 207352.36
GET: 207401.02
GET: 207424.14
GET: 207207.72
GET: 207094.17
GET: 207129.59
GET: 207107.84
GET: 207214.56
GET: 207225.42
GET: 207129.88
GET: 207032.56
GET: 206938.05
GET: 206910.88
GET: 206826.02
GET: 206780.27
GET: 206922.45
GET: 206822.45
GET: 206911.61
GET: 206808.28
GET: 206670.25
GET: 206643.45
GET: 206692.34
GET: 206550.17
GET: 206519.19
GET: 206351.47
GET: 206236.80
GET: 206197.14
GET: 206220.42
GET: 206291.56
GET: 206060.81
GET: 206071.84
GET: 206050.11
GET: 206128.11
GET: 206295.45
GET: 206140.80
GET: 205945.86
GET: 205849.39
GET: 205765.83
GET: 205826.83
GET: 205786.36
GET: 205808.95
GET: 205719.59
GET: 205462.69
GET: 205394.16
GET: 205223.64
GET: 205237.27
GET: 205258.59
GET: 205266.95
GET: 205109.05
GET: 205091.55
GET: 205128.36
GET: 205234.62
GET: 205116.78
GET: 205111.12
GET: 204950.52
GET: 204889.16
GET: 204881.80
GET: 204909.97
GET: 204928.16
GET: 205041.61
GET: 205119.44
GET: 205028.39
GET: 205124.56
GET: 205131.14
GET: 205094.03
GET: 205196.08
GET: 205209.39
GET: 205277.94
GET: 205286.69
GET: 205238.12
GET: 205340.06
GET: 205320.64
GET: 205282.58
GET: 205130.84
GET: 205028.02
GET: 204971.75
GET: 205007.72
GET: 205065.78
GET: 205106.91
GET: 205078.17
GET: 204923.59
GET: 204892.61
GET: 204861.80
GET: 204879.27
GET: 204919.66
GET: 204948.62
GET: 204762.06
GET: 204670.09
GET: 204650.72
GET: 204674.61
GET: 204659.16
GET: 204687.52
GET: 204585.19
GET: 204552.59
GET: 204556.55
GET: 204559.73
GET: 204650.78
GET: 204687.72
GET: 204659.02
GET: 204587.84
GET: 204597.80
GET: 204576.34
GET: 204562.09
GET: 204508.38
GET: 204517.52
GET: 204476.25
GET: 204476.44
GET: 204475.61
GET: 204491.64
GET: 204474.83
GET: 204503.92
GET: 204468.98
GET: 204487.84
GET: 204428.56
GET: 204383.61
GET: 204417.23
GET: 204475.41
GET: 204547.12
GET: 204451.94
GET: 204467.34
GET: 204484.84
GET: 204504.52
GET: 204602.42
GET: 204555.16
GET: 204415.78
GET: 204379.00
GET: 204461.78
GET: 204465.00
GET: 204507.88
GET: 204490.77
GET: 204434.12
GET: 204396.03
GET: 204400.16
GET: 204370.17
GET: 204430.83
GET: 204403.92
GET: 204433.47
GET: 204361.66
GET: 204382.27
GET: 204423.39
GET: 204444.55
GET: 204494.92
GET: 204514.42
GET: 204443.31
GET: 204496.28
GET: 204508.89
GET: 204525.89
GET: 204531.97
GET: 204536.34
GET: 204474.19
GET: 204496.00
GET: 204521.75
GET: 204493.39
GET: 204471.69
GET: 204450.03
GET: 204545.61
GET: 204543.72
GET: 204615.20
GET: 204640.23
GET: 204691.36
GET: 204739.80
GET: 204776.64
GET: 204660.69
GET: 204680.84
GET: 204691.88
GET: 204705.12
GET: 204782.28
GET: 204794.42
GET: 204690.58
GET: 204647.05
GET: 204628.09
GET: 204622.70
GET: 204589.64
GET: 204577.42
GET: 204547.03
GET: 204445.69
GET: 204403.28
GET: 204447.67
GET: 204440.30
GET: 204451.61
GET: 204434.25
GET: 204327.42
GET: 204363.88
GET: 204369.02
GET: 204396.38
GET: 204451.94
GET: 204435.09
GET: 204365.56
GET: 204382.81
GET: 204371.36
GET: 204442.45
GET: 204489.94
GET: 204512.78
GET: 204479.86
GET: 204442.88
GET: 204500.36
GET: 204515.83
GET: 204510.88
GET: 204485.00
GET: 204506.84
GET: 204492.45
GET: 204486.19
GET: 204524.58
GET: 204454.83
GET: 204454.02
GET: 204468.81
GET: 204411.53
GET: 204381.44
GET: 204457.34
GET: 204479.42
GET: 204571.02
GET: 204598.12
GET: 204478.88
GET: 204451.55
GET: 204424.09
GET: 204493.86
GET: 204512.08
GET: 204555.09
GET: 204505.34
GET: 204443.94
GET: 204424.98
GET: 204471.31
GET: 204498.39
GET: 204520.45
GET: 204531.52
GET: 204434.11
GET: 204384.41
GET: 204383.16
GET: 204394.72
GET: 204369.78
GET: 204354.14
GET: 204336.05
GET: 204352.81
GET: 204361.12
GET: 204420.53
GET: 204365.11
GET: 204385.80
GET: 204413.97
GET: 204388.08
GET: 204359.06
GET: 204358.84
GET: 204345.25
GET: 204370.36
GET: 204426.52
GET: 204451.22
GET: 204454.14
GET: 204476.95
GET: 204472.67
GET: 204462.52
GET: 204471.86
GET: 204468.89
GET: 204372.66
GET: 204359.08
GET: 204390.19
GET: 204404.27
GET: 204426.52
GET: 204436.05
GET: 204359.17
GET: 204367.23
GET: 204366.34
GET: 204329.64
GET: 204304.33
GET: 204311.44
GET: 204220.95
GET: 204243.06
GET: 204232.86
GET: 204280.09
GET: 204298.72
GET: 204285.75
GET: 204239.36
GET: 204197.78
GET: 204205.66
GET: 204213.56
GET: 204202.78
GET: 204234.66
GET: 204251.47
GET: 204200.19
GET: 204169.25
GET: 204201.03
GET: 204245.59
GET: 204287.25
GET: 204320.47
GET: 204332.34
GET: 204324.67
GET: 204368.38
GET: 204410.25
GET: 204417.84
GET: 204441.02
GET: 204474.16
GET: 204485.91
GET: 204482.97
GET: 204485.95
GET: 204487.31
GET: 204468.44
GET: 204458.08
GET: 204406.03
GET: 204395.06
GET: 204378.14
GET: 204385.83
GET: 204401.02
GET: 204416.59
GET: 204336.06
GET: 204344.44
GET: 204348.19
GET: 204379.62
GET: 204390.62
GET: 204411.64
GET: 204368.72
GET: 204354.72
GET: 204349.16
====== GET ======
  20000008 requests completed in 97.87 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.43% <= 0.1 milliseconds
12.07% <= 0.2 milliseconds
29.12% <= 0.3 milliseconds
48.34% <= 0.4 milliseconds
63.78% <= 0.5 milliseconds
72.99% <= 0.6 milliseconds
79.29% <= 0.7 milliseconds
84.04% <= 0.8 milliseconds
87.50% <= 0.9 milliseconds
89.94% <= 1.0 milliseconds
91.74% <= 1.1 milliseconds
93.08% <= 1.2 milliseconds
94.16% <= 1.3 milliseconds
95.04% <= 1.4 milliseconds
95.75% <= 1.5 milliseconds
96.35% <= 1.6 milliseconds
96.85% <= 1.7 milliseconds
97.27% <= 1.8 milliseconds
97.64% <= 1.9 milliseconds
97.96% <= 2 milliseconds
99.51% <= 3 milliseconds
99.87% <= 4 milliseconds
99.96% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 17 milliseconds
204359.06 requests per second


