2023-11-21 22:51:14
GET: nan
GET: 414176.00
GET: 355072.00
GET: 302310.75
GET: 279330.00
GET: 268143.66
GET: 253594.14
GET: 245859.67
GET: 241633.55
GET: 234972.03
GET: 232060.72
GET: 230183.80
GET: 226909.09
GET: 224622.19
GET: 223792.17
GET: 223869.97
GET: 222880.84
GET: 223048.22
GET: 222626.70
GET: 222715.77
GET: 223904.06
GET: 223566.03
GET: 222558.12
GET: 222826.97
GET: 222153.84
GET: 221226.78
GET: 221337.44
GET: 220429.72
GET: 219521.69
GET: 219675.95
GET: 219139.05
GET: 218975.00
GET: 218733.25
GET: 218628.23
GET: 218361.06
GET: 218583.23
GET: 218730.02
GET: 218551.73
GET: 218578.88
GET: 218275.05
GET: 217606.70
GET: 217643.98
GET: 217665.77
GET: 217767.61
GET: 217433.73
GET: 217201.53
GET: 216633.25
GET: 216474.88
GET: 216141.89
GET: 215891.67
GET: 215838.20
GET: 215761.12
GET: 215790.92
GET: 216375.86
GET: 216383.72
GET: 216001.73
GET: 216072.52
GET: 215717.81
GET: 215483.39
GET: 215445.58
GET: 215260.81
GET: 215230.98
GET: 215210.89
GET: 214637.73
GET: 214719.47
GET: 214657.50
GET: 214439.94
GET: 214237.94
GET: 214361.17
GET: 214473.42
GET: 214199.19
GET: 214179.50
GET: 214086.17
GET: 213936.27
GET: 214043.22
GET: 214022.83
GET: 213722.30
GET: 213386.91
GET: 213249.83
GET: 212979.00
GET: 212902.81
GET: 212757.83
GET: 212735.72
GET: 212883.69
GET: 212951.59
GET: 212939.28
GET: 212963.31
GET: 213013.28
GET: 213093.34
GET: 213171.62
GET: 212973.83
GET: 212896.02
GET: 212792.77
GET: 212874.00
GET: 212882.73
GET: 212875.47
GET: 212825.38
GET: 212603.55
GET: 212603.92
GET: 212664.05
GET: 212520.20
GET: 212727.86
GET: 212579.14
GET: 212354.30
GET: 212521.88
GET: 212666.16
GET: 212674.66
GET: 212646.31
GET: 212653.06
GET: 212479.84
GET: 212530.72
GET: 212476.39
GET: 212429.31
GET: 212431.45
GET: 212484.91
GET: 212307.44
GET: 212208.02
GET: 212204.05
GET: 212088.77
GET: 211987.77
GET: 211998.67
GET: 211763.98
GET: 211855.03
GET: 211707.48
GET: 211700.56
GET: 211826.67
GET: 211877.55
GET: 211913.77
GET: 211926.05
GET: 212086.27
GET: 212067.16
GET: 212146.59
GET: 212186.91
GET: 212062.88
GET: 212045.70
GET: 211820.80
GET: 211710.42
GET: 211705.06
GET: 211777.41
GET: 211694.80
GET: 211751.50
GET: 211754.19
GET: 211811.30
GET: 211896.03
GET: 211891.42
GET: 211680.91
GET: 211721.42
GET: 211684.38
GET: 211570.70
GET: 211434.52
GET: 211314.22
GET: 211188.52
GET: 211129.06
GET: 211132.25
GET: 210991.69
GET: 210892.36
GET: 210845.14
GET: 210920.11
GET: 210979.36
GET: 211060.39
GET: 211275.11
GET: 211215.66
GET: 211120.14
GET: 210915.23
GET: 210753.89
GET: 210798.66
GET: 210824.69
GET: 210799.75
GET: 210850.47
GET: 210874.30
GET: 210803.61
GET: 210877.73
GET: 210775.88
GET: 210810.03
GET: 210845.72
GET: 210825.44
GET: 210810.67
GET: 210783.06
GET: 210846.30
GET: 210941.28
GET: 210944.48
GET: 210949.44
GET: 210851.38
GET: 210822.64
GET: 210770.34
GET: 210718.73
GET: 210711.36
GET: 210774.48
GET: 210660.14
GET: 210705.12
GET: 210711.70
GET: 210604.28
GET: 210550.27
GET: 210603.11
GET: 210580.16
GET: 210617.92
GET: 210607.67
GET: 210679.98
GET: 210729.27
GET: 210751.72
GET: 210660.75
GET: 210664.55
GET: 210719.80
GET: 210673.19
GET: 210693.88
GET: 210716.47
GET: 210637.95
GET: 210628.36
GET: 210642.48
GET: 210524.77
GET: 210514.73
GET: 210619.03
GET: 210531.70
GET: 210556.55
GET: 210568.52
GET: 210489.38
GET: 210457.14
GET: 210494.30
GET: 210486.38
GET: 210489.78
GET: 210437.06
GET: 210382.50
GET: 210377.11
GET: 210410.03
GET: 210382.59
GET: 210339.44
GET: 210417.78
GET: 210365.17
GET: 210353.69
GET: 210428.30
GET: 210430.55
GET: 210409.23
GET: 210361.92
GET: 210362.36
GET: 210356.20
GET: 210430.48
GET: 210361.62
GET: 210290.94
GET: 210336.62
GET: 210278.30
GET: 210243.50
GET: 210297.08
GET: 210232.78
GET: 210221.69
GET: 210204.44
GET: 210112.45
GET: 210094.52
GET: 210055.23
GET: 210078.03
GET: 210078.03
GET: 210042.88
GET: 210085.06
GET: 210110.28
GET: 210169.81
GET: 210181.41
GET: 210124.05
GET: 210106.66
GET: 210035.41
GET: 209964.44
GET: 209925.52
GET: 209933.73
GET: 209809.72
GET: 209786.70
GET: 209809.95
GET: 209782.75
GET: 209863.25
GET: 209856.36
GET: 209896.86
GET: 209965.31
GET: 209964.42
GET: 209990.31
GET: 210018.45
GET: 210029.50
GET: 209908.23
GET: 209877.94
GET: 209934.72
GET: 209849.41
GET: 209890.52
GET: 209883.27
GET: 209802.03
GET: 209862.28
GET: 209808.80
GET: 209755.11
GET: 209763.14
GET: 209728.12
GET: 209713.98
GET: 209755.73
GET: 209774.02
GET: 209828.59
GET: 209922.94
GET: 209894.16
GET: 209854.25
GET: 209840.88
GET: 209816.14
GET: 209773.53
GET: 209751.25
GET: 209759.16
GET: 209729.02
GET: 209723.42
GET: 209705.36
GET: 209727.17
GET: 209776.67
GET: 209757.78
GET: 209809.67
GET: 209856.62
GET: 209861.45
GET: 209873.86
GET: 209914.11
GET: 209885.48
GET: 209875.86
GET: 209834.86
GET: 209784.75
GET: 209729.66
GET: 209756.30
GET: 209785.33
GET: 209732.78
GET: 209847.30
GET: 209809.81
GET: 209826.55
GET: 209808.59
GET: 209775.17
GET: 209793.89
GET: 209798.25
GET: 209883.75
GET: 209853.67
GET: 209896.55
GET: 209869.45
GET: 209867.55
GET: 209856.62
GET: 209837.00
GET: 209806.53
GET: 209813.25
GET: 209840.73
GET: 209886.86
GET: 209905.62
GET: 209915.20
GET: 209846.98
GET: 209886.00
GET: 209910.22
GET: 209874.98
GET: 209924.11
GET: 209929.06
GET: 209998.56
GET: 210029.97
GET: 210028.86
GET: 209951.36
GET: 210017.80
GET: 210001.58
GET: 209905.44
GET: 209891.83
GET: 209942.70
GET: 209875.05
GET: 209923.31
GET: 209932.30
GET: 209869.88
GET: 209862.98
GET: 209896.81
GET: 209865.28
GET: 209843.81
GET: 209823.27
GET: 209849.28
GET: 209893.67
GET: 209969.23
GET: 209926.92
GET: 209890.64
GET: 209911.73
GET: 209874.38
GET: 209882.16
GET: 209921.80
GET: 209847.62
GET: 209798.58
GET: 209804.33
GET: 209794.33
GET: 209851.58
GET: 209849.62
GET: 209825.34
GET: 209807.42
GET: 209857.06
GET: 209861.38
GET: 209912.22
GET: 209983.83
====== GET ======
  20000016 requests completed in 95.21 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.51% <= 0.2 milliseconds
3.94% <= 0.3 milliseconds
10.58% <= 0.4 milliseconds
16.96% <= 0.5 milliseconds
24.31% <= 0.6 milliseconds
33.39% <= 0.7 milliseconds
43.62% <= 0.8 milliseconds
53.42% <= 0.9 milliseconds
61.72% <= 1.0 milliseconds
68.48% <= 1.1 milliseconds
73.83% <= 1.2 milliseconds
77.99% <= 1.3 milliseconds
81.30% <= 1.4 milliseconds
83.98% <= 1.5 milliseconds
86.18% <= 1.6 milliseconds
88.00% <= 1.7 milliseconds
89.50% <= 1.8 milliseconds
90.72% <= 1.9 milliseconds
91.74% <= 2 milliseconds
97.08% <= 3 milliseconds
98.81% <= 4 milliseconds
99.49% <= 5 milliseconds
99.78% <= 6 milliseconds
99.89% <= 7 milliseconds
99.94% <= 8 milliseconds
99.97% <= 9 milliseconds
99.98% <= 10 milliseconds
99.99% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 23 milliseconds
100.00% <= 24 milliseconds
100.00% <= 25 milliseconds
100.00% <= 25 milliseconds
210068.75 requests per second


