2023-11-21 22:51:14
GET: nan
GET: 331264.00
GET: 284208.00
GET: 256896.00
GET: 248368.00
GET: 238252.80
GET: 233125.33
GET: 232434.28
GET: 228752.00
GET: 223712.00
GET: 222496.61
GET: 220793.59
GET: 219762.81
GET: 219077.48
GET: 218526.55
GET: 218405.11
GET: 219011.75
GET: 218676.70
GET: 219375.53
GET: 218349.69
GET: 218435.34
GET: 217422.44
GET: 217885.53
GET: 217469.84
GET: 216386.48
GET: 217207.75
GET: 217096.11
GET: 217619.44
GET: 217943.17
GET: 218008.27
GET: 216581.02
GET: 216721.17
GET: 216564.72
GET: 216133.77
GET: 215905.94
GET: 216056.67
GET: 216427.38
GET: 216793.61
GET: 217271.89
GET: 216780.00
GET: 216723.64
GET: 217125.69
GET: 216467.58
GET: 216339.94
GET: 216449.17
GET: 216024.16
GET: 216273.19
GET: 216634.80
GET: 216201.86
GET: 216427.98
GET: 216405.38
GET: 215790.62
GET: 215678.48
GET: 215743.05
GET: 215761.42
GET: 216270.86
GET: 216106.19
GET: 215977.00
GET: 215438.89
GET: 215526.95
GET: 215174.69
GET: 214989.06
GET: 215297.19
GET: 214904.91
GET: 214675.75
GET: 214603.64
GET: 214425.77
GET: 214442.66
GET: 214457.06
GET: 214264.08
GET: 214489.78
GET: 214469.61
GET: 214440.23
GET: 214598.80
GET: 214807.34
GET: 214802.34
GET: 214639.75
GET: 214778.20
GET: 214784.02
GET: 214610.81
GET: 214609.39
GET: 214465.52
GET: 214217.92
GET: 214138.84
GET: 214161.75
GET: 213956.55
GET: 213758.36
GET: 213795.86
GET: 213699.91
GET: 213629.20
GET: 213752.14
GET: 213902.25
GET: 213943.09
GET: 213918.44
GET: 213564.73
GET: 213536.83
GET: 213507.84
GET: 213374.64
GET: 213339.09
GET: 213622.38
GET: 213345.91
GET: 213302.84
GET: 213275.34
GET: 213203.38
GET: 213241.31
GET: 213193.67
GET: 213085.59
GET: 213044.08
GET: 213237.72
GET: 213467.77
GET: 213575.64
GET: 213569.81
GET: 213503.86
GET: 213376.53
GET: 213354.92
GET: 213288.39
GET: 213244.20
GET: 213168.38
GET: 213074.86
GET: 212916.45
GET: 212892.03
GET: 212730.09
GET: 212608.28
GET: 212555.77
GET: 212524.73
GET: 212586.78
GET: 212621.20
GET: 212780.22
GET: 212728.02
GET: 212754.09
GET: 212584.62
GET: 212541.38
GET: 212588.38
GET: 212464.25
GET: 212426.92
GET: 212433.47
GET: 212429.34
GET: 212311.17
GET: 212276.02
GET: 212195.14
GET: 212066.56
GET: 212152.25
GET: 212193.05
GET: 212140.06
GET: 212112.45
GET: 212292.69
GET: 212550.38
GET: 212664.17
GET: 212654.81
GET: 212520.19
GET: 212608.80
GET: 212618.11
GET: 212527.39
GET: 212552.98
GET: 212515.14
GET: 212468.92
GET: 212349.94
GET: 212346.69
GET: 212267.00
GET: 212335.50
GET: 212403.33
GET: 212352.58
GET: 212275.02
GET: 212400.42
GET: 212455.11
GET: 212519.78
GET: 212511.84
GET: 212483.12
GET: 212533.16
GET: 212585.25
GET: 212527.27
GET: 212517.83
GET: 212639.73
GET: 212582.44
GET: 212559.81
GET: 212532.31
GET: 212513.84
GET: 212537.22
GET: 212529.53
GET: 212421.55
GET: 212491.16
GET: 212591.06
GET: 212653.70
GET: 212582.34
GET: 212548.25
GET: 212555.14
GET: 212572.44
GET: 212674.20
GET: 212725.20
GET: 212642.09
GET: 212688.02
GET: 212724.59
GET: 212612.80
GET: 212695.44
GET: 212719.88
GET: 212781.77
GET: 212849.72
GET: 212879.33
GET: 212925.59
GET: 212784.06
GET: 212754.25
GET: 212820.64
GET: 212856.48
GET: 212784.28
GET: 212639.39
GET: 212551.34
GET: 212504.89
GET: 212412.88
GET: 212389.67
GET: 212330.30
GET: 212260.36
GET: 212261.55
GET: 212359.23
GET: 212326.61
GET: 212336.44
GET: 212285.36
GET: 212274.86
GET: 212308.22
GET: 212391.14
GET: 212470.67
GET: 212497.89
GET: 212494.48
GET: 212491.25
GET: 212512.98
GET: 212506.92
GET: 212460.19
GET: 212487.16
GET: 212566.42
GET: 212520.75
GET: 212481.20
GET: 212494.25
GET: 212369.20
GET: 212357.97
GET: 212432.03
GET: 212437.84
GET: 212367.75
GET: 212388.55
GET: 212464.08
GET: 212455.14
GET: 212431.83
GET: 212427.11
GET: 212308.98
GET: 212219.06
GET: 212260.17
GET: 212117.92
GET: 212100.22
GET: 212152.70
GET: 212069.52
GET: 212124.66
GET: 212186.69
GET: 212087.47
GET: 212123.56
GET: 212110.89
GET: 212071.66
GET: 212056.39
GET: 212076.48
GET: 212022.98
GET: 212057.61
GET: 212101.25
GET: 212043.58
GET: 211956.47
GET: 211970.11
GET: 211895.19
GET: 211916.12
GET: 211940.91
GET: 211843.28
GET: 211819.47
GET: 211895.94
GET: 211874.62
GET: 211918.70
GET: 211994.80
GET: 211996.53
GET: 211940.00
GET: 211982.56
GET: 212017.98
GET: 212048.84
GET: 212125.47
GET: 212107.92
GET: 212025.19
GET: 212042.98
GET: 212017.36
GET: 212056.22
GET: 212043.77
GET: 212010.17
GET: 211937.14
GET: 211926.70
GET: 211890.62
GET: 211865.83
GET: 211872.17
GET: 211901.83
GET: 211888.59
GET: 211967.44
GET: 211996.67
GET: 212006.17
GET: 212039.86
GET: 212102.27
GET: 212064.66
GET: 212038.61
GET: 212051.34
GET: 212030.22
GET: 212090.33
GET: 212101.72
GET: 212009.27
GET: 211995.42
GET: 212024.56
GET: 211987.06
GET: 211995.05
GET: 212022.56
GET: 211962.06
GET: 211982.11
GET: 211941.11
GET: 211974.75
GET: 211994.92
GET: 212023.44
GET: 211964.77
GET: 211989.33
GET: 212029.84
GET: 211950.67
GET: 211894.81
GET: 211872.09
GET: 211837.28
GET: 211799.62
GET: 211848.31
GET: 211886.20
GET: 211921.98
GET: 211980.36
GET: 211965.22
GET: 211944.50
GET: 211987.95
GET: 212015.59
GET: 212064.38
GET: 212049.98
GET: 212063.42
GET: 212025.48
GET: 211997.75
GET: 211987.25
GET: 212006.84
GET: 211984.62
GET: 211960.69
GET: 211917.14
GET: 211987.97
GET: 211958.66
GET: 211952.09
GET: 211963.88
GET: 211903.84
GET: 211923.22
GET: 211964.84
GET: 211969.27
GET: 211935.55
GET: 211989.97
GET: 211946.42
GET: 211893.84
GET: 211922.56
GET: 211906.67
GET: 211936.47
GET: 211986.91
GET: 211963.31
GET: 211956.08
GET: 211944.19
GET: 211877.72
GET: 211872.38
GET: 211886.45
GET: 211876.70
GET: 211884.27
GET: 211879.22
GET: 211890.03
GET: 211895.75
GET: 211936.89
GET: 211892.75
GET: 211875.19
GET: 211911.81
GET: 211891.89
GET: 211876.16
GET: 211856.94
GET: 211864.84
GET: 211816.44
GET: 211829.77
GET: 211830.47
====== GET ======
  20000000 requests completed in 94.44 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.71% <= 0.2 milliseconds
4.27% <= 0.3 milliseconds
10.91% <= 0.4 milliseconds
17.32% <= 0.5 milliseconds
24.91% <= 0.6 milliseconds
34.34% <= 0.7 milliseconds
44.64% <= 0.8 milliseconds
54.17% <= 0.9 milliseconds
62.17% <= 1.0 milliseconds
68.75% <= 1.1 milliseconds
73.99% <= 1.2 milliseconds
78.11% <= 1.3 milliseconds
81.42% <= 1.4 milliseconds
84.12% <= 1.5 milliseconds
86.32% <= 1.6 milliseconds
88.12% <= 1.7 milliseconds
89.60% <= 1.8 milliseconds
90.83% <= 1.9 milliseconds
91.86% <= 2 milliseconds
97.15% <= 3 milliseconds
98.87% <= 4 milliseconds
99.51% <= 5 milliseconds
99.78% <= 6 milliseconds
99.89% <= 7 milliseconds
99.94% <= 8 milliseconds
99.97% <= 9 milliseconds
99.98% <= 10 milliseconds
99.99% <= 11 milliseconds
99.99% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
211783.66 requests per second


