2023-11-24 03:21:53
GET: nan
GET: 298432.00
GET: 258448.00
GET: 237600.00
GET: 229976.00
GET: 219462.41
GET: 215178.67
GET: 215474.28
GET: 210900.00
GET: 208199.11
GET: 207046.41
GET: 205096.73
GET: 203234.67
GET: 202796.31
GET: 202386.28
GET: 201940.81
GET: 202713.33
GET: 202548.11
GET: 203419.69
GET: 204191.12
GET: 204355.94
GET: 201980.58
GET: 202222.14
GET: 202164.50
GET: 201757.05
GET: 201640.70
GET: 201658.31
GET: 200745.16
GET: 200632.88
GET: 200789.75
GET: 200625.89
GET: 200221.86
GET: 200545.78
GET: 200343.14
GET: 200275.66
GET: 200649.83
GET: 200722.42
GET: 200655.34
GET: 200789.64
GET: 201179.53
GET: 201187.64
GET: 201519.94
GET: 201580.50
GET: 200714.22
GET: 201124.05
GET: 201532.73
GET: 201031.30
GET: 201125.75
GET: 201301.58
GET: 200666.56
GET: 200737.05
GET: 200789.09
GET: 200366.05
GET: 200466.58
GET: 200521.33
GET: 200308.28
GET: 200320.48
GET: 200805.39
GET: 200757.31
GET: 201049.75
GET: 200883.50
GET: 201078.80
GET: 201173.38
GET: 201302.02
GET: 201258.19
GET: 201217.19
GET: 201188.56
GET: 201110.66
GET: 200937.19
GET: 201068.28
GET: 201074.05
GET: 200602.02
GET: 200808.72
GET: 200923.86
GET: 200579.77
GET: 200681.67
GET: 200604.09
GET: 200160.39
GET: 200020.52
GET: 200274.17
GET: 200335.94
GET: 200217.25
GET: 200202.11
GET: 200245.55
GET: 200338.61
GET: 200344.78
GET: 200601.56
GET: 200340.53
GET: 200226.86
GET: 200374.58
GET: 200071.81
GET: 200085.80
GET: 200222.92
GET: 199863.44
GET: 199801.23
GET: 199989.91
GET: 199727.06
GET: 199585.08
GET: 199585.39
GET: 199661.33
GET: 199611.28
GET: 199743.11
GET: 199909.36
GET: 199950.31
GET: 199993.23
GET: 200085.02
GET: 200176.28
GET: 200184.48
GET: 200249.72
GET: 200035.52
GET: 200079.11
GET: 200181.58
GET: 199886.59
GET: 200002.83
GET: 200075.77
GET: 199889.55
GET: 199879.75
GET: 199837.84
GET: 199644.55
GET: 199585.17
GET: 199619.56
GET: 199573.25
GET: 199506.73
GET: 199609.58
GET: 199601.89
GET: 199657.81
GET: 199610.25
GET: 199695.44
GET: 199825.03
GET: 199777.78
GET: 199790.08
GET: 199648.31
GET: 199686.12
GET: 199691.62
GET: 199466.64
GET: 199411.81
GET: 199374.03
GET: 199286.12
GET: 199257.47
GET: 199379.50
GET: 199253.69
GET: 199202.94
GET: 199314.89
GET: 199271.80
GET: 199238.20
GET: 199321.11
GET: 199373.53
GET: 199485.95
GET: 199685.92
GET: 199610.53
GET: 199774.58
GET: 199844.28
GET: 199870.98
GET: 199676.12
GET: 199741.17
GET: 199699.50
GET: 199528.55
GET: 199539.89
GET: 199571.97
GET: 199453.94
GET: 199501.14
GET: 199612.33
GET: 199516.97
GET: 199523.27
GET: 199508.61
GET: 199474.75
GET: 199472.72
GET: 199577.41
GET: 199665.23
GET: 199700.34
GET: 199775.50
GET: 199814.78
GET: 199813.62
GET: 199829.14
GET: 199786.72
GET: 199677.89
GET: 199674.27
GET: 199665.27
GET: 199663.00
GET: 199714.58
GET: 199774.81
GET: 199662.05
GET: 199686.23
GET: 199741.80
GET: 199674.34
GET: 199628.91
GET: 199718.97
GET: 199631.17
GET: 199635.52
GET: 199680.27
GET: 199743.73
GET: 199697.52
GET: 199842.22
GET: 199887.78
GET: 199948.22
GET: 200021.00
GET: 200040.64
GET: 199928.88
GET: 199971.89
GET: 199956.44
GET: 199842.14
GET: 199719.58
GET: 199745.83
GET: 199695.70
GET: 199565.31
GET: 199493.78
GET: 199513.62
GET: 199389.41
GET: 199421.88
GET: 199486.02
GET: 199515.89
GET: 199551.23
GET: 199561.95
GET: 199574.52
GET: 199586.08
GET: 199646.77
GET: 199705.58
GET: 199799.81
GET: 199870.58
GET: 199818.28
GET: 199799.77
GET: 199809.94
GET: 199789.47
GET: 199816.81
GET: 199857.05
GET: 199794.83
GET: 199692.55
GET: 199671.92
GET: 199711.94
GET: 199634.97
GET: 199565.48
GET: 199613.34
GET: 199588.81
GET: 199602.66
GET: 199622.12
GET: 199556.77
GET: 199544.41
GET: 199575.48
GET: 199619.20
GET: 199636.33
GET: 199634.52
GET: 199661.64
GET: 199620.61
GET: 199669.30
GET: 199652.44
GET: 199515.44
GET: 199464.73
GET: 199560.28
GET: 199435.91
GET: 199372.53
GET: 199381.56
GET: 199290.61
GET: 199285.92
GET: 199293.05
GET: 199339.41
GET: 199346.77
GET: 199440.55
GET: 199443.97
GET: 199525.61
GET: 199543.12
GET: 199548.58
GET: 199523.59
GET: 199510.39
GET: 199557.73
GET: 199470.84
GET: 199440.00
GET: 199470.97
GET: 199346.66
GET: 199366.17
GET: 199327.86
GET: 199251.55
GET: 199239.08
GET: 199245.06
GET: 199189.70
GET: 199198.27
GET: 199259.92
GET: 199240.92
GET: 199213.06
GET: 199261.92
GET: 199280.97
GET: 199306.16
GET: 199332.98
GET: 199421.11
GET: 199433.44
GET: 199471.38
GET: 199508.25
GET: 199475.41
GET: 199481.89
GET: 199504.80
GET: 199454.48
GET: 199412.91
GET: 199451.20
GET: 199372.33
GET: 199367.06
GET: 199381.52
GET: 199324.72
GET: 199317.92
GET: 199325.06
GET: 199287.72
GET: 199283.03
GET: 199326.70
GET: 199363.81
GET: 199395.16
GET: 199469.27
GET: 199547.72
GET: 199552.34
GET: 199567.19
GET: 199578.70
GET: 199539.25
GET: 199559.89
GET: 199591.55
GET: 199517.78
GET: 199536.14
GET: 199548.86
GET: 199474.70
GET: 199483.48
GET: 199456.56
GET: 199385.92
GET: 199409.89
GET: 199386.16
GET: 199388.17
GET: 199385.41
GET: 199397.73
GET: 199394.95
GET: 199417.55
GET: 199400.05
GET: 199455.67
GET: 199504.39
GET: 199519.16
GET: 199527.62
GET: 199436.77
GET: 199431.89
GET: 199434.95
GET: 199402.08
GET: 199406.06
GET: 199421.59
GET: 199387.33
GET: 199387.81
GET: 199388.30
GET: 199338.58
GET: 199296.48
GET: 199306.42
GET: 199327.62
GET: 199337.52
GET: 199369.48
GET: 199387.62
GET: 199435.08
GET: 199470.27
GET: 199498.91
GET: 199532.97
GET: 199544.72
GET: 199577.11
GET: 199517.52
GET: 199526.86
GET: 199555.75
GET: 199513.39
GET: 199522.22
GET: 199555.27
GET: 199522.28
GET: 199505.27
GET: 199513.39
GET: 199504.72
GET: 199450.50
GET: 199502.95
GET: 199563.64
GET: 199570.19
GET: 199576.08
GET: 199573.75
GET: 199602.55
GET: 199605.97
GET: 199645.86
GET: 199611.81
GET: 199652.41
GET: 199687.73
GET: 199643.23
GET: 199659.36
GET: 199696.77
GET: 199685.11
GET: 199660.47
GET: 199669.64
GET: 199625.05
GET: 199616.05
GET: 199643.00
GET: 199634.83
GET: 199600.38
GET: 199626.02
GET: 199630.20
GET: 199619.59
GET: 199621.16
GET: 199639.81
GET: 199648.03
GET: 199662.67
GET: 199687.12
GET: 199709.17
GET: 199778.67
GET: 199812.36
GET: 199837.95
GET: 199863.19
GET: 199914.08
GET: 199898.09
====== GET ======
  20000024 requests completed in 100.00 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.39% <= 0.1 milliseconds
11.47% <= 0.2 milliseconds
27.60% <= 0.3 milliseconds
46.03% <= 0.4 milliseconds
61.62% <= 0.5 milliseconds
71.48% <= 0.6 milliseconds
78.19% <= 0.7 milliseconds
83.25% <= 0.8 milliseconds
86.92% <= 0.9 milliseconds
89.52% <= 1.0 milliseconds
91.40% <= 1.1 milliseconds
92.83% <= 1.2 milliseconds
93.97% <= 1.3 milliseconds
94.88% <= 1.4 milliseconds
95.63% <= 1.5 milliseconds
96.25% <= 1.6 milliseconds
96.75% <= 1.7 milliseconds
97.19% <= 1.8 milliseconds
97.57% <= 1.9 milliseconds
97.90% <= 2 milliseconds
99.49% <= 3 milliseconds
99.85% <= 4 milliseconds
99.95% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 11 milliseconds
100.00% <= 11 milliseconds
200000.23 requests per second


