2023-11-21 22:51:14
GET: 0.00
GET: 248318.73
GET: 235729.09
GET: 230468.09
GET: 223880.25
GET: 226317.64
GET: 228204.92
GET: 222554.17
GET: 222906.19
GET: 221760.44
GET: 218872.20
GET: 218289.03
GET: 218777.64
GET: 217679.17
GET: 217337.91
GET: 217208.31
GET: 219024.97
GET: 218078.03
GET: 217218.47
GET: 215456.56
GET: 215710.75
GET: 215893.45
GET: 214718.48
GET: 214440.58
GET: 213698.30
GET: 212681.58
GET: 212260.69
GET: 212206.03
GET: 211402.80
GET: 211205.08
GET: 211697.31
GET: 211463.64
GET: 211045.73
GET: 211206.41
GET: 211339.77
GET: 211651.00
GET: 211715.75
GET: 211260.17
GET: 210800.77
GET: 210889.72
GET: 210115.55
GET: 210085.81
GET: 209878.38
GET: 209503.77
GET: 209488.52
GET: 209604.69
GET: 209183.28
GET: 208773.67
GET: 209050.72
GET: 209073.67
GET: 209139.75
GET: 209053.45
GET: 209232.47
GET: 209124.67
GET: 209359.69
GET: 209153.00
GET: 208925.62
GET: 208912.20
GET: 209351.89
GET: 208887.27
GET: 209250.89
GET: 209366.19
GET: 209113.59
GET: 209211.17
GET: 209342.16
GET: 209280.55
GET: 209466.58
GET: 209534.80
GET: 209236.70
GET: 209439.38
GET: 209607.94
GET: 209679.89
GET: 209999.44
GET: 210138.09
GET: 210150.70
GET: 210378.72
GET: 210554.03
GET: 210307.42
GET: 210307.38
GET: 210311.39
GET: 210069.84
GET: 210056.06
GET: 210008.30
GET: 210025.34
GET: 210277.62
GET: 210451.36
GET: 210265.95
GET: 210091.80
GET: 210209.77
GET: 210320.78
GET: 210323.08
GET: 210375.58
GET: 210399.14
GET: 210431.47
GET: 210401.88
GET: 210352.03
GET: 210314.89
GET: 210194.44
GET: 210101.25
GET: 210038.36
GET: 210261.38
GET: 210274.14
GET: 210257.81
GET: 210354.20
GET: 210343.39
GET: 210406.97
GET: 210432.25
GET: 210464.23
GET: 210328.31
GET: 210392.92
GET: 210540.97
GET: 210515.80
GET: 210498.20
GET: 210617.23
GET: 210496.39
GET: 210710.14
GET: 210779.23
GET: 210575.66
GET: 210711.02
GET: 210917.20
GET: 210909.70
GET: 210925.31
GET: 211070.94
GET: 210927.17
GET: 211061.92
GET: 211171.50
GET: 211134.92
GET: 211095.41
GET: 211073.23
GET: 211077.94
GET: 211051.81
GET: 211020.62
GET: 210895.28
GET: 210921.62
GET: 210985.42
GET: 210938.69
GET: 210985.98
GET: 210957.91
GET: 210893.61
GET: 210843.12
GET: 210711.59
GET: 210651.94
GET: 210756.36
GET: 210856.73
GET: 210936.62
GET: 210927.41
GET: 211014.47
GET: 210991.81
GET: 210939.84
GET: 210936.22
GET: 210955.89
GET: 210796.77
GET: 210794.50
GET: 210751.59
GET: 210623.41
GET: 210568.33
GET: 210522.16
GET: 210394.48
GET: 210425.28
GET: 210623.42
GET: 210564.27
GET: 210583.64
GET: 210527.44
GET: 210624.09
GET: 210564.44
GET: 210691.55
GET: 210653.58
GET: 210573.30
GET: 210550.75
GET: 210487.94
GET: 210506.53
GET: 210514.33
GET: 210453.05
GET: 210508.56
GET: 210478.72
GET: 210426.02
GET: 210404.80
GET: 210301.61
GET: 210310.78
GET: 210321.64
GET: 210409.48
GET: 210439.28
GET: 210507.72
GET: 210618.44
GET: 210502.84
GET: 210478.27
GET: 210404.27
GET: 210399.45
GET: 210425.20
GET: 210458.41
GET: 210402.22
GET: 210363.55
GET: 210332.42
GET: 210388.77
GET: 210391.95
GET: 210378.55
GET: 210352.89
GET: 210369.33
GET: 210302.62
GET: 210267.59
GET: 210365.47
GET: 210497.19
GET: 210535.12
GET: 210393.66
GET: 210429.73
GET: 210395.89
GET: 210432.55
GET: 210419.72
GET: 210469.75
GET: 210347.78
GET: 210303.88
GET: 210304.03
GET: 210214.28
GET: 210292.02
GET: 210290.12
GET: 210228.77
GET: 210247.62
GET: 210268.03
GET: 210220.83
GET: 210241.34
GET: 210260.92
GET: 210141.75
GET: 210151.70
GET: 210184.36
GET: 210160.77
GET: 210092.34
GET: 210136.58
GET: 210151.11
GET: 210087.97
GET: 210046.33
GET: 210079.84
GET: 210067.38
GET: 210089.05
GET: 210116.17
GET: 210100.72
GET: 210122.91
GET: 210121.50
GET: 210158.03
GET: 210166.03
GET: 210221.86
GET: 210143.47
GET: 210189.25
GET: 210155.23
GET: 210151.38
GET: 210149.89
GET: 210157.58
GET: 210120.73
GET: 210141.53
GET: 210174.30
GET: 210127.17
GET: 210192.61
GET: 210261.08
GET: 210171.41
GET: 210218.95
GET: 210326.42
GET: 210355.17
GET: 210366.09
GET: 210347.44
GET: 210238.75
GET: 210137.02
GET: 210185.47
GET: 210241.92
GET: 210231.53
GET: 210223.55
GET: 210267.88
GET: 210148.44
GET: 210173.28
GET: 210197.47
GET: 210136.91
GET: 210228.34
GET: 210268.27
GET: 210125.50
GET: 210201.64
GET: 210219.58
GET: 210246.27
GET: 210300.19
GET: 210410.84
GET: 210353.33
GET: 210355.44
GET: 210368.78
GET: 210397.78
GET: 210359.67
GET: 210426.50
GET: 210338.09
GET: 210342.02
GET: 210313.39
GET: 210325.09
GET: 210337.72
GET: 210393.12
GET: 210360.17
GET: 210311.58
GET: 210343.42
GET: 210373.61
GET: 210417.25
GET: 210517.03
GET: 210485.20
GET: 210470.23
GET: 210490.56
GET: 210516.11
GET: 210502.25
GET: 210505.64
GET: 210468.22
GET: 210409.83
GET: 210438.47
GET: 210446.66
GET: 210324.14
GET: 210303.70
GET: 210353.91
GET: 210305.98
GET: 210274.11
GET: 210323.41
GET: 210337.95
GET: 210453.45
GET: 210517.75
GET: 210447.81
GET: 210470.50
GET: 210480.91
GET: 210409.91
GET: 210460.16
GET: 210448.84
GET: 210439.50
GET: 210445.45
GET: 210503.59
GET: 210412.09
GET: 210432.09
GET: 210415.34
GET: 210392.73
GET: 210373.88
GET: 210368.80
GET: 210423.81
GET: 210485.08
GET: 210532.09
GET: 210468.70
GET: 210464.56
GET: 210477.56
GET: 210477.11
GET: 210481.16
GET: 210469.81
GET: 210519.84
GET: 210470.25
GET: 210466.94
GET: 210477.34
GET: 210405.22
GET: 210485.47
GET: 210506.97
GET: 210500.27
GET: 210492.86
GET: 210469.73
GET: 210486.91
GET: 210487.03
GET: 210534.56
GET: 210507.39
GET: 210477.38
GET: 210476.69
GET: 210443.50
GET: 210457.88
GET: 210484.34
GET: 210408.95
GET: 210435.81
GET: 210512.16
GET: 210460.14
GET: 210520.83
GET: 210547.00
GET: 210498.77
GET: 210531.78
GET: 210606.86
GET: 210686.23
GET: 210701.31
GET: 210680.50
GET: 210646.30
GET: 210664.22
GET: 210721.34
GET: 210671.73
GET: 210697.84
GET: 210688.72
GET: 210598.08
GET: 210627.66
GET: 210656.48
GET: 210674.50
GET: 210736.81
====== GET ======
  20000064 requests completed in 94.89 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.81% <= 0.2 milliseconds
4.38% <= 0.3 milliseconds
10.71% <= 0.4 milliseconds
17.01% <= 0.5 milliseconds
24.70% <= 0.6 milliseconds
34.25% <= 0.7 milliseconds
44.58% <= 0.8 milliseconds
54.04% <= 0.9 milliseconds
62.05% <= 1.0 milliseconds
68.56% <= 1.1 milliseconds
73.73% <= 1.2 milliseconds
77.81% <= 1.3 milliseconds
81.09% <= 1.4 milliseconds
83.76% <= 1.5 milliseconds
85.96% <= 1.6 milliseconds
87.78% <= 1.7 milliseconds
89.29% <= 1.8 milliseconds
90.54% <= 1.9 milliseconds
91.60% <= 2 milliseconds
97.06% <= 3 milliseconds
98.80% <= 4 milliseconds
99.48% <= 5 milliseconds
99.76% <= 6 milliseconds
99.89% <= 7 milliseconds
99.95% <= 8 milliseconds
99.98% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 13 milliseconds
210775.48 requests per second


