2023-11-24 03:21:53
GET: nan
GET: 267616.00
GET: 233616.00
GET: 225109.33
GET: 213776.00
GET: 205670.41
GET: 205856.00
GET: 201353.14
GET: 199052.00
GET: 199523.56
GET: 199356.80
GET: 200520.73
GET: 201370.67
GET: 201011.69
GET: 201506.28
GET: 201484.80
GET: 201832.00
GET: 202557.52
GET: 203112.20
GET: 202338.88
GET: 200711.86
GET: 201109.12
GET: 200610.80
GET: 200144.67
GET: 200333.28
GET: 200756.36
GET: 199853.56
GET: 199803.30
GET: 199978.30
GET: 199153.78
GET: 198811.89
GET: 198546.77
GET: 198345.20
GET: 198139.83
GET: 198436.31
GET: 198242.42
GET: 198669.34
GET: 198894.56
GET: 199041.45
GET: 198952.86
GET: 199110.94
GET: 198889.25
GET: 198738.25
GET: 199016.75
GET: 198713.44
GET: 198712.88
GET: 199103.08
GET: 198931.61
GET: 198826.59
GET: 199066.66
GET: 199161.44
GET: 199076.27
GET: 199293.30
GET: 199099.64
GET: 199007.92
GET: 199237.62
GET: 199514.53
GET: 199394.02
GET: 199476.14
GET: 199682.34
GET: 199777.72
GET: 199877.31
GET: 200145.47
GET: 199806.56
GET: 199932.55
GET: 199977.38
GET: 199644.78
GET: 199649.61
GET: 199772.81
GET: 199486.39
GET: 199502.41
GET: 199592.30
GET: 199320.33
GET: 199254.28
GET: 199433.78
GET: 199329.59
GET: 199484.03
GET: 199592.91
GET: 199622.31
GET: 199613.73
GET: 199760.91
GET: 199944.31
GET: 200075.67
GET: 200201.92
GET: 200201.44
GET: 199834.80
GET: 199947.92
GET: 199944.84
GET: 199656.52
GET: 199706.38
GET: 199883.08
GET: 199649.56
GET: 199732.64
GET: 199801.89
GET: 199635.56
GET: 199527.27
GET: 199529.86
GET: 199443.06
GET: 199376.94
GET: 199300.52
GET: 199409.55
GET: 199235.19
GET: 199128.84
GET: 199279.53
GET: 199339.05
GET: 199441.91
GET: 199540.42
GET: 199307.66
GET: 199357.89
GET: 199387.55
GET: 199234.34
GET: 199310.14
GET: 199407.69
GET: 199115.14
GET: 198930.14
GET: 198988.70
GET: 198896.22
GET: 198911.39
GET: 198875.66
GET: 199058.45
GET: 199130.81
GET: 199257.20
GET: 199349.81
GET: 199418.55
GET: 199502.16
GET: 199509.22
GET: 199498.38
GET: 199597.28
GET: 199691.39
GET: 199537.06
GET: 199631.67
GET: 199689.91
GET: 199506.88
GET: 199530.55
GET: 199553.86
GET: 199425.69
GET: 199553.38
GET: 199588.86
GET: 199396.67
GET: 199435.06
GET: 199399.12
GET: 199190.14
GET: 199157.55
GET: 199146.88
GET: 199215.66
GET: 199354.53
GET: 199425.78
GET: 199455.14
GET: 199523.22
GET: 199634.41
GET: 199593.12
GET: 199494.34
GET: 199549.44
GET: 199451.83
GET: 199334.50
GET: 199415.56
GET: 199452.52
GET: 199249.20
GET: 199283.52
GET: 199382.17
GET: 199220.50
GET: 199163.34
GET: 199196.98
GET: 199174.05
GET: 199185.52
GET: 199209.45
GET: 199232.12
GET: 199181.75
GET: 199167.02
GET: 199179.70
GET: 199223.88
GET: 199246.92
GET: 199161.16
GET: 199035.47
GET: 199080.17
GET: 199094.75
GET: 199046.81
GET: 199133.88
GET: 199150.06
GET: 199050.28
GET: 199088.08
GET: 199147.70
GET: 199016.36
GET: 199014.92
GET: 199010.89
GET: 198966.09
GET: 198984.89
GET: 199013.41
GET: 199053.70
GET: 199115.91
GET: 199175.78
GET: 199233.52
GET: 199252.16
GET: 199353.81
GET: 199308.02
GET: 199233.64
GET: 199365.00
GET: 199261.72
GET: 199183.70
GET: 199245.19
GET: 199235.84
GET: 199168.83
GET: 199161.53
GET: 199144.41
GET: 199008.59
GET: 198956.80
GET: 198999.44
GET: 198973.53
GET: 199002.14
GET: 199023.89
GET: 199090.53
GET: 199108.34
GET: 199113.14
GET: 199164.91
GET: 199176.88
GET: 199176.25
GET: 199184.20
GET: 199144.19
GET: 199146.20
GET: 199103.50
GET: 199055.67
GET: 199092.80
GET: 199150.05
GET: 199084.72
GET: 199064.95
GET: 199108.78
GET: 199032.19
GET: 199062.80
GET: 199059.47
GET: 199004.77
GET: 199075.16
GET: 199124.30
GET: 199115.94
GET: 199171.22
GET: 199196.36
GET: 199225.92
GET: 199232.31
GET: 199267.00
GET: 199249.52
GET: 199276.22
GET: 199318.94
GET: 199306.38
GET: 199262.72
GET: 199338.02
GET: 199347.55
GET: 199374.22
GET: 199394.33
GET: 199368.94
GET: 199358.83
GET: 199388.00
GET: 199367.16
GET: 199400.02
GET: 199494.92
GET: 199515.77
GET: 199537.69
GET: 199550.16
GET: 199574.53
GET: 199585.78
GET: 199630.89
GET: 199622.56
GET: 199524.48
GET: 199577.78
GET: 199625.05
GET: 199475.30
GET: 199499.70
GET: 199546.73
GET: 199455.00
GET: 199472.73
GET: 199573.28
GET: 199459.66
GET: 199411.66
GET: 199438.62
GET: 199394.11
GET: 199420.70
GET: 199405.42
GET: 199422.95
GET: 199451.58
GET: 199395.58
GET: 199487.86
GET: 199556.77
GET: 199617.06
GET: 199595.66
GET: 199571.69
GET: 199601.00
GET: 199597.22
GET: 199557.89
GET: 199551.06
GET: 199552.53
GET: 199467.91
GET: 199466.31
GET: 199470.47
GET: 199345.66
GET: 199341.22
GET: 199361.91
GET: 199355.27
GET: 199404.19
GET: 199476.22
GET: 199488.02
GET: 199519.47
GET: 199535.72
GET: 199575.23
GET: 199615.95
GET: 199664.05
GET: 199577.11
GET: 199539.36
GET: 199591.84
GET: 199527.94
GET: 199560.53
GET: 199571.30
GET: 199591.84
GET: 199537.64
GET: 199573.69
GET: 199566.86
GET: 199498.34
GET: 199523.88
GET: 199556.25
GET: 199523.03
GET: 199526.36
GET: 199514.17
GET: 199483.30
GET: 199539.98
GET: 199610.67
GET: 199605.03
GET: 199604.58
GET: 199664.03
GET: 199640.77
GET: 199614.09
GET: 199616.66
GET: 199604.27
GET: 199589.03
GET: 199585.44
GET: 199572.48
GET: 199544.67
GET: 199567.45
GET: 199580.44
GET: 199548.84
GET: 199565.80
GET: 199588.25
GET: 199556.53
GET: 199540.77
GET: 199593.95
GET: 199574.61
GET: 199600.27
GET: 199573.27
GET: 199574.59
GET: 199590.02
GET: 199601.00
GET: 199562.78
GET: 199531.88
GET: 199560.80
GET: 199529.97
GET: 199549.08
GET: 199553.73
GET: 199523.45
GET: 199526.25
GET: 199555.16
GET: 199513.81
GET: 199533.28
GET: 199512.42
GET: 199505.48
GET: 199506.95
GET: 199498.84
GET: 199536.02
GET: 199600.56
GET: 199595.94
GET: 199598.55
GET: 199634.77
GET: 199637.52
GET: 199660.05
GET: 199631.58
GET: 199615.28
GET: 199608.91
GET: 199574.45
GET: 199573.61
GET: 199578.69
GET: 199541.00
GET: 199542.22
GET: 199559.98
GET: 199520.11
GET: 199533.86
GET: 199546.88
GET: 199541.42
GET: 199539.62
GET: 199531.97
GET: 199519.45
GET: 199530.17
GET: 199506.03
GET: 199558.47
GET: 199574.77
GET: 199598.06
GET: 199585.23
GET: 199514.88
GET: 199520.92
GET: 199525.16
GET: 199460.92
GET: 199457.19
GET: 199535.38
GET: 199508.11
GET: 199586.02
GET: 199710.83
GET: 199713.56
====== GET ======
  20000000 requests completed in 100.12 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.26% <= 0.1 milliseconds
11.07% <= 0.2 milliseconds
27.25% <= 0.3 milliseconds
45.58% <= 0.4 milliseconds
61.54% <= 0.5 milliseconds
71.48% <= 0.6 milliseconds
78.22% <= 0.7 milliseconds
83.26% <= 0.8 milliseconds
86.94% <= 0.9 milliseconds
89.55% <= 1.0 milliseconds
91.47% <= 1.1 milliseconds
92.94% <= 1.2 milliseconds
94.10% <= 1.3 milliseconds
95.02% <= 1.4 milliseconds
95.77% <= 1.5 milliseconds
96.37% <= 1.6 milliseconds
96.87% <= 1.7 milliseconds
97.28% <= 1.8 milliseconds
97.65% <= 1.9 milliseconds
97.97% <= 2 milliseconds
99.50% <= 3 milliseconds
99.86% <= 4 milliseconds
99.94% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 13 milliseconds
100.00% <= 15 milliseconds
100.00% <= 15 milliseconds
199760.28 requests per second


