2023-11-24 03:21:53
GET: nan
GET: 268576.00
GET: 239904.00
GET: 210826.67
GET: 205112.00
GET: 201632.00
GET: 196789.33
GET: 196658.28
GET: 196932.00
GET: 192128.00
GET: 191776.00
GET: 191668.36
GET: 188762.67
GET: 189319.39
GET: 190027.42
GET: 189962.67
GET: 190582.00
GET: 191203.77
GET: 191280.00
GET: 192006.73
GET: 192992.00
GET: 193764.58
GET: 194419.92
GET: 194707.02
GET: 194598.23
GET: 194365.06
GET: 194642.06
GET: 195342.92
GET: 194182.55
GET: 193993.66
GET: 194600.19
GET: 194217.00
GET: 194127.72
GET: 194652.77
GET: 194267.95
GET: 194347.61
GET: 194549.05
GET: 194451.62
GET: 194901.58
GET: 195119.27
GET: 195158.08
GET: 195538.38
GET: 196014.09
GET: 196173.00
GET: 196610.48
GET: 196852.89
GET: 196460.12
GET: 196467.36
GET: 196630.94
GET: 196379.72
GET: 196358.69
GET: 196440.75
GET: 196326.44
GET: 196275.59
GET: 196634.31
GET: 196478.50
GET: 196365.97
GET: 196528.52
GET: 196575.12
GET: 196362.55
GET: 196273.84
GET: 196390.53
GET: 196276.88
GET: 196565.55
GET: 196937.88
GET: 197083.92
GET: 197208.58
GET: 197435.05
GET: 197326.89
GET: 197097.14
GET: 197345.67
GET: 197187.47
GET: 197142.97
GET: 197208.41
GET: 197134.14
GET: 196958.61
GET: 197154.81
GET: 197085.39
GET: 197105.52
GET: 197079.38
GET: 197207.08
GET: 197095.39
GET: 197230.70
GET: 197259.83
GET: 197461.56
GET: 197516.27
GET: 197597.98
GET: 197868.69
GET: 198016.53
GET: 198215.70
GET: 198131.36
GET: 198336.84
GET: 198178.33
GET: 197937.47
GET: 197774.23
GET: 197534.28
GET: 197369.66
GET: 197387.53
GET: 197472.31
GET: 197373.41
GET: 197216.02
GET: 197269.55
GET: 197315.14
GET: 197279.69
GET: 197331.08
GET: 197469.23
GET: 197421.58
GET: 197498.00
GET: 197373.62
GET: 197492.53
GET: 197649.12
GET: 197652.14
GET: 197483.12
GET: 197558.34
GET: 197687.27
GET: 197496.47
GET: 197515.84
GET: 197622.94
GET: 197622.75
GET: 197691.39
GET: 197893.55
GET: 197787.72
GET: 197906.83
GET: 197935.55
GET: 197843.12
GET: 197919.75
GET: 197906.30
GET: 197898.84
GET: 197938.75
GET: 198089.66
GET: 198201.81
GET: 198265.61
GET: 198373.28
GET: 198372.28
GET: 198150.89
GET: 198119.09
GET: 198153.62
GET: 197957.83
GET: 197952.45
GET: 198012.53
GET: 197840.47
GET: 197836.27
GET: 197826.94
GET: 197579.45
GET: 197611.81
GET: 197792.73
GET: 197735.09
GET: 197803.61
GET: 197910.11
GET: 197961.72
GET: 198058.70
GET: 198175.59
GET: 198268.44
GET: 198359.64
GET: 198439.05
GET: 198365.94
GET: 198226.06
GET: 198204.14
GET: 198214.09
GET: 198130.75
GET: 198169.62
GET: 198169.06
GET: 198083.78
GET: 198104.77
GET: 198103.06
GET: 198049.78
GET: 198093.14
GET: 198095.22
GET: 197978.00
GET: 198076.48
GET: 198193.98
GET: 198175.17
GET: 198170.16
GET: 198205.52
GET: 198183.47
GET: 198276.11
GET: 198334.62
GET: 198187.50
GET: 198134.05
GET: 198124.09
GET: 198115.50
GET: 198073.58
GET: 198067.64
GET: 198076.45
GET: 197990.05
GET: 198015.95
GET: 198025.42
GET: 197809.78
GET: 197793.19
GET: 197785.27
GET: 197744.38
GET: 197772.44
GET: 197803.70
GET: 197772.47
GET: 197811.17
GET: 197836.50
GET: 197813.58
GET: 197843.08
GET: 197857.05
GET: 197823.92
GET: 197759.77
GET: 197761.20
GET: 197801.42
GET: 197707.61
GET: 197727.62
GET: 197807.38
GET: 197670.16
GET: 197694.70
GET: 197714.25
GET: 197681.86
GET: 197712.70
GET: 197761.14
GET: 197786.95
GET: 197746.11
GET: 197798.84
GET: 197896.14
GET: 197916.39
GET: 197955.78
GET: 197979.27
GET: 198053.94
GET: 198086.92
GET: 198141.03
GET: 198091.61
GET: 198196.30
GET: 198165.22
GET: 198037.28
GET: 198009.58
GET: 198031.03
GET: 197938.64
GET: 197928.50
GET: 197918.86
GET: 197880.36
GET: 197870.88
GET: 197915.31
GET: 197915.73
GET: 197932.12
GET: 197963.80
GET: 198004.16
GET: 198039.55
GET: 198037.05
GET: 198075.75
GET: 198087.05
GET: 198075.25
GET: 198114.91
GET: 197995.31
GET: 198002.97
GET: 198061.94
GET: 197991.28
GET: 198008.28
GET: 197997.66
GET: 197895.98
GET: 197881.42
GET: 197897.58
GET: 197858.08
GET: 197854.45
GET: 197832.12
GET: 197726.70
GET: 197729.81
GET: 197721.88
GET: 197703.00
GET: 197770.77
GET: 197815.72
GET: 197816.47
GET: 197848.12
GET: 197858.58
GET: 197899.02
GET: 197814.78
GET: 197806.08
GET: 197816.17
GET: 197725.09
GET: 197761.48
GET: 197856.75
GET: 197752.42
GET: 197730.64
GET: 197780.95
GET: 197697.59
GET: 197667.09
GET: 197665.92
GET: 197678.12
GET: 197695.16
GET: 197681.45
GET: 197703.25
GET: 197776.97
GET: 197784.47
GET: 197815.81
GET: 197889.72
GET: 197905.92
GET: 197975.75
GET: 197933.30
GET: 197945.33
GET: 197968.52
GET: 197880.06
GET: 197903.86
GET: 197938.09
GET: 197840.75
GET: 197841.78
GET: 197864.23
GET: 197808.41
GET: 197799.12
GET: 197806.16
GET: 197772.41
GET: 197752.50
GET: 197784.19
GET: 197776.09
GET: 197819.30
GET: 197917.59
GET: 197920.42
GET: 197954.91
GET: 197980.14
GET: 198006.03
GET: 197899.88
GET: 197913.31
GET: 197922.88
GET: 197830.67
GET: 197852.34
GET: 197920.84
GET: 197865.77
GET: 197906.81
GET: 197890.86
GET: 197822.75
GET: 197743.97
GET: 197735.55
GET: 197751.92
GET: 197772.34
GET: 197772.31
GET: 197754.16
GET: 197756.83
GET: 197784.23
GET: 197844.73
GET: 197904.95
GET: 197955.31
GET: 197948.44
GET: 197919.64
GET: 197957.78
GET: 197991.97
GET: 197929.30
GET: 197933.55
GET: 197975.56
GET: 197868.72
GET: 197861.23
GET: 197926.98
GET: 197839.25
GET: 197823.86
GET: 197819.39
GET: 197786.39
GET: 197813.84
GET: 197846.42
GET: 197876.52
GET: 197879.20
GET: 197918.83
GET: 197946.17
GET: 197994.50
GET: 198050.09
GET: 198059.16
GET: 197983.56
GET: 197989.16
GET: 198052.77
GET: 198033.75
GET: 198028.98
GET: 198057.39
GET: 198013.09
GET: 198001.06
GET: 198041.22
GET: 197997.77
GET: 198009.52
GET: 198046.34
GET: 198027.11
GET: 198028.66
GET: 198024.36
GET: 198065.86
GET: 198088.39
GET: 198102.08
GET: 198128.58
GET: 198169.45
GET: 198191.45
GET: 198157.80
GET: 198148.83
GET: 198129.22
GET: 198123.08
GET: 198100.59
GET: 198123.55
GET: 198139.55
GET: 198071.14
GET: 198047.80
GET: 198041.14
GET: 197982.41
GET: 197998.73
GET: 198040.03
GET: 198012.02
GET: 197999.20
GET: 197984.23
GET: 197981.03
GET: 197949.78
GET: 197990.91
GET: 198016.88
GET: 198090.16
GET: 198131.91
GET: 198123.06
GET: 198127.47
GET: 198277.78
GET: 198338.31
GET: 198743.17
====== GET ======
  20000000 requests completed in 100.48 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.23% <= 0.1 milliseconds
11.12% <= 0.2 milliseconds
27.42% <= 0.3 milliseconds
45.48% <= 0.4 milliseconds
61.37% <= 0.5 milliseconds
71.39% <= 0.6 milliseconds
78.12% <= 0.7 milliseconds
83.13% <= 0.8 milliseconds
86.85% <= 0.9 milliseconds
89.52% <= 1.0 milliseconds
91.44% <= 1.1 milliseconds
92.87% <= 1.2 milliseconds
93.99% <= 1.3 milliseconds
94.90% <= 1.4 milliseconds
95.64% <= 1.5 milliseconds
96.24% <= 1.6 milliseconds
96.75% <= 1.7 milliseconds
97.19% <= 1.8 milliseconds
97.56% <= 1.9 milliseconds
97.88% <= 2 milliseconds
99.48% <= 3 milliseconds
99.86% <= 4 milliseconds
99.95% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 16 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 23 milliseconds
199044.58 requests per second


