2023-11-24 03:21:53
GET: 0.00
GET: 213492.06
GET: 208780.89
GET: 206489.38
GET: 205317.38
GET: 206683.70
GET: 205810.92
GET: 205913.25
GET: 206302.55
GET: 206366.62
GET: 204906.11
GET: 202522.34
GET: 202027.30
GET: 199990.16
GET: 198200.41
GET: 198277.64
GET: 197256.06
GET: 196025.41
GET: 196683.11
GET: 196318.97
GET: 195551.48
GET: 195996.20
GET: 195259.33
GET: 196401.19
GET: 197268.05
GET: 197587.08
GET: 197550.67
GET: 198452.84
GET: 198999.30
GET: 199737.50
GET: 199624.69
GET: 199741.02
GET: 199326.25
GET: 198924.02
GET: 199202.16
GET: 198889.66
GET: 199023.55
GET: 199678.42
GET: 198920.88
GET: 199102.92
GET: 199474.72
GET: 199111.55
GET: 199048.17
GET: 199416.14
GET: 198964.94
GET: 198963.77
GET: 198964.03
GET: 198896.91
GET: 199293.03
GET: 199271.55
GET: 199715.34
GET: 199924.12
GET: 200017.22
GET: 199997.59
GET: 199850.16
GET: 199723.78
GET: 199546.52
GET: 199260.44
GET: 199348.17
GET: 199518.61
GET: 199204.64
GET: 199213.47
GET: 199151.34
GET: 198932.28
GET: 198888.98
GET: 198973.48
GET: 198672.56
GET: 198796.44
GET: 199179.62
GET: 199119.20
GET: 199141.83
GET: 199307.55
GET: 199461.55
GET: 199553.48
GET: 199725.08
GET: 199469.00
GET: 199338.34
GET: 199448.72
GET: 199302.41
GET: 199248.11
GET: 199336.27
GET: 199141.08
GET: 199112.58
GET: 199113.25
GET: 198918.55
GET: 198809.72
GET: 198857.03
GET: 198759.50
GET: 198690.70
GET: 198727.34
GET: 198882.92
GET: 198920.52
GET: 198857.83
GET: 198986.36
GET: 199052.27
GET: 199090.53
GET: 199181.97
GET: 198961.86
GET: 198966.25
GET: 199071.36
GET: 198917.50
GET: 199034.64
GET: 199113.72
GET: 199010.83
GET: 199009.27
GET: 199015.95
GET: 198926.84
GET: 198870.50
GET: 199025.80
GET: 198981.36
GET: 199011.56
GET: 199067.77
GET: 199150.91
GET: 199232.58
GET: 199230.05
GET: 199189.19
GET: 199356.39
GET: 199245.14
GET: 199247.73
GET: 199008.91
GET: 198910.00
GET: 199002.81
GET: 198840.81
GET: 198702.25
GET: 198688.47
GET: 198567.16
GET: 198467.58
GET: 198523.78
GET: 198503.06
GET: 198343.86
GET: 198441.23
GET: 198484.62
GET: 198521.06
GET: 198447.05
GET: 198521.41
GET: 198549.42
GET: 198652.52
GET: 198793.56
GET: 198809.03
GET: 198876.05
GET: 198974.09
GET: 198860.22
GET: 198913.08
GET: 198949.97
GET: 198783.11
GET: 198791.50
GET: 198839.20
GET: 198638.67
GET: 198620.42
GET: 198621.72
GET: 198576.58
GET: 198695.30
GET: 198773.12
GET: 198741.62
GET: 198700.98
GET: 198759.70
GET: 198833.06
GET: 198897.14
GET: 199034.70
GET: 199142.56
GET: 199170.31
GET: 199173.67
GET: 199197.14
GET: 199174.39
GET: 199236.19
GET: 199261.17
GET: 199187.95
GET: 199276.91
GET: 199292.47
GET: 199060.05
GET: 199118.30
GET: 199172.83
GET: 199028.11
GET: 199073.67
GET: 199151.61
GET: 199060.67
GET: 199065.28
GET: 199183.52
GET: 199252.06
GET: 199313.25
GET: 199377.48
GET: 199374.20
GET: 199329.84
GET: 199336.64
GET: 199322.69
GET: 199304.39
GET: 199282.67
GET: 199269.23
GET: 199240.28
GET: 199237.73
GET: 199251.84
GET: 199139.55
GET: 199108.53
GET: 199201.98
GET: 199074.44
GET: 199127.25
GET: 199205.62
GET: 199167.61
GET: 199246.92
GET: 199300.05
GET: 199251.89
GET: 199365.41
GET: 199437.89
GET: 199462.09
GET: 199499.69
GET: 199428.64
GET: 199360.02
GET: 199354.30
GET: 199407.22
GET: 199349.75
GET: 199352.23
GET: 199387.75
GET: 199345.83
GET: 199322.31
GET: 199346.11
GET: 199274.92
GET: 199171.95
GET: 199206.42
GET: 199177.78
GET: 199119.61
GET: 199069.81
GET: 199076.34
GET: 199086.27
GET: 199122.77
GET: 199103.72
GET: 199167.69
GET: 199228.41
GET: 199293.38
GET: 199237.97
GET: 199239.48
GET: 199263.92
GET: 199186.80
GET: 199187.69
GET: 199199.81
GET: 199194.08
GET: 199093.66
GET: 199190.33
GET: 199219.00
GET: 199170.41
GET: 199204.80
GET: 199256.88
GET: 199261.42
GET: 199264.20
GET: 199309.09
GET: 199308.52
GET: 199301.67
GET: 199334.16
GET: 199356.41
GET: 199405.17
GET: 199364.14
GET: 199322.67
GET: 199335.56
GET: 199443.80
GET: 199400.86
GET: 199448.56
GET: 199497.12
GET: 199421.12
GET: 199380.44
GET: 199337.72
GET: 199295.44
GET: 199301.48
GET: 199314.58
GET: 199310.23
GET: 199262.88
GET: 199269.91
GET: 199247.80
GET: 199278.64
GET: 199341.00
GET: 199336.66
GET: 199334.02
GET: 199329.61
GET: 199345.66
GET: 199239.88
GET: 199181.48
GET: 199191.25
GET: 199161.86
GET: 199119.92
GET: 199185.56
GET: 199156.86
GET: 199131.56
GET: 199127.58
GET: 199133.08
GET: 199123.33
GET: 199157.17
GET: 199103.48
GET: 199115.05
GET: 199134.12
GET: 199121.88
GET: 199119.92
GET: 199148.20
GET: 199173.75
GET: 199228.81
GET: 199225.42
GET: 199185.72
GET: 199120.16
GET: 199093.02
GET: 199095.20
GET: 199016.83
GET: 199026.58
GET: 199037.53
GET: 198966.73
GET: 198959.33
GET: 199013.41
GET: 198952.58
GET: 198954.66
GET: 198974.03
GET: 198948.73
GET: 198914.23
GET: 198932.61
GET: 198934.41
GET: 198937.22
GET: 199008.20
GET: 199031.58
GET: 199045.09
GET: 199049.06
GET: 199020.39
GET: 198994.14
GET: 199036.56
GET: 199004.08
GET: 198954.36
GET: 198926.75
GET: 198970.34
GET: 198932.52
GET: 198919.98
GET: 198917.48
GET: 198910.88
GET: 198826.78
GET: 198905.70
GET: 198917.03
GET: 198877.64
GET: 198896.34
GET: 198919.59
GET: 198916.00
GET: 198951.16
GET: 199015.39
GET: 199045.16
GET: 199040.48
GET: 199085.47
GET: 199018.52
GET: 199047.17
GET: 199097.20
GET: 199032.88
GET: 198978.56
GET: 198999.55
GET: 198954.38
GET: 198924.22
GET: 198925.09
GET: 198889.11
GET: 198863.08
GET: 198903.27
GET: 198920.66
GET: 198912.42
GET: 198940.78
GET: 198914.69
GET: 198913.97
GET: 198958.92
GET: 198945.31
GET: 198977.20
GET: 198973.36
GET: 199003.03
GET: 198952.14
GET: 198964.08
GET: 198966.58
GET: 198881.58
GET: 198858.81
GET: 198874.03
GET: 198854.03
GET: 198831.95
GET: 198819.83
GET: 198797.89
GET: 198761.55
GET: 198769.70
GET: 198794.08
GET: 198784.36
GET: 198801.98
GET: 198826.50
GET: 198841.36
GET: 198847.41
GET: 198872.28
GET: 198874.84
GET: 198887.73
GET: 198904.33
GET: 198864.00
GET: 198791.28
GET: 198760.28
GET: 198740.06
GET: 198717.89
GET: 198729.47
GET: 198702.73
GET: 198638.72
GET: 198624.48
GET: 198612.30
GET: 198549.41
GET: 198544.80
GET: 198556.20
GET: 198540.91
GET: 198617.12
GET: 198677.91
GET: 198764.09
GET: 198866.92
GET: 199061.92
GET: 199309.09
====== GET ======
  20000000 requests completed in 100.33 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.26% <= 0.1 milliseconds
10.92% <= 0.2 milliseconds
26.89% <= 0.3 milliseconds
45.23% <= 0.4 milliseconds
61.33% <= 0.5 milliseconds
71.50% <= 0.6 milliseconds
78.25% <= 0.7 milliseconds
83.31% <= 0.8 milliseconds
87.02% <= 0.9 milliseconds
89.65% <= 1.0 milliseconds
91.52% <= 1.1 milliseconds
92.92% <= 1.2 milliseconds
94.03% <= 1.3 milliseconds
94.95% <= 1.4 milliseconds
95.70% <= 1.5 milliseconds
96.31% <= 1.6 milliseconds
96.82% <= 1.7 milliseconds
97.25% <= 1.8 milliseconds
97.62% <= 1.9 milliseconds
97.94% <= 2 milliseconds
99.49% <= 3 milliseconds
99.86% <= 4 milliseconds
99.95% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 23 milliseconds
100.00% <= 25 milliseconds
100.00% <= 26 milliseconds
100.00% <= 26 milliseconds
199346.14 requests per second


