2023-11-24 03:21:53
GET: nan
GET: 213120.00
GET: 185232.00
GET: 186752.00
GET: 190528.00
GET: 190355.20
GET: 190731.50
GET: 192529.98
GET: 191992.02
GET: 192284.33
GET: 193346.67
GET: 195341.33
GET: 196163.95
GET: 196862.52
GET: 194595.83
GET: 193962.14
GET: 193837.09
GET: 192291.64
GET: 192280.77
GET: 192599.33
GET: 191072.38
GET: 190441.73
GET: 190140.31
GET: 190257.31
GET: 190256.58
GET: 190894.44
GET: 190704.41
GET: 190986.97
GET: 191920.03
GET: 192446.72
GET: 192401.98
GET: 192737.78
GET: 193071.59
GET: 193542.22
GET: 194161.11
GET: 194079.28
GET: 193620.78
GET: 193916.58
GET: 194090.08
GET: 193668.25
GET: 193952.83
GET: 193975.44
GET: 193435.66
GET: 193661.91
GET: 194107.61
GET: 193672.66
GET: 193883.88
GET: 194012.42
GET: 193812.58
GET: 193921.83
GET: 194201.36
GET: 194549.59
GET: 194693.73
GET: 194989.97
GET: 195086.86
GET: 194893.48
GET: 195117.17
GET: 194916.03
GET: 194924.78
GET: 194956.56
GET: 194867.84
GET: 194839.72
GET: 194808.39
GET: 194480.98
GET: 194312.78
GET: 194442.42
GET: 194481.52
GET: 194352.83
GET: 194402.44
GET: 194394.53
GET: 194336.56
GET: 194515.88
GET: 194563.58
GET: 194734.44
GET: 195208.47
GET: 195196.84
GET: 195203.61
GET: 195335.69
GET: 195346.25
GET: 195125.73
GET: 195102.67
GET: 195257.11
GET: 194934.16
GET: 194905.38
GET: 194967.53
GET: 194688.73
GET: 194592.77
GET: 194559.66
GET: 194326.17
GET: 194257.27
GET: 194390.38
GET: 194334.58
GET: 194260.19
GET: 194458.78
GET: 194537.80
GET: 194552.30
GET: 194773.62
GET: 194785.27
GET: 194902.44
GET: 195043.41
GET: 194986.77
GET: 194870.42
GET: 195084.39
GET: 195040.80
GET: 195013.41
GET: 195048.39
GET: 195177.78
GET: 195107.44
GET: 195235.66
GET: 195271.42
GET: 195051.50
GET: 194959.17
GET: 195125.28
GET: 194991.19
GET: 194952.89
GET: 195019.58
GET: 195041.53
GET: 195046.17
GET: 195165.41
GET: 195297.69
GET: 195366.72
GET: 195538.52
GET: 195377.09
GET: 195424.30
GET: 195544.25
GET: 195459.61
GET: 195549.20
GET: 195614.72
GET: 195422.80
GET: 195510.09
GET: 195587.44
GET: 195437.23
GET: 195361.03
GET: 195406.48
GET: 195360.30
GET: 195423.56
GET: 195409.69
GET: 195393.92
GET: 195485.94
GET: 195535.67
GET: 195640.91
GET: 195704.70
GET: 195782.48
GET: 195841.05
GET: 195797.28
GET: 195811.69
GET: 195732.78
GET: 195793.58
GET: 195853.02
GET: 195832.20
GET: 195800.38
GET: 195816.53
GET: 195791.33
GET: 195793.95
GET: 195837.88
GET: 195800.53
GET: 195749.72
GET: 195852.17
GET: 195923.36
GET: 196005.94
GET: 196102.27
GET: 196230.19
GET: 196304.59
GET: 196373.38
GET: 196297.17
GET: 196213.36
GET: 196247.53
GET: 196225.17
GET: 196103.30
GET: 196106.86
GET: 196184.59
GET: 195933.03
GET: 195925.06
GET: 195939.17
GET: 195803.84
GET: 195801.12
GET: 195794.44
GET: 195728.92
GET: 195757.39
GET: 195887.06
GET: 195879.69
GET: 195980.39
GET: 196077.17
GET: 196180.58
GET: 196189.33
GET: 196297.77
GET: 196135.02
GET: 196108.28
GET: 196176.28
GET: 196177.12
GET: 196196.06
GET: 196194.03
GET: 196129.38
GET: 196074.02
GET: 196155.09
GET: 196112.30
GET: 196107.16
GET: 196219.95
GET: 196160.67
GET: 196120.33
GET: 196128.84
GET: 196165.12
GET: 196239.53
GET: 196169.02
GET: 196232.48
GET: 196288.61
GET: 196324.80
GET: 196283.50
GET: 196179.56
GET: 196231.05
GET: 196305.81
GET: 196219.61
GET: 196248.30
GET: 196259.00
GET: 196150.91
GET: 196179.52
GET: 196236.16
GET: 196240.52
GET: 196261.28
GET: 196273.97
GET: 196281.16
GET: 196306.38
GET: 196393.47
GET: 196330.17
GET: 196359.11
GET: 196383.81
GET: 196452.61
GET: 196568.58
GET: 196622.06
GET: 196473.56
GET: 196473.86
GET: 196495.83
GET: 196463.09
GET: 196444.62
GET: 196493.03
GET: 196467.80
GET: 196393.42
GET: 196412.56
GET: 196392.55
GET: 196305.64
GET: 196311.70
GET: 196320.77
GET: 196238.94
GET: 196228.86
GET: 196236.05
GET: 196252.97
GET: 196272.36
GET: 196299.62
GET: 196294.28
GET: 196322.91
GET: 196323.73
GET: 196294.78
GET: 196269.62
GET: 196305.61
GET: 196282.98
GET: 196273.61
GET: 196294.52
GET: 196242.20
GET: 196187.22
GET: 196253.56
GET: 196235.48
GET: 196143.39
GET: 196176.42
GET: 196231.94
GET: 196219.31
GET: 196278.97
GET: 196304.86
GET: 196261.17
GET: 196279.66
GET: 196325.36
GET: 196320.30
GET: 196331.86
GET: 196347.47
GET: 196320.34
GET: 196344.17
GET: 196308.25
GET: 196260.89
GET: 196262.25
GET: 196288.81
GET: 196219.27
GET: 196227.97
GET: 196276.80
GET: 196207.75
GET: 196147.22
GET: 196196.72
GET: 196146.64
GET: 196203.50
GET: 196251.61
GET: 196285.73
GET: 196312.41
GET: 196324.25
GET: 196356.66
GET: 196376.91
GET: 196444.95
GET: 196434.08
GET: 196393.58
GET: 196403.48
GET: 196396.73
GET: 196358.69
GET: 196373.44
GET: 196393.52
GET: 196410.06
GET: 196428.41
GET: 196411.69
GET: 196297.00
GET: 196281.23
GET: 196265.69
GET: 196236.27
GET: 196222.42
GET: 196265.28
GET: 196250.19
GET: 196306.16
GET: 196342.19
GET: 196364.00
GET: 196433.44
GET: 196461.34
GET: 196377.19
GET: 196363.17
GET: 196407.70
GET: 196325.50
GET: 196335.19
GET: 196361.75
GET: 196313.33
GET: 196223.77
GET: 196263.66
GET: 196229.38
GET: 196236.53
GET: 196243.62
GET: 196215.00
GET: 196172.05
GET: 196217.47
GET: 196249.67
GET: 196279.08
GET: 196305.42
GET: 196336.80
GET: 196396.08
GET: 196440.27
GET: 196488.59
GET: 196432.08
GET: 196467.98
GET: 196446.19
GET: 196369.73
GET: 196404.30
GET: 196422.14
GET: 196350.61
GET: 196384.73
GET: 196430.03
GET: 196382.98
GET: 196383.55
GET: 196381.70
GET: 196381.81
GET: 196415.44
GET: 196478.52
GET: 196481.41
GET: 196499.66
GET: 196495.47
GET: 196505.22
GET: 196519.66
GET: 196583.70
GET: 196530.48
GET: 196538.97
GET: 196553.59
GET: 196517.44
GET: 196505.95
GET: 196551.59
GET: 196521.16
GET: 196528.73
GET: 196536.19
GET: 196488.75
GET: 196468.34
GET: 196457.36
GET: 196481.30
GET: 196502.22
GET: 196492.55
GET: 196510.91
GET: 196511.50
GET: 196540.64
GET: 196569.92
GET: 196634.59
GET: 196662.70
GET: 196643.55
GET: 196636.14
GET: 196653.98
GET: 196658.05
GET: 196625.02
GET: 196660.86
GET: 196649.38
GET: 196625.95
GET: 196689.06
GET: 196713.94
GET: 196694.39
GET: 196729.17
GET: 196718.91
GET: 196711.39
GET: 196754.39
GET: 196820.52
GET: 196846.55
GET: 196894.30
GET: 197024.98
GET: 197153.42
GET: 197373.98
GET: 197459.02
GET: 197676.53
GET: 197832.16
====== GET ======
  20000000 requests completed in 100.97 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.12% <= 0.1 milliseconds
10.07% <= 0.2 milliseconds
25.90% <= 0.3 milliseconds
44.16% <= 0.4 milliseconds
60.91% <= 0.5 milliseconds
71.54% <= 0.6 milliseconds
78.38% <= 0.7 milliseconds
83.41% <= 0.8 milliseconds
87.00% <= 0.9 milliseconds
89.57% <= 1.0 milliseconds
91.46% <= 1.1 milliseconds
92.92% <= 1.2 milliseconds
94.07% <= 1.3 milliseconds
94.97% <= 1.4 milliseconds
95.70% <= 1.5 milliseconds
96.28% <= 1.6 milliseconds
96.77% <= 1.7 milliseconds
97.20% <= 1.8 milliseconds
97.57% <= 1.9 milliseconds
97.91% <= 2 milliseconds
99.48% <= 3 milliseconds
99.86% <= 4 milliseconds
99.95% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 23 milliseconds
100.00% <= 26 milliseconds
100.00% <= 26 milliseconds
198068.83 requests per second


