2023-11-24 03:21:53
GET: nan
GET: 153408.00
GET: 171376.00
GET: 182282.67
GET: 184280.00
GET: 186048.00
GET: 188640.00
GET: 184932.58
GET: 186128.00
GET: 188199.11
GET: 190880.00
GET: 192145.45
GET: 192997.33
GET: 191441.23
GET: 192272.00
GET: 193467.34
GET: 194213.78
GET: 194309.34
GET: 194644.75
GET: 194689.09
GET: 194492.41
GET: 195509.70
GET: 197077.03
GET: 196845.31
GET: 197119.25
GET: 197581.06
GET: 198533.81
GET: 198949.36
GET: 199268.98
GET: 199185.00
GET: 199872.06
GET: 199611.03
GET: 198225.89
GET: 197682.86
GET: 197987.06
GET: 198455.73
GET: 198819.31
GET: 199050.89
GET: 198490.89
GET: 198184.31
GET: 198452.77
GET: 198971.81
GET: 199269.67
GET: 199555.92
GET: 199048.44
GET: 198658.14
GET: 198742.92
GET: 198894.88
GET: 199073.80
GET: 199052.88
GET: 198838.97
GET: 198521.17
GET: 198713.22
GET: 198663.86
GET: 198938.70
GET: 198894.02
GET: 199213.02
GET: 198761.67
GET: 198929.69
GET: 199166.81
GET: 199548.50
GET: 199418.00
GET: 199504.25
GET: 199455.25
GET: 199503.25
GET: 199600.94
GET: 199770.78
GET: 199958.95
GET: 199985.89
GET: 200248.47
GET: 200336.77
GET: 200550.97
GET: 200514.89
GET: 200604.67
GET: 200631.08
GET: 200517.33
GET: 200350.17
GET: 200403.38
GET: 200446.59
GET: 200535.28
GET: 200545.39
GET: 200565.11
GET: 200236.02
GET: 200059.73
GET: 200174.80
GET: 200125.70
GET: 200187.09
GET: 200397.09
GET: 200111.59
GET: 200044.94
GET: 200065.77
GET: 200008.44
GET: 200046.25
GET: 200131.41
GET: 200020.41
GET: 199861.61
GET: 199854.39
GET: 199817.97
GET: 199773.17
GET: 199792.58
GET: 199831.44
GET: 199873.95
GET: 199899.66
GET: 199995.03
GET: 199953.88
GET: 200038.69
GET: 200105.92
GET: 200146.19
GET: 200127.95
GET: 200097.72
GET: 200086.38
GET: 200211.23
GET: 200318.45
GET: 200363.75
GET: 200371.23
GET: 200597.48
GET: 200594.81
GET: 200573.33
GET: 200511.27
GET: 200447.84
GET: 200248.17
GET: 200233.97
GET: 200302.84
GET: 200287.12
GET: 200348.00
GET: 200373.36
GET: 200043.16
GET: 200011.59
GET: 200068.47
GET: 200128.19
GET: 200239.66
GET: 200182.89
GET: 199889.02
GET: 199859.06
GET: 199951.78
GET: 200041.47
GET: 200127.48
GET: 200194.72
GET: 200116.12
GET: 200146.59
GET: 200202.44
GET: 200266.56
GET: 200344.20
GET: 200404.89
GET: 200377.86
GET: 200344.59
GET: 200411.02
GET: 200419.55
GET: 200485.42
GET: 200569.33
GET: 200571.72
GET: 200547.39
GET: 200561.67
GET: 200591.88
GET: 200549.19
GET: 200519.64
GET: 200486.17
GET: 200549.09
GET: 200480.62
GET: 200470.97
GET: 200502.42
GET: 200544.39
GET: 200587.05
GET: 200522.02
GET: 200398.48
GET: 200402.67
GET: 200415.28
GET: 200426.00
GET: 200491.06
GET: 200487.78
GET: 200451.23
GET: 200500.03
GET: 200517.78
GET: 200588.56
GET: 200515.31
GET: 200533.58
GET: 200356.61
GET: 200286.83
GET: 200344.70
GET: 200303.09
GET: 200243.48
GET: 200282.78
GET: 200156.78
GET: 200156.62
GET: 200235.06
GET: 200250.22
GET: 200155.14
GET: 200137.38
GET: 200053.77
GET: 200038.42
GET: 200078.62
GET: 200186.25
GET: 200162.12
GET: 200121.33
GET: 200112.47
GET: 200023.62
GET: 200041.78
GET: 200042.72
GET: 200006.14
GET: 200094.03
GET: 200061.09
GET: 200124.61
GET: 200188.28
GET: 200229.42
GET: 200213.25
GET: 200278.38
GET: 200369.72
GET: 200287.11
GET: 200192.69
GET: 200201.41
GET: 200234.27
GET: 200261.97
GET: 200211.69
GET: 200221.95
GET: 200050.83
GET: 200083.17
GET: 200081.00
GET: 200116.02
GET: 200170.94
GET: 200213.25
GET: 200114.28
GET: 200055.00
GET: 200018.02
GET: 200048.06
GET: 200098.11
GET: 200102.22
GET: 200005.52
GET: 199927.86
GET: 199984.16
GET: 200041.34
GET: 200005.28
GET: 200023.81
GET: 200005.52
GET: 199988.75
GET: 199968.28
GET: 200090.39
GET: 200133.38
GET: 200142.53
GET: 200152.95
GET: 200137.72
GET: 200143.28
GET: 200131.28
GET: 200147.78
GET: 200205.62
GET: 200260.89
GET: 200324.72
GET: 200378.02
GET: 200346.69
GET: 200414.03
GET: 200434.98
GET: 200511.69
GET: 200439.67
GET: 200344.38
GET: 200341.62
GET: 200407.53
GET: 200402.80
GET: 200459.70
GET: 200470.61
GET: 200434.67
GET: 200435.70
GET: 200468.61
GET: 200502.59
GET: 200509.59
GET: 200521.77
GET: 200391.36
GET: 200417.64
GET: 200515.28
GET: 200503.77
GET: 200534.59
GET: 200537.95
GET: 200426.50
GET: 200379.83
GET: 200427.83
GET: 200437.75
GET: 200487.62
GET: 200530.30
GET: 200518.28
GET: 200498.98
GET: 200494.08
GET: 200524.75
GET: 200500.61
GET: 200537.75
GET: 200504.31
GET: 200416.41
GET: 200414.27
GET: 200478.25
GET: 200521.64
GET: 200567.88
GET: 200609.33
GET: 200638.09
GET: 200696.89
GET: 200724.17
GET: 200747.77
GET: 200736.16
GET: 200792.84
GET: 200753.72
GET: 200730.00
GET: 200767.81
GET: 200766.95
GET: 200747.92
GET: 200724.75
GET: 200694.50
GET: 200673.66
GET: 200682.84
GET: 200725.84
GET: 200723.05
GET: 200697.47
GET: 200673.11
GET: 200563.12
GET: 200548.77
GET: 200560.52
GET: 200559.84
GET: 200597.53
GET: 200613.09
GET: 200512.12
GET: 200543.09
GET: 200585.20
GET: 200589.92
GET: 200598.12
GET: 200629.95
GET: 200659.77
GET: 200674.45
GET: 200705.75
GET: 200701.88
GET: 200706.61
GET: 200716.84
GET: 200728.28
GET: 200745.33
GET: 200800.30
GET: 200835.50
GET: 200867.09
GET: 200894.72
GET: 200856.56
GET: 200898.58
GET: 200916.95
GET: 200913.73
GET: 200958.25
GET: 200940.11
GET: 200936.30
GET: 200875.03
GET: 200916.11
GET: 200935.66
GET: 200951.72
GET: 200998.84
GET: 201035.36
GET: 200978.31
GET: 201003.77
GET: 201048.16
GET: 201076.12
GET: 201085.52
GET: 201078.19
GET: 201033.20
GET: 201032.72
GET: 201061.69
GET: 201062.02
GET: 201080.75
GET: 201104.94
GET: 201078.64
GET: 201043.55
GET: 201050.89
GET: 201051.61
GET: 201105.67
GET: 201143.80
GET: 201142.72
GET: 201093.62
GET: 201136.11
GET: 201132.92
GET: 201169.06
GET: 201213.69
GET: 201220.11
GET: 201218.11
GET: 201213.02
GET: 201238.66
GET: 201236.11
GET: 201252.22
GET: 201229.69
GET: 201178.44
GET: 201193.39
GET: 201185.66
GET: 201190.55
GET: 201217.89
GET: 201283.45
GET: 201271.89
GET: 201186.47
GET: 201185.05
GET: 201163.28
GET: 201209.16
GET: 201213.23
GET: 201277.38
GET: 201212.00
GET: 201238.59
GET: 201238.86
GET: 201252.19
GET: 201258.36
GET: 201301.45
GET: 201254.67
GET: 201257.31
GET: 201366.72
====== GET ======
  20000032 requests completed in 99.31 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.23% <= 0.1 milliseconds
11.52% <= 0.2 milliseconds
28.42% <= 0.3 milliseconds
47.00% <= 0.4 milliseconds
62.92% <= 0.5 milliseconds
72.58% <= 0.6 milliseconds
78.92% <= 0.7 milliseconds
83.69% <= 0.8 milliseconds
87.20% <= 0.9 milliseconds
89.69% <= 1.0 milliseconds
91.52% <= 1.1 milliseconds
92.93% <= 1.2 milliseconds
94.07% <= 1.3 milliseconds
94.96% <= 1.4 milliseconds
95.69% <= 1.5 milliseconds
96.29% <= 1.6 milliseconds
96.79% <= 1.7 milliseconds
97.22% <= 1.8 milliseconds
97.59% <= 1.9 milliseconds
97.92% <= 2 milliseconds
99.46% <= 3 milliseconds
99.85% <= 4 milliseconds
99.95% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
100.00% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 22 milliseconds
100.00% <= 22 milliseconds
201383.81 requests per second


