2023-11-24 03:21:53
GET: nan
GET: 198656.00
GET: 202448.00
GET: 199296.00
GET: 202600.00
GET: 203635.20
GET: 202712.86
GET: 201745.28
GET: 201123.45
GET: 203218.47
GET: 202473.83
GET: 203280.78
GET: 203513.81
GET: 203656.94
GET: 204161.00
GET: 204595.78
GET: 203993.02
GET: 204085.59
GET: 203800.14
GET: 204313.77
GET: 201935.66
GET: 201388.39
GET: 201233.78
GET: 201555.52
GET: 201611.98
GET: 202050.20
GET: 201040.42
GET: 200617.02
GET: 200742.33
GET: 200909.72
GET: 201199.20
GET: 201278.14
GET: 200614.61
GET: 199458.27
GET: 199060.31
GET: 199497.42
GET: 199761.02
GET: 199885.03
GET: 199885.53
GET: 198994.56
GET: 198806.19
GET: 198979.62
GET: 199013.80
GET: 199268.06
GET: 199763.02
GET: 199281.39
GET: 199192.00
GET: 199368.44
GET: 199259.64
GET: 199390.94
GET: 199541.30
GET: 199645.00
GET: 199914.50
GET: 199829.19
GET: 200188.97
GET: 200278.00
GET: 200515.25
GET: 200438.30
GET: 200372.28
GET: 200380.08
GET: 200468.11
GET: 200516.55
GET: 200509.77
GET: 200669.75
GET: 200371.39
GET: 200241.17
GET: 200491.02
GET: 200674.20
GET: 200932.44
GET: 201187.75
GET: 200871.02
GET: 200853.80
GET: 201004.55
GET: 201167.83
GET: 201421.80
GET: 201646.75
GET: 201476.94
GET: 201405.41
GET: 201447.28
GET: 201616.84
GET: 201802.56
GET: 202011.36
GET: 201830.41
GET: 201778.30
GET: 201821.11
GET: 202045.06
GET: 202049.94
GET: 202257.30
GET: 202285.81
GET: 202378.75
GET: 202568.45
GET: 202698.78
GET: 202646.84
GET: 202585.03
GET: 202802.91
GET: 202901.38
GET: 203025.45
GET: 203201.39
GET: 203229.12
GET: 203340.62
GET: 203395.53
GET: 203415.12
GET: 203505.23
GET: 203531.16
GET: 203502.75
GET: 203667.75
GET: 203665.45
GET: 203288.86
GET: 203192.66
GET: 203078.14
GET: 203113.86
GET: 203091.88
GET: 203201.95
GET: 203055.56
GET: 202900.80
GET: 202916.75
GET: 202998.91
GET: 203000.89
GET: 203119.97
GET: 203156.41
GET: 202821.66
GET: 202803.62
GET: 202773.83
GET: 202914.89
GET: 203050.58
GET: 203095.02
GET: 202846.08
GET: 202958.19
GET: 203044.06
GET: 203170.25
GET: 203321.08
GET: 203346.28
GET: 203183.77
GET: 203193.75
GET: 203227.47
GET: 203237.45
GET: 203300.92
GET: 203283.14
GET: 203241.27
GET: 203320.14
GET: 203335.28
GET: 203365.64
GET: 203389.70
GET: 203440.05
GET: 203422.84
GET: 203415.12
GET: 203473.47
GET: 203470.95
GET: 203338.14
GET: 203323.47
GET: 203342.16
GET: 203249.06
GET: 203272.52
GET: 203297.34
GET: 203358.53
GET: 203432.22
GET: 203501.69
GET: 203256.48
GET: 203219.27
GET: 203286.55
GET: 203209.62
GET: 203160.30
GET: 203211.88
GET: 203125.84
GET: 203012.38
GET: 203008.09
GET: 203114.86
GET: 203138.34
GET: 203201.17
GET: 203221.23
GET: 203109.27
GET: 203156.19
GET: 203221.91
GET: 203210.61
GET: 203213.67
GET: 203241.75
GET: 203183.53
GET: 203259.17
GET: 203302.33
GET: 203361.27
GET: 203435.38
GET: 203484.80
GET: 203491.33
GET: 203482.03
GET: 203491.98
GET: 203495.94
GET: 203525.12
GET: 203570.27
GET: 203628.20
GET: 203582.59
GET: 203628.33
GET: 203637.48
GET: 203709.67
GET: 203786.92
GET: 203754.55
GET: 203657.47
GET: 203642.08
GET: 203627.83
GET: 203617.75
GET: 203687.50
GET: 203694.44
GET: 203568.80
GET: 203565.70
GET: 203608.34
GET: 203649.14
GET: 203736.67
GET: 203772.89
GET: 203606.33
GET: 203549.00
GET: 203596.92
GET: 203650.19
GET: 203725.36
GET: 203757.44
GET: 203634.23
GET: 203613.22
GET: 203604.59
GET: 203585.11
GET: 203562.39
GET: 203604.17
GET: 203577.34
GET: 203596.72
GET: 203570.61
GET: 203576.00
GET: 203621.94
GET: 203690.97
GET: 203703.86
GET: 203690.16
GET: 203663.34
GET: 203648.41
GET: 203700.08
GET: 203715.72
GET: 203733.42
GET: 203743.53
GET: 203694.39
GET: 203693.45
GET: 203645.16
GET: 203677.16
GET: 203645.98
GET: 203555.61
GET: 203490.28
GET: 203468.81
GET: 203496.50
GET: 203466.20
GET: 203475.64
GET: 203454.19
GET: 203341.91
GET: 203341.59
GET: 203354.23
GET: 203345.17
GET: 203332.52
GET: 203342.34
GET: 203258.08
GET: 203252.66
GET: 203293.91
GET: 203340.39
GET: 203348.61
GET: 203346.66
GET: 203270.17
GET: 203210.02
GET: 203246.41
GET: 203335.06
GET: 203341.03
GET: 203404.34
GET: 203350.34
GET: 203258.19
GET: 203298.28
GET: 203309.94
GET: 203344.38
GET: 203368.78
GET: 203333.33
GET: 203349.17
GET: 203384.92
GET: 203346.34
GET: 203393.14
GET: 203407.14
GET: 203401.38
GET: 203448.17
GET: 203502.47
GET: 203484.34
GET: 203543.06
GET: 203492.14
GET: 203545.97
GET: 203471.28
GET: 203431.81
GET: 203412.86
GET: 203477.94
GET: 203442.19
GET: 203409.36
GET: 203404.97
GET: 203293.94
GET: 203265.27
GET: 203253.50
GET: 203267.08
GET: 203265.20
GET: 203250.73
GET: 203171.53
GET: 203117.81
GET: 203158.16
GET: 203189.62
GET: 203211.88
GET: 203210.23
GET: 203168.66
GET: 203136.67
GET: 203101.83
GET: 203083.53
GET: 203111.17
GET: 203129.03
GET: 203168.28
GET: 203108.58
GET: 203119.73
GET: 203151.36
GET: 203108.02
GET: 203112.20
GET: 203148.05
GET: 203084.66
GET: 203078.92
GET: 203044.70
GET: 203061.83
GET: 203107.23
GET: 203099.70
GET: 203085.62
GET: 203088.06
GET: 203093.25
GET: 203081.00
GET: 203100.61
GET: 203154.16
GET: 203178.73
GET: 203061.12
GET: 203008.31
GET: 203012.78
GET: 203012.58
GET: 203003.38
GET: 202966.20
GET: 202910.92
GET: 202870.70
GET: 202846.06
GET: 202854.06
GET: 202856.39
GET: 202887.11
GET: 202877.00
GET: 202819.16
GET: 202789.50
GET: 202830.36
GET: 202894.38
GET: 202913.48
GET: 202950.38
GET: 202902.20
GET: 202931.64
GET: 202933.59
GET: 202920.03
GET: 202915.98
GET: 202971.11
GET: 202938.86
GET: 202936.98
GET: 202949.19
GET: 203018.19
GET: 203056.97
GET: 203065.17
GET: 203063.31
GET: 203056.39
GET: 203059.09
GET: 203079.25
GET: 203118.72
GET: 203122.38
GET: 203144.30
GET: 203166.44
GET: 203153.08
GET: 203144.41
GET: 203119.95
GET: 203097.20
GET: 203113.05
GET: 203050.31
GET: 203047.78
GET: 203067.92
GET: 203071.75
GET: 203056.22
GET: 203065.20
GET: 202992.17
GET: 202964.20
GET: 202948.62
GET: 202950.20
GET: 202931.14
GET: 202970.61
GET: 203006.95
GET: 202935.23
GET: 202940.91
GET: 202965.11
GET: 202990.27
GET: 202984.88
GET: 202993.97
GET: 202928.31
GET: 202916.62
GET: 202903.08
GET: 202893.25
GET: 202908.97
====== GET ======
  20000064 requests completed in 98.56 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.28% <= 0.1 milliseconds
11.97% <= 0.2 milliseconds
28.91% <= 0.3 milliseconds
47.65% <= 0.4 milliseconds
63.43% <= 0.5 milliseconds
72.90% <= 0.6 milliseconds
79.23% <= 0.7 milliseconds
84.00% <= 0.8 milliseconds
87.44% <= 0.9 milliseconds
89.90% <= 1.0 milliseconds
91.70% <= 1.1 milliseconds
93.06% <= 1.2 milliseconds
94.16% <= 1.3 milliseconds
95.05% <= 1.4 milliseconds
95.78% <= 1.5 milliseconds
96.38% <= 1.6 milliseconds
96.88% <= 1.7 milliseconds
97.30% <= 1.8 milliseconds
97.66% <= 1.9 milliseconds
97.97% <= 2 milliseconds
99.48% <= 3 milliseconds
99.86% <= 4 milliseconds
99.94% <= 5 milliseconds
99.97% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 26 milliseconds
100.00% <= 27 milliseconds
100.00% <= 27 milliseconds
202914.48 requests per second


