2023-11-21 22:51:15
GET: nan
GET: 191075.70
GET: 206709.17
GET: 206010.64
GET: 213032.89
GET: 213492.83
GET: 215186.17
GET: 216164.20
GET: 216618.77
GET: 215772.86
GET: 216709.27
GET: 215843.14
GET: 216290.17
GET: 216041.78
GET: 216271.61
GET: 215855.20
GET: 216373.17
GET: 215368.88
GET: 214655.14
GET: 215269.05
GET: 215053.28
GET: 214740.92
GET: 214078.02
GET: 214087.83
GET: 214537.59
GET: 215219.42
GET: 214436.11
GET: 214156.75
GET: 214630.92
GET: 213362.70
GET: 212682.64
GET: 212562.59
GET: 212018.97
GET: 211462.73
GET: 211317.83
GET: 210868.09
GET: 210696.25
GET: 210800.52
GET: 210489.81
GET: 210712.83
GET: 210642.70
GET: 210385.81
GET: 210614.42
GET: 210632.48
GET: 210537.14
GET: 210041.91
GET: 209713.09
GET: 209695.06
GET: 209311.59
GET: 209886.84
GET: 209950.14
GET: 209728.56
GET: 209580.45
GET: 209150.34
GET: 208792.36
GET: 209296.83
GET: 209329.05
GET: 209388.75
GET: 209527.81
GET: 209223.02
GET: 209147.27
GET: 209292.98
GET: 209179.89
GET: 208777.17
GET: 208528.83
GET: 208702.14
GET: 208129.78
GET: 208114.00
GET: 208000.00
GET: 207518.70
GET: 207531.50
GET: 207724.47
GET: 207402.00
GET: 207732.45
GET: 207884.66
GET: 207639.02
GET: 207655.12
GET: 207688.23
GET: 207670.09
GET: 207453.42
GET: 207503.00
GET: 207176.88
GET: 207272.27
GET: 207361.12
GET: 207077.62
GET: 207057.25
GET: 206938.86
GET: 206789.02
GET: 206764.25
GET: 206835.59
GET: 206804.47
GET: 206797.22
GET: 206773.11
GET: 206670.11
GET: 206695.80
GET: 206747.20
GET: 206998.33
GET: 207146.73
GET: 207235.36
GET: 207066.44
GET: 207042.52
GET: 207121.94
GET: 206940.61
GET: 206759.67
GET: 206755.00
GET: 206599.98
GET: 206484.39
GET: 206577.12
GET: 206446.72
GET: 206480.02
GET: 206540.62
GET: 206709.58
GET: 206629.45
GET: 206739.19
GET: 206854.86
GET: 206877.31
GET: 206962.88
GET: 206881.00
GET: 206706.50
GET: 206703.39
GET: 206810.64
GET: 206542.22
GET: 206652.73
GET: 206567.50
GET: 206436.45
GET: 206568.66
GET: 206678.20
GET: 206649.84
GET: 206805.50
GET: 206813.77
GET: 206811.33
GET: 206829.17
GET: 206913.66
GET: 207068.45
GET: 207136.03
GET: 207189.56
GET: 207066.22
GET: 207098.69
GET: 207145.53
GET: 207018.72
GET: 207068.44
GET: 207235.58
GET: 207241.64
GET: 207353.38
GET: 207476.20
GET: 207372.00
GET: 207337.75
GET: 207519.97
GET: 207437.66
GET: 207444.64
GET: 207480.73
GET: 207482.06
GET: 207528.80
GET: 207603.14
GET: 207526.19
GET: 207477.47
GET: 207561.98
GET: 207584.53
GET: 207678.83
GET: 207732.73
GET: 207529.36
GET: 207485.41
GET: 207512.08
GET: 207413.25
GET: 207450.75
GET: 207445.17
GET: 207347.39
GET: 207270.72
GET: 207300.00
GET: 207379.45
GET: 207470.36
GET: 207638.38
GET: 207444.92
GET: 207410.80
GET: 207424.30
GET: 207582.52
GET: 207500.05
GET: 207484.62
GET: 207552.73
GET: 207414.66
GET: 207361.23
GET: 207340.75
GET: 207332.59
GET: 207349.34
GET: 207398.23
GET: 207261.48
GET: 207400.91
GET: 207435.06
GET: 207559.00
GET: 207612.08
GET: 207667.80
GET: 207630.70
GET: 207663.27
GET: 207745.86
GET: 207677.61
GET: 207721.58
GET: 207710.92
GET: 207622.95
GET: 207627.11
GET: 207649.41
GET: 207527.58
GET: 207603.91
GET: 207539.38
GET: 207495.03
GET: 207570.22
GET: 207640.48
GET: 207632.45
GET: 207719.36
GET: 207724.39
GET: 207646.92
GET: 207749.70
GET: 207736.03
GET: 207647.84
GET: 207702.78
GET: 207690.28
GET: 207629.27
GET: 207587.91
GET: 207621.80
GET: 207556.36
GET: 207545.97
GET: 207611.53
GET: 207569.61
GET: 207628.44
GET: 207712.83
GET: 207737.66
GET: 207708.28
GET: 207760.08
GET: 207738.31
GET: 207748.72
GET: 207765.73
GET: 207762.16
GET: 207795.58
GET: 207761.88
GET: 207702.52
GET: 207713.62
GET: 207766.41
GET: 207804.11
GET: 207824.09
GET: 207948.28
GET: 207978.59
GET: 208012.80
GET: 207995.75
GET: 208006.86
GET: 208002.11
GET: 208050.97
GET: 208076.86
GET: 208003.77
GET: 208142.25
GET: 208078.77
GET: 207993.06
GET: 207981.33
GET: 208032.36
GET: 208018.14
GET: 208039.81
GET: 208010.83
GET: 207945.59
GET: 207991.14
GET: 208056.73
GET: 208032.59
GET: 208081.84
GET: 208097.27
GET: 208100.45
GET: 208127.41
GET: 208098.34
GET: 208101.97
GET: 208125.23
GET: 208200.97
GET: 208193.27
GET: 208261.39
GET: 208273.02
GET: 208179.28
GET: 208181.55
GET: 208253.64
GET: 208244.39
GET: 208274.89
GET: 208338.77
GET: 208317.73
GET: 208406.72
GET: 208502.44
GET: 208585.89
GET: 208574.91
GET: 208540.89
GET: 208459.38
GET: 208377.77
GET: 208416.97
GET: 208359.30
GET: 208384.55
GET: 208400.69
GET: 208315.38
GET: 208317.39
GET: 208279.14
GET: 208267.41
GET: 208289.70
GET: 208420.11
GET: 208341.47
GET: 208365.12
GET: 208399.75
GET: 208467.30
GET: 208454.89
GET: 208464.92
GET: 208404.44
GET: 208394.28
GET: 208432.56
GET: 208413.31
GET: 208416.16
GET: 208440.38
GET: 208355.34
GET: 208343.88
GET: 208337.05
GET: 208338.34
GET: 208343.95
GET: 208407.00
GET: 208413.38
GET: 208393.06
GET: 208416.25
GET: 208420.81
GET: 208379.11
GET: 208338.17
GET: 208385.06
GET: 208349.78
GET: 208401.45
GET: 208456.77
GET: 208429.94
GET: 208497.00
GET: 208536.92
GET: 208468.17
GET: 208480.77
GET: 208505.50
GET: 208447.91
GET: 208423.61
GET: 208465.72
GET: 208415.25
GET: 208464.75
GET: 208455.48
GET: 208528.48
GET: 208504.39
GET: 208558.75
GET: 208525.41
GET: 208546.17
GET: 208527.86
GET: 208475.44
GET: 208522.61
GET: 208555.77
GET: 208470.45
GET: 208461.19
GET: 208494.78
GET: 208410.47
GET: 208485.39
GET: 208524.06
GET: 208419.38
GET: 208413.25
GET: 208423.83
GET: 208414.36
GET: 208395.42
GET: 208445.34
GET: 208393.75
GET: 208475.08
GET: 208491.39
GET: 208427.86
GET: 208443.06
GET: 208442.72
GET: 208369.05
GET: 208342.77
GET: 208371.25
GET: 208369.61
GET: 208391.81
GET: 208432.31
GET: 208384.45
GET: 208399.47
GET: 208439.11
GET: 208497.20
GET: 208549.47
GET: 208599.31
GET: 208561.95
GET: 208544.64
GET: 208541.48
GET: 208494.72
GET: 208533.78
GET: 208693.16
GET: 208835.33
GET: 208988.38
GET: 209161.67
====== GET ======
  20000024 requests completed in 95.52 seconds
  32 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.48% <= 0.2 milliseconds
3.82% <= 0.3 milliseconds
10.57% <= 0.4 milliseconds
17.10% <= 0.5 milliseconds
24.48% <= 0.6 milliseconds
33.63% <= 0.7 milliseconds
43.70% <= 0.8 milliseconds
53.23% <= 0.9 milliseconds
61.51% <= 1.0 milliseconds
68.33% <= 1.1 milliseconds
73.69% <= 1.2 milliseconds
77.84% <= 1.3 milliseconds
81.13% <= 1.4 milliseconds
83.82% <= 1.5 milliseconds
86.05% <= 1.6 milliseconds
87.88% <= 1.7 milliseconds
89.39% <= 1.8 milliseconds
90.65% <= 1.9 milliseconds
91.70% <= 2 milliseconds
97.03% <= 3 milliseconds
98.84% <= 4 milliseconds
99.50% <= 5 milliseconds
99.78% <= 6 milliseconds
99.89% <= 7 milliseconds
99.95% <= 8 milliseconds
99.97% <= 9 milliseconds
99.98% <= 10 milliseconds
99.99% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 28 milliseconds
100.00% <= 28 milliseconds
209380.50 requests per second


