2023-11-24 03:21:54
GET: nan
GET: 191072.00
GET: 193888.00
GET: 191114.67
GET: 194949.05
GET: 195216.62
GET: 194430.38
GET: 196609.94
GET: 200431.80
GET: 199669.48
GET: 199622.69
GET: 199250.00
GET: 197665.55
GET: 196455.09
GET: 196397.48
GET: 196466.95
GET: 195362.33
GET: 195642.53
GET: 196179.48
GET: 194089.23
GET: 195078.78
GET: 195666.42
GET: 194705.94
GET: 195164.12
GET: 195481.52
GET: 195479.22
GET: 195953.25
GET: 196132.70
GET: 196063.41
GET: 196886.27
GET: 197501.81
GET: 198216.95
GET: 198956.39
GET: 199238.09
GET: 198659.47
GET: 199141.89
GET: 199364.73
GET: 199320.52
GET: 199505.89
GET: 199591.56
GET: 199469.81
GET: 199403.17
GET: 199567.41
GET: 199485.22
GET: 199312.25
GET: 199195.31
GET: 199430.47
GET: 199090.02
GET: 199043.66
GET: 199407.88
GET: 199289.83
GET: 199279.30
GET: 199507.23
GET: 199435.05
GET: 199739.94
GET: 199763.86
GET: 199775.50
GET: 199820.41
GET: 199873.14
GET: 199849.81
GET: 199970.67
GET: 200251.22
GET: 200167.70
GET: 200005.08
GET: 200144.97
GET: 200108.78
GET: 199956.86
GET: 199934.59
GET: 200082.81
GET: 199945.30
GET: 199987.22
GET: 200144.64
GET: 199872.05
GET: 199794.92
GET: 199982.72
GET: 200001.28
GET: 200238.69
GET: 200309.12
GET: 200057.44
GET: 200110.97
GET: 200355.92
GET: 200166.69
GET: 200135.78
GET: 200350.00
GET: 200274.23
GET: 200077.92
GET: 200106.03
GET: 199999.27
GET: 199748.08
GET: 199788.30
GET: 199877.73
GET: 199560.22
GET: 199666.53
GET: 199741.33
GET: 199998.30
GET: 199968.69
GET: 200077.98
GET: 200226.91
GET: 200285.64
GET: 200282.11
GET: 200087.97
GET: 200105.80
GET: 200387.03
GET: 200305.31
GET: 200160.58
GET: 200235.52
GET: 200161.17
GET: 199952.77
GET: 200157.00
GET: 200225.70
GET: 199972.38
GET: 199964.84
GET: 199986.00
GET: 200015.86
GET: 200029.19
GET: 200133.25
GET: 200159.69
GET: 200145.47
GET: 200181.66
GET: 200193.55
GET: 200188.73
GET: 200187.97
GET: 200185.64
GET: 200104.55
GET: 200021.92
GET: 200017.91
GET: 199941.34
GET: 200035.27
GET: 200165.20
GET: 199854.44
GET: 199907.00
GET: 200017.11
GET: 199753.30
GET: 199714.27
GET: 199740.27
GET: 199706.88
GET: 199817.47
GET: 199813.91
GET: 199916.33
GET: 199956.52
GET: 200016.69
GET: 200081.69
GET: 200163.80
GET: 200355.27
GET: 200274.58
GET: 200314.59
GET: 200356.27
GET: 200356.67
GET: 200294.83
GET: 200313.89
GET: 200248.23
GET: 200060.38
GET: 200036.61
GET: 200021.73
GET: 199917.31
GET: 199932.09
GET: 200006.14
GET: 199980.03
GET: 200075.92
GET: 200139.62
GET: 200080.38
GET: 200139.28
GET: 200162.72
GET: 200196.84
GET: 200295.33
GET: 200321.06
GET: 200248.98
GET: 200283.70
GET: 200265.25
GET: 200260.28
GET: 200331.58
GET: 200378.84
GET: 200346.12
GET: 200254.44
GET: 200341.05
GET: 200302.91
GET: 200229.75
GET: 200322.61
GET: 200296.72
GET: 200260.03
GET: 200346.92
GET: 200475.44
GET: 200538.92
GET: 200569.36
GET: 200605.91
GET: 200647.77
GET: 200764.69
GET: 200887.88
GET: 200703.12
GET: 200679.44
GET: 200644.03
GET: 200575.00
GET: 200561.66
GET: 200559.58
GET: 200468.81
GET: 200437.36
GET: 200502.38
GET: 200470.59
GET: 200456.11
GET: 200458.64
GET: 200481.25
GET: 200488.89
GET: 200537.61
GET: 200542.06
GET: 200613.73
GET: 200658.17
GET: 200754.83
GET: 200766.02
GET: 200810.47
GET: 200827.88
GET: 200738.47
GET: 200770.14
GET: 200810.12
GET: 200773.73
GET: 200792.53
GET: 200763.41
GET: 200630.89
GET: 200635.06
GET: 200660.75
GET: 200534.02
GET: 200524.31
GET: 200562.05
GET: 200562.67
GET: 200532.61
GET: 200551.09
GET: 200590.44
GET: 200612.59
GET: 200618.92
GET: 200711.47
GET: 200753.34
GET: 200752.58
GET: 200777.70
GET: 200641.98
GET: 200654.19
GET: 200670.12
GET: 200599.77
GET: 200599.39
GET: 200619.67
GET: 200518.14
GET: 200469.00
GET: 200543.95
GET: 200480.11
GET: 200487.11
GET: 200502.75
GET: 200493.88
GET: 200533.77
GET: 200539.92
GET: 200531.52
GET: 200542.92
GET: 200608.83
GET: 200641.58
GET: 200677.64
GET: 200693.75
GET: 200739.05
GET: 200662.22
GET: 200728.23
GET: 200740.53
GET: 200639.19
GET: 200655.94
GET: 200694.16
GET: 200636.38
GET: 200605.73
GET: 200643.72
GET: 200563.31
GET: 200541.17
GET: 200512.94
GET: 200479.39
GET: 200482.02
GET: 200461.84
GET: 200500.92
GET: 200541.36
GET: 200584.69
GET: 200618.42
GET: 200621.66
GET: 200640.53
GET: 200667.05
GET: 200580.94
GET: 200606.33
GET: 200619.58
GET: 200562.31
GET: 200589.67
GET: 200620.47
GET: 200563.70
GET: 200554.03
GET: 200548.92
GET: 200518.83
GET: 200495.09
GET: 200532.38
GET: 200530.31
GET: 200498.69
GET: 200506.58
GET: 200491.75
GET: 200488.75
GET: 200443.73
GET: 200456.38
GET: 200445.94
GET: 200416.55
GET: 200447.14
GET: 200375.31
GET: 200371.61
GET: 200400.75
GET: 200349.05
GET: 200362.30
GET: 200442.83
GET: 200381.59
GET: 200366.50
GET: 200384.02
GET: 200383.08
GET: 200368.22
GET: 200422.11
GET: 200418.28
GET: 200419.30
GET: 200426.56
GET: 200454.33
GET: 200397.05
GET: 200405.14
GET: 200424.91
GET: 200435.08
GET: 200487.12
GET: 200529.03
GET: 200465.38
GET: 200438.11
GET: 200455.03
GET: 200408.84
GET: 200359.89
GET: 200385.86
GET: 200349.94
GET: 200318.25
GET: 200361.75
GET: 200321.08
GET: 200261.84
GET: 200272.84
GET: 200259.97
GET: 200256.98
GET: 200269.72
GET: 200274.36
GET: 200274.88
GET: 200314.20
GET: 200293.69
GET: 200295.47
GET: 200365.06
GET: 200395.98
GET: 200344.31
GET: 200344.62
GET: 200393.66
GET: 200366.64
GET: 200350.14
GET: 200381.67
GET: 200361.19
GET: 200284.52
GET: 200305.83
GET: 200302.22
GET: 200285.91
GET: 200330.69
GET: 200350.72
GET: 200322.42
GET: 200320.53
GET: 200342.94
GET: 200367.80
GET: 200389.23
GET: 200429.73
GET: 200433.42
GET: 200439.11
GET: 200479.06
GET: 200479.94
GET: 200438.48
GET: 200447.25
GET: 200458.84
GET: 200398.05
GET: 200396.45
GET: 200397.72
GET: 200384.91
GET: 200400.73
GET: 200412.36
GET: 200366.61
GET: 200344.39
GET: 200401.06
GET: 200398.64
GET: 200436.09
GET: 200484.23
GET: 200505.19
GET: 200491.36
GET: 200514.52
GET: 200513.42
GET: 200560.00
GET: 200566.94
GET: 200546.48
GET: 200521.27
GET: 200513.58
GET: 200548.84
GET: 200504.62
GET: 200529.19
GET: 200574.11
GET: 200494.83
GET: 200494.23
GET: 200569.03
GET: 200570.17
GET: 200665.75
GET: 200758.61
====== GET ======
  20000104 requests completed in 99.60 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.40% <= 0.1 milliseconds
11.56% <= 0.2 milliseconds
27.82% <= 0.3 milliseconds
46.16% <= 0.4 milliseconds
61.75% <= 0.5 milliseconds
71.69% <= 0.6 milliseconds
78.39% <= 0.7 milliseconds
83.40% <= 0.8 milliseconds
87.05% <= 0.9 milliseconds
89.61% <= 1.0 milliseconds
91.48% <= 1.1 milliseconds
92.93% <= 1.2 milliseconds
94.06% <= 1.3 milliseconds
94.97% <= 1.4 milliseconds
95.69% <= 1.5 milliseconds
96.28% <= 1.6 milliseconds
96.80% <= 1.7 milliseconds
97.25% <= 1.8 milliseconds
97.63% <= 1.9 milliseconds
97.97% <= 2 milliseconds
99.51% <= 3 milliseconds
99.88% <= 4 milliseconds
99.96% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 21 milliseconds
200800.23 requests per second


