2023-11-21 22:53:31
SET: nan
SET: 508384.00
SET: 417328.00
SET: 366848.00
SET: 319880.00
SET: 309030.41
SET: 297146.66
SET: 288859.44
SET: 276144.00
SET: 265098.66
SET: 256281.59
SET: 253911.27
SET: 253578.67
SET: 251975.39
SET: 252712.73
SET: 252211.08
SET: 251808.11
SET: 251905.94
SET: 248346.52
SET: 241994.95
SET: 237704.92
SET: 233535.42
SET: 231111.61
SET: 230299.03
SET: 231230.92
SET: 233413.95
SET: 234036.30
SET: 234785.55
SET: 235670.44
SET: 236022.62
SET: 235768.09
SET: 234118.41
SET: 233979.25
SET: 234286.67
SET: 234677.64
SET: 234876.27
SET: 234603.56
SET: 234230.39
SET: 233693.61
SET: 231829.41
SET: 230125.73
SET: 228539.44
SET: 227579.25
SET: 226346.06
SET: 225247.44
SET: 223982.23
SET: 222631.09
SET: 221354.42
SET: 221238.94
SET: 220861.22
SET: 220529.30
SET: 220853.17
SET: 220962.25
SET: 221458.86
SET: 221639.75
SET: 222021.66
SET: 222031.27
SET: 221929.88
SET: 221711.92
SET: 222101.36
SET: 222318.45
SET: 222710.88
SET: 222743.61
SET: 222739.17
SET: 222979.70
SET: 223283.20
SET: 223370.61
SET: 223547.05
SET: 223601.23
SET: 223101.39
SET: 222841.48
SET: 222745.20
SET: 222970.47
SET: 222921.53
SET: 222974.55
SET: 222594.67
SET: 222179.77
SET: 222117.00
SET: 221988.92
SET: 221913.17
SET: 222063.25
SET: 221822.67
SET: 221795.39
SET: 221789.95
SET: 221838.42
SET: 221756.25
SET: 221097.88
SET: 220096.64
SET: 219335.52
SET: 218710.61
SET: 218155.50
SET: 217520.88
SET: 216839.58
SET: 216044.34
SET: 215122.22
SET: 214593.69
SET: 214114.14
SET: 213518.89
SET: 212973.28
SET: 212379.59
SET: 211810.56
SET: 211254.06
SET: 210787.44
SET: 210315.28
SET: 209938.38
SET: 209806.98
SET: 209907.78
SET: 209967.95
SET: 210041.52
SET: 210230.16
SET: 210048.02
SET: 209928.20
SET: 209884.19
SET: 210028.72
SET: 210040.66
SET: 210220.86
SET: 210016.53
SET: 209869.53
SET: 209826.88
SET: 209761.84
SET: 209861.73
SET: 210125.91
SET: 209840.67
SET: 209598.81
SET: 209598.81
SET: 209769.88
SET: 209858.11
SET: 209997.80
SET: 210092.55
SET: 210228.27
SET: 210439.53
SET: 210416.78
SET: 210569.47
SET: 210614.59
SET: 210750.66
SET: 210645.52
SET: 210682.27
SET: 210814.62
SET: 210726.38
SET: 210845.70
SET: 210985.94
SET: 210824.19
SET: 210596.73
SET: 210486.47
SET: 210440.80
SET: 210540.84
SET: 210504.19
SET: 210439.97
SET: 210366.69
SET: 210340.30
SET: 210276.97
SET: 210216.17
SET: 210318.44
SET: 210245.84
SET: 210086.36
SET: 210181.83
SET: 210284.45
SET: 210317.98
SET: 210428.58
SET: 210563.92
SET: 210584.67
SET: 210669.06
SET: 210725.61
SET: 210767.16
SET: 210845.64
SET: 210814.45
SET: 210636.69
SET: 210551.81
SET: 210586.48
SET: 210510.09
SET: 210642.41
SET: 210584.72
SET: 210271.12
SET: 210144.72
SET: 210088.84
SET: 209830.09
SET: 209689.83
SET: 209675.22
SET: 209436.80
SET: 209406.81
SET: 209303.44
SET: 209361.42
SET: 209370.64
SET: 209505.73
SET: 209311.97
SET: 209212.77
SET: 209216.22
SET: 209123.20
SET: 209042.91
SET: 209033.67
SET: 208948.97
SET: 208989.38
SET: 209031.69
SET: 208904.75
SET: 208859.38
SET: 208817.75
SET: 208800.69
SET: 208699.08
SET: 208664.06
SET: 208496.67
SET: 208533.20
SET: 208572.88
SET: 208486.45
SET: 208336.47
SET: 208242.02
SET: 208158.80
SET: 208095.31
SET: 207945.33
SET: 207796.16
SET: 207771.73
SET: 207411.64
SET: 207173.91
SET: 206953.52
SET: 206778.56
SET: 206461.95
SET: 206176.41
SET: 205837.53
SET: 205436.78
SET: 204916.06
SET: 204450.77
SET: 204105.67
SET: 203872.09
SET: 203606.20
SET: 203452.39
SET: 203256.84
SET: 203074.97
SET: 202901.30
SET: 202732.31
SET: 202580.09
SET: 202352.27
SET: 202096.12
SET: 201881.53
SET: 201714.25
SET: 201572.56
SET: 201457.08
SET: 201337.02
SET: 201198.44
SET: 201016.12
SET: 200835.73
SET: 200674.52
SET: 200461.89
SET: 200257.64
SET: 200044.39
SET: 199942.11
SET: 199790.48
SET: 199678.06
SET: 199477.91
SET: 199413.09
SET: 199224.92
SET: 199064.95
SET: 198898.97
SET: 198761.83
SET: 198765.98
SET: 198804.61
SET: 198886.22
SET: 198934.47
SET: 198947.73
SET: 198958.80
SET: 198951.67
SET: 198910.86
SET: 198876.69
SET: 198871.30
SET: 198820.69
SET: 198834.44
SET: 198898.31
SET: 198887.73
SET: 198712.70
SET: 198616.70
SET: 198507.09
SET: 198353.61
SET: 198239.86
SET: 198240.22
SET: 198164.19
SET: 198144.31
SET: 198109.89
SET: 198023.06
SET: 197869.66
SET: 197731.67
SET: 197606.41
SET: 197489.95
SET: 197411.91
SET: 197415.34
SET: 197348.39
SET: 197253.36
SET: 197189.50
SET: 197109.95
SET: 197021.56
SET: 196895.58
SET: 196765.23
SET: 196662.69
SET: 196608.59
SET: 196542.34
SET: 196469.86
SET: 196368.44
SET: 196281.70
SET: 196140.72
SET: 195999.28
SET: 195856.33
SET: 195815.61
SET: 195811.95
SET: 195675.62
SET: 195602.98
SET: 195461.89
SET: 195232.36
SET: 195151.06
SET: 195017.14
SET: 195008.97
SET: 194967.52
SET: 194858.22
SET: 194739.30
SET: 194624.75
SET: 194456.95
SET: 194402.36
SET: 194321.03
SET: 194217.83
SET: 194220.12
SET: 194113.84
SET: 194020.23
SET: 193916.53
SET: 193834.66
SET: 193779.67
SET: 193712.38
SET: 193665.05
SET: 193665.16
SET: 193565.67
SET: 193473.30
SET: 193409.64
SET: 193306.83
SET: 193201.56
SET: 193108.31
SET: 193093.23
SET: 193045.39
SET: 192960.67
SET: 192876.84
SET: 192765.67
SET: 192657.53
SET: 192645.55
SET: 192649.52
SET: 192639.94
SET: 192580.52
SET: 192547.20
SET: 192555.36
SET: 192563.83
SET: 192497.12
SET: 192434.52
SET: 192449.02
SET: 192401.42
SET: 192350.97
SET: 192272.70
SET: 192205.12
SET: 192221.53
SET: 192259.89
SET: 192224.36
SET: 192191.48
SET: 192074.80
SET: 192024.05
SET: 191986.00
SET: 191936.06
SET: 191867.20
SET: 191814.12
SET: 191799.19
SET: 191710.02
SET: 191639.28
SET: 191622.39
SET: 191560.02
SET: 191552.11
SET: 191505.28
SET: 191453.84
SET: 191366.88
SET: 191319.38
SET: 191262.36
SET: 191194.70
SET: 191168.42
SET: 191115.70
SET: 191051.12
SET: 190966.78
SET: 190862.89
SET: 190766.08
SET: 190734.23
SET: 190660.45
SET: 190607.61
SET: 190547.89
SET: 190484.73
SET: 190372.64
SET: 190304.77
SET: 190271.70
SET: 190192.02
SET: 190116.55
SET: 190068.73
SET: 190000.95
SET: 190020.02
SET: 189914.59
SET: 189891.19
SET: 189864.02
SET: 189839.89
SET: 189797.59
SET: 189679.78
SET: 189602.42
SET: 189551.47
SET: 189486.20
SET: 189451.31
SET: 189359.11
SET: 189315.64
SET: 189227.91
SET: 189205.80
SET: 189142.52
SET: 189083.72
SET: 189032.22
SET: 188993.17
SET: 188901.62
SET: 188816.22
SET: 188820.23
SET: 188793.95
SET: 188736.39
SET: 188630.52
SET: 188523.30
SET: 188452.39
SET: 188420.48
SET: 188402.97
SET: 188355.77
SET: 188284.19
SET: 188206.36
SET: 188111.91
SET: 188041.34
SET: 188026.70
SET: 187967.66
====== SET ======
  20000000 requests completed in 106.41 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.74% <= 0.2 milliseconds
4.16% <= 0.3 milliseconds
9.70% <= 0.4 milliseconds
15.46% <= 0.5 milliseconds
21.82% <= 0.6 milliseconds
28.99% <= 0.7 milliseconds
37.09% <= 0.8 milliseconds
45.38% <= 0.9 milliseconds
53.14% <= 1.0 milliseconds
60.03% <= 1.1 milliseconds
65.87% <= 1.2 milliseconds
70.72% <= 1.3 milliseconds
74.71% <= 1.4 milliseconds
78.01% <= 1.5 milliseconds
80.76% <= 1.6 milliseconds
83.06% <= 1.7 milliseconds
85.00% <= 1.8 milliseconds
86.65% <= 1.9 milliseconds
88.06% <= 2 milliseconds
95.40% <= 3 milliseconds
97.88% <= 4 milliseconds
98.91% <= 5 milliseconds
99.39% <= 6 milliseconds
99.64% <= 7 milliseconds
99.79% <= 8 milliseconds
99.86% <= 9 milliseconds
99.90% <= 10 milliseconds
99.93% <= 11 milliseconds
99.95% <= 12 milliseconds
99.97% <= 13 milliseconds
99.98% <= 14 milliseconds
99.98% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 19 milliseconds
187950.48 requests per second


