2023-11-21 22:53:31
SET: nan
SET: 527200.00
SET: 398952.38
SET: 354450.94
SET: 310764.97
SET: 297467.31
SET: 286659.59
SET: 276424.19
SET: 270475.06
SET: 258956.53
SET: 251159.75
SET: 251988.39
SET: 253339.55
SET: 252883.03
SET: 252870.27
SET: 252475.91
SET: 251603.70
SET: 250061.06
SET: 246019.53
SET: 241145.03
SET: 237680.52
SET: 234648.92
SET: 231814.09
SET: 232918.38
SET: 232198.38
SET: 232805.25
SET: 234374.56
SET: 235905.91
SET: 236655.73
SET: 237094.20
SET: 236923.56
SET: 235811.33
SET: 234316.09
SET: 234111.38
SET: 233801.17
SET: 234150.67
SET: 234613.09
SET: 234755.94
SET: 234015.56
SET: 232543.44
SET: 231104.89
SET: 229616.84
SET: 228177.31
SET: 226673.84
SET: 225314.20
SET: 224439.70
SET: 223720.64
SET: 223006.30
SET: 223501.83
SET: 223191.64
SET: 223189.25
SET: 223658.36
SET: 224379.34
SET: 225214.30
SET: 225870.34
SET: 225618.84
SET: 225516.31
SET: 225363.53
SET: 225296.50
SET: 225628.41
SET: 225983.89
SET: 226225.89
SET: 226340.59
SET: 226642.98
SET: 227469.97
SET: 227368.91
SET: 227545.11
SET: 227806.73
SET: 227132.95
SET: 226888.33
SET: 226981.39
SET: 226947.08
SET: 226670.81
SET: 226975.47
SET: 226676.89
SET: 225911.75
SET: 225368.03
SET: 225192.45
SET: 225264.48
SET: 224922.70
SET: 224727.75
SET: 224755.48
SET: 224904.19
SET: 224951.81
SET: 224664.55
SET: 223949.98
SET: 223230.48
SET: 222210.47
SET: 221452.25
SET: 220808.77
SET: 220121.48
SET: 219262.95
SET: 218312.58
SET: 217678.94
SET: 217067.47
SET: 216531.31
SET: 216177.81
SET: 215531.38
SET: 214883.42
SET: 214273.75
SET: 213790.05
SET: 213404.88
SET: 212865.19
SET: 212497.08
SET: 212167.53
SET: 212294.23
SET: 212255.27
SET: 212316.83
SET: 212695.70
SET: 212373.77
SET: 212406.70
SET: 212579.88
SET: 212740.75
SET: 212784.27
SET: 213055.55
SET: 212752.58
SET: 212636.14
SET: 212701.48
SET: 212768.53
SET: 212917.61
SET: 213030.86
SET: 212761.11
SET: 212566.78
SET: 212603.23
SET: 212612.05
SET: 212815.75
SET: 212852.92
SET: 213059.86
SET: 213118.75
SET: 213233.47
SET: 213320.86
SET: 213347.39
SET: 213510.56
SET: 213462.70
SET: 213337.78
SET: 213373.34
SET: 213381.11
SET: 213452.70
SET: 213527.66
SET: 213584.75
SET: 213325.48
SET: 213258.73
SET: 213254.47
SET: 213084.98
SET: 213215.75
SET: 213276.59
SET: 213103.44
SET: 213114.64
SET: 213124.19
SET: 213142.61
SET: 213060.84
SET: 213175.12
SET: 213173.08
SET: 213168.55
SET: 213210.78
SET: 213127.30
SET: 213224.58
SET: 213291.92
SET: 213332.45
SET: 213319.47
SET: 213330.80
SET: 213290.84
SET: 213339.12
SET: 213511.94
SET: 213408.38
SET: 213305.38
SET: 213292.91
SET: 213283.06
SET: 213238.39
SET: 213244.31
SET: 213098.23
SET: 212971.45
SET: 212987.17
SET: 213047.44
SET: 212996.78
SET: 213006.80
SET: 212826.73
SET: 212879.14
SET: 212792.67
SET: 212742.17
SET: 212666.84
SET: 212678.17
SET: 212477.39
SET: 212268.66
SET: 212191.62
SET: 212165.36
SET: 212117.20
SET: 212049.23
SET: 212090.30
SET: 211988.84
SET: 211877.53
SET: 211936.58
SET: 211949.39
SET: 211987.41
SET: 211837.70
SET: 211612.75
SET: 211451.31
SET: 211433.64
SET: 211429.23
SET: 211294.61
SET: 211192.00
SET: 211054.48
SET: 211014.53
SET: 210900.03
SET: 210746.06
SET: 210657.52
SET: 210561.30
SET: 210257.84
SET: 210011.41
SET: 209627.83
SET: 209412.16
SET: 209110.34
SET: 208779.27
SET: 208560.39
SET: 208257.53
SET: 207853.25
SET: 207569.94
SET: 207301.02
SET: 207030.19
SET: 206648.84
SET: 206381.53
SET: 206082.78
SET: 205807.31
SET: 205579.75
SET: 205371.06
SET: 205177.30
SET: 204941.39
SET: 204697.86
SET: 204442.56
SET: 204115.11
SET: 203912.80
SET: 203615.08
SET: 203382.84
SET: 203197.80
SET: 202956.64
SET: 202740.84
SET: 202495.72
SET: 202335.22
SET: 202060.00
SET: 201755.12
SET: 201525.91
SET: 201266.98
SET: 201048.56
SET: 200784.30
SET: 200531.09
SET: 200246.72
SET: 200055.88
SET: 199847.67
SET: 199626.84
SET: 199440.16
SET: 199219.27
SET: 199087.89
SET: 198972.55
SET: 198898.16
SET: 198763.92
SET: 198739.19
SET: 198561.67
SET: 198540.80
SET: 198611.38
SET: 198613.77
SET: 198595.97
SET: 198500.06
SET: 198344.25
SET: 198292.86
SET: 198205.72
SET: 198075.94
SET: 197971.64
SET: 197955.64
SET: 197845.34
SET: 197690.91
SET: 197622.02
SET: 197478.03
SET: 197378.23
SET: 197345.09
SET: 197300.88
SET: 197177.45
SET: 197087.14
SET: 196962.52
SET: 196939.05
SET: 196907.27
SET: 196772.05
SET: 196669.94
SET: 196602.27
SET: 196517.12
SET: 196472.31
SET: 196353.91
SET: 196196.53
SET: 196118.22
SET: 196019.03
SET: 195909.23
SET: 195901.73
SET: 195837.03
SET: 195742.36
SET: 195587.22
SET: 195408.69
SET: 195316.42
SET: 195249.72
SET: 195161.72
SET: 195093.09
SET: 195086.28
SET: 195063.55
SET: 194958.64
SET: 194840.78
SET: 194734.67
SET: 194652.30
SET: 194602.52
SET: 194597.58
SET: 194566.22
SET: 194508.80
SET: 194376.95
SET: 194304.95
SET: 194181.80
SET: 194006.27
SET: 193906.86
SET: 193869.12
SET: 193818.66
SET: 193786.39
SET: 193698.72
SET: 193563.61
SET: 193510.62
SET: 193423.59
SET: 193329.64
SET: 193265.94
SET: 193220.66
SET: 193139.64
SET: 193057.27
SET: 193006.06
SET: 192905.73
SET: 192819.23
SET: 192740.97
SET: 192681.77
SET: 192623.20
SET: 192560.47
SET: 192494.77
SET: 192419.78
SET: 192331.22
SET: 192335.08
SET: 192261.23
SET: 192158.42
SET: 192078.06
SET: 191972.83
SET: 191910.09
SET: 191817.92
SET: 191858.62
SET: 191806.17
SET: 191692.95
SET: 191613.38
SET: 191474.64
SET: 191480.20
SET: 191421.33
SET: 191383.34
SET: 191312.61
SET: 191295.39
SET: 191282.91
SET: 191228.03
SET: 191119.45
SET: 191026.20
SET: 191018.64
SET: 190920.30
SET: 190865.59
SET: 190789.28
SET: 190754.28
SET: 190681.69
SET: 190636.44
SET: 190584.12
SET: 190506.64
SET: 190469.05
SET: 190416.52
SET: 190360.70
SET: 190319.06
SET: 190292.92
SET: 190228.67
SET: 190154.98
SET: 190076.62
SET: 190029.78
SET: 190024.12
SET: 189927.52
SET: 189908.62
SET: 189849.36
SET: 189801.81
SET: 189696.91
SET: 189626.59
SET: 189541.75
SET: 189492.00
SET: 189485.16
SET: 189459.62
SET: 189373.03
SET: 189276.89
SET: 189225.91
SET: 189171.56
SET: 189136.89
SET: 189125.89
SET: 189056.33
SET: 188966.44
SET: 188898.84
SET: 188858.56
SET: 188803.30
SET: 188733.55
SET: 188652.88
SET: 188519.53
SET: 188434.64
SET: 188372.73
SET: 188317.19
SET: 188273.89
SET: 188207.77
SET: 188171.11
SET: 188118.02
SET: 188076.66
SET: 188034.16
SET: 188020.70
SET: 187943.64
SET: 187860.36
SET: 187779.98
SET: 187752.45
SET: 187675.45
SET: 187633.34
SET: 187574.36
SET: 187521.27
SET: 187456.88
SET: 187385.17
SET: 187315.55
SET: 187279.81
SET: 187251.75
SET: 187202.14
SET: 187146.72
SET: 187127.45
SET: 187088.53
SET: 187057.17
====== SET ======
  20000040 requests completed in 106.92 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.62% <= 0.2 milliseconds
3.86% <= 0.3 milliseconds
9.68% <= 0.4 milliseconds
15.65% <= 0.5 milliseconds
21.93% <= 0.6 milliseconds
28.73% <= 0.7 milliseconds
36.37% <= 0.8 milliseconds
44.35% <= 0.9 milliseconds
52.06% <= 1.0 milliseconds
59.12% <= 1.1 milliseconds
65.21% <= 1.2 milliseconds
70.25% <= 1.3 milliseconds
74.41% <= 1.4 milliseconds
77.82% <= 1.5 milliseconds
80.66% <= 1.6 milliseconds
83.05% <= 1.7 milliseconds
85.06% <= 1.8 milliseconds
86.79% <= 1.9 milliseconds
88.24% <= 2 milliseconds
95.60% <= 3 milliseconds
98.03% <= 4 milliseconds
99.02% <= 5 milliseconds
99.43% <= 6 milliseconds
99.65% <= 7 milliseconds
99.79% <= 8 milliseconds
99.86% <= 9 milliseconds
99.91% <= 10 milliseconds
99.95% <= 11 milliseconds
99.97% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 18 milliseconds
187056.12 requests per second


