2023-11-21 22:53:31
SET: nan
SET: 490496.00
SET: 375920.00
SET: 338389.34
SET: 297200.00
SET: 285945.59
SET: 277706.66
SET: 272027.41
SET: 267650.19
SET: 256731.16
SET: 247661.34
SET: 249028.33
SET: 250924.11
SET: 250824.83
SET: 250443.81
SET: 250877.53
SET: 250330.50
SET: 249796.98
SET: 246464.27
SET: 241481.92
SET: 237516.58
SET: 234611.88
SET: 231644.02
SET: 232658.80
SET: 232450.14
SET: 232909.06
SET: 233733.52
SET: 234762.17
SET: 235034.25
SET: 235162.31
SET: 235408.64
SET: 234054.14
SET: 233263.72
SET: 232993.94
SET: 232913.95
SET: 232361.64
SET: 232728.97
SET: 232297.97
SET: 232365.83
SET: 230678.28
SET: 229475.30
SET: 227799.30
SET: 226438.14
SET: 224763.28
SET: 223483.56
SET: 222369.31
SET: 221771.06
SET: 220678.00
SET: 221213.92
SET: 220395.30
SET: 220455.81
SET: 220441.23
SET: 220461.66
SET: 221052.47
SET: 221244.34
SET: 220985.77
SET: 220979.59
SET: 221033.66
SET: 221198.30
SET: 221509.08
SET: 221822.83
SET: 221991.09
SET: 222183.95
SET: 222438.67
SET: 222616.88
SET: 222767.48
SET: 222959.06
SET: 223134.55
SET: 222612.30
SET: 222459.58
SET: 222557.83
SET: 222633.50
SET: 222794.09
SET: 222711.19
SET: 222367.86
SET: 222178.19
SET: 222282.16
SET: 222130.89
SET: 222317.14
SET: 222483.70
SET: 222543.00
SET: 222542.02
SET: 222575.38
SET: 222747.77
SET: 222569.69
SET: 222264.53
SET: 221655.30
SET: 220850.94
SET: 220239.62
SET: 219432.58
SET: 218736.19
SET: 217787.00
SET: 217133.33
SET: 216543.56
SET: 216058.86
SET: 215553.38
SET: 214998.14
SET: 214158.61
SET: 213738.61
SET: 213176.59
SET: 212741.55
SET: 212278.70
SET: 211748.45
SET: 211464.08
SET: 211011.17
SET: 210836.06
SET: 211010.22
SET: 211133.89
SET: 211163.81
SET: 211024.81
SET: 211052.86
SET: 211016.73
SET: 210983.55
SET: 211115.05
SET: 211019.03
SET: 210743.41
SET: 210850.70
SET: 210797.39
SET: 210901.78
SET: 210918.78
SET: 211042.89
SET: 210799.67
SET: 210812.64
SET: 210808.52
SET: 210868.83
SET: 211046.94
SET: 211128.09
SET: 211313.45
SET: 211305.56
SET: 211435.36
SET: 211541.03
SET: 211641.44
SET: 211746.62
SET: 211591.05
SET: 211435.89
SET: 211246.70
SET: 211240.02
SET: 211346.61
SET: 211384.25
SET: 211341.97
SET: 211064.83
SET: 211088.02
SET: 211143.97
SET: 211145.48
SET: 211187.16
SET: 211146.67
SET: 210998.33
SET: 211018.83
SET: 211149.02
SET: 211274.69
SET: 211253.94
SET: 211218.42
SET: 211068.33
SET: 211205.67
SET: 211183.42
SET: 211203.33
SET: 211338.38
SET: 211425.08
SET: 211512.89
SET: 211601.22
SET: 211731.20
SET: 211737.44
SET: 211705.70
SET: 211801.86
SET: 211545.12
SET: 211357.11
SET: 211297.42
SET: 211341.64
SET: 211371.44
SET: 211317.08
SET: 211222.34
SET: 211090.25
SET: 211105.80
SET: 211049.05
SET: 210964.47
SET: 210988.47
SET: 210960.25
SET: 210812.39
SET: 210796.28
SET: 210765.02
SET: 210806.98
SET: 210859.48
SET: 210707.95
SET: 210593.77
SET: 210600.70
SET: 210575.08
SET: 210546.30
SET: 210574.23
SET: 210570.42
SET: 210621.11
SET: 210649.22
SET: 210646.41
SET: 210706.56
SET: 210671.30
SET: 210555.20
SET: 210399.81
SET: 210253.52
SET: 210141.80
SET: 210092.56
SET: 210168.80
SET: 210083.31
SET: 209946.36
SET: 209969.48
SET: 209808.14
SET: 209739.41
SET: 209678.38
SET: 209542.36
SET: 209371.50
SET: 209156.80
SET: 208813.81
SET: 208521.89
SET: 208229.09
SET: 207894.73
SET: 207629.69
SET: 207280.62
SET: 206956.97
SET: 206613.50
SET: 206379.42
SET: 206023.72
SET: 205706.44
SET: 205408.91
SET: 205039.98
SET: 204749.27
SET: 204426.47
SET: 204200.75
SET: 203976.62
SET: 203700.84
SET: 203405.81
SET: 203149.55
SET: 202940.89
SET: 202736.55
SET: 202536.05
SET: 202155.62
SET: 201810.03
SET: 201547.20
SET: 201353.53
SET: 201085.91
SET: 200755.92
SET: 200612.22
SET: 200340.75
SET: 200101.39
SET: 199875.28
SET: 199510.06
SET: 199197.38
SET: 199008.69
SET: 198733.58
SET: 198515.81
SET: 198325.31
SET: 198138.53
SET: 197909.25
SET: 197700.83
SET: 197462.67
SET: 197260.20
SET: 197091.88
SET: 196866.91
SET: 196840.20
SET: 196671.94
SET: 196618.73
SET: 196490.69
SET: 196391.69
SET: 196323.17
SET: 196169.05
SET: 196109.34
SET: 196079.56
SET: 195963.73
SET: 195774.22
SET: 195694.05
SET: 195549.89
SET: 195361.30
SET: 195169.70
SET: 195038.48
SET: 194921.03
SET: 194876.22
SET: 194723.98
SET: 194603.31
SET: 194481.09
SET: 194381.64
SET: 194280.94
SET: 194188.80
SET: 194087.33
SET: 193987.73
SET: 193972.36
SET: 193942.36
SET: 193862.86
SET: 193783.64
SET: 193670.70
SET: 193513.84
SET: 193433.61
SET: 193353.14
SET: 193204.86
SET: 193035.64
SET: 192895.19
SET: 192767.09
SET: 192610.50
SET: 192513.17
SET: 192407.28
SET: 192287.84
SET: 192209.48
SET: 192077.45
SET: 191922.47
SET: 191819.14
SET: 191725.73
SET: 191629.03
SET: 191557.98
SET: 191475.50
SET: 191409.72
SET: 191304.86
SET: 191153.83
SET: 191039.80
SET: 190924.12
SET: 190906.45
SET: 190871.12
SET: 190724.00
SET: 190589.25
SET: 190467.89
SET: 190352.91
SET: 190225.50
SET: 190089.08
SET: 190043.72
SET: 189947.94
SET: 189799.78
SET: 189730.34
SET: 189562.33
SET: 189469.41
SET: 189449.78
SET: 189391.61
SET: 189266.72
SET: 189179.64
SET: 189060.14
SET: 189012.42
SET: 188967.09
SET: 188919.25
SET: 188846.28
SET: 188752.86
SET: 188679.39
SET: 188610.28
SET: 188557.47
SET: 188513.11
SET: 188378.70
SET: 188314.84
SET: 188225.00
SET: 188094.97
SET: 188053.66
SET: 188055.92
SET: 188039.59
SET: 187960.16
SET: 187869.53
SET: 187774.73
SET: 187718.06
SET: 187669.72
SET: 187655.50
SET: 187573.42
SET: 187488.92
SET: 187432.22
SET: 187339.45
SET: 187301.06
SET: 187235.50
SET: 187232.27
SET: 187164.62
SET: 187063.56
SET: 187003.67
SET: 186902.47
SET: 186860.02
SET: 186809.17
SET: 186762.72
SET: 186691.75
SET: 186589.64
SET: 186503.67
SET: 186478.36
SET: 186412.02
SET: 186304.58
SET: 186232.89
SET: 186112.94
SET: 186129.47
SET: 186088.41
SET: 186009.44
SET: 185963.11
SET: 185910.08
SET: 185829.42
SET: 185749.36
SET: 185672.92
SET: 185613.06
SET: 185510.33
SET: 185435.69
SET: 185401.56
SET: 185387.30
SET: 185330.38
SET: 185250.77
SET: 185181.30
SET: 185101.50
SET: 185074.50
SET: 185052.45
SET: 184947.09
SET: 184905.97
SET: 184797.20
SET: 184727.69
SET: 184680.00
SET: 184610.33
SET: 184505.73
SET: 184445.02
SET: 184343.03
SET: 184285.25
SET: 184207.88
SET: 184175.95
SET: 184139.83
SET: 184071.05
SET: 183984.25
SET: 183916.89
SET: 183886.38
SET: 183858.05
SET: 183818.94
SET: 183777.30
SET: 183728.33
SET: 183687.38
SET: 183675.69
SET: 183620.00
SET: 183544.23
SET: 183487.22
SET: 183442.25
SET: 183353.23
SET: 183343.89
SET: 183309.83
SET: 183247.30
SET: 183157.64
SET: 183134.36
SET: 183100.59
SET: 183112.16
SET: 183071.03
SET: 183003.81
SET: 182943.83
SET: 182920.94
SET: 183057.84
SET: 183316.28
SET: 183475.94
SET: 183624.55
====== SET ======
  20000016 requests completed in 108.82 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.48% <= 0.2 milliseconds
3.42% <= 0.3 milliseconds
8.93% <= 0.4 milliseconds
14.65% <= 0.5 milliseconds
20.55% <= 0.6 milliseconds
27.04% <= 0.7 milliseconds
34.54% <= 0.8 milliseconds
42.41% <= 0.9 milliseconds
50.18% <= 1.0 milliseconds
57.44% <= 1.1 milliseconds
63.88% <= 1.2 milliseconds
69.33% <= 1.3 milliseconds
73.77% <= 1.4 milliseconds
77.38% <= 1.5 milliseconds
80.33% <= 1.6 milliseconds
82.77% <= 1.7 milliseconds
84.80% <= 1.8 milliseconds
86.50% <= 1.9 milliseconds
87.95% <= 2 milliseconds
95.48% <= 3 milliseconds
97.89% <= 4 milliseconds
98.89% <= 5 milliseconds
99.38% <= 6 milliseconds
99.62% <= 7 milliseconds
99.77% <= 8 milliseconds
99.85% <= 9 milliseconds
99.90% <= 10 milliseconds
99.93% <= 11 milliseconds
99.96% <= 12 milliseconds
99.98% <= 13 milliseconds
99.98% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 22 milliseconds
100.00% <= 25 milliseconds
100.00% <= 25 milliseconds
183789.89 requests per second


