2023-11-21 22:53:31
SET: 0.00
SET: 560860.56
SET: 427720.56
SET: 365262.31
SET: 316187.81
SET: 298112.97
SET: 285876.59
SET: 279253.28
SET: 270478.09
SET: 259380.00
SET: 250277.52
SET: 250175.50
SET: 251736.70
SET: 252503.39
SET: 251051.31
SET: 251951.05
SET: 251501.00
SET: 250558.36
SET: 247013.53
SET: 241887.80
SET: 237014.36
SET: 233549.58
SET: 230932.56
SET: 229731.53
SET: 230331.12
SET: 230744.98
SET: 230599.34
SET: 231347.52
SET: 231987.47
SET: 231380.56
SET: 232249.97
SET: 231523.36
SET: 230856.00
SET: 230523.03
SET: 230968.20
SET: 231010.38
SET: 231267.48
SET: 231087.05
SET: 230563.17
SET: 229599.42
SET: 228010.78
SET: 226641.22
SET: 225355.77
SET: 224168.61
SET: 222665.09
SET: 221698.17
SET: 220482.95
SET: 219298.67
SET: 218493.42
SET: 218235.98
SET: 217961.34
SET: 218481.67
SET: 218789.12
SET: 219159.86
SET: 219800.64
SET: 219506.06
SET: 219457.58
SET: 220207.34
SET: 220365.09
SET: 220522.41
SET: 220905.52
SET: 220742.50
SET: 220929.42
SET: 221438.45
SET: 222021.47
SET: 222171.28
SET: 222539.20
SET: 222777.45
SET: 222280.59
SET: 221942.48
SET: 221760.97
SET: 221790.66
SET: 222169.19
SET: 222256.02
SET: 222121.95
SET: 221760.16
SET: 221878.70
SET: 221870.53
SET: 221776.95
SET: 221764.61
SET: 221702.23
SET: 221575.92
SET: 221482.31
SET: 221502.59
SET: 221500.70
SET: 221471.42
SET: 220844.95
SET: 220235.44
SET: 219361.95
SET: 218589.58
SET: 217988.38
SET: 217408.64
SET: 216711.27
SET: 215901.05
SET: 215504.06
SET: 214879.97
SET: 214283.84
SET: 213574.80
SET: 213045.20
SET: 212465.92
SET: 211825.69
SET: 211328.14
SET: 210679.94
SET: 210010.47
SET: 209430.39
SET: 208984.28
SET: 208932.50
SET: 209202.47
SET: 209284.27
SET: 209055.53
SET: 208886.44
SET: 209004.58
SET: 209229.03
SET: 209316.31
SET: 209435.98
SET: 209499.39
SET: 209560.33
SET: 209673.22
SET: 209576.17
SET: 209853.81
SET: 210135.38
SET: 209730.64
SET: 209695.25
SET: 209711.11
SET: 209834.19
SET: 209958.64
SET: 210101.91
SET: 209899.39
SET: 209947.86
SET: 210072.28
SET: 210238.30
SET: 210324.67
SET: 210384.08
SET: 210084.28
SET: 209995.94
SET: 209876.05
SET: 209823.97
SET: 209860.12
SET: 209959.88
SET: 210090.66
SET: 209915.70
SET: 209837.47
SET: 209859.20
SET: 209959.27
SET: 209957.00
SET: 210016.70
SET: 209979.77
SET: 210109.36
SET: 210234.39
SET: 210318.28
SET: 210468.81
SET: 210375.03
SET: 210274.80
SET: 210177.03
SET: 209997.36
SET: 210049.84
SET: 210113.94
SET: 210160.73
SET: 210079.94
SET: 209987.91
SET: 210031.41
SET: 209960.91
SET: 210218.03
SET: 210213.86
SET: 210098.48
SET: 209959.33
SET: 209915.02
SET: 209963.08
SET: 209950.08
SET: 209914.16
SET: 209837.47
SET: 209661.73
SET: 209690.73
SET: 209820.61
SET: 209951.20
SET: 209978.14
SET: 210031.38
SET: 209985.80
SET: 209974.30
SET: 209948.47
SET: 209908.53
SET: 209947.97
SET: 209948.25
SET: 209790.08
SET: 209712.11
SET: 209672.30
SET: 209610.75
SET: 209648.80
SET: 209652.28
SET: 209527.06
SET: 209474.97
SET: 209462.41
SET: 209478.77
SET: 209554.06
SET: 209378.38
SET: 209221.86
SET: 209166.56
SET: 209141.19
SET: 209028.42
SET: 209028.39
SET: 208878.02
SET: 208792.56
SET: 208694.83
SET: 208718.50
SET: 208749.12
SET: 208736.75
SET: 208657.16
SET: 208650.59
SET: 208562.05
SET: 208221.56
SET: 207920.09
SET: 207508.80
SET: 207211.11
SET: 206868.38
SET: 206455.19
SET: 206180.38
SET: 205860.47
SET: 205538.20
SET: 205290.86
SET: 204980.27
SET: 204790.30
SET: 204533.50
SET: 204254.17
SET: 203999.06
SET: 203748.09
SET: 203533.02
SET: 203192.75
SET: 202869.02
SET: 202657.28
SET: 202395.34
SET: 202152.08
SET: 201899.02
SET: 201645.66
SET: 201421.20
SET: 201239.23
SET: 201041.00
SET: 200828.73
SET: 200584.81
SET: 200307.09
SET: 200067.53
SET: 199880.42
SET: 199646.73
SET: 199383.28
SET: 199234.44
SET: 199059.33
SET: 198927.75
SET: 198742.69
SET: 198551.50
SET: 198312.86
SET: 198158.67
SET: 197985.91
SET: 197779.02
SET: 197655.55
SET: 197483.53
SET: 197533.69
SET: 197580.44
SET: 197609.98
SET: 197522.89
SET: 197479.70
SET: 197358.25
SET: 197308.53
SET: 197226.59
SET: 197099.61
SET: 196964.69
SET: 196810.19
SET: 196767.70
SET: 196735.75
SET: 196638.31
SET: 196541.23
SET: 196417.67
SET: 196323.92
SET: 196203.84
SET: 196100.28
SET: 196041.73
SET: 195965.06
SET: 195943.41
SET: 195779.41
SET: 195736.19
SET: 195734.03
SET: 195566.55
SET: 195478.83
SET: 195434.05
SET: 195368.17
SET: 195299.70
SET: 195262.44
SET: 195204.47
SET: 195088.80
SET: 195032.61
SET: 194947.73
SET: 194842.44
SET: 194778.31
SET: 194723.53
SET: 194590.97
SET: 194467.78
SET: 194350.25
SET: 194213.91
SET: 194061.64
SET: 194033.62
SET: 193982.72
SET: 193970.02
SET: 193919.98
SET: 193849.16
SET: 193732.14
SET: 193618.94
SET: 193493.23
SET: 193394.67
SET: 193275.20
SET: 193283.97
SET: 193186.89
SET: 193101.56
SET: 192992.73
SET: 192886.47
SET: 192852.19
SET: 192707.03
SET: 192671.39
SET: 192695.14
SET: 192627.39
SET: 192518.55
SET: 192453.80
SET: 192353.78
SET: 192312.33
SET: 192270.44
SET: 192149.88
SET: 192098.06
SET: 192051.00
SET: 191899.09
SET: 191820.28
SET: 191688.19
SET: 191608.75
SET: 191582.83
SET: 191502.62
SET: 191399.75
SET: 191301.14
SET: 191194.38
SET: 191175.55
SET: 191138.89
SET: 191117.95
SET: 191117.44
SET: 191004.39
SET: 190927.83
SET: 190808.58
SET: 190744.58
SET: 190698.98
SET: 190699.72
SET: 190653.97
SET: 190586.16
SET: 190506.44
SET: 190420.56
SET: 190324.23
SET: 190311.55
SET: 190308.88
SET: 190289.00
SET: 190233.42
SET: 190175.31
SET: 190079.23
SET: 190042.86
SET: 190042.61
SET: 189944.94
SET: 189903.97
SET: 189809.02
SET: 189756.48
SET: 189721.25
SET: 189664.69
SET: 189564.84
SET: 189456.75
SET: 189398.38
SET: 189303.73
SET: 189207.17
SET: 189195.81
SET: 189112.62
SET: 189076.56
SET: 189057.47
SET: 189031.25
SET: 188961.91
SET: 188856.86
SET: 188796.36
SET: 188737.62
SET: 188667.75
SET: 188600.11
SET: 188567.66
SET: 188529.25
SET: 188439.09
SET: 188308.55
SET: 188252.25
SET: 188196.56
SET: 188118.52
SET: 188026.17
SET: 187979.09
SET: 187879.97
SET: 187835.70
SET: 187804.41
SET: 187767.31
SET: 187721.50
SET: 187653.41
SET: 187560.50
SET: 187531.52
SET: 187495.00
SET: 187432.98
SET: 187430.23
SET: 187369.58
SET: 187272.62
SET: 187199.83
SET: 187101.95
SET: 187076.58
SET: 187040.33
SET: 186997.27
SET: 187013.75
SET: 187052.30
SET: 187035.42
SET: 186958.38
SET: 186917.89
SET: 186866.39
SET: 186815.23
SET: 186808.42
SET: 186832.22
SET: 186819.08
SET: 186718.95
SET: 186677.72
SET: 186612.14
SET: 186587.06
SET: 186540.89
SET: 186521.88
SET: 186480.91
SET: 186408.53
SET: 186354.61
SET: 186315.61
SET: 186281.27
SET: 186335.52
SET: 186304.58
====== SET ======
  20000024 requests completed in 107.36 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.51% <= 0.2 milliseconds
3.82% <= 0.3 milliseconds
9.64% <= 0.4 milliseconds
15.59% <= 0.5 milliseconds
21.71% <= 0.6 milliseconds
28.50% <= 0.7 milliseconds
36.20% <= 0.8 milliseconds
44.25% <= 0.9 milliseconds
51.96% <= 1.0 milliseconds
58.97% <= 1.1 milliseconds
65.09% <= 1.2 milliseconds
70.19% <= 1.3 milliseconds
74.38% <= 1.4 milliseconds
77.80% <= 1.5 milliseconds
80.64% <= 1.6 milliseconds
82.99% <= 1.7 milliseconds
84.96% <= 1.8 milliseconds
86.64% <= 1.9 milliseconds
88.07% <= 2 milliseconds
95.40% <= 3 milliseconds
97.95% <= 4 milliseconds
98.97% <= 5 milliseconds
99.45% <= 6 milliseconds
99.69% <= 7 milliseconds
99.81% <= 8 milliseconds
99.88% <= 9 milliseconds
99.92% <= 10 milliseconds
99.95% <= 11 milliseconds
99.97% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 19 milliseconds
186291.08 requests per second


