2023-11-21 22:53:31
SET: nan
SET: 390528.00
SET: 332544.00
SET: 318986.66
SET: 293536.00
SET: 284358.41
SET: 278624.91
SET: 271077.09
SET: 266114.94
SET: 256248.78
SET: 247776.17
SET: 247366.50
SET: 247936.17
SET: 246236.97
SET: 248164.20
SET: 247812.67
SET: 247920.17
SET: 248003.77
SET: 244592.73
SET: 240052.12
SET: 236384.98
SET: 234055.53
SET: 231027.05
SET: 231751.36
SET: 231315.70
SET: 231928.42
SET: 232210.17
SET: 232371.66
SET: 232787.56
SET: 233110.91
SET: 233161.28
SET: 233169.23
SET: 230633.55
SET: 230222.55
SET: 230156.52
SET: 230357.98
SET: 229854.83
SET: 229939.97
SET: 229853.27
SET: 229101.19
SET: 227834.23
SET: 226099.55
SET: 224690.05
SET: 223384.20
SET: 222314.33
SET: 221103.36
SET: 220114.92
SET: 219175.27
SET: 218009.81
SET: 217773.28
SET: 218181.94
SET: 218438.03
SET: 218845.86
SET: 219424.02
SET: 220223.95
SET: 220135.34
SET: 220430.69
SET: 220604.42
SET: 220786.23
SET: 221017.67
SET: 221173.78
SET: 221178.66
SET: 221228.73
SET: 221896.94
SET: 221981.80
SET: 222227.59
SET: 222226.33
SET: 222529.81
SET: 222081.06
SET: 221854.14
SET: 221570.25
SET: 222048.70
SET: 222140.56
SET: 222389.33
SET: 222231.44
SET: 221699.02
SET: 221470.67
SET: 221476.50
SET: 221671.86
SET: 221853.38
SET: 221872.69
SET: 221684.36
SET: 221718.00
SET: 221767.78
SET: 221745.25
SET: 221589.80
SET: 220965.91
SET: 220067.56
SET: 219341.02
SET: 218758.56
SET: 217896.16
SET: 216574.78
SET: 215582.88
SET: 214836.97
SET: 214132.41
SET: 213481.44
SET: 212888.88
SET: 212390.53
SET: 211805.83
SET: 211292.31
SET: 210832.09
SET: 210420.44
SET: 209937.19
SET: 209393.83
SET: 209123.28
SET: 208756.23
SET: 208530.86
SET: 208918.33
SET: 208821.66
SET: 208672.83
SET: 208628.08
SET: 208686.05
SET: 208850.28
SET: 208910.89
SET: 209133.05
SET: 209001.22
SET: 208995.31
SET: 209082.08
SET: 209322.86
SET: 209510.47
SET: 209642.23
SET: 209496.06
SET: 209541.38
SET: 209635.12
SET: 209718.08
SET: 209731.45
SET: 209619.83
SET: 209694.41
SET: 209908.39
SET: 209939.44
SET: 210059.00
SET: 210171.38
SET: 210404.97
SET: 210545.02
SET: 210266.34
SET: 210037.95
SET: 210144.70
SET: 210283.27
SET: 210384.38
SET: 210557.62
SET: 210317.94
SET: 210295.41
SET: 210356.02
SET: 210502.03
SET: 210538.84
SET: 210405.86
SET: 210251.48
SET: 210229.66
SET: 210229.52
SET: 210221.58
SET: 210325.45
SET: 210364.47
SET: 210329.59
SET: 210309.58
SET: 210388.41
SET: 210523.55
SET: 210654.70
SET: 210812.91
SET: 210853.72
SET: 211009.88
SET: 211140.11
SET: 211241.12
SET: 211306.97
SET: 211576.53
SET: 211425.34
SET: 211265.31
SET: 211190.41
SET: 211235.38
SET: 211243.08
SET: 211176.55
SET: 211076.48
SET: 210961.69
SET: 210846.92
SET: 210765.83
SET: 210803.77
SET: 210812.97
SET: 210690.03
SET: 210615.27
SET: 210619.44
SET: 210538.39
SET: 210435.11
SET: 210542.81
SET: 210504.45
SET: 210413.75
SET: 210455.89
SET: 210456.45
SET: 210466.12
SET: 210513.50
SET: 210480.27
SET: 210329.31
SET: 210272.66
SET: 210191.48
SET: 210086.03
SET: 209968.78
SET: 209838.80
SET: 209788.73
SET: 209669.39
SET: 209495.30
SET: 209465.95
SET: 209353.73
SET: 209241.66
SET: 209339.64
SET: 209282.23
SET: 209099.11
SET: 209002.70
SET: 208927.03
SET: 208738.06
SET: 208673.20
SET: 208570.23
SET: 208303.56
SET: 208057.69
SET: 207759.47
SET: 207524.05
SET: 207211.92
SET: 206994.02
SET: 206758.78
SET: 206495.52
SET: 206143.97
SET: 205800.47
SET: 205519.06
SET: 205209.27
SET: 204968.12
SET: 204746.16
SET: 204464.78
SET: 204148.25
SET: 203939.78
SET: 203707.97
SET: 203507.92
SET: 203247.05
SET: 202905.05
SET: 202622.67
SET: 202443.92
SET: 202116.55
SET: 201951.66
SET: 201719.02
SET: 201488.39
SET: 201263.25
SET: 201050.52
SET: 200886.70
SET: 200661.14
SET: 200458.50
SET: 200267.48
SET: 200000.78
SET: 199871.09
SET: 199720.59
SET: 199513.91
SET: 199373.09
SET: 199242.61
SET: 199061.09
SET: 198846.78
SET: 198669.06
SET: 198556.45
SET: 198485.94
SET: 198456.92
SET: 198452.30
SET: 198569.92
SET: 198595.11
SET: 198563.50
SET: 198519.88
SET: 198484.25
SET: 198483.92
SET: 198331.25
SET: 198257.73
SET: 198244.33
SET: 198203.11
SET: 198233.16
SET: 198219.97
SET: 198064.78
SET: 197913.50
SET: 197816.91
SET: 197644.81
SET: 197522.00
SET: 197515.23
SET: 197443.30
SET: 197394.45
SET: 197233.19
SET: 197100.64
SET: 196992.14
SET: 196926.31
SET: 196851.73
SET: 196784.31
SET: 196654.81
SET: 196596.39
SET: 196485.30
SET: 196389.17
SET: 196273.08
SET: 196248.89
SET: 196194.11
SET: 196070.25
SET: 196053.59
SET: 195907.09
SET: 195826.03
SET: 195756.08
SET: 195607.67
SET: 195535.19
SET: 195526.47
SET: 195458.08
SET: 195333.88
SET: 195230.25
SET: 195085.42
SET: 194992.05
SET: 194936.67
SET: 194900.50
SET: 194804.70
SET: 194663.44
SET: 194548.34
SET: 194423.47
SET: 194324.81
SET: 194184.08
SET: 194116.41
SET: 193997.62
SET: 193888.86
SET: 193755.69
SET: 193620.89
SET: 193543.06
SET: 193500.11
SET: 193417.58
SET: 193319.05
SET: 193278.53
SET: 193195.47
SET: 193098.23
SET: 193009.39
SET: 192965.36
SET: 192910.14
SET: 192820.61
SET: 192670.88
SET: 192576.67
SET: 192469.94
SET: 192437.81
SET: 192359.16
SET: 192378.50
SET: 192285.81
SET: 192201.11
SET: 192075.92
SET: 192014.17
SET: 191909.56
SET: 191890.52
SET: 191883.83
SET: 191816.17
SET: 191668.69
SET: 191599.73
SET: 191477.36
SET: 191439.08
SET: 191405.86
SET: 191369.12
SET: 191308.52
SET: 191256.38
SET: 191111.50
SET: 190988.97
SET: 190918.14
SET: 190867.00
SET: 190770.33
SET: 190666.22
SET: 190628.25
SET: 190577.14
SET: 190473.91
SET: 190381.22
SET: 190313.77
SET: 190211.42
SET: 190124.97
SET: 190063.17
SET: 190029.30
SET: 189916.59
SET: 189833.67
SET: 189746.36
SET: 189686.14
SET: 189585.89
SET: 189461.64
SET: 189393.17
SET: 189326.08
SET: 189251.41
SET: 189206.78
SET: 189119.45
SET: 188996.66
SET: 188928.88
SET: 188841.17
SET: 188733.78
SET: 188653.53
SET: 188575.92
SET: 188509.86
SET: 188400.86
SET: 188335.89
SET: 188248.83
SET: 188176.25
SET: 188084.08
SET: 188054.97
SET: 187979.80
SET: 187899.08
SET: 187830.64
SET: 187779.19
SET: 187741.48
SET: 187685.42
SET: 187685.12
SET: 187595.17
SET: 187530.33
SET: 187450.59
SET: 187401.78
SET: 187391.14
SET: 187339.27
SET: 187291.80
SET: 187232.92
SET: 187133.12
SET: 187038.12
SET: 186969.69
SET: 186869.31
SET: 186909.52
SET: 186900.44
SET: 186810.39
SET: 186761.22
SET: 186656.33
SET: 186603.31
SET: 186528.72
SET: 186448.42
SET: 186427.56
SET: 186358.95
SET: 186307.83
SET: 186219.47
SET: 186170.00
SET: 186121.16
SET: 186039.52
SET: 185967.45
SET: 185906.75
SET: 185829.91
SET: 185754.19
SET: 185722.23
SET: 185678.09
SET: 185635.67
SET: 185601.31
SET: 185558.95
SET: 185565.83
SET: 185686.92
====== SET ======
  20000000 requests completed in 107.68 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.59% <= 0.2 milliseconds
3.77% <= 0.3 milliseconds
9.63% <= 0.4 milliseconds
15.59% <= 0.5 milliseconds
21.85% <= 0.6 milliseconds
28.78% <= 0.7 milliseconds
36.53% <= 0.8 milliseconds
44.54% <= 0.9 milliseconds
52.24% <= 1.0 milliseconds
59.24% <= 1.1 milliseconds
65.32% <= 1.2 milliseconds
70.34% <= 1.3 milliseconds
74.46% <= 1.4 milliseconds
77.81% <= 1.5 milliseconds
80.59% <= 1.6 milliseconds
82.89% <= 1.7 milliseconds
84.83% <= 1.8 milliseconds
86.49% <= 1.9 milliseconds
87.92% <= 2 milliseconds
95.31% <= 3 milliseconds
97.83% <= 4 milliseconds
98.89% <= 5 milliseconds
99.40% <= 6 milliseconds
99.64% <= 7 milliseconds
99.76% <= 8 milliseconds
99.85% <= 9 milliseconds
99.89% <= 10 milliseconds
99.92% <= 11 milliseconds
99.94% <= 12 milliseconds
99.96% <= 13 milliseconds
99.97% <= 14 milliseconds
99.98% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 20 milliseconds
100.00% <= 20 milliseconds
185738.95 requests per second


