2023-11-21 22:53:31
SET: nan
SET: 369440.00
SET: 318864.00
SET: 299829.34
SET: 278889.09
SET: 264976.84
SET: 262222.22
SET: 257131.77
SET: 253559.66
SET: 248937.42
SET: 240642.42
SET: 238387.22
SET: 241502.50
SET: 241915.19
SET: 242052.52
SET: 242495.47
SET: 244253.73
SET: 243392.56
SET: 242181.16
SET: 237826.28
SET: 233190.80
SET: 229497.23
SET: 226240.88
SET: 225085.66
SET: 226359.36
SET: 227399.52
SET: 228021.52
SET: 228957.52
SET: 228907.34
SET: 229511.58
SET: 230374.62
SET: 229411.03
SET: 228859.38
SET: 229324.62
SET: 228834.25
SET: 229140.27
SET: 229298.70
SET: 229366.47
SET: 228878.09
SET: 228403.00
SET: 227192.97
SET: 225569.89
SET: 224138.55
SET: 222578.91
SET: 221155.52
SET: 220103.73
SET: 218886.33
SET: 217795.53
SET: 216841.44
SET: 216257.78
SET: 216833.38
SET: 216889.78
SET: 217423.12
SET: 217799.36
SET: 218315.66
SET: 218217.77
SET: 218183.89
SET: 218432.88
SET: 218392.61
SET: 218687.08
SET: 218778.78
SET: 219152.17
SET: 219642.50
SET: 219545.11
SET: 219967.03
SET: 220346.62
SET: 220632.61
SET: 220654.20
SET: 220320.06
SET: 220033.12
SET: 220222.50
SET: 220319.36
SET: 220558.36
SET: 220812.70
SET: 220376.88
SET: 220029.42
SET: 219639.34
SET: 219715.05
SET: 219770.78
SET: 219862.34
SET: 220041.58
SET: 220116.48
SET: 220323.73
SET: 220453.56
SET: 220482.44
SET: 220399.62
SET: 220020.83
SET: 219354.78
SET: 218748.94
SET: 218171.78
SET: 217784.45
SET: 217086.47
SET: 216436.67
SET: 215920.89
SET: 215326.58
SET: 214806.39
SET: 214196.42
SET: 213720.69
SET: 213104.86
SET: 212618.73
SET: 212215.91
SET: 211738.41
SET: 211317.03
SET: 210868.73
SET: 210350.92
SET: 210036.86
SET: 210187.83
SET: 210393.66
SET: 210280.59
SET: 210483.28
SET: 210459.17
SET: 210483.42
SET: 210668.75
SET: 210813.55
SET: 210685.08
SET: 210265.45
SET: 210060.92
SET: 210272.31
SET: 210493.75
SET: 210644.00
SET: 210824.53
SET: 210534.25
SET: 210483.59
SET: 210499.81
SET: 210581.30
SET: 210787.86
SET: 210996.48
SET: 211143.64
SET: 211086.12
SET: 211268.23
SET: 211536.88
SET: 211673.47
SET: 211781.83
SET: 211658.17
SET: 211730.89
SET: 211656.83
SET: 211714.86
SET: 211674.69
SET: 211744.97
SET: 211488.19
SET: 211318.92
SET: 211281.56
SET: 211077.53
SET: 211195.58
SET: 211186.50
SET: 211001.33
SET: 210834.45
SET: 210727.73
SET: 210669.12
SET: 210656.80
SET: 210571.72
SET: 210515.81
SET: 210518.20
SET: 210605.56
SET: 210701.20
SET: 210749.81
SET: 210882.66
SET: 210933.56
SET: 210999.20
SET: 211096.41
SET: 211114.25
SET: 211319.17
SET: 211389.91
SET: 211391.88
SET: 211135.45
SET: 211022.45
SET: 211070.91
SET: 211110.38
SET: 211102.39
SET: 211156.89
SET: 210889.67
SET: 210795.38
SET: 210726.89
SET: 210707.27
SET: 210699.44
SET: 210801.52
SET: 210528.88
SET: 210462.22
SET: 210333.95
SET: 210189.98
SET: 210307.33
SET: 210289.83
SET: 209995.95
SET: 209815.52
SET: 209866.66
SET: 209823.91
SET: 209853.98
SET: 209775.27
SET: 209676.03
SET: 209675.80
SET: 209727.53
SET: 209763.86
SET: 209774.84
SET: 209801.61
SET: 209572.44
SET: 209509.78
SET: 209476.62
SET: 209410.22
SET: 209301.03
SET: 209261.08
SET: 209055.25
SET: 208926.22
SET: 208868.92
SET: 208779.58
SET: 208800.52
SET: 208805.36
SET: 208543.77
SET: 208447.69
SET: 208361.44
SET: 208128.67
SET: 207862.05
SET: 207480.64
SET: 207153.06
SET: 206861.44
SET: 206434.61
SET: 206112.17
SET: 205848.52
SET: 205604.27
SET: 205331.47
SET: 205019.66
SET: 204704.33
SET: 204287.06
SET: 204012.53
SET: 203788.94
SET: 203443.70
SET: 203181.12
SET: 202871.50
SET: 202632.91
SET: 202328.11
SET: 202032.81
SET: 201780.55
SET: 201592.47
SET: 201359.83
SET: 201149.50
SET: 200859.67
SET: 200611.50
SET: 200417.33
SET: 200238.41
SET: 200067.58
SET: 199865.94
SET: 199594.33
SET: 199334.91
SET: 199044.98
SET: 198792.45
SET: 198645.39
SET: 198399.42
SET: 198235.78
SET: 198052.81
SET: 197936.16
SET: 197594.52
SET: 197338.11
SET: 197118.39
SET: 196877.83
SET: 196743.56
SET: 196549.67
SET: 196401.69
SET: 196365.02
SET: 196345.55
SET: 196341.48
SET: 196359.80
SET: 196267.05
SET: 196211.02
SET: 196143.33
SET: 196112.03
SET: 196017.12
SET: 195918.97
SET: 195735.83
SET: 195607.72
SET: 195570.41
SET: 195437.09
SET: 195323.58
SET: 195168.44
SET: 195042.61
SET: 195016.48
SET: 194907.41
SET: 194767.86
SET: 194683.58
SET: 194684.52
SET: 194578.02
SET: 194527.30
SET: 194435.83
SET: 194294.94
SET: 194265.05
SET: 194206.77
SET: 194111.52
SET: 194080.22
SET: 193931.08
SET: 193814.05
SET: 193666.86
SET: 193532.08
SET: 193418.31
SET: 193359.38
SET: 193299.75
SET: 193169.70
SET: 193027.16
SET: 192856.75
SET: 192623.97
SET: 192449.19
SET: 192347.27
SET: 192236.72
SET: 192137.16
SET: 191979.72
SET: 191892.56
SET: 191767.67
SET: 191611.11
SET: 191482.83
SET: 191417.34
SET: 191393.83
SET: 191360.81
SET: 191264.48
SET: 191156.81
SET: 191091.36
SET: 190961.36
SET: 190908.72
SET: 190830.12
SET: 190828.06
SET: 190720.69
SET: 190650.19
SET: 190582.61
SET: 190485.14
SET: 190454.70
SET: 190403.64
SET: 190384.47
SET: 190320.39
SET: 190320.23
SET: 190260.00
SET: 190165.80
SET: 190076.86
SET: 190005.53
SET: 189965.05
SET: 189933.14
SET: 189816.67
SET: 189750.55
SET: 189626.00
SET: 189563.17
SET: 189548.11
SET: 189490.70
SET: 189410.11
SET: 189329.66
SET: 189246.23
SET: 189183.72
SET: 189122.27
SET: 189069.44
SET: 189054.95
SET: 189004.69
SET: 188931.55
SET: 188859.33
SET: 188800.75
SET: 188721.56
SET: 188700.62
SET: 188629.12
SET: 188576.52
SET: 188473.89
SET: 188375.83
SET: 188310.56
SET: 188255.75
SET: 188209.44
SET: 188138.20
SET: 188042.98
SET: 187949.02
SET: 187867.91
SET: 187785.47
SET: 187775.83
SET: 187677.50
SET: 187599.61
SET: 187469.67
SET: 187359.77
SET: 187284.25
SET: 187170.72
SET: 187113.97
SET: 187064.44
SET: 186993.80
SET: 186923.55
SET: 186840.81
SET: 186727.72
SET: 186579.20
SET: 186590.81
SET: 186537.14
SET: 186474.70
SET: 186338.44
SET: 186293.59
SET: 186176.91
SET: 186120.42
SET: 186075.75
SET: 186063.36
SET: 186031.84
SET: 185940.62
SET: 185873.17
SET: 185807.30
SET: 185766.83
SET: 185705.50
SET: 185623.88
SET: 185542.14
SET: 185474.86
SET: 185397.36
SET: 185345.11
SET: 185303.70
SET: 185266.59
SET: 185125.27
SET: 185032.61
SET: 184990.06
SET: 184942.16
SET: 184858.80
SET: 184837.70
SET: 184786.66
SET: 184699.31
SET: 184646.58
SET: 184594.25
SET: 184557.69
SET: 184514.83
SET: 184473.64
SET: 184424.89
SET: 184402.30
SET: 184337.16
SET: 184322.52
SET: 184303.72
SET: 184262.03
SET: 184220.86
SET: 184185.14
SET: 184146.02
SET: 184061.27
SET: 184013.28
SET: 184020.08
SET: 183948.00
SET: 183938.33
SET: 183904.09
SET: 183866.58
SET: 183853.94
SET: 183865.33
SET: 183876.22
SET: 183971.59
SET: 184090.19
SET: 184224.52
SET: 184441.72
====== SET ======
  20000000 requests completed in 108.41 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.46% <= 0.2 milliseconds
3.36% <= 0.3 milliseconds
9.15% <= 0.4 milliseconds
14.98% <= 0.5 milliseconds
20.99% <= 0.6 milliseconds
27.65% <= 0.7 milliseconds
35.27% <= 0.8 milliseconds
43.20% <= 0.9 milliseconds
50.91% <= 1.0 milliseconds
57.99% <= 1.1 milliseconds
64.27% <= 1.2 milliseconds
69.53% <= 1.3 milliseconds
73.88% <= 1.4 milliseconds
77.46% <= 1.5 milliseconds
80.38% <= 1.6 milliseconds
82.80% <= 1.7 milliseconds
84.82% <= 1.8 milliseconds
86.52% <= 1.9 milliseconds
87.98% <= 2 milliseconds
95.46% <= 3 milliseconds
97.93% <= 4 milliseconds
98.92% <= 5 milliseconds
99.42% <= 6 milliseconds
99.67% <= 7 milliseconds
99.80% <= 8 milliseconds
99.87% <= 9 milliseconds
99.92% <= 10 milliseconds
99.95% <= 11 milliseconds
99.96% <= 12 milliseconds
99.97% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 27 milliseconds
100.00% <= 28 milliseconds
100.00% <= 28 milliseconds
184481.42 requests per second


