2023-11-21 22:53:31
SET: nan
SET: 284256.00
SET: 257056.00
SET: 249909.33
SET: 248136.00
SET: 239718.41
SET: 235877.33
SET: 232667.42
SET: 233256.00
SET: 235523.56
SET: 228841.59
SET: 225006.55
SET: 226258.67
SET: 226436.92
SET: 227362.28
SET: 227522.14
SET: 228186.00
SET: 229456.94
SET: 229950.22
SET: 229050.95
SET: 224598.41
SET: 221657.91
SET: 219778.91
SET: 218194.09
SET: 217452.00
SET: 218521.20
SET: 219245.05
SET: 221261.44
SET: 222231.11
SET: 223383.27
SET: 223829.36
SET: 225107.47
SET: 224470.94
SET: 224031.02
SET: 223927.55
SET: 224341.88
SET: 224303.05
SET: 224829.05
SET: 225316.50
SET: 225213.88
SET: 224048.78
SET: 222642.48
SET: 221573.50
SET: 220150.28
SET: 218996.00
SET: 218025.05
SET: 217004.61
SET: 216277.62
SET: 215217.19
SET: 214991.11
SET: 214685.11
SET: 214598.64
SET: 215096.02
SET: 214968.25
SET: 215419.66
SET: 215804.09
SET: 215881.23
SET: 216108.27
SET: 216336.83
SET: 216594.50
SET: 217088.73
SET: 217443.50
SET: 217692.52
SET: 217765.66
SET: 218200.58
SET: 218337.92
SET: 218746.28
SET: 218509.05
SET: 219054.72
SET: 218720.42
SET: 218622.22
SET: 218486.25
SET: 218604.50
SET: 218867.12
SET: 218891.94
SET: 219165.91
SET: 218584.91
SET: 218405.47
SET: 218349.66
SET: 218568.44
SET: 218885.14
SET: 218856.66
SET: 218851.88
SET: 218908.08
SET: 218992.62
SET: 219173.97
SET: 219110.33
SET: 218405.00
SET: 217404.67
SET: 216780.67
SET: 216225.95
SET: 215740.69
SET: 214932.67
SET: 214089.05
SET: 213394.00
SET: 212816.23
SET: 212262.47
SET: 211886.61
SET: 211288.36
SET: 210848.08
SET: 210378.36
SET: 209902.09
SET: 209484.39
SET: 209206.62
SET: 208808.58
SET: 208415.06
SET: 208101.66
SET: 208085.16
SET: 208234.17
SET: 208276.89
SET: 208236.89
SET: 208195.00
SET: 208356.84
SET: 208318.89
SET: 208548.33
SET: 208766.53
SET: 208532.80
SET: 208609.92
SET: 208751.61
SET: 208795.81
SET: 208778.27
SET: 208785.05
SET: 208614.56
SET: 208599.17
SET: 208616.00
SET: 208634.88
SET: 208949.00
SET: 209226.00
SET: 209330.34
SET: 209528.72
SET: 209805.95
SET: 210067.97
SET: 210327.72
SET: 210369.14
SET: 210270.58
SET: 210247.14
SET: 210260.25
SET: 210405.05
SET: 210432.58
SET: 210424.52
SET: 210638.12
SET: 210423.95
SET: 210283.05
SET: 210309.58
SET: 210262.69
SET: 210324.28
SET: 210417.66
SET: 210148.23
SET: 210171.55
SET: 210185.73
SET: 210191.38
SET: 210175.50
SET: 210213.16
SET: 210161.92
SET: 210149.55
SET: 210134.39
SET: 210269.72
SET: 210328.39
SET: 210440.55
SET: 210538.17
SET: 210626.03
SET: 210645.08
SET: 210687.33
SET: 210614.36
SET: 210683.62
SET: 210623.39
SET: 210462.56
SET: 210350.19
SET: 210306.70
SET: 210285.31
SET: 210252.12
SET: 210350.22
SET: 210192.31
SET: 210232.69
SET: 210317.45
SET: 210215.61
SET: 210145.16
SET: 210009.53
SET: 209812.91
SET: 209707.41
SET: 209612.33
SET: 209655.53
SET: 209735.86
SET: 209713.62
SET: 209562.72
SET: 209420.17
SET: 209424.20
SET: 209447.20
SET: 209568.23
SET: 209538.64
SET: 209579.84
SET: 209555.19
SET: 209620.52
SET: 209677.20
SET: 209695.59
SET: 209762.81
SET: 209598.55
SET: 209562.84
SET: 209517.02
SET: 209271.45
SET: 209153.84
SET: 209061.08
SET: 208832.50
SET: 208769.81
SET: 208660.25
SET: 208499.83
SET: 208344.69
SET: 208241.70
SET: 208119.42
SET: 208017.30
SET: 207751.41
SET: 207389.86
SET: 207053.02
SET: 206732.36
SET: 206445.62
SET: 206145.20
SET: 205673.80
SET: 205405.33
SET: 205173.05
SET: 204910.48
SET: 204601.62
SET: 204411.33
SET: 204143.20
SET: 203872.42
SET: 203626.09
SET: 203505.16
SET: 203295.03
SET: 203047.55
SET: 202786.88
SET: 202618.52
SET: 202349.31
SET: 202144.17
SET: 201860.88
SET: 201770.39
SET: 201634.81
SET: 201463.67
SET: 201268.38
SET: 201088.75
SET: 200859.61
SET: 200695.25
SET: 200514.00
SET: 200320.59
SET: 200055.08
SET: 199842.14
SET: 199666.19
SET: 199531.45
SET: 199443.95
SET: 199243.02
SET: 199060.70
SET: 198907.45
SET: 198735.38
SET: 198503.02
SET: 198454.17
SET: 198451.30
SET: 198350.44
SET: 198302.98
SET: 198213.97
SET: 198201.06
SET: 198203.56
SET: 198217.78
SET: 198118.52
SET: 198077.95
SET: 197978.16
SET: 197873.89
SET: 197778.28
SET: 197608.48
SET: 197473.81
SET: 197395.03
SET: 197387.45
SET: 197278.47
SET: 197187.20
SET: 197101.53
SET: 196987.38
SET: 196866.44
SET: 196732.89
SET: 196642.36
SET: 196602.33
SET: 196576.30
SET: 196455.58
SET: 196412.14
SET: 196346.52
SET: 196290.11
SET: 196193.42
SET: 196064.09
SET: 196024.14
SET: 195950.14
SET: 195864.70
SET: 195834.22
SET: 195764.42
SET: 195722.22
SET: 195633.02
SET: 195546.62
SET: 195505.59
SET: 195465.48
SET: 195363.42
SET: 195263.84
SET: 195108.45
SET: 195041.06
SET: 194931.22
SET: 194812.23
SET: 194749.48
SET: 194684.41
SET: 194627.69
SET: 194606.25
SET: 194563.94
SET: 194452.00
SET: 194357.28
SET: 194265.38
SET: 194143.77
SET: 194040.42
SET: 193896.78
SET: 193880.11
SET: 193834.84
SET: 193727.69
SET: 193611.94
SET: 193557.41
SET: 193428.34
SET: 193334.09
SET: 193217.72
SET: 193190.41
SET: 193151.23
SET: 193101.44
SET: 192940.48
SET: 192811.80
SET: 192722.67
SET: 192635.47
SET: 192551.94
SET: 192506.75
SET: 192416.33
SET: 192355.31
SET: 192209.62
SET: 192158.56
SET: 192064.31
SET: 191978.02
SET: 191927.56
SET: 191871.58
SET: 191812.12
SET: 191686.14
SET: 191598.75
SET: 191500.55
SET: 191443.36
SET: 191401.12
SET: 191391.94
SET: 191353.81
SET: 191255.72
SET: 191220.16
SET: 191126.70
SET: 191016.47
SET: 191000.55
SET: 190948.02
SET: 190899.23
SET: 190824.69
SET: 190753.64
SET: 190642.62
SET: 190570.52
SET: 190529.00
SET: 190434.36
SET: 190413.84
SET: 190298.12
SET: 190223.80
SET: 190126.28
SET: 190069.58
SET: 190049.73
SET: 190011.25
SET: 189931.44
SET: 189859.59
SET: 189827.11
SET: 189716.48
SET: 189691.67
SET: 189605.23
SET: 189557.44
SET: 189510.59
SET: 189448.53
SET: 189399.23
SET: 189365.59
SET: 189291.86
SET: 189266.36
SET: 189213.08
SET: 189194.22
SET: 189147.89
SET: 189097.34
SET: 189016.11
SET: 188979.91
SET: 188939.38
SET: 188864.75
SET: 188787.55
SET: 188756.84
SET: 188729.70
SET: 188691.25
SET: 188640.73
SET: 188607.38
SET: 188539.86
SET: 188456.28
SET: 188374.92
SET: 188360.42
SET: 188271.22
SET: 188208.45
SET: 188134.75
SET: 188071.36
SET: 188016.45
SET: 187955.59
SET: 187878.03
SET: 187813.53
SET: 187800.19
SET: 187780.52
SET: 187718.06
SET: 187675.30
SET: 187641.81
SET: 187599.20
SET: 187553.84
SET: 187517.34
SET: 187481.89
SET: 187477.36
SET: 187442.55
SET: 187398.19
SET: 187362.05
SET: 187304.03
SET: 187348.23
SET: 187344.36
SET: 187302.75
SET: 187255.09
SET: 187256.09
SET: 187227.19
SET: 187196.52
SET: 187241.83
SET: 187245.94
SET: 187256.27
====== SET ======
  20000040 requests completed in 106.80 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.64% <= 0.2 milliseconds
3.80% <= 0.3 milliseconds
9.50% <= 0.4 milliseconds
15.38% <= 0.5 milliseconds
21.68% <= 0.6 milliseconds
28.79% <= 0.7 milliseconds
36.76% <= 0.8 milliseconds
44.93% <= 0.9 milliseconds
52.71% <= 1.0 milliseconds
59.69% <= 1.1 milliseconds
65.67% <= 1.2 milliseconds
70.58% <= 1.3 milliseconds
74.63% <= 1.4 milliseconds
77.98% <= 1.5 milliseconds
80.77% <= 1.6 milliseconds
83.10% <= 1.7 milliseconds
85.04% <= 1.8 milliseconds
86.69% <= 1.9 milliseconds
88.11% <= 2 milliseconds
95.43% <= 3 milliseconds
97.94% <= 4 milliseconds
99.00% <= 5 milliseconds
99.47% <= 6 milliseconds
99.68% <= 7 milliseconds
99.80% <= 8 milliseconds
99.87% <= 9 milliseconds
99.92% <= 10 milliseconds
99.94% <= 11 milliseconds
99.96% <= 12 milliseconds
99.97% <= 13 milliseconds
99.98% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 17 milliseconds
99.99% <= 18 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 24 milliseconds
100.00% <= 25 milliseconds
100.00% <= 25 milliseconds
187273.31 requests per second


