2023-11-21 22:53:31
SET: 0.00
SET: 290581.69
SET: 266107.78
SET: 247424.77
SET: 248783.20
SET: 236930.45
SET: 234286.47
SET: 238761.84
SET: 239828.09
SET: 238812.98
SET: 231146.28
SET: 226735.45
SET: 227976.02
SET: 228723.23
SET: 229610.50
SET: 230837.95
SET: 231852.08
SET: 233074.08
SET: 232810.14
SET: 231481.59
SET: 227129.33
SET: 224103.56
SET: 222044.72
SET: 220121.69
SET: 220757.62
SET: 221226.30
SET: 222561.91
SET: 223511.98
SET: 225131.92
SET: 225924.45
SET: 226052.23
SET: 226094.39
SET: 225847.08
SET: 224993.33
SET: 224556.84
SET: 224964.02
SET: 225288.17
SET: 225242.02
SET: 225191.67
SET: 224907.77
SET: 224057.55
SET: 222819.06
SET: 221414.50
SET: 220138.23
SET: 218722.36
SET: 217566.77
SET: 216608.66
SET: 215555.28
SET: 214119.67
SET: 213264.41
SET: 212775.70
SET: 212857.66
SET: 212996.94
SET: 213573.34
SET: 213825.39
SET: 214641.88
SET: 215210.05
SET: 215071.98
SET: 215195.42
SET: 215170.03
SET: 215618.03
SET: 215950.23
SET: 216374.80
SET: 216575.86
SET: 216627.30
SET: 216894.03
SET: 217322.20
SET: 217833.02
SET: 218090.97
SET: 218000.94
SET: 217852.27
SET: 217974.80
SET: 218092.14
SET: 218413.84
SET: 218405.88
SET: 218385.22
SET: 217824.72
SET: 217839.66
SET: 217926.75
SET: 218246.77
SET: 218584.75
SET: 218895.47
SET: 219043.44
SET: 219277.42
SET: 219482.39
SET: 219281.61
SET: 219181.03
SET: 218623.19
SET: 217842.89
SET: 217091.23
SET: 216471.69
SET: 215865.09
SET: 215315.45
SET: 214592.70
SET: 213987.25
SET: 213403.11
SET: 212872.19
SET: 212373.19
SET: 211764.98
SET: 211124.83
SET: 210501.94
SET: 210088.22
SET: 209748.42
SET: 209281.45
SET: 208795.78
SET: 208506.30
SET: 208462.62
SET: 208839.83
SET: 209014.98
SET: 208960.81
SET: 208846.58
SET: 208661.84
SET: 208774.97
SET: 208921.17
SET: 209041.81
SET: 209130.59
SET: 208903.41
SET: 208964.00
SET: 209082.36
SET: 209264.56
SET: 209393.64
SET: 209445.02
SET: 209258.39
SET: 209168.38
SET: 209329.38
SET: 209546.14
SET: 209628.27
SET: 209779.09
SET: 209969.78
SET: 210098.70
SET: 210299.48
SET: 210377.88
SET: 210523.84
SET: 210698.81
SET: 210611.88
SET: 210376.80
SET: 210418.34
SET: 210385.53
SET: 210457.92
SET: 210400.23
SET: 210347.25
SET: 210186.03
SET: 210128.09
SET: 210214.73
SET: 210287.52
SET: 210318.72
SET: 210427.02
SET: 210094.28
SET: 210138.25
SET: 210158.89
SET: 210234.28
SET: 210386.34
SET: 210416.03
SET: 210477.78
SET: 210495.55
SET: 210654.56
SET: 210780.14
SET: 210816.81
SET: 210922.03
SET: 211044.62
SET: 211172.00
SET: 211299.06
SET: 211440.53
SET: 211428.86
SET: 211555.94
SET: 211331.53
SET: 211227.80
SET: 211228.02
SET: 211387.70
SET: 211374.67
SET: 211337.36
SET: 211264.39
SET: 211171.44
SET: 211209.31
SET: 211157.25
SET: 211047.33
SET: 211005.33
SET: 210838.44
SET: 210757.31
SET: 210657.38
SET: 210665.19
SET: 210660.89
SET: 210664.03
SET: 210625.20
SET: 210376.89
SET: 210368.03
SET: 210412.38
SET: 210378.28
SET: 210287.92
SET: 210257.89
SET: 210381.31
SET: 210447.70
SET: 210383.67
SET: 210426.00
SET: 210499.70
SET: 210429.67
SET: 210174.55
SET: 210054.28
SET: 209949.86
SET: 210011.09
SET: 210084.02
SET: 210078.42
SET: 209935.34
SET: 209861.95
SET: 209731.53
SET: 209547.48
SET: 209484.56
SET: 209298.38
SET: 209062.80
SET: 208740.59
SET: 208391.45
SET: 208075.62
SET: 207726.27
SET: 207480.33
SET: 207215.00
SET: 206876.61
SET: 206522.55
SET: 206243.94
SET: 205951.89
SET: 205640.92
SET: 205385.52
SET: 205119.69
SET: 204858.56
SET: 204535.61
SET: 204290.12
SET: 204061.95
SET: 203816.36
SET: 203593.06
SET: 203489.11
SET: 203262.22
SET: 203106.52
SET: 202907.47
SET: 202688.62
SET: 202411.00
SET: 202208.95
SET: 202004.45
SET: 201729.06
SET: 201507.94
SET: 201259.50
SET: 201093.83
SET: 200896.62
SET: 200720.97
SET: 200577.92
SET: 200389.61
SET: 200204.56
SET: 200022.84
SET: 199776.69
SET: 199634.81
SET: 199438.50
SET: 199266.11
SET: 199082.81
SET: 198874.23
SET: 198849.89
SET: 198779.73
SET: 198707.88
SET: 198624.31
SET: 198641.91
SET: 198612.59
SET: 198584.88
SET: 198586.14
SET: 198553.08
SET: 198491.36
SET: 198488.94
SET: 198471.94
SET: 198491.17
SET: 198470.80
SET: 198371.62
SET: 198213.53
SET: 198137.38
SET: 198068.34
SET: 197989.92
SET: 197910.86
SET: 197892.80
SET: 197825.78
SET: 197748.64
SET: 197680.47
SET: 197608.81
SET: 197556.38
SET: 197523.64
SET: 197468.45
SET: 197377.91
SET: 197390.64
SET: 197357.94
SET: 197313.08
SET: 197226.39
SET: 197130.44
SET: 197031.36
SET: 196993.67
SET: 196959.25
SET: 196953.94
SET: 196812.62
SET: 196737.42
SET: 196663.41
SET: 196515.78
SET: 196409.03
SET: 196268.36
SET: 196173.81
SET: 196040.17
SET: 195998.17
SET: 195925.56
SET: 195771.50
SET: 195641.81
SET: 195498.70
SET: 195416.78
SET: 195271.55
SET: 195200.80
SET: 195162.03
SET: 195046.34
SET: 194955.80
SET: 194862.64
SET: 194769.25
SET: 194669.16
SET: 194618.30
SET: 194594.41
SET: 194502.75
SET: 194392.42
SET: 194297.23
SET: 194192.27
SET: 194140.23
SET: 194091.33
SET: 194026.75
SET: 193991.95
SET: 193922.48
SET: 193799.31
SET: 193676.53
SET: 193569.27
SET: 193532.30
SET: 193497.20
SET: 193408.23
SET: 193315.12
SET: 193170.08
SET: 193092.94
SET: 193036.69
SET: 193053.34
SET: 192974.00
SET: 192871.36
SET: 192781.14
SET: 192709.94
SET: 192630.94
SET: 192594.28
SET: 192538.36
SET: 192467.59
SET: 192392.28
SET: 192335.39
SET: 192235.89
SET: 192155.70
SET: 192108.67
SET: 192071.42
SET: 192007.36
SET: 191952.55
SET: 191881.70
SET: 191826.66
SET: 191740.22
SET: 191697.22
SET: 191646.05
SET: 191579.94
SET: 191529.22
SET: 191393.41
SET: 191325.80
SET: 191296.59
SET: 191268.64
SET: 191191.22
SET: 191121.12
SET: 191062.06
SET: 190982.17
SET: 190944.31
SET: 190935.83
SET: 190800.12
SET: 190725.98
SET: 190625.38
SET: 190529.61
SET: 190465.16
SET: 190423.91
SET: 190323.91
SET: 190257.09
SET: 190162.36
SET: 190108.23
SET: 190067.03
SET: 189981.22
SET: 189920.33
SET: 189888.27
SET: 189845.98
SET: 189796.72
SET: 189729.72
SET: 189698.22
SET: 189619.22
SET: 189513.33
SET: 189414.84
SET: 189361.02
SET: 189275.09
SET: 189205.53
SET: 189116.11
SET: 189016.55
SET: 188983.38
SET: 188932.31
SET: 188891.28
SET: 188825.09
SET: 188778.09
SET: 188699.42
SET: 188604.50
SET: 188484.55
SET: 188460.33
SET: 188483.84
SET: 188446.70
SET: 188424.95
SET: 188309.94
SET: 188236.03
SET: 188165.56
SET: 188113.20
SET: 188082.77
SET: 188087.17
SET: 188063.34
SET: 188015.09
SET: 187974.27
SET: 187922.98
SET: 187894.22
SET: 187864.89
SET: 187835.08
SET: 187779.88
SET: 187771.48
SET: 187735.80
SET: 187664.83
SET: 187620.09
SET: 187597.27
SET: 187546.42
SET: 187563.28
SET: 187524.84
====== SET ======
  20000096 requests completed in 106.67 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.60% <= 0.2 milliseconds
3.81% <= 0.3 milliseconds
9.77% <= 0.4 milliseconds
15.98% <= 0.5 milliseconds
22.44% <= 0.6 milliseconds
29.49% <= 0.7 milliseconds
37.30% <= 0.8 milliseconds
45.32% <= 0.9 milliseconds
52.97% <= 1.0 milliseconds
59.87% <= 1.1 milliseconds
65.80% <= 1.2 milliseconds
70.68% <= 1.3 milliseconds
74.71% <= 1.4 milliseconds
78.05% <= 1.5 milliseconds
80.85% <= 1.6 milliseconds
83.18% <= 1.7 milliseconds
85.13% <= 1.8 milliseconds
86.78% <= 1.9 milliseconds
88.18% <= 2 milliseconds
95.56% <= 3 milliseconds
98.00% <= 4 milliseconds
99.00% <= 5 milliseconds
99.44% <= 6 milliseconds
99.65% <= 7 milliseconds
99.78% <= 8 milliseconds
99.86% <= 9 milliseconds
99.90% <= 10 milliseconds
99.93% <= 11 milliseconds
99.96% <= 12 milliseconds
99.97% <= 13 milliseconds
99.98% <= 14 milliseconds
99.98% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 20 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 23 milliseconds
187502.08 requests per second


