2023-11-21 22:53:32
SET: nan
SET: 276128.00
SET: 274016.00
SET: 253493.33
SET: 249872.00
SET: 239667.20
SET: 239770.67
SET: 240804.58
SET: 243052.00
SET: 240544.00
SET: 233765.70
SET: 227763.00
SET: 231786.75
SET: 235264.45
SET: 235658.77
SET: 237824.77
SET: 237547.06
SET: 235816.69
SET: 235278.12
SET: 232259.09
SET: 228792.00
SET: 226178.78
SET: 223594.86
SET: 221834.36
SET: 222937.59
SET: 223359.73
SET: 223561.36
SET: 224377.41
SET: 224837.42
SET: 226442.30
SET: 227548.45
SET: 227219.78
SET: 227191.20
SET: 227183.73
SET: 227433.27
SET: 227814.66
SET: 227850.86
SET: 228571.80
SET: 228805.72
SET: 228447.83
SET: 226975.83
SET: 225758.38
SET: 224610.23
SET: 223442.59
SET: 221999.08
SET: 221008.42
SET: 220217.03
SET: 219576.86
SET: 218794.23
SET: 219558.23
SET: 220136.44
SET: 220420.08
SET: 220797.91
SET: 221087.34
SET: 221298.03
SET: 220616.17
SET: 220664.53
SET: 221016.75
SET: 221460.98
SET: 221507.75
SET: 221650.97
SET: 221191.17
SET: 221153.42
SET: 220974.83
SET: 221355.66
SET: 221678.55
SET: 221951.95
SET: 221738.70
SET: 222052.55
SET: 221671.22
SET: 221906.28
SET: 221847.95
SET: 221991.02
SET: 222082.45
SET: 221833.16
SET: 221560.36
SET: 221353.09
SET: 221162.84
SET: 221149.17
SET: 221328.88
SET: 221148.84
SET: 220987.47
SET: 220636.25
SET: 220693.30
SET: 220612.36
SET: 220658.95
SET: 219871.00
SET: 219098.58
SET: 218460.30
SET: 217763.08
SET: 217163.05
SET: 216411.06
SET: 215493.66
SET: 214889.55
SET: 214181.97
SET: 213706.61
SET: 213103.81
SET: 212242.55
SET: 211688.67
SET: 211248.81
SET: 210788.34
SET: 210267.98
SET: 209769.11
SET: 209324.55
SET: 208835.72
SET: 208639.31
SET: 208535.28
SET: 208680.27
SET: 208859.84
SET: 208964.59
SET: 209059.58
SET: 209196.06
SET: 209429.72
SET: 209539.86
SET: 209646.83
SET: 209616.67
SET: 209966.23
SET: 210025.41
SET: 210044.56
SET: 209890.66
SET: 209916.75
SET: 209799.20
SET: 209750.14
SET: 210022.88
SET: 210056.84
SET: 210187.47
SET: 210297.75
SET: 210341.59
SET: 210403.94
SET: 210429.67
SET: 210597.41
SET: 210682.05
SET: 210659.58
SET: 210670.84
SET: 210834.41
SET: 210903.66
SET: 210889.19
SET: 210928.02
SET: 210841.48
SET: 210579.80
SET: 210534.67
SET: 210600.84
SET: 210745.53
SET: 210788.73
SET: 210786.41
SET: 210561.06
SET: 210371.86
SET: 210377.28
SET: 210391.03
SET: 210469.84
SET: 210514.56
SET: 210356.70
SET: 210372.97
SET: 210380.05
SET: 210430.20
SET: 210552.33
SET: 210590.23
SET: 210583.92
SET: 210607.25
SET: 210677.94
SET: 210759.52
SET: 210855.19
SET: 210906.06
SET: 210897.27
SET: 210880.98
SET: 210916.05
SET: 210917.95
SET: 210921.75
SET: 210850.70
SET: 210673.80
SET: 210597.89
SET: 210506.98
SET: 210611.58
SET: 210712.56
SET: 210730.61
SET: 210502.17
SET: 210377.16
SET: 210364.27
SET: 210366.62
SET: 210458.27
SET: 210348.17
SET: 210131.88
SET: 210078.48
SET: 209994.45
SET: 210066.34
SET: 210142.81
SET: 209992.41
SET: 209922.08
SET: 209916.62
SET: 210000.89
SET: 210009.22
SET: 209987.16
SET: 209997.80
SET: 210021.42
SET: 210070.14
SET: 210034.28
SET: 209973.83
SET: 209885.09
SET: 209725.23
SET: 209600.23
SET: 209523.28
SET: 209575.53
SET: 209497.45
SET: 209390.53
SET: 209214.28
SET: 209056.89
SET: 208914.39
SET: 208871.20
SET: 208740.50
SET: 208323.42
SET: 207882.45
SET: 207557.03
SET: 207224.89
SET: 206949.30
SET: 206677.17
SET: 206336.48
SET: 206076.97
SET: 205790.23
SET: 205522.75
SET: 205252.16
SET: 204883.83
SET: 204548.22
SET: 204285.25
SET: 203942.80
SET: 203698.02
SET: 203514.23
SET: 203322.72
SET: 203033.91
SET: 202877.59
SET: 202548.98
SET: 202257.42
SET: 202067.33
SET: 201896.38
SET: 201730.31
SET: 201524.39
SET: 201272.34
SET: 200996.58
SET: 200780.20
SET: 200450.12
SET: 200209.20
SET: 199965.50
SET: 199706.47
SET: 199405.45
SET: 199255.56
SET: 199075.31
SET: 198767.77
SET: 198598.47
SET: 198391.89
SET: 198189.05
SET: 197970.62
SET: 197780.42
SET: 197540.41
SET: 197318.66
SET: 197151.98
SET: 197097.23
SET: 197114.00
SET: 197048.22
SET: 197064.03
SET: 197025.72
SET: 196948.20
SET: 196857.27
SET: 196805.61
SET: 196682.84
SET: 196555.17
SET: 196542.17
SET: 196453.16
SET: 196389.44
SET: 196304.41
SET: 196126.02
SET: 195951.22
SET: 195790.36
SET: 195588.48
SET: 195465.70
SET: 195292.44
SET: 195221.52
SET: 195191.09
SET: 195131.83
SET: 195020.81
SET: 194891.23
SET: 194811.11
SET: 194752.11
SET: 194588.19
SET: 194462.27
SET: 194414.03
SET: 194321.69
SET: 194236.05
SET: 194070.88
SET: 193893.58
SET: 193776.91
SET: 193655.95
SET: 193566.14
SET: 193504.31
SET: 193423.30
SET: 193326.80
SET: 193187.58
SET: 193090.91
SET: 193040.23
SET: 192952.56
SET: 192857.98
SET: 192798.12
SET: 192696.27
SET: 192599.94
SET: 192461.08
SET: 192351.31
SET: 192385.92
SET: 192339.58
SET: 192218.44
SET: 192127.55
SET: 192071.92
SET: 191953.95
SET: 191796.84
SET: 191711.67
SET: 191634.66
SET: 191589.56
SET: 191444.89
SET: 191391.55
SET: 191297.28
SET: 191226.08
SET: 191084.58
SET: 190987.34
SET: 190904.20
SET: 190996.14
SET: 190863.55
SET: 190781.66
SET: 190735.69
SET: 190611.61
SET: 190509.86
SET: 190439.73
SET: 190382.20
SET: 190294.81
SET: 190180.66
SET: 190099.27
SET: 190008.98
SET: 189935.00
SET: 189881.28
SET: 189829.50
SET: 189734.25
SET: 189614.14
SET: 189482.75
SET: 189439.06
SET: 189311.58
SET: 189186.17
SET: 189141.20
SET: 189085.67
SET: 188992.30
SET: 188910.77
SET: 188844.22
SET: 188770.48
SET: 188693.05
SET: 188638.59
SET: 188601.97
SET: 188522.77
SET: 188481.09
SET: 188390.62
SET: 188310.34
SET: 188305.95
SET: 188266.77
SET: 188209.42
SET: 188170.45
SET: 188113.17
SET: 188059.31
SET: 188009.48
SET: 187967.86
SET: 187966.50
SET: 187901.73
SET: 187809.70
SET: 187755.81
SET: 187714.42
SET: 187657.42
SET: 187604.39
SET: 187567.36
SET: 187522.52
SET: 187457.97
SET: 187365.05
SET: 187244.86
SET: 187143.91
SET: 187061.25
SET: 187018.62
SET: 186892.09
SET: 186765.05
SET: 186646.56
SET: 186553.30
SET: 186496.58
SET: 186425.22
SET: 186338.91
SET: 186292.00
SET: 186206.64
SET: 186155.58
SET: 186095.66
SET: 186029.88
SET: 185944.92
SET: 185892.05
SET: 185855.16
SET: 185792.03
SET: 185745.47
SET: 185677.92
SET: 185599.83
SET: 185522.69
SET: 185453.72
SET: 185386.62
SET: 185297.58
SET: 185231.61
SET: 185173.52
SET: 185111.19
SET: 185049.58
SET: 184962.92
SET: 184945.12
SET: 184882.41
SET: 184838.86
SET: 184754.12
SET: 184685.00
SET: 184640.17
SET: 184592.38
SET: 184564.70
SET: 184518.72
SET: 184438.52
SET: 184388.97
SET: 184299.58
SET: 184249.69
SET: 184239.17
SET: 184242.03
SET: 184204.33
SET: 184156.58
SET: 184109.73
SET: 184035.44
SET: 183986.61
SET: 183961.50
SET: 183971.78
SET: 183986.33
SET: 184088.30
SET: 184234.92
SET: 184431.89
SET: 184625.88
====== SET ======
  20000024 requests completed in 108.25 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.39% <= 0.2 milliseconds
3.24% <= 0.3 milliseconds
9.09% <= 0.4 milliseconds
15.11% <= 0.5 milliseconds
21.25% <= 0.6 milliseconds
27.95% <= 0.7 milliseconds
35.56% <= 0.8 milliseconds
43.47% <= 0.9 milliseconds
51.24% <= 1.0 milliseconds
58.37% <= 1.1 milliseconds
64.57% <= 1.2 milliseconds
69.73% <= 1.3 milliseconds
73.97% <= 1.4 milliseconds
77.44% <= 1.5 milliseconds
80.30% <= 1.6 milliseconds
82.69% <= 1.7 milliseconds
84.74% <= 1.8 milliseconds
86.48% <= 1.9 milliseconds
87.96% <= 2 milliseconds
95.41% <= 3 milliseconds
97.97% <= 4 milliseconds
98.97% <= 5 milliseconds
99.43% <= 6 milliseconds
99.66% <= 7 milliseconds
99.79% <= 8 milliseconds
99.88% <= 9 milliseconds
99.93% <= 10 milliseconds
99.95% <= 11 milliseconds
99.97% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 18 milliseconds
184754.31 requests per second


