2023-11-21 22:53:32
SET: 0.00
SET: 262980.09
SET: 261333.34
SET: 240648.94
SET: 240638.73
SET: 234523.97
SET: 234242.34
SET: 236611.88
SET: 238221.77
SET: 237424.50
SET: 232185.44
SET: 227194.77
SET: 229988.00
SET: 232531.36
SET: 235086.23
SET: 236733.47
SET: 238029.00
SET: 239390.41
SET: 239605.52
SET: 235959.61
SET: 232011.20
SET: 229008.39
SET: 227011.28
SET: 226134.92
SET: 226275.25
SET: 226272.56
SET: 228121.81
SET: 229328.20
SET: 230406.17
SET: 230710.42
SET: 230704.34
SET: 230525.48
SET: 229370.98
SET: 229150.12
SET: 229379.73
SET: 230058.72
SET: 230285.89
SET: 230716.23
SET: 230971.39
SET: 229757.64
SET: 228538.98
SET: 226914.48
SET: 225517.75
SET: 223924.12
SET: 222799.81
SET: 221926.80
SET: 220515.91
SET: 218922.09
SET: 217935.70
SET: 218522.20
SET: 217576.84
SET: 217853.25
SET: 218129.94
SET: 218267.88
SET: 218533.64
SET: 218656.20
SET: 218798.75
SET: 218801.84
SET: 218802.64
SET: 218796.91
SET: 218905.41
SET: 219503.08
SET: 219635.38
SET: 219560.97
SET: 219867.61
SET: 220322.23
SET: 220371.14
SET: 220577.98
SET: 220846.94
SET: 220679.42
SET: 220507.09
SET: 220537.34
SET: 220393.08
SET: 220085.00
SET: 220122.73
SET: 219933.06
SET: 219195.89
SET: 219032.95
SET: 219113.81
SET: 218943.53
SET: 219227.73
SET: 219262.53
SET: 219332.75
SET: 219277.22
SET: 219272.86
SET: 219196.77
SET: 218920.89
SET: 218181.22
SET: 217575.00
SET: 216982.03
SET: 216249.45
SET: 215560.36
SET: 214921.36
SET: 214200.56
SET: 213571.27
SET: 212895.94
SET: 212442.23
SET: 212096.92
SET: 211430.25
SET: 210835.17
SET: 210484.84
SET: 210134.80
SET: 209843.34
SET: 209475.58
SET: 208977.75
SET: 208432.77
SET: 208252.50
SET: 208281.23
SET: 208283.06
SET: 208330.34
SET: 208194.48
SET: 208056.77
SET: 208045.12
SET: 208230.36
SET: 208331.55
SET: 208465.19
SET: 208591.30
SET: 208383.45
SET: 208527.89
SET: 208766.39
SET: 209035.55
SET: 209247.41
SET: 209561.11
SET: 209705.19
SET: 209888.73
SET: 210147.61
SET: 210314.33
SET: 210379.70
SET: 210722.62
SET: 210813.84
SET: 210834.52
SET: 210978.16
SET: 210849.50
SET: 210968.75
SET: 211026.08
SET: 210912.47
SET: 210807.12
SET: 210810.47
SET: 210863.11
SET: 210923.73
SET: 211143.55
SET: 211038.03
SET: 210981.97
SET: 210832.77
SET: 210827.53
SET: 210747.61
SET: 210787.27
SET: 210708.72
SET: 210809.70
SET: 210865.47
SET: 210853.84
SET: 210974.08
SET: 211139.03
SET: 211156.28
SET: 211237.05
SET: 211310.58
SET: 211325.27
SET: 211430.89
SET: 211613.58
SET: 211728.22
SET: 211696.14
SET: 211636.86
SET: 211662.78
SET: 211720.95
SET: 211852.11
SET: 211937.52
SET: 211782.83
SET: 211671.94
SET: 211611.09
SET: 211597.31
SET: 211634.84
SET: 211704.77
SET: 211513.34
SET: 211502.47
SET: 211448.19
SET: 211466.86
SET: 211420.95
SET: 211486.55
SET: 211312.69
SET: 211252.75
SET: 211322.20
SET: 211334.59
SET: 211369.34
SET: 211313.03
SET: 211235.97
SET: 211239.75
SET: 211125.84
SET: 211115.64
SET: 211126.12
SET: 211166.09
SET: 211049.50
SET: 211026.00
SET: 211031.41
SET: 211003.78
SET: 210905.42
SET: 210913.16
SET: 210668.30
SET: 210499.06
SET: 210370.19
SET: 210270.08
SET: 210234.77
SET: 210110.00
SET: 209956.39
SET: 209895.89
SET: 209918.27
SET: 209710.69
SET: 209573.42
SET: 209423.11
SET: 209225.98
SET: 208955.17
SET: 208561.94
SET: 208255.62
SET: 208013.11
SET: 207657.61
SET: 207350.09
SET: 207059.11
SET: 206837.58
SET: 206589.09
SET: 206222.91
SET: 205969.28
SET: 205696.88
SET: 205432.72
SET: 205142.86
SET: 204937.33
SET: 204821.72
SET: 204647.48
SET: 204399.33
SET: 204216.75
SET: 203994.67
SET: 203678.06
SET: 203475.14
SET: 203347.72
SET: 203180.34
SET: 202966.92
SET: 202846.47
SET: 202656.69
SET: 202383.72
SET: 202203.02
SET: 201961.64
SET: 201731.92
SET: 201584.84
SET: 201323.95
SET: 201103.81
SET: 200881.98
SET: 200680.00
SET: 200524.05
SET: 200302.55
SET: 200079.34
SET: 199850.98
SET: 199631.52
SET: 199444.62
SET: 199433.72
SET: 199414.66
SET: 199317.39
SET: 199172.05
SET: 199214.67
SET: 199241.84
SET: 199237.45
SET: 199084.89
SET: 199045.70
SET: 198950.52
SET: 198871.02
SET: 198702.28
SET: 198638.58
SET: 198442.34
SET: 198307.31
SET: 198253.47
SET: 198245.27
SET: 198081.34
SET: 198011.94
SET: 197912.84
SET: 197757.86
SET: 197610.95
SET: 197467.80
SET: 197287.08
SET: 197133.83
SET: 197113.73
SET: 197031.59
SET: 196881.25
SET: 196813.47
SET: 196759.98
SET: 196602.31
SET: 196441.80
SET: 196327.50
SET: 196295.72
SET: 196267.88
SET: 196185.78
SET: 196094.23
SET: 196026.19
SET: 195885.94
SET: 195767.59
SET: 195700.56
SET: 195604.36
SET: 195413.23
SET: 195313.77
SET: 195217.69
SET: 195092.33
SET: 194993.98
SET: 194977.94
SET: 194955.27
SET: 194912.48
SET: 194826.56
SET: 194681.70
SET: 194550.14
SET: 194379.69
SET: 194312.67
SET: 194252.30
SET: 194175.72
SET: 194173.42
SET: 194126.05
SET: 194039.17
SET: 193928.17
SET: 193831.72
SET: 193733.94
SET: 193623.02
SET: 193570.36
SET: 193596.06
SET: 193540.36
SET: 193441.31
SET: 193361.64
SET: 193265.17
SET: 193232.34
SET: 193172.12
SET: 193127.42
SET: 193018.56
SET: 192972.73
SET: 192866.97
SET: 192833.03
SET: 192795.20
SET: 192776.27
SET: 192733.91
SET: 192690.45
SET: 192619.12
SET: 192524.03
SET: 192462.83
SET: 192402.38
SET: 192319.81
SET: 192211.00
SET: 192092.98
SET: 192030.19
SET: 191967.66
SET: 191939.05
SET: 191851.55
SET: 191769.11
SET: 191723.69
SET: 191651.36
SET: 191569.30
SET: 191468.55
SET: 191396.12
SET: 191295.91
SET: 191215.78
SET: 191133.33
SET: 191113.62
SET: 191040.41
SET: 190976.92
SET: 190932.25
SET: 190848.31
SET: 190738.16
SET: 190671.23
SET: 190571.09
SET: 190535.27
SET: 190454.22
SET: 190401.88
SET: 190347.88
SET: 190306.94
SET: 190284.50
SET: 190215.81
SET: 190076.75
SET: 189997.00
SET: 189930.94
SET: 189855.91
SET: 189780.73
SET: 189730.16
SET: 189638.02
SET: 189538.23
SET: 189490.23
SET: 189428.38
SET: 189340.72
SET: 189249.03
SET: 189129.42
SET: 189004.06
SET: 188928.77
SET: 188868.25
SET: 188810.47
SET: 188713.78
SET: 188586.03
SET: 188520.56
SET: 188499.31
SET: 188429.59
SET: 188335.73
SET: 188230.19
SET: 188112.25
SET: 188061.48
SET: 187968.03
SET: 187856.45
SET: 187759.22
SET: 187705.17
SET: 187608.95
SET: 187538.12
SET: 187485.36
SET: 187450.59
SET: 187362.28
SET: 187268.41
SET: 187177.61
SET: 187176.89
SET: 187155.25
SET: 187086.98
SET: 187019.86
SET: 186923.39
SET: 186843.08
SET: 186784.14
SET: 186781.73
SET: 186736.27
SET: 186667.03
SET: 186585.69
SET: 186532.09
SET: 186499.66
SET: 186452.88
SET: 186389.42
SET: 186337.95
SET: 186308.48
SET: 186259.61
SET: 186188.81
SET: 186171.17
SET: 186116.20
SET: 186131.45
SET: 186110.25
SET: 186100.75
SET: 186073.36
SET: 186185.23
====== SET ======
  20000008 requests completed in 107.40 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.60% <= 0.2 milliseconds
3.78% <= 0.3 milliseconds
9.52% <= 0.4 milliseconds
15.40% <= 0.5 milliseconds
21.52% <= 0.6 milliseconds
28.30% <= 0.7 milliseconds
35.98% <= 0.8 milliseconds
44.00% <= 0.9 milliseconds
51.78% <= 1.0 milliseconds
58.92% <= 1.1 milliseconds
65.14% <= 1.2 milliseconds
70.33% <= 1.3 milliseconds
74.53% <= 1.4 milliseconds
77.96% <= 1.5 milliseconds
80.79% <= 1.6 milliseconds
83.14% <= 1.7 milliseconds
85.11% <= 1.8 milliseconds
86.77% <= 1.9 milliseconds
88.18% <= 2 milliseconds
95.43% <= 3 milliseconds
97.97% <= 4 milliseconds
98.96% <= 5 milliseconds
99.41% <= 6 milliseconds
99.65% <= 7 milliseconds
99.77% <= 8 milliseconds
99.84% <= 9 milliseconds
99.89% <= 10 milliseconds
99.93% <= 11 milliseconds
99.95% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 18 milliseconds
186211.14 requests per second


