2023-11-21 22:53:32
SET: nan
SET: 256701.20
SET: 247281.44
SET: 234545.94
SET: 247096.89
SET: 237614.70
SET: 239051.30
SET: 233905.19
SET: 232971.52
SET: 233759.22
SET: 227966.42
SET: 223540.53
SET: 223307.12
SET: 225694.95
SET: 227191.31
SET: 228328.36
SET: 230064.97
SET: 229616.19
SET: 229455.36
SET: 229183.52
SET: 225743.31
SET: 222743.34
SET: 219752.83
SET: 217653.69
SET: 218125.61
SET: 218792.91
SET: 219594.66
SET: 220102.48
SET: 220329.58
SET: 221652.84
SET: 222768.50
SET: 222795.83
SET: 222195.67
SET: 222394.77
SET: 223479.70
SET: 224102.36
SET: 224037.31
SET: 224812.53
SET: 224831.56
SET: 224772.53
SET: 224615.69
SET: 223152.80
SET: 222102.23
SET: 221094.56
SET: 219659.42
SET: 218904.31
SET: 217686.22
SET: 216534.23
SET: 215642.81
SET: 215001.22
SET: 214850.38
SET: 215151.39
SET: 215391.00
SET: 216286.69
SET: 216835.25
SET: 217505.67
SET: 217379.88
SET: 217382.62
SET: 217641.69
SET: 217250.66
SET: 217373.12
SET: 218000.78
SET: 218214.08
SET: 218364.25
SET: 218683.67
SET: 219087.72
SET: 219497.95
SET: 219874.45
SET: 219966.14
SET: 219535.06
SET: 219472.48
SET: 219626.33
SET: 219959.78
SET: 219909.08
SET: 219938.41
SET: 219213.12
SET: 219127.95
SET: 219183.72
SET: 219314.95
SET: 219394.86
SET: 219589.89
SET: 219773.78
SET: 219908.36
SET: 219785.78
SET: 219772.55
SET: 219785.00
SET: 219491.89
SET: 218613.02
SET: 217911.06
SET: 217167.41
SET: 216271.11
SET: 215554.06
SET: 214928.05
SET: 214407.02
SET: 213914.02
SET: 213289.69
SET: 212820.06
SET: 212253.50
SET: 211662.94
SET: 211255.81
SET: 210799.27
SET: 210419.19
SET: 210099.23
SET: 209429.06
SET: 208893.23
SET: 208632.25
SET: 208479.67
SET: 208598.62
SET: 208750.02
SET: 208412.50
SET: 208447.42
SET: 208398.16
SET: 208584.48
SET: 208637.33
SET: 208733.86
SET: 208607.06
SET: 208483.84
SET: 208462.22
SET: 208495.70
SET: 208378.94
SET: 208587.92
SET: 208495.31
SET: 208422.83
SET: 208542.11
SET: 208607.64
SET: 208663.92
SET: 208756.12
SET: 208853.17
SET: 208953.92
SET: 208955.44
SET: 209103.56
SET: 209244.80
SET: 209367.89
SET: 209441.98
SET: 209149.61
SET: 209070.98
SET: 209179.75
SET: 209183.73
SET: 209246.08
SET: 209344.11
SET: 209314.64
SET: 209166.97
SET: 209219.11
SET: 209240.33
SET: 209078.70
SET: 209204.05
SET: 209237.20
SET: 209094.34
SET: 209070.09
SET: 209318.34
SET: 209492.72
SET: 209645.03
SET: 209734.38
SET: 209632.91
SET: 209759.78
SET: 209779.19
SET: 209848.77
SET: 210012.38
SET: 210108.09
SET: 210193.41
SET: 210272.25
SET: 210273.23
SET: 210340.94
SET: 210313.25
SET: 210300.91
SET: 210111.36
SET: 209924.48
SET: 209949.73
SET: 209989.67
SET: 209974.11
SET: 209913.59
SET: 209712.77
SET: 209688.12
SET: 209757.12
SET: 209677.56
SET: 209782.38
SET: 209856.75
SET: 209642.28
SET: 209559.39
SET: 209548.72
SET: 209525.02
SET: 209531.44
SET: 209419.84
SET: 209191.53
SET: 209197.06
SET: 209140.09
SET: 209177.47
SET: 209246.42
SET: 209309.55
SET: 209323.77
SET: 209381.44
SET: 209368.19
SET: 209220.31
SET: 209139.92
SET: 209182.33
SET: 208915.50
SET: 208779.14
SET: 208630.53
SET: 208438.05
SET: 208282.86
SET: 208185.66
SET: 208007.48
SET: 207953.14
SET: 207846.72
SET: 207773.62
SET: 207657.09
SET: 207472.30
SET: 207319.14
SET: 207247.08
SET: 207090.92
SET: 206815.66
SET: 206553.44
SET: 206224.92
SET: 205932.95
SET: 205629.53
SET: 205308.98
SET: 205062.77
SET: 204833.42
SET: 204584.61
SET: 204287.39
SET: 204050.73
SET: 203836.03
SET: 203618.95
SET: 203303.86
SET: 203146.77
SET: 202930.23
SET: 202689.44
SET: 202442.45
SET: 202188.66
SET: 201904.81
SET: 201628.58
SET: 201439.06
SET: 201247.44
SET: 201080.27
SET: 200884.03
SET: 200710.95
SET: 200511.98
SET: 200292.56
SET: 200099.30
SET: 199981.12
SET: 199789.45
SET: 199600.83
SET: 199361.55
SET: 199184.66
SET: 199021.80
SET: 198790.94
SET: 198641.41
SET: 198488.16
SET: 198228.45
SET: 198052.66
SET: 197893.23
SET: 197677.50
SET: 197510.17
SET: 197382.72
SET: 197399.69
SET: 197328.48
SET: 197197.75
SET: 197203.05
SET: 197134.67
SET: 197104.23
SET: 197041.19
SET: 197012.94
SET: 196929.72
SET: 196964.69
SET: 196927.84
SET: 196919.33
SET: 196845.67
SET: 196737.23
SET: 196590.83
SET: 196580.48
SET: 196460.61
SET: 196380.22
SET: 196459.70
SET: 196443.48
SET: 196248.50
SET: 196214.70
SET: 196127.72
SET: 195962.31
SET: 195920.47
SET: 195743.00
SET: 195677.91
SET: 195685.55
SET: 195555.92
SET: 195505.62
SET: 195423.59
SET: 195406.33
SET: 195264.52
SET: 195179.80
SET: 195111.59
SET: 195095.75
SET: 194970.20
SET: 194838.88
SET: 194699.64
SET: 194571.16
SET: 194434.64
SET: 194295.25
SET: 194217.08
SET: 194112.08
SET: 193991.52
SET: 193904.77
SET: 193762.64
SET: 193629.33
SET: 193478.12
SET: 193339.84
SET: 193311.98
SET: 193250.75
SET: 193155.03
SET: 193080.16
SET: 193036.16
SET: 192940.72
SET: 192814.55
SET: 192727.41
SET: 192706.73
SET: 192742.58
SET: 192689.00
SET: 192545.12
SET: 192477.14
SET: 192377.91
SET: 192303.83
SET: 192232.02
SET: 192125.98
SET: 192066.73
SET: 192038.83
SET: 191917.86
SET: 191862.45
SET: 191777.19
SET: 191681.38
SET: 191644.52
SET: 191578.83
SET: 191499.06
SET: 191489.14
SET: 191416.33
SET: 191367.44
SET: 191297.70
SET: 191237.97
SET: 191235.28
SET: 191163.91
SET: 191124.17
SET: 191035.67
SET: 190962.41
SET: 190936.78
SET: 190844.45
SET: 190793.23
SET: 190724.05
SET: 190756.56
SET: 190706.88
SET: 190634.94
SET: 190564.70
SET: 190484.84
SET: 190418.58
SET: 190334.48
SET: 190210.70
SET: 190093.25
SET: 190019.22
SET: 189975.05
SET: 189922.11
SET: 189886.45
SET: 189854.52
SET: 189765.69
SET: 189684.53
SET: 189613.25
SET: 189491.89
SET: 189452.47
SET: 189386.73
SET: 189287.89
SET: 189234.70
SET: 189175.98
SET: 189098.92
SET: 189013.41
SET: 188971.06
SET: 188955.98
SET: 188868.52
SET: 188789.00
SET: 188701.53
SET: 188599.50
SET: 188566.27
SET: 188514.94
SET: 188475.08
SET: 188421.56
SET: 188296.45
SET: 188263.45
SET: 188227.69
SET: 188112.34
SET: 188050.53
SET: 187941.09
SET: 187867.09
SET: 187824.53
SET: 187776.25
SET: 187723.94
SET: 187683.47
SET: 187593.86
SET: 187534.64
SET: 187484.98
SET: 187458.14
SET: 187362.39
SET: 187300.19
SET: 187207.59
SET: 187168.59
SET: 187115.98
SET: 187037.19
SET: 186963.50
SET: 186853.28
SET: 186737.55
SET: 186678.72
SET: 186659.98
SET: 186572.36
SET: 186528.55
SET: 186528.08
SET: 186508.55
SET: 186474.83
SET: 186449.61
SET: 186465.16
SET: 186466.48
SET: 186417.06
SET: 186368.06
SET: 186303.91
SET: 186240.73
SET: 186254.38
SET: 186230.62
SET: 186149.78
SET: 186041.61
SET: 186021.64
SET: 185994.06
SET: 185948.39
SET: 185933.09
SET: 185918.92
SET: 185889.27
SET: 185932.38
SET: 185984.27
SET: 186151.48
====== SET ======
  20000016 requests completed in 107.41 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.49% <= 0.2 milliseconds
3.55% <= 0.3 milliseconds
9.48% <= 0.4 milliseconds
15.53% <= 0.5 milliseconds
21.81% <= 0.6 milliseconds
28.80% <= 0.7 milliseconds
36.68% <= 0.8 milliseconds
44.83% <= 0.9 milliseconds
52.60% <= 1.0 milliseconds
59.55% <= 1.1 milliseconds
65.57% <= 1.2 milliseconds
70.56% <= 1.3 milliseconds
74.60% <= 1.4 milliseconds
77.91% <= 1.5 milliseconds
80.67% <= 1.6 milliseconds
82.99% <= 1.7 milliseconds
84.96% <= 1.8 milliseconds
86.64% <= 1.9 milliseconds
88.06% <= 2 milliseconds
95.35% <= 3 milliseconds
97.88% <= 4 milliseconds
98.96% <= 5 milliseconds
99.41% <= 6 milliseconds
99.64% <= 7 milliseconds
99.76% <= 8 milliseconds
99.85% <= 9 milliseconds
99.90% <= 10 milliseconds
99.93% <= 11 milliseconds
99.96% <= 12 milliseconds
99.98% <= 13 milliseconds
99.98% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 18 milliseconds
186199.08 requests per second


