2023-11-21 22:53:32
SET: 0.00
SET: 235187.27
SET: 247665.34
SET: 229223.41
SET: 227321.36
SET: 227507.98
SET: 223046.61
SET: 223205.48
SET: 226993.00
SET: 229481.34
SET: 225537.97
SET: 220421.50
SET: 221076.61
SET: 221444.03
SET: 223303.25
SET: 224745.88
SET: 225834.16
SET: 227260.92
SET: 227969.80
SET: 228095.91
SET: 224797.59
SET: 221682.97
SET: 219525.52
SET: 216511.55
SET: 215908.08
SET: 218103.91
SET: 218348.95
SET: 220060.98
SET: 221101.50
SET: 220915.78
SET: 221741.23
SET: 222545.45
SET: 222225.11
SET: 222088.91
SET: 222693.47
SET: 223639.06
SET: 224993.22
SET: 225161.75
SET: 226325.52
SET: 226419.27
SET: 224830.78
SET: 223479.67
SET: 222321.56
SET: 220962.16
SET: 219515.48
SET: 218718.08
SET: 217645.89
SET: 216433.52
SET: 215412.91
SET: 214619.34
SET: 214205.17
SET: 214459.83
SET: 214739.14
SET: 215333.19
SET: 215236.00
SET: 215893.58
SET: 215894.91
SET: 216058.91
SET: 216068.38
SET: 216211.95
SET: 216850.73
SET: 217535.72
SET: 217945.31
SET: 218364.77
SET: 218835.59
SET: 219160.83
SET: 219490.94
SET: 219628.16
SET: 219995.77
SET: 219698.27
SET: 219815.88
SET: 219770.97
SET: 220006.00
SET: 220191.23
SET: 220303.61
SET: 219924.31
SET: 219612.47
SET: 219499.77
SET: 219727.16
SET: 219614.83
SET: 219809.33
SET: 219994.28
SET: 220227.16
SET: 220460.20
SET: 220340.53
SET: 220007.89
SET: 219461.23
SET: 218795.80
SET: 217849.11
SET: 217486.69
SET: 216751.08
SET: 216010.89
SET: 215410.88
SET: 214672.58
SET: 214212.52
SET: 213669.92
SET: 213071.00
SET: 212456.06
SET: 212029.86
SET: 211593.20
SET: 211240.48
SET: 210779.16
SET: 210259.61
SET: 209836.64
SET: 209361.25
SET: 208864.16
SET: 208567.95
SET: 208484.66
SET: 208740.11
SET: 208796.97
SET: 208463.89
SET: 208416.52
SET: 208365.09
SET: 208430.34
SET: 208315.52
SET: 208394.22
SET: 208322.75
SET: 208319.72
SET: 208396.12
SET: 208386.09
SET: 208209.69
SET: 208496.77
SET: 208413.03
SET: 208507.39
SET: 208638.92
SET: 208829.98
SET: 209004.31
SET: 209128.69
SET: 209413.08
SET: 209543.89
SET: 209724.33
SET: 209704.09
SET: 209819.31
SET: 209935.94
SET: 209925.80
SET: 209785.56
SET: 209826.98
SET: 209929.17
SET: 209898.44
SET: 209837.89
SET: 209856.05
SET: 209550.45
SET: 209479.67
SET: 209526.56
SET: 209593.44
SET: 209693.12
SET: 209776.58
SET: 209577.86
SET: 209514.08
SET: 209617.41
SET: 209695.30
SET: 209915.47
SET: 209878.70
SET: 209789.33
SET: 209749.28
SET: 209873.92
SET: 210079.97
SET: 210049.94
SET: 210148.00
SET: 210201.45
SET: 210318.17
SET: 210404.48
SET: 210553.42
SET: 210602.88
SET: 210607.48
SET: 210572.72
SET: 210374.03
SET: 210278.30
SET: 210266.27
SET: 210237.94
SET: 210260.70
SET: 210130.98
SET: 210029.92
SET: 209976.81
SET: 210004.64
SET: 210008.36
SET: 210022.94
SET: 209896.48
SET: 209817.42
SET: 209786.17
SET: 209782.39
SET: 209749.59
SET: 209646.92
SET: 209587.98
SET: 209533.84
SET: 209477.02
SET: 209493.83
SET: 209434.92
SET: 209506.19
SET: 209578.22
SET: 209678.92
SET: 209666.80
SET: 209688.92
SET: 209710.83
SET: 209723.28
SET: 209663.14
SET: 209512.06
SET: 209409.00
SET: 209331.67
SET: 209176.25
SET: 209019.98
SET: 208850.64
SET: 208697.05
SET: 208618.67
SET: 208456.59
SET: 208334.62
SET: 208208.08
SET: 208125.08
SET: 207995.86
SET: 207980.27
SET: 207678.52
SET: 207325.69
SET: 207022.47
SET: 206632.66
SET: 206342.67
SET: 206037.84
SET: 205716.30
SET: 205432.03
SET: 205109.17
SET: 204894.50
SET: 204620.45
SET: 204339.78
SET: 204118.66
SET: 203956.28
SET: 203658.34
SET: 203453.28
SET: 203320.75
SET: 203085.45
SET: 202868.91
SET: 202545.77
SET: 202325.67
SET: 202045.33
SET: 201781.45
SET: 201516.83
SET: 201252.00
SET: 201056.77
SET: 200854.23
SET: 200643.58
SET: 200410.38
SET: 200198.52
SET: 200017.98
SET: 199765.88
SET: 199563.92
SET: 199321.80
SET: 199141.27
SET: 198914.58
SET: 198707.56
SET: 198565.11
SET: 198397.50
SET: 198296.20
SET: 198126.95
SET: 197943.88
SET: 197842.03
SET: 197777.64
SET: 197727.59
SET: 197660.05
SET: 197658.08
SET: 197597.89
SET: 197635.81
SET: 197630.12
SET: 197625.45
SET: 197648.14
SET: 197655.81
SET: 197572.69
SET: 197500.38
SET: 197387.66
SET: 197278.84
SET: 197237.66
SET: 197227.55
SET: 197213.72
SET: 197164.52
SET: 197108.91
SET: 197025.03
SET: 196851.47
SET: 196724.56
SET: 196657.77
SET: 196604.77
SET: 196561.84
SET: 196480.23
SET: 196355.67
SET: 196279.73
SET: 196220.94
SET: 196096.02
SET: 196011.62
SET: 195875.34
SET: 195905.56
SET: 195853.47
SET: 195854.88
SET: 195811.20
SET: 195768.16
SET: 195718.03
SET: 195531.27
SET: 195434.34
SET: 195276.23
SET: 195162.14
SET: 195070.70
SET: 194889.16
SET: 194719.83
SET: 194615.14
SET: 194513.48
SET: 194537.34
SET: 194484.31
SET: 194378.27
SET: 194274.95
SET: 194146.97
SET: 193997.19
SET: 193914.86
SET: 193831.06
SET: 193814.44
SET: 193810.23
SET: 193763.14
SET: 193660.66
SET: 193556.38
SET: 193452.66
SET: 193369.64
SET: 193299.03
SET: 193256.08
SET: 193203.42
SET: 193156.42
SET: 193116.52
SET: 193080.67
SET: 193059.08
SET: 192941.12
SET: 192883.67
SET: 192877.59
SET: 192879.72
SET: 192797.31
SET: 192714.31
SET: 192640.02
SET: 192554.81
SET: 192518.73
SET: 192406.20
SET: 192307.83
SET: 192284.34
SET: 192255.92
SET: 192154.41
SET: 192053.19
SET: 191919.75
SET: 191824.56
SET: 191767.66
SET: 191785.08
SET: 191779.89
SET: 191773.53
SET: 191683.59
SET: 191622.91
SET: 191543.66
SET: 191465.06
SET: 191378.80
SET: 191285.97
SET: 191270.33
SET: 191242.19
SET: 191182.75
SET: 191123.14
SET: 191131.78
SET: 191061.53
SET: 190988.62
SET: 190935.08
SET: 190829.17
SET: 190775.39
SET: 190715.22
SET: 190680.52
SET: 190630.78
SET: 190583.25
SET: 190528.14
SET: 190470.36
SET: 190415.52
SET: 190321.06
SET: 190205.86
SET: 190147.25
SET: 190111.98
SET: 190050.83
SET: 190032.81
SET: 189937.03
SET: 189839.89
SET: 189769.33
SET: 189703.58
SET: 189628.23
SET: 189578.89
SET: 189583.12
SET: 189472.25
SET: 189381.97
SET: 189269.80
SET: 189214.12
SET: 189125.75
SET: 189013.86
SET: 188978.77
SET: 188923.59
SET: 188823.02
SET: 188771.38
SET: 188658.92
SET: 188588.00
SET: 188480.64
SET: 188435.42
SET: 188389.98
SET: 188271.38
SET: 188227.62
SET: 188167.77
SET: 188167.50
SET: 188047.25
SET: 188042.45
SET: 187955.53
SET: 187888.50
SET: 187819.45
SET: 187839.97
SET: 187780.23
SET: 187725.70
SET: 187699.30
SET: 187679.78
SET: 187603.72
SET: 187593.44
SET: 187559.11
SET: 187565.36
SET: 187580.06
SET: 187580.31
SET: 187536.41
SET: 187509.44
SET: 187499.09
SET: 187439.45
SET: 187421.67
SET: 187417.56
SET: 187373.59
SET: 187321.56
SET: 187231.45
SET: 187206.30
SET: 187235.22
SET: 187211.38
SET: 187126.05
SET: 187090.75
====== SET ======
  20000024 requests completed in 106.90 seconds
  32 parallel clients
  128 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.69% <= 0.2 milliseconds
3.95% <= 0.3 milliseconds
9.45% <= 0.4 milliseconds
15.23% <= 0.5 milliseconds
21.50% <= 0.6 milliseconds
28.66% <= 0.7 milliseconds
36.67% <= 0.8 milliseconds
44.86% <= 0.9 milliseconds
52.63% <= 1.0 milliseconds
59.57% <= 1.1 milliseconds
65.52% <= 1.2 milliseconds
70.41% <= 1.3 milliseconds
74.45% <= 1.4 milliseconds
77.74% <= 1.5 milliseconds
80.53% <= 1.6 milliseconds
82.92% <= 1.7 milliseconds
84.91% <= 1.8 milliseconds
86.59% <= 1.9 milliseconds
88.03% <= 2 milliseconds
95.46% <= 3 milliseconds
97.92% <= 4 milliseconds
98.93% <= 5 milliseconds
99.41% <= 6 milliseconds
99.65% <= 7 milliseconds
99.78% <= 8 milliseconds
99.86% <= 9 milliseconds
99.92% <= 10 milliseconds
99.95% <= 11 milliseconds
99.97% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 20 milliseconds
187090.95 requests per second


