2023-11-24 03:12:37
SET: nan
SET: 547328.00
SET: 431376.00
SET: 368714.66
SET: 321824.00
SET: 306118.41
SET: 294538.66
SET: 285851.44
SET: 275724.00
SET: 263950.22
SET: 256428.80
SET: 256596.36
SET: 255944.00
SET: 255485.84
SET: 253957.73
SET: 254477.61
SET: 253535.23
SET: 253091.27
SET: 248220.36
SET: 243062.30
SET: 238669.34
SET: 235632.91
SET: 233318.80
SET: 233759.39
SET: 234159.28
SET: 234337.81
SET: 232876.05
SET: 233260.67
SET: 233736.66
SET: 234666.30
SET: 234694.75
SET: 235191.95
SET: 234652.34
SET: 234000.00
SET: 234579.16
SET: 234954.30
SET: 235311.27
SET: 235414.61
SET: 234503.89
SET: 232790.00
SET: 231043.39
SET: 229627.00
SET: 228111.22
SET: 226764.14
SET: 225613.53
SET: 224529.69
SET: 223444.27
SET: 222011.58
SET: 222952.17
SET: 223599.11
SET: 224019.20
SET: 223345.16
SET: 223698.56
SET: 224010.27
SET: 224288.52
SET: 224469.39
SET: 224623.83
SET: 224788.56
SET: 224749.59
SET: 225083.38
SET: 225559.06
SET: 225308.52
SET: 225454.08
SET: 225686.44
SET: 225277.19
SET: 225108.91
SET: 225433.36
SET: 225692.73
SET: 226046.00
SET: 226121.59
SET: 226414.41
SET: 226533.61
SET: 226875.66
SET: 226928.30
SET: 227046.53
SET: 227065.89
SET: 227050.81
SET: 227269.62
SET: 227105.91
SET: 227197.00
SET: 227260.61
SET: 227430.48
SET: 227473.70
SET: 227329.34
SET: 226529.17
SET: 225722.23
SET: 224973.12
SET: 224250.78
SET: 223472.50
SET: 222693.88
SET: 222096.33
SET: 221428.25
SET: 220795.56
SET: 220207.08
SET: 219515.75
SET: 219085.45
SET: 218471.84
SET: 217847.48
SET: 217447.05
SET: 216899.92
SET: 216503.20
SET: 215836.58
SET: 215324.77
SET: 215268.89
SET: 215445.41
SET: 215732.50
SET: 215885.33
SET: 215971.00
SET: 216107.81
SET: 216417.33
SET: 216709.00
SET: 216755.06
SET: 216819.73
SET: 216952.89
SET: 217193.44
SET: 217370.28
SET: 217595.08
SET: 217819.61
SET: 217857.06
SET: 217923.72
SET: 218063.05
SET: 217643.62
SET: 217692.83
SET: 217804.16
SET: 217910.09
SET: 218040.69
SET: 218106.77
SET: 218081.80
SET: 218006.05
SET: 218137.31
SET: 218209.20
SET: 218219.70
SET: 218213.80
SET: 218329.92
SET: 218267.42
SET: 218458.20
SET: 218629.48
SET: 218704.17
SET: 218964.84
SET: 219185.41
SET: 219332.66
SET: 219311.08
SET: 219297.22
SET: 219313.77
SET: 219408.50
SET: 219397.14
SET: 219461.73
SET: 219152.89
SET: 219213.31
SET: 219326.36
SET: 219379.91
SET: 219466.00
SET: 219485.72
SET: 219334.86
SET: 219235.52
SET: 219321.14
SET: 219251.47
SET: 219317.77
SET: 219359.53
SET: 219430.95
SET: 219454.91
SET: 219500.02
SET: 219536.98
SET: 219606.34
SET: 219615.38
SET: 219698.55
SET: 219747.58
SET: 219849.84
SET: 219851.88
SET: 219857.86
SET: 219870.92
SET: 219871.69
SET: 219881.53
SET: 219575.66
SET: 219446.09
SET: 219469.36
SET: 219497.56
SET: 219581.36
SET: 219615.70
SET: 219463.00
SET: 219317.95
SET: 219407.97
SET: 219430.55
SET: 219443.80
SET: 219444.56
SET: 219396.55
SET: 219282.84
SET: 219284.73
SET: 219302.08
SET: 219292.58
SET: 219275.08
SET: 219338.16
SET: 219292.45
SET: 219276.91
SET: 219201.16
SET: 219198.19
SET: 219169.31
SET: 219169.95
SET: 219186.75
SET: 218795.42
SET: 218493.88
SET: 218164.00
SET: 217843.39
SET: 217527.83
SET: 217125.80
SET: 216824.62
SET: 216503.70
SET: 216131.64
SET: 215896.50
SET: 215624.59
SET: 215344.61
SET: 215024.69
SET: 214757.56
SET: 214506.02
SET: 214220.19
SET: 213913.67
SET: 213598.73
SET: 213326.64
SET: 213058.81
SET: 212867.33
SET: 212623.34
SET: 212407.77
SET: 212155.23
SET: 211950.30
SET: 211660.09
SET: 211436.28
SET: 211250.22
SET: 210933.95
SET: 210719.78
SET: 210525.38
SET: 210289.67
SET: 210054.62
SET: 209809.41
SET: 209592.31
SET: 209418.48
SET: 209177.14
SET: 208984.86
SET: 208850.88
SET: 208562.55
SET: 208309.94
SET: 208250.81
SET: 208319.05
SET: 208374.69
SET: 208466.88
SET: 208449.75
SET: 208518.53
SET: 208558.30
SET: 208613.41
SET: 208617.73
SET: 208601.12
SET: 208666.02
SET: 208717.53
SET: 208781.56
SET: 208828.41
SET: 208896.03
SET: 208941.05
SET: 208948.88
SET: 208808.30
SET: 208746.16
SET: 208716.73
SET: 208768.47
SET: 208837.58
SET: 208898.36
SET: 208940.91
SET: 208831.47
SET: 208860.19
SET: 208895.67
SET: 209003.48
SET: 209072.30
SET: 209166.30
SET: 209075.03
SET: 209109.53
SET: 209167.78
SET: 209223.95
SET: 209289.88
SET: 209344.05
SET: 209298.50
SET: 209344.50
SET: 209360.95
SET: 209354.02
SET: 209413.84
SET: 209494.06
SET: 209522.00
SET: 209545.78
SET: 209567.14
SET: 209623.94
SET: 209680.00
SET: 209715.59
SET: 209756.30
SET: 209730.52
SET: 209766.80
SET: 209757.28
SET: 209731.77
SET: 209770.50
SET: 209755.56
SET: 209759.59
SET: 209708.38
SET: 209693.25
SET: 209743.92
SET: 209747.19
SET: 209789.02
SET: 209824.52
SET: 209857.56
SET: 209870.23
SET: 209872.70
SET: 209929.12
SET: 209896.39
SET: 209890.94
SET: 209904.73
SET: 209928.80
SET: 209963.23
SET: 210001.56
SET: 210017.70
SET: 210068.25
SET: 210097.94
SET: 210064.47
SET: 210062.06
SET: 210102.38
SET: 210146.44
SET: 210158.86
SET: 210146.72
SET: 210175.70
SET: 210187.53
SET: 210181.36
SET: 210232.08
SET: 210285.05
SET: 210296.00
SET: 210371.14
SET: 210318.77
SET: 210334.77
SET: 210306.27
SET: 210292.45
SET: 210302.31
SET: 210296.84
SET: 210224.66
SET: 210145.64
SET: 210196.58
SET: 210224.39
SET: 210220.16
SET: 210218.89
SET: 210187.62
SET: 210205.31
SET: 210223.56
SET: 210254.56
SET: 210276.47
SET: 210316.30
SET: 210315.59
SET: 210272.05
SET: 210289.97
SET: 210319.70
SET: 210357.48
SET: 210382.12
SET: 210405.98
SET: 210364.20
SET: 210385.62
SET: 210404.77
SET: 210399.72
SET: 210431.70
SET: 210409.88
SET: 210415.64
SET: 210367.70
SET: 210376.66
SET: 210376.45
SET: 210391.50
SET: 210402.69
SET: 210418.53
SET: 210412.98
SET: 210441.27
SET: 210448.20
SET: 210441.91
SET: 210459.69
SET: 210463.41
SET: 210454.30
SET: 210418.56
SET: 210432.55
SET: 210446.19
SET: 210463.08
SET: 210433.73
SET: 210489.66
SET: 210471.25
====== SET ======
  20000000 requests completed in 95.00 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

1.05% <= 0.1 milliseconds
16.95% <= 0.2 milliseconds
35.87% <= 0.3 milliseconds
51.82% <= 0.4 milliseconds
64.06% <= 0.5 milliseconds
72.97% <= 0.6 milliseconds
79.57% <= 0.7 milliseconds
84.24% <= 0.8 milliseconds
87.58% <= 0.9 milliseconds
90.00% <= 1.0 milliseconds
91.84% <= 1.1 milliseconds
93.25% <= 1.2 milliseconds
94.35% <= 1.3 milliseconds
95.22% <= 1.4 milliseconds
95.93% <= 1.5 milliseconds
96.51% <= 1.6 milliseconds
96.98% <= 1.7 milliseconds
97.36% <= 1.8 milliseconds
97.69% <= 1.9 milliseconds
97.99% <= 2 milliseconds
99.47% <= 3 milliseconds
99.82% <= 4 milliseconds
99.93% <= 5 milliseconds
99.97% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
210532.95 requests per second


