2023-11-24 03:12:37
SET: 111999.99
SET: 624924.31
SET: 495473.06
SET: 397773.66
SET: 360255.72
SET: 341621.09
SET: 327424.38
SET: 312676.19
SET: 294580.72
SET: 281052.00
SET: 281135.56
SET: 278162.12
SET: 276646.47
SET: 273956.31
SET: 270459.88
SET: 267708.88
SET: 267075.25
SET: 261888.50
SET: 256595.42
SET: 251992.42
SET: 248711.86
SET: 246942.69
SET: 248437.73
SET: 248735.88
SET: 249291.78
SET: 247809.31
SET: 247303.50
SET: 247699.02
SET: 247955.45
SET: 247959.19
SET: 247668.36
SET: 246634.67
SET: 246408.41
SET: 245902.09
SET: 246192.42
SET: 246091.41
SET: 245647.64
SET: 243652.41
SET: 241260.38
SET: 239085.31
SET: 237264.55
SET: 235470.16
SET: 233894.50
SET: 232369.05
SET: 230758.78
SET: 229244.22
SET: 228793.61
SET: 229299.53
SET: 230160.97
SET: 230485.80
SET: 230853.31
SET: 231399.00
SET: 231437.62
SET: 231512.23
SET: 231598.28
SET: 231473.53
SET: 231581.78
SET: 230962.11
SET: 230900.08
SET: 231016.33
SET: 231144.17
SET: 230976.20
SET: 230976.19
SET: 230910.17
SET: 230782.22
SET: 230600.81
SET: 230595.34
SET: 230661.67
SET: 230923.62
SET: 231028.23
SET: 230598.36
SET: 230238.25
SET: 230139.19
SET: 230031.89
SET: 229866.53
SET: 230004.59
SET: 230135.23
SET: 229985.36
SET: 230070.66
SET: 229828.61
SET: 230110.48
SET: 230171.33
SET: 230064.48
SET: 229338.48
SET: 228361.59
SET: 227565.89
SET: 226686.38
SET: 225998.81
SET: 225217.80
SET: 224338.59
SET: 223633.19
SET: 222928.16
SET: 222295.91
SET: 221734.30
SET: 221032.17
SET: 220376.47
SET: 219762.75
SET: 219249.08
SET: 218740.66
SET: 218240.25
SET: 217654.83
SET: 217095.27
SET: 216943.08
SET: 217130.53
SET: 217379.27
SET: 217664.72
SET: 217917.31
SET: 217998.06
SET: 218151.95
SET: 218265.17
SET: 218506.33
SET: 218610.56
SET: 218934.88
SET: 218607.97
SET: 218644.88
SET: 218716.75
SET: 218815.50
SET: 219097.69
SET: 219209.70
SET: 219186.23
SET: 219371.38
SET: 219379.73
SET: 219437.00
SET: 219519.09
SET: 219766.78
SET: 219915.30
SET: 219944.91
SET: 219974.31
SET: 220047.00
SET: 220047.38
SET: 220209.42
SET: 220243.00
SET: 220445.23
SET: 220436.59
SET: 220499.70
SET: 220643.88
SET: 220829.45
SET: 220816.62
SET: 220803.98
SET: 220606.02
SET: 220585.47
SET: 220636.69
SET: 220629.05
SET: 220591.77
SET: 220648.75
SET: 220654.20
SET: 220610.28
SET: 220527.78
SET: 220487.03
SET: 220495.14
SET: 220528.75
SET: 220534.98
SET: 220464.33
SET: 220446.23
SET: 220501.30
SET: 220508.59
SET: 220507.19
SET: 220593.81
SET: 220618.41
SET: 220657.38
SET: 220763.73
SET: 220776.67
SET: 220879.72
SET: 220892.77
SET: 220927.52
SET: 220691.34
SET: 220631.77
SET: 220564.38
SET: 220537.59
SET: 220509.61
SET: 220581.14
SET: 220575.50
SET: 220456.64
SET: 220444.64
SET: 220406.78
SET: 220455.66
SET: 220383.44
SET: 220278.61
SET: 220200.12
SET: 220095.88
SET: 220110.62
SET: 220080.16
SET: 220066.34
SET: 220086.27
SET: 220066.50
SET: 220007.86
SET: 220063.89
SET: 220074.67
SET: 220047.72
SET: 219975.88
SET: 219992.67
SET: 219874.11
SET: 219836.61
SET: 219929.62
SET: 219921.41
SET: 220033.05
SET: 220071.23
SET: 220075.42
SET: 219881.80
SET: 219520.83
SET: 219237.84
SET: 218922.97
SET: 218602.98
SET: 218323.03
SET: 218023.88
SET: 217761.95
SET: 217529.61
SET: 217251.11
SET: 216899.48
SET: 216633.41
SET: 216346.42
SET: 216055.50
SET: 215715.09
SET: 215507.95
SET: 215274.97
SET: 215051.12
SET: 214768.05
SET: 214436.92
SET: 214194.19
SET: 213955.56
SET: 213604.97
SET: 213423.56
SET: 213175.06
SET: 212887.05
SET: 212593.33
SET: 212408.70
SET: 212151.81
SET: 211964.84
SET: 211731.25
SET: 211539.36
SET: 211316.73
SET: 211050.89
SET: 210826.48
SET: 210646.31
SET: 210445.92
SET: 210215.53
SET: 210033.86
SET: 209848.19
SET: 209694.31
SET: 209704.77
SET: 209718.58
SET: 209786.19
SET: 209786.22
SET: 209861.94
SET: 209884.98
SET: 209923.39
SET: 209996.08
SET: 210118.16
SET: 210199.53
SET: 210073.27
SET: 209985.09
SET: 210017.33
SET: 209995.61
SET: 210004.80
SET: 210113.80
SET: 210185.05
SET: 210075.05
SET: 210052.91
SET: 210123.56
SET: 210126.61
SET: 210103.30
SET: 210182.03
SET: 210181.52
SET: 210255.81
SET: 210358.27
SET: 210373.41
SET: 210420.77
SET: 210521.33
SET: 210512.48
SET: 210476.98
SET: 210533.81
SET: 210564.02
SET: 210536.72
SET: 210596.44
SET: 210722.98
SET: 210786.38
SET: 210803.30
SET: 210800.94
SET: 210849.31
SET: 210877.75
SET: 210939.45
SET: 210925.23
SET: 210876.86
SET: 210888.86
SET: 210923.30
SET: 210947.50
SET: 210981.72
SET: 211094.61
SET: 210985.56
SET: 211042.42
SET: 211076.50
SET: 211056.55
SET: 211043.12
SET: 211036.67
SET: 211004.59
SET: 210976.62
SET: 211047.19
SET: 211016.14
SET: 210983.27
SET: 210987.84
SET: 210989.73
SET: 210935.27
SET: 210999.48
SET: 211002.69
SET: 211062.89
SET: 211124.59
SET: 211119.72
SET: 211119.47
SET: 211125.95
SET: 211151.25
SET: 211147.08
SET: 211180.06
SET: 211137.36
SET: 211111.50
SET: 211044.33
SET: 211062.09
SET: 211136.53
SET: 211207.08
SET: 211243.67
SET: 211249.05
SET: 211138.73
SET: 211090.70
SET: 211090.05
SET: 211078.77
SET: 211075.78
SET: 211063.08
SET: 211057.70
SET: 211051.78
SET: 211059.12
SET: 211087.56
SET: 211124.73
SET: 211117.23
SET: 211127.98
SET: 211096.88
SET: 211082.06
SET: 211090.30
SET: 211079.30
SET: 211091.52
SET: 211069.50
SET: 211083.38
SET: 211127.47
SET: 211149.08
SET: 211133.70
SET: 211131.28
SET: 211108.33
SET: 211109.80
SET: 211095.36
SET: 211092.53
SET: 211120.88
SET: 211127.61
SET: 211163.55
SET: 211167.75
SET: 211077.23
SET: 211044.05
SET: 211094.56
SET: 211165.05
SET: 211167.31
SET: 211155.92
SET: 211084.92
SET: 211073.22
SET: 211053.48
SET: 211103.95
SET: 211110.84
SET: 211131.62
SET: 211079.34
SET: 211060.58
SET: 211085.78
SET: 211116.77
SET: 211104.73
SET: 211105.86
SET: 211075.52
SET: 211008.16
SET: 211018.31
SET: 210963.30
SET: 210989.69
SET: 210985.38
SET: 210977.70
SET: 210998.23
SET: 211008.75
SET: 211011.53
====== SET ======
  20000000 requests completed in 94.78 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.99% <= 0.1 milliseconds
17.32% <= 0.2 milliseconds
36.15% <= 0.3 milliseconds
52.02% <= 0.4 milliseconds
64.43% <= 0.5 milliseconds
73.28% <= 0.6 milliseconds
79.80% <= 0.7 milliseconds
84.40% <= 0.8 milliseconds
87.65% <= 0.9 milliseconds
90.07% <= 1.0 milliseconds
91.91% <= 1.1 milliseconds
93.31% <= 1.2 milliseconds
94.40% <= 1.3 milliseconds
95.27% <= 1.4 milliseconds
95.96% <= 1.5 milliseconds
96.52% <= 1.6 milliseconds
96.97% <= 1.7 milliseconds
97.35% <= 1.8 milliseconds
97.68% <= 1.9 milliseconds
97.96% <= 2 milliseconds
99.46% <= 3 milliseconds
99.83% <= 4 milliseconds
99.93% <= 5 milliseconds
99.97% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 18 milliseconds
211014.98 requests per second


