2023-11-24 03:12:37
SET: 0.00
SET: 576988.06
SET: 450481.09
SET: 375946.88
SET: 332937.19
SET: 317669.59
SET: 304995.34
SET: 297054.19
SET: 282819.78
SET: 269429.19
SET: 265307.22
SET: 264735.19
SET: 263701.62
SET: 263026.12
SET: 261391.95
SET: 261378.09
SET: 260866.36
SET: 257666.59
SET: 252587.17
SET: 247230.81
SET: 243275.77
SET: 239654.34
SET: 239684.58
SET: 240814.73
SET: 241409.72
SET: 240196.98
SET: 240867.16
SET: 241342.02
SET: 241312.39
SET: 242574.02
SET: 242625.80
SET: 242188.28
SET: 241923.05
SET: 241584.48
SET: 241668.66
SET: 241526.89
SET: 241468.52
SET: 240747.70
SET: 238525.41
SET: 236774.58
SET: 235127.23
SET: 233433.05
SET: 231744.12
SET: 230181.31
SET: 228999.91
SET: 227793.89
SET: 226489.84
SET: 226718.62
SET: 227289.70
SET: 227855.09
SET: 227304.02
SET: 227600.52
SET: 228034.45
SET: 227971.64
SET: 228273.08
SET: 228608.91
SET: 228656.30
SET: 228944.45
SET: 229045.64
SET: 229062.62
SET: 229026.27
SET: 229217.09
SET: 229374.44
SET: 228748.92
SET: 228618.77
SET: 228415.84
SET: 228628.12
SET: 228567.19
SET: 228605.89
SET: 228628.64
SET: 228571.22
SET: 228670.36
SET: 228640.61
SET: 228742.70
SET: 228677.77
SET: 228878.56
SET: 229045.88
SET: 228902.28
SET: 228905.89
SET: 228959.62
SET: 229189.94
SET: 229157.47
SET: 229385.22
SET: 228372.69
SET: 227381.41
SET: 226404.25
SET: 225642.84
SET: 224921.36
SET: 224194.09
SET: 223382.59
SET: 222680.83
SET: 222028.91
SET: 221338.67
SET: 220738.92
SET: 220060.06
SET: 219427.12
SET: 218877.34
SET: 218191.17
SET: 217489.62
SET: 216993.50
SET: 216227.75
SET: 215652.27
SET: 215076.17
SET: 215116.84
SET: 215376.30
SET: 215664.02
SET: 215483.72
SET: 215718.11
SET: 215850.44
SET: 216036.69
SET: 216211.70
SET: 216448.09
SET: 216483.20
SET: 216638.00
SET: 216735.66
SET: 217014.64
SET: 217305.34
SET: 217433.89
SET: 217742.95
SET: 217762.67
SET: 217873.27
SET: 217905.62
SET: 217893.69
SET: 218112.59
SET: 218247.25
SET: 218163.00
SET: 218014.09
SET: 218042.31
SET: 218123.58
SET: 218280.19
SET: 218388.88
SET: 218473.69
SET: 218341.80
SET: 218366.77
SET: 218490.52
SET: 218538.89
SET: 218651.00
SET: 218610.17
SET: 218761.62
SET: 218858.66
SET: 218925.98
SET: 218990.53
SET: 219078.06
SET: 219164.80
SET: 219313.20
SET: 219358.08
SET: 219375.84
SET: 219384.44
SET: 219438.73
SET: 219514.20
SET: 219584.39
SET: 219354.98
SET: 219151.73
SET: 219158.31
SET: 219080.50
SET: 219080.23
SET: 219044.70
SET: 219005.16
SET: 218841.39
SET: 218739.44
SET: 218750.64
SET: 218743.69
SET: 218778.50
SET: 218783.64
SET: 218795.53
SET: 218840.25
SET: 218900.80
SET: 218976.91
SET: 219046.50
SET: 219208.84
SET: 219162.14
SET: 219215.48
SET: 219316.00
SET: 219336.03
SET: 219391.14
SET: 219323.16
SET: 219338.81
SET: 219308.56
SET: 219355.22
SET: 219337.20
SET: 219323.28
SET: 219313.42
SET: 219335.11
SET: 219318.12
SET: 219260.62
SET: 219246.81
SET: 219221.39
SET: 219176.62
SET: 219124.69
SET: 219222.41
SET: 219097.03
SET: 219034.09
SET: 219099.94
SET: 219075.92
SET: 219098.83
SET: 219008.62
SET: 219012.88
SET: 218965.44
SET: 218983.58
SET: 218814.11
SET: 218519.52
SET: 218183.45
SET: 217859.58
SET: 217657.70
SET: 217306.80
SET: 217003.48
SET: 216671.12
SET: 216379.22
SET: 215960.78
SET: 215704.45
SET: 215505.23
SET: 215235.77
SET: 214976.52
SET: 214685.61
SET: 214445.70
SET: 214174.56
SET: 213928.42
SET: 213646.39
SET: 213387.97
SET: 213013.41
SET: 212830.09
SET: 212629.48
SET: 212433.86
SET: 212226.22
SET: 212009.70
SET: 211840.06
SET: 211585.22
SET: 211357.48
SET: 211115.20
SET: 210874.33
SET: 210667.69
SET: 210481.66
SET: 210268.97
SET: 210086.36
SET: 209834.39
SET: 209484.91
SET: 209314.75
SET: 209168.30
SET: 208931.41
SET: 208631.59
SET: 208607.38
SET: 208473.84
SET: 208421.92
SET: 208436.78
SET: 208502.77
SET: 208546.53
SET: 208581.50
SET: 208611.00
SET: 208590.48
SET: 208603.64
SET: 208644.98
SET: 208632.47
SET: 208672.11
SET: 208735.56
SET: 208746.14
SET: 208783.48
SET: 208815.80
SET: 208840.98
SET: 208844.28
SET: 208874.38
SET: 208895.48
SET: 209007.14
SET: 209057.38
SET: 209078.17
SET: 209043.67
SET: 209121.94
SET: 209154.28
SET: 209095.94
SET: 209027.75
SET: 209105.62
SET: 209063.62
SET: 209047.30
SET: 209136.36
SET: 209093.41
SET: 208964.05
SET: 208986.25
SET: 209014.66
SET: 209000.95
SET: 209056.84
SET: 209106.70
SET: 209037.52
SET: 209093.36
SET: 209131.11
SET: 209169.05
SET: 209244.45
SET: 209214.05
SET: 209222.97
SET: 209244.91
SET: 209277.12
SET: 209337.12
SET: 209361.30
SET: 209462.25
SET: 209570.62
SET: 209573.67
SET: 209613.14
SET: 209679.56
SET: 209681.14
SET: 209714.47
SET: 209780.42
SET: 209755.64
SET: 209754.05
SET: 209779.05
SET: 209776.33
SET: 209791.38
SET: 209796.64
SET: 209679.69
SET: 209631.14
SET: 209683.55
SET: 209740.39
SET: 209770.17
SET: 209817.08
SET: 209814.73
SET: 209827.48
SET: 209911.78
SET: 209911.81
SET: 209950.83
SET: 209954.28
SET: 209937.22
SET: 209913.72
SET: 209876.75
SET: 209847.69
SET: 209830.67
SET: 209894.03
SET: 209914.81
SET: 209943.16
SET: 209946.53
SET: 209925.05
SET: 209974.92
SET: 209988.02
SET: 210003.36
SET: 209982.75
SET: 209893.75
SET: 209917.05
SET: 209965.77
SET: 209947.72
SET: 209946.11
SET: 209958.69
SET: 209834.30
SET: 209781.56
SET: 209787.91
SET: 209792.06
SET: 209801.53
SET: 209813.48
SET: 209718.39
SET: 209691.83
SET: 209704.81
SET: 209699.33
SET: 209696.00
SET: 209695.09
SET: 209705.81
SET: 209693.55
SET: 209719.80
SET: 209664.38
SET: 209666.56
SET: 209689.41
SET: 209686.45
SET: 209692.84
SET: 209689.62
SET: 209680.44
SET: 209689.48
SET: 209714.20
SET: 209709.38
SET: 209706.81
SET: 209744.67
SET: 209729.69
SET: 209718.45
SET: 209729.72
SET: 209777.56
SET: 209759.70
SET: 209739.94
SET: 209756.59
SET: 209775.05
SET: 209763.89
SET: 209773.73
SET: 209768.39
SET: 209749.09
SET: 209751.42
SET: 209761.53
SET: 209804.08
SET: 209818.56
SET: 209831.30
SET: 209745.72
====== SET ======
  20000096 requests completed in 95.36 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.88% <= 0.1 milliseconds
16.69% <= 0.2 milliseconds
35.40% <= 0.3 milliseconds
51.39% <= 0.4 milliseconds
63.84% <= 0.5 milliseconds
72.75% <= 0.6 milliseconds
79.45% <= 0.7 milliseconds
84.22% <= 0.8 milliseconds
87.58% <= 0.9 milliseconds
90.04% <= 1.0 milliseconds
91.91% <= 1.1 milliseconds
93.31% <= 1.2 milliseconds
94.39% <= 1.3 milliseconds
95.24% <= 1.4 milliseconds
95.92% <= 1.5 milliseconds
96.47% <= 1.6 milliseconds
96.93% <= 1.7 milliseconds
97.33% <= 1.8 milliseconds
97.67% <= 1.9 milliseconds
97.96% <= 2 milliseconds
99.48% <= 3 milliseconds
99.84% <= 4 milliseconds
99.94% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 18 milliseconds
209736.95 requests per second


