2023-11-24 03:12:37
SET: nan
SET: 576256.00
SET: 451792.00
SET: 367552.00
SET: 324544.00
SET: 312806.41
SET: 300442.66
SET: 293869.72
SET: 281640.00
SET: 269098.66
SET: 263734.41
SET: 262757.81
SET: 261440.00
SET: 260275.69
SET: 260411.42
SET: 257990.41
SET: 257426.00
SET: 254900.97
SET: 249889.36
SET: 244837.72
SET: 240615.88
SET: 237704.06
SET: 236943.11
SET: 237619.89
SET: 238281.62
SET: 238076.47
SET: 236980.16
SET: 236918.98
SET: 237623.20
SET: 237237.34
SET: 236648.98
SET: 236773.58
SET: 237251.33
SET: 236254.50
SET: 236799.42
SET: 236636.72
SET: 236622.59
SET: 236505.45
SET: 235288.06
SET: 233475.94
SET: 232011.98
SET: 230323.67
SET: 228949.61
SET: 227600.77
SET: 226073.25
SET: 224731.66
SET: 223515.17
SET: 222369.50
SET: 222978.75
SET: 223623.86
SET: 224199.02
SET: 223306.72
SET: 223142.83
SET: 223562.89
SET: 224101.31
SET: 224766.78
SET: 224814.80
SET: 225274.84
SET: 225294.80
SET: 225931.80
SET: 226447.83
SET: 226945.38
SET: 227251.91
SET: 227762.55
SET: 227470.30
SET: 227132.86
SET: 227212.42
SET: 227353.59
SET: 227442.88
SET: 227616.50
SET: 227703.80
SET: 227406.03
SET: 227362.98
SET: 227271.34
SET: 227402.69
SET: 227411.50
SET: 227507.66
SET: 227537.31
SET: 227109.27
SET: 226916.42
SET: 227102.33
SET: 226986.61
SET: 227016.14
SET: 226997.55
SET: 226114.94
SET: 225187.12
SET: 224444.19
SET: 223602.48
SET: 222891.89
SET: 222253.34
SET: 221484.30
SET: 220830.59
SET: 220135.45
SET: 219727.03
SET: 219121.39
SET: 218590.11
SET: 217940.61
SET: 217419.59
SET: 216817.14
SET: 216333.84
SET: 215832.36
SET: 215363.30
SET: 214865.17
SET: 214693.55
SET: 214653.50
SET: 214993.88
SET: 215142.20
SET: 215219.89
SET: 215146.53
SET: 215397.11
SET: 215646.91
SET: 215790.75
SET: 215902.03
SET: 215924.69
SET: 216056.98
SET: 216055.66
SET: 216307.81
SET: 216523.12
SET: 216737.52
SET: 216815.73
SET: 216993.17
SET: 217092.06
SET: 217287.41
SET: 217434.05
SET: 217692.38
SET: 217798.89
SET: 217917.42
SET: 218006.11
SET: 218199.66
SET: 218192.77
SET: 218297.98
SET: 218307.80
SET: 218369.09
SET: 218489.36
SET: 218361.19
SET: 218325.94
SET: 218360.11
SET: 218424.86
SET: 218501.20
SET: 218628.22
SET: 218772.17
SET: 218680.34
SET: 218766.25
SET: 218825.22
SET: 218874.48
SET: 218925.05
SET: 219015.47
SET: 218972.83
SET: 218985.17
SET: 219027.62
SET: 219007.02
SET: 218998.12
SET: 218965.98
SET: 219037.14
SET: 218966.94
SET: 218959.36
SET: 219079.03
SET: 219119.75
SET: 219293.80
SET: 219350.36
SET: 219309.02
SET: 218919.44
SET: 218924.66
SET: 218948.14
SET: 218964.42
SET: 219087.05
SET: 219159.80
SET: 219116.56
SET: 219245.78
SET: 219241.92
SET: 219379.25
SET: 219449.30
SET: 219474.62
SET: 219419.97
SET: 219451.61
SET: 219527.44
SET: 219537.94
SET: 219560.61
SET: 219639.28
SET: 219642.55
SET: 219743.53
SET: 219776.94
SET: 219741.08
SET: 219732.00
SET: 219786.14
SET: 219712.25
SET: 219609.55
SET: 219554.58
SET: 219650.03
SET: 219568.27
SET: 219558.41
SET: 219584.00
SET: 219613.83
SET: 219382.11
SET: 219407.39
SET: 219501.16
SET: 219630.84
SET: 219631.91
SET: 219648.95
SET: 219278.06
SET: 218917.44
SET: 218623.09
SET: 218355.28
SET: 218046.77
SET: 217814.34
SET: 217499.45
SET: 217216.52
SET: 216938.45
SET: 216638.02
SET: 216359.72
SET: 216141.38
SET: 215942.98
SET: 215654.56
SET: 215399.48
SET: 215166.67
SET: 214869.36
SET: 214532.89
SET: 214256.86
SET: 214054.59
SET: 213790.17
SET: 213568.72
SET: 213319.00
SET: 213147.06
SET: 212926.45
SET: 212754.64
SET: 212534.05
SET: 212290.19
SET: 212044.11
SET: 211792.91
SET: 211583.42
SET: 211351.28
SET: 211158.81
SET: 210928.14
SET: 210698.23
SET: 210467.70
SET: 210302.16
SET: 210120.94
SET: 209893.06
SET: 209772.47
SET: 209844.30
SET: 209872.61
SET: 209997.05
SET: 210127.06
SET: 210171.11
SET: 210185.28
SET: 210122.97
SET: 210069.73
SET: 210180.25
SET: 210258.92
SET: 210239.56
SET: 210228.31
SET: 210263.41
SET: 210232.59
SET: 210318.98
SET: 210392.03
SET: 210449.61
SET: 210482.89
SET: 210568.20
SET: 210594.45
SET: 210626.31
SET: 210642.14
SET: 210662.28
SET: 210675.58
SET: 210721.23
SET: 210711.41
SET: 210747.66
SET: 210794.69
SET: 210856.11
SET: 210946.44
SET: 210982.47
SET: 210999.73
SET: 211021.14
SET: 211093.06
SET: 211094.98
SET: 211090.22
SET: 211207.30
SET: 211237.64
SET: 211200.66
SET: 211175.34
SET: 211164.77
SET: 211166.38
SET: 211201.33
SET: 211216.30
SET: 211305.55
SET: 211215.73
SET: 211239.03
SET: 211272.34
SET: 211315.00
SET: 211377.36
SET: 211440.61
SET: 211410.55
SET: 211414.11
SET: 211469.03
SET: 211500.33
SET: 211550.66
SET: 211608.25
SET: 211566.84
SET: 211585.42
SET: 211607.86
SET: 211669.08
SET: 211721.80
SET: 211760.88
SET: 211793.44
SET: 211820.20
SET: 211878.98
SET: 211887.45
SET: 211914.69
SET: 211953.94
SET: 211944.11
SET: 211944.92
SET: 211966.56
SET: 211937.25
SET: 211980.61
SET: 211973.31
SET: 211984.09
SET: 212046.61
SET: 212011.12
SET: 212050.66
SET: 212064.88
SET: 212008.22
SET: 212002.80
SET: 212038.16
SET: 211963.83
SET: 211962.75
SET: 211981.03
SET: 211964.36
SET: 211946.66
SET: 211983.91
SET: 211918.12
SET: 211868.58
SET: 211819.55
SET: 211767.17
SET: 211757.28
SET: 211755.89
SET: 211757.39
SET: 211756.39
SET: 211725.12
SET: 211763.83
SET: 211766.80
SET: 211740.88
SET: 211742.09
SET: 211760.78
SET: 211813.67
SET: 211815.98
SET: 211810.09
SET: 211857.11
SET: 211873.84
SET: 211869.14
SET: 211837.52
SET: 211843.03
SET: 211824.73
SET: 211793.98
SET: 211817.19
SET: 211844.98
SET: 211789.03
SET: 211780.62
SET: 211796.16
SET: 211786.33
SET: 211749.84
SET: 211741.00
SET: 211738.88
SET: 211703.80
SET: 211668.47
SET: 211706.41
SET: 211664.14
SET: 211644.98
SET: 211675.67
SET: 211659.73
SET: 211662.84
SET: 211674.06
SET: 211626.53
SET: 211651.33
SET: 211628.75
SET: 211616.11
SET: 211625.09
SET: 211588.47
SET: 211573.41
SET: 211605.34
====== SET ======
  20000008 requests completed in 94.51 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

1.30% <= 0.1 milliseconds
17.92% <= 0.2 milliseconds
36.65% <= 0.3 milliseconds
52.41% <= 0.4 milliseconds
64.54% <= 0.5 milliseconds
73.18% <= 0.6 milliseconds
79.68% <= 0.7 milliseconds
84.31% <= 0.8 milliseconds
87.57% <= 0.9 milliseconds
89.96% <= 1.0 milliseconds
91.78% <= 1.1 milliseconds
93.18% <= 1.2 milliseconds
94.28% <= 1.3 milliseconds
95.17% <= 1.4 milliseconds
95.88% <= 1.5 milliseconds
96.45% <= 1.6 milliseconds
96.94% <= 1.7 milliseconds
97.32% <= 1.8 milliseconds
97.65% <= 1.9 milliseconds
97.95% <= 2 milliseconds
99.47% <= 3 milliseconds
99.83% <= 4 milliseconds
99.93% <= 5 milliseconds
99.97% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 12 milliseconds
100.00% <= 15 milliseconds
100.00% <= 15 milliseconds
211606.70 requests per second


