2023-11-24 03:12:37
SET: 0.00
SET: 491952.22
SET: 374451.09
SET: 339185.09
SET: 299868.12
SET: 283830.53
SET: 276882.06
SET: 275499.72
SET: 269970.03
SET: 258156.30
SET: 249215.02
SET: 248156.97
SET: 248996.66
SET: 247899.12
SET: 249098.80
SET: 249014.92
SET: 248035.98
SET: 248182.52
SET: 245053.77
SET: 240717.17
SET: 237281.09
SET: 234170.61
SET: 231232.28
SET: 232991.66
SET: 234489.84
SET: 234537.44
SET: 233156.58
SET: 233170.62
SET: 232884.33
SET: 232577.88
SET: 233033.05
SET: 233080.97
SET: 233258.06
SET: 232607.58
SET: 232599.12
SET: 232821.39
SET: 233023.33
SET: 232840.78
SET: 233119.89
SET: 231380.19
SET: 229613.09
SET: 227658.41
SET: 226155.30
SET: 224833.53
SET: 223432.47
SET: 222373.58
SET: 221291.17
SET: 220154.78
SET: 220093.59
SET: 221038.59
SET: 221510.92
SET: 221150.88
SET: 220949.19
SET: 221689.72
SET: 222034.50
SET: 222637.11
SET: 223204.52
SET: 223702.64
SET: 223842.31
SET: 224324.69
SET: 224463.19
SET: 224803.20
SET: 225097.17
SET: 225343.75
SET: 225733.52
SET: 225132.16
SET: 225100.97
SET: 225254.48
SET: 225292.48
SET: 225361.83
SET: 225616.98
SET: 225746.84
SET: 225748.36
SET: 225735.81
SET: 225848.94
SET: 226036.56
SET: 226261.02
SET: 226292.30
SET: 225986.58
SET: 225982.50
SET: 226009.30
SET: 226209.17
SET: 226280.92
SET: 226212.52
SET: 225545.80
SET: 224535.42
SET: 223691.34
SET: 223005.98
SET: 222176.28
SET: 221420.55
SET: 220724.25
SET: 220159.58
SET: 219611.69
SET: 219094.50
SET: 218491.55
SET: 217902.11
SET: 217280.30
SET: 216767.91
SET: 216224.52
SET: 215682.14
SET: 215159.88
SET: 214664.41
SET: 213886.11
SET: 213352.69
SET: 213656.73
SET: 213900.17
SET: 214240.70
SET: 214392.83
SET: 214230.33
SET: 214358.64
SET: 214515.44
SET: 214726.75
SET: 214910.88
SET: 214973.44
SET: 215101.41
SET: 215208.50
SET: 215381.86
SET: 215533.38
SET: 215791.56
SET: 215999.45
SET: 216136.98
SET: 216251.89
SET: 216280.23
SET: 216492.75
SET: 216613.36
SET: 216677.80
SET: 216756.44
SET: 216868.34
SET: 216432.30
SET: 216415.31
SET: 216558.02
SET: 216649.22
SET: 216678.22
SET: 216881.62
SET: 216788.41
SET: 216706.52
SET: 216841.50
SET: 216948.81
SET: 217032.58
SET: 217149.64
SET: 217175.23
SET: 217223.62
SET: 217399.72
SET: 217469.11
SET: 217661.00
SET: 217815.22
SET: 217793.08
SET: 217751.30
SET: 217933.75
SET: 218001.50
SET: 218134.22
SET: 218158.22
SET: 218196.42
SET: 218191.28
SET: 217865.92
SET: 217793.42
SET: 217772.50
SET: 217773.66
SET: 217889.36
SET: 217917.06
SET: 217896.09
SET: 217886.11
SET: 217985.44
SET: 217946.17
SET: 218070.84
SET: 218108.70
SET: 218198.50
SET: 218108.16
SET: 218123.98
SET: 218203.59
SET: 218226.20
SET: 218324.62
SET: 218399.44
SET: 218348.05
SET: 218382.53
SET: 218405.48
SET: 218326.22
SET: 218337.11
SET: 218325.61
SET: 218262.23
SET: 218177.88
SET: 218135.62
SET: 218085.77
SET: 218105.83
SET: 218079.80
SET: 218098.81
SET: 218077.81
SET: 217769.09
SET: 217770.41
SET: 217800.98
SET: 217842.52
SET: 217835.89
SET: 217807.84
SET: 217639.38
SET: 217651.22
SET: 217678.83
SET: 217675.83
SET: 217656.28
SET: 217640.97
SET: 217581.45
SET: 217414.58
SET: 217065.25
SET: 216549.78
SET: 216316.08
SET: 216033.41
SET: 215814.33
SET: 215517.25
SET: 215206.53
SET: 214887.86
SET: 214632.39
SET: 214333.66
SET: 213928.91
SET: 213597.81
SET: 213291.62
SET: 213065.73
SET: 212805.50
SET: 212438.23
SET: 212132.58
SET: 211869.78
SET: 211650.70
SET: 211406.16
SET: 211238.92
SET: 210965.00
SET: 210687.94
SET: 210526.72
SET: 210256.34
SET: 209959.48
SET: 209698.12
SET: 209456.27
SET: 209202.83
SET: 208993.47
SET: 208840.05
SET: 208613.08
SET: 208461.78
SET: 208214.45
SET: 208034.03
SET: 207823.42
SET: 207591.23
SET: 207362.48
SET: 207056.97
SET: 206841.41
SET: 206623.78
SET: 206551.75
SET: 206639.72
SET: 206680.28
SET: 206515.30
SET: 206451.64
SET: 206503.88
SET: 206588.72
SET: 206639.97
SET: 206687.25
SET: 206719.48
SET: 206697.92
SET: 206714.44
SET: 206768.98
SET: 206813.31
SET: 206892.80
SET: 206857.64
SET: 206894.80
SET: 206922.53
SET: 206964.81
SET: 207047.56
SET: 207067.69
SET: 207165.36
SET: 207246.17
SET: 207351.86
SET: 207432.33
SET: 207450.39
SET: 207558.06
SET: 207589.31
SET: 207616.78
SET: 207641.33
SET: 207631.83
SET: 207689.06
SET: 207737.94
SET: 207780.53
SET: 207824.55
SET: 207849.78
SET: 207822.12
SET: 207866.33
SET: 207912.73
SET: 207939.80
SET: 207974.14
SET: 207982.27
SET: 207963.97
SET: 207984.52
SET: 208016.45
SET: 208039.23
SET: 208076.64
SET: 208106.70
SET: 208159.05
SET: 208197.97
SET: 208293.58
SET: 208352.19
SET: 208356.42
SET: 208368.02
SET: 208430.95
SET: 208448.67
SET: 208504.92
SET: 208517.34
SET: 208507.31
SET: 208504.56
SET: 208532.44
SET: 208554.55
SET: 208525.27
SET: 208531.09
SET: 208558.20
SET: 208599.20
SET: 208590.00
SET: 208642.95
SET: 208546.27
SET: 208476.20
SET: 208505.34
SET: 208558.19
SET: 208596.86
SET: 208613.34
SET: 208581.95
SET: 208527.03
SET: 208519.25
SET: 208523.53
SET: 208551.89
SET: 208551.66
SET: 208548.66
SET: 208523.69
SET: 208492.06
SET: 208528.94
SET: 208542.52
SET: 208542.03
SET: 208518.92
SET: 208538.64
SET: 208548.73
SET: 208564.27
SET: 208609.20
SET: 208651.38
SET: 208680.92
SET: 208719.00
SET: 208774.17
SET: 208789.62
SET: 208738.53
SET: 208747.86
SET: 208773.89
SET: 208776.03
SET: 208707.72
SET: 208717.05
SET: 208694.69
SET: 208757.20
SET: 208767.12
SET: 208795.34
SET: 208792.22
SET: 208770.44
SET: 208758.45
SET: 208782.55
SET: 208823.20
SET: 208836.73
SET: 208865.27
SET: 208828.14
SET: 208837.05
SET: 208836.58
SET: 208833.44
SET: 208850.81
SET: 208899.02
SET: 208896.61
SET: 208890.78
SET: 208906.66
SET: 208889.05
SET: 208907.91
SET: 208924.66
SET: 208943.84
SET: 208940.23
SET: 208923.73
SET: 208906.02
SET: 208895.39
SET: 208924.53
SET: 208917.69
SET: 208905.06
SET: 208931.64
SET: 208934.88
SET: 208978.89
SET: 208984.77
SET: 208995.33
SET: 208996.08
SET: 208915.22
SET: 209012.30
====== SET ======
  20000016 requests completed in 95.64 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

1.11% <= 0.1 milliseconds
16.83% <= 0.2 milliseconds
35.37% <= 0.3 milliseconds
51.36% <= 0.4 milliseconds
63.87% <= 0.5 milliseconds
72.81% <= 0.6 milliseconds
79.39% <= 0.7 milliseconds
84.12% <= 0.8 milliseconds
87.45% <= 0.9 milliseconds
89.90% <= 1.0 milliseconds
91.74% <= 1.1 milliseconds
93.13% <= 1.2 milliseconds
94.22% <= 1.3 milliseconds
95.08% <= 1.4 milliseconds
95.79% <= 1.5 milliseconds
96.39% <= 1.6 milliseconds
96.87% <= 1.7 milliseconds
97.27% <= 1.8 milliseconds
97.61% <= 1.9 milliseconds
97.91% <= 2 milliseconds
99.43% <= 3 milliseconds
99.81% <= 4 milliseconds
99.93% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
99.99% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 15 milliseconds
209117.69 requests per second


