2023-11-24 03:12:37
SET: nan
SET: 385152.00
SET: 300944.00
SET: 281930.66
SET: 266696.00
SET: 245920.00
SET: 243029.33
SET: 242249.14
SET: 247044.00
SET: 245063.11
SET: 237961.59
SET: 232069.80
SET: 234476.70
SET: 236004.92
SET: 237132.42
SET: 236686.20
SET: 237294.69
SET: 237128.34
SET: 237934.27
SET: 234445.09
SET: 230524.38
SET: 227476.20
SET: 225132.27
SET: 223563.42
SET: 225889.41
SET: 227591.94
SET: 226499.38
SET: 227183.89
SET: 227955.45
SET: 228677.14
SET: 228902.98
SET: 229313.38
SET: 229203.41
SET: 228478.81
SET: 228565.39
SET: 228984.25
SET: 229227.02
SET: 228892.16
SET: 229504.22
SET: 228824.28
SET: 227322.67
SET: 225893.52
SET: 224463.06
SET: 223079.80
SET: 221863.33
SET: 220601.39
SET: 219177.33
SET: 218005.80
SET: 216955.69
SET: 217457.16
SET: 218094.69
SET: 217743.14
SET: 218090.44
SET: 218439.72
SET: 218875.00
SET: 219182.78
SET: 219517.28
SET: 219752.50
SET: 219945.95
SET: 220040.94
SET: 220810.66
SET: 221042.28
SET: 221531.12
SET: 221563.69
SET: 221349.34
SET: 221235.08
SET: 221463.08
SET: 221563.97
SET: 221824.19
SET: 221877.50
SET: 222192.98
SET: 222081.45
SET: 222113.88
SET: 222243.12
SET: 222401.73
SET: 222529.25
SET: 222577.64
SET: 222442.80
SET: 222133.83
SET: 222265.56
SET: 222290.84
SET: 222321.41
SET: 222478.81
SET: 222711.06
SET: 222875.70
SET: 222496.73
SET: 221831.95
SET: 221177.30
SET: 220616.41
SET: 219940.70
SET: 219235.12
SET: 218715.89
SET: 218089.36
SET: 217501.42
SET: 216841.55
SET: 216360.95
SET: 215841.72
SET: 215344.44
SET: 214793.64
SET: 214345.78
SET: 213834.88
SET: 213312.55
SET: 212855.00
SET: 212428.41
SET: 212100.73
SET: 212422.08
SET: 212782.02
SET: 212970.22
SET: 213082.67
SET: 213248.53
SET: 213399.44
SET: 213713.05
SET: 213859.70
SET: 214095.47
SET: 214279.41
SET: 214469.05
SET: 214601.36
SET: 214709.83
SET: 214861.44
SET: 214971.55
SET: 214824.44
SET: 214917.89
SET: 214935.94
SET: 214981.77
SET: 215093.41
SET: 215364.44
SET: 215428.38
SET: 215222.08
SET: 215418.33
SET: 215372.00
SET: 215418.41
SET: 215549.06
SET: 215623.95
SET: 215523.14
SET: 215510.70
SET: 215683.48
SET: 215766.47
SET: 215851.28
SET: 215874.61
SET: 215921.53
SET: 215989.70
SET: 216104.78
SET: 216283.56
SET: 216305.52
SET: 216434.44
SET: 216427.70
SET: 216604.19
SET: 216285.02
SET: 216342.75
SET: 216329.92
SET: 216378.23
SET: 216328.30
SET: 216288.69
SET: 216156.16
SET: 216121.91
SET: 216092.64
SET: 216232.08
SET: 216277.45
SET: 216265.17
SET: 216411.75
SET: 216403.19
SET: 216468.81
SET: 216461.38
SET: 216578.83
SET: 216621.53
SET: 216612.72
SET: 216621.94
SET: 216751.31
SET: 216774.83
SET: 216865.06
SET: 216985.09
SET: 217053.78
SET: 217086.33
SET: 216747.47
SET: 216669.45
SET: 216739.28
SET: 216794.88
SET: 216796.50
SET: 216913.31
SET: 216844.25
SET: 216843.30
SET: 216858.42
SET: 216842.78
SET: 216829.44
SET: 216842.64
SET: 216824.94
SET: 216792.83
SET: 216754.91
SET: 216790.36
SET: 216767.39
SET: 216769.75
SET: 216712.47
SET: 216738.92
SET: 216713.05
SET: 216759.33
SET: 216750.36
SET: 216719.77
SET: 216726.67
SET: 216699.58
SET: 216498.38
SET: 216416.41
SET: 216347.03
SET: 215996.05
SET: 215720.66
SET: 215442.03
SET: 215126.02
SET: 214864.92
SET: 214584.42
SET: 214328.91
SET: 214059.14
SET: 213706.67
SET: 213485.02
SET: 213270.72
SET: 213046.44
SET: 212750.11
SET: 212546.69
SET: 212346.19
SET: 212051.73
SET: 211749.27
SET: 211535.08
SET: 211296.16
SET: 211180.52
SET: 210925.33
SET: 210710.12
SET: 210519.84
SET: 210333.80
SET: 210071.58
SET: 209758.97
SET: 209538.45
SET: 209287.03
SET: 209115.55
SET: 208884.75
SET: 208611.28
SET: 208407.56
SET: 208226.91
SET: 208063.16
SET: 207816.91
SET: 207629.69
SET: 207310.47
SET: 207094.16
SET: 206890.56
SET: 206676.84
SET: 206697.52
SET: 206771.20
SET: 206827.64
SET: 206879.16
SET: 207017.50
SET: 207077.41
SET: 207151.03
SET: 207225.08
SET: 207264.64
SET: 207310.77
SET: 207353.86
SET: 207383.08
SET: 207417.88
SET: 207503.31
SET: 207506.64
SET: 207423.20
SET: 207448.61
SET: 207483.70
SET: 207544.98
SET: 207652.73
SET: 207750.25
SET: 207654.64
SET: 207659.45
SET: 207698.03
SET: 207772.03
SET: 207772.53
SET: 207777.56
SET: 207734.52
SET: 207647.36
SET: 207769.16
SET: 207796.34
SET: 207863.64
SET: 207897.41
SET: 207966.75
SET: 207940.45
SET: 208018.83
SET: 208024.28
SET: 208022.70
SET: 208071.75
SET: 208062.50
SET: 208137.25
SET: 208204.80
SET: 208289.11
SET: 208343.42
SET: 208342.89
SET: 208348.72
SET: 208321.19
SET: 208306.47
SET: 208363.20
SET: 208417.03
SET: 208429.84
SET: 208471.48
SET: 208554.09
SET: 208531.08
SET: 208546.47
SET: 208575.97
SET: 208580.47
SET: 208605.70
SET: 208638.23
SET: 208612.20
SET: 208612.08
SET: 208650.48
SET: 208667.58
SET: 208706.50
SET: 208757.81
SET: 208797.64
SET: 208746.25
SET: 208778.30
SET: 208816.75
SET: 208891.58
SET: 208904.09
SET: 208958.44
SET: 208973.11
SET: 209003.03
SET: 209043.17
SET: 209078.94
SET: 209133.98
SET: 209232.30
SET: 209237.25
SET: 209212.06
SET: 209181.17
SET: 209189.20
SET: 209203.20
SET: 209213.09
SET: 209257.94
SET: 209229.05
SET: 209226.36
SET: 209223.03
SET: 209244.42
SET: 209225.89
SET: 209226.23
SET: 209129.30
SET: 209082.61
SET: 209081.58
SET: 209110.16
SET: 209151.95
SET: 209184.59
SET: 209189.03
SET: 209220.25
SET: 209265.45
SET: 209279.70
SET: 209255.00
SET: 209263.62
SET: 209259.78
SET: 209212.05
SET: 209191.77
SET: 209187.06
SET: 209194.75
SET: 209183.48
SET: 209189.86
SET: 209221.11
SET: 209249.72
SET: 209296.25
SET: 209318.73
SET: 209318.36
SET: 209330.97
SET: 209295.53
SET: 209283.38
SET: 209320.86
SET: 209364.25
SET: 209418.98
SET: 209463.72
SET: 209472.44
SET: 209431.86
SET: 209482.83
SET: 209533.19
SET: 209486.77
SET: 209503.09
SET: 209498.78
SET: 209431.62
SET: 209465.80
SET: 209491.88
SET: 209498.50
SET: 209462.77
SET: 209447.48
SET: 209435.41
SET: 209407.58
SET: 209392.48
SET: 209372.41
SET: 209414.31
====== SET ======
  20000024 requests completed in 95.46 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.78% <= 0.1 milliseconds
16.43% <= 0.2 milliseconds
35.15% <= 0.3 milliseconds
51.28% <= 0.4 milliseconds
63.95% <= 0.5 milliseconds
72.89% <= 0.6 milliseconds
79.51% <= 0.7 milliseconds
84.18% <= 0.8 milliseconds
87.52% <= 0.9 milliseconds
89.97% <= 1.0 milliseconds
91.80% <= 1.1 milliseconds
93.19% <= 1.2 milliseconds
94.31% <= 1.3 milliseconds
95.20% <= 1.4 milliseconds
95.91% <= 1.5 milliseconds
96.48% <= 1.6 milliseconds
96.93% <= 1.7 milliseconds
97.32% <= 1.8 milliseconds
97.67% <= 1.9 milliseconds
97.97% <= 2 milliseconds
99.49% <= 3 milliseconds
99.85% <= 4 milliseconds
99.94% <= 5 milliseconds
99.97% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 14 milliseconds
100.00% <= 14 milliseconds
209518.67 requests per second


