2023-11-24 03:12:37
SET: nan
SET: 305472.00
SET: 277856.00
SET: 258869.33
SET: 261584.00
SET: 244742.41
SET: 245484.34
SET: 246780.12
SET: 247420.30
SET: 242103.02
SET: 235079.12
SET: 228718.02
SET: 229721.52
SET: 232339.48
SET: 234862.36
SET: 236543.70
SET: 236899.56
SET: 237689.56
SET: 237035.98
SET: 233388.89
SET: 228897.88
SET: 226401.69
SET: 223613.31
SET: 222392.50
SET: 223428.30
SET: 225381.75
SET: 224898.05
SET: 225337.48
SET: 226319.02
SET: 226563.36
SET: 227869.39
SET: 227873.61
SET: 228767.20
SET: 228093.53
SET: 228214.03
SET: 228524.16
SET: 228887.25
SET: 229208.25
SET: 229242.72
SET: 228894.31
SET: 227381.50
SET: 225704.38
SET: 224329.72
SET: 222908.16
SET: 221647.11
SET: 220339.73
SET: 219113.52
SET: 217831.25
SET: 216626.36
SET: 216556.14
SET: 216798.34
SET: 216905.00
SET: 217246.81
SET: 217730.84
SET: 218403.67
SET: 218836.67
SET: 219310.34
SET: 219676.52
SET: 219894.95
SET: 219919.50
SET: 220392.08
SET: 220767.91
SET: 221146.23
SET: 221396.62
SET: 221461.78
SET: 220869.48
SET: 220973.11
SET: 221223.06
SET: 221815.16
SET: 222098.52
SET: 222457.86
SET: 222594.89
SET: 222854.30
SET: 223349.77
SET: 223556.56
SET: 223724.97
SET: 223957.08
SET: 223809.36
SET: 223537.91
SET: 223806.48
SET: 223822.91
SET: 223850.36
SET: 224096.73
SET: 224136.80
SET: 224098.23
SET: 223369.36
SET: 222568.55
SET: 222053.41
SET: 221587.03
SET: 221108.12
SET: 220450.09
SET: 219765.05
SET: 219028.47
SET: 218512.70
SET: 217994.98
SET: 217517.11
SET: 217162.80
SET: 216472.20
SET: 215957.25
SET: 215461.09
SET: 214964.62
SET: 214289.55
SET: 213687.28
SET: 213110.05
SET: 212989.28
SET: 213234.53
SET: 213396.11
SET: 213526.05
SET: 213782.98
SET: 214070.64
SET: 214353.06
SET: 214645.09
SET: 214900.22
SET: 215123.66
SET: 215376.56
SET: 215647.91
SET: 215859.66
SET: 216062.86
SET: 216204.36
SET: 216366.31
SET: 216097.81
SET: 216142.73
SET: 216317.45
SET: 216413.94
SET: 216608.94
SET: 216799.03
SET: 216733.81
SET: 216576.44
SET: 216590.41
SET: 216674.59
SET: 216791.42
SET: 216833.73
SET: 216958.25
SET: 216968.61
SET: 217236.58
SET: 217304.89
SET: 217494.50
SET: 217565.06
SET: 217625.34
SET: 217611.36
SET: 217727.56
SET: 217774.52
SET: 217757.97
SET: 217854.16
SET: 217923.47
SET: 217987.42
SET: 217841.06
SET: 217629.45
SET: 217736.44
SET: 217800.78
SET: 217860.00
SET: 217880.53
SET: 217784.41
SET: 217573.53
SET: 217590.94
SET: 217668.38
SET: 217671.02
SET: 217722.52
SET: 217818.27
SET: 217727.77
SET: 217808.53
SET: 217796.11
SET: 217823.34
SET: 217896.73
SET: 217888.09
SET: 218004.02
SET: 218110.45
SET: 218205.84
SET: 218236.89
SET: 218324.86
SET: 218390.03
SET: 218457.23
SET: 218186.89
SET: 218016.36
SET: 218027.02
SET: 218062.05
SET: 218110.12
SET: 218171.77
SET: 218092.55
SET: 217974.72
SET: 218014.56
SET: 218061.58
SET: 218185.59
SET: 218278.17
SET: 218404.86
SET: 218429.22
SET: 218474.36
SET: 218446.59
SET: 218467.61
SET: 218412.25
SET: 218467.58
SET: 218442.61
SET: 218446.72
SET: 218483.09
SET: 218562.30
SET: 218550.64
SET: 218587.91
SET: 218570.88
SET: 218483.09
SET: 218492.33
SET: 218095.23
SET: 217753.83
SET: 217451.89
SET: 217090.05
SET: 216768.30
SET: 216494.94
SET: 216254.81
SET: 215949.94
SET: 215679.38
SET: 215320.33
SET: 215084.58
SET: 214839.08
SET: 214579.16
SET: 214277.83
SET: 213981.98
SET: 213756.75
SET: 213509.61
SET: 213257.08
SET: 212990.92
SET: 212687.42
SET: 212471.16
SET: 212297.66
SET: 212101.80
SET: 211949.88
SET: 211765.03
SET: 211481.75
SET: 211230.97
SET: 210969.44
SET: 210788.64
SET: 210595.16
SET: 210340.73
SET: 210113.34
SET: 209862.55
SET: 209638.61
SET: 209463.20
SET: 209300.86
SET: 209078.75
SET: 208817.77
SET: 208579.53
SET: 208432.44
SET: 208343.88
SET: 208431.77
SET: 208454.44
SET: 208457.44
SET: 208488.47
SET: 208560.25
SET: 208631.95
SET: 208665.53
SET: 208738.17
SET: 208836.69
SET: 208942.62
SET: 209028.84
SET: 209043.30
SET: 209164.47
SET: 209178.77
SET: 209117.08
SET: 209063.34
SET: 209071.16
SET: 209124.28
SET: 209135.52
SET: 209221.81
SET: 209299.38
SET: 209177.83
SET: 209262.38
SET: 209330.66
SET: 209347.12
SET: 209374.53
SET: 209407.02
SET: 209324.66
SET: 209317.83
SET: 209359.03
SET: 209381.64
SET: 209418.55
SET: 209472.88
SET: 209451.39
SET: 209442.17
SET: 209417.02
SET: 209446.19
SET: 209535.12
SET: 209530.19
SET: 209540.38
SET: 209500.84
SET: 209545.31
SET: 209537.94
SET: 209559.56
SET: 209636.70
SET: 209639.25
SET: 209643.91
SET: 209643.53
SET: 209639.06
SET: 209645.91
SET: 209693.78
SET: 209764.89
SET: 209797.62
SET: 209763.22
SET: 209807.34
SET: 209793.78
SET: 209811.33
SET: 209920.22
SET: 209924.08
SET: 209908.59
SET: 209895.56
SET: 209852.75
SET: 209895.94
SET: 209914.53
SET: 209923.67
SET: 209928.27
SET: 209906.45
SET: 209948.05
SET: 209959.86
SET: 209984.81
SET: 210046.20
SET: 210037.81
SET: 210014.03
SET: 210007.80
SET: 210008.92
SET: 210005.80
SET: 210031.77
SET: 210099.92
SET: 210086.11
SET: 210078.00
SET: 210054.48
SET: 210098.47
SET: 210128.92
SET: 210165.30
SET: 210205.39
SET: 210176.16
SET: 210245.52
SET: 210228.92
SET: 210288.84
SET: 210300.52
SET: 210297.34
SET: 210258.92
SET: 210147.62
SET: 210149.14
SET: 210201.94
SET: 210213.12
SET: 210197.17
SET: 210229.44
SET: 210182.20
SET: 210223.58
SET: 210233.48
SET: 210285.03
SET: 210314.61
SET: 210305.27
SET: 210269.09
SET: 210271.70
SET: 210291.89
SET: 210273.91
SET: 210289.11
SET: 210234.33
SET: 210214.30
SET: 210291.06
SET: 210303.14
SET: 210354.19
SET: 210406.22
SET: 210386.61
SET: 210349.36
SET: 210282.77
SET: 210270.17
SET: 210321.70
SET: 210353.28
SET: 210395.30
SET: 210365.78
SET: 210296.03
SET: 210262.92
SET: 210294.06
SET: 210258.97
SET: 210230.16
SET: 210231.30
SET: 210236.77
SET: 210252.56
SET: 210306.34
SET: 210281.22
SET: 210265.88
SET: 210278.61
SET: 210293.31
SET: 210289.09
SET: 210281.17
SET: 210285.97
SET: 210252.52
====== SET ======
  20000000 requests completed in 95.13 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.85% <= 0.1 milliseconds
16.89% <= 0.2 milliseconds
35.91% <= 0.3 milliseconds
51.82% <= 0.4 milliseconds
64.25% <= 0.5 milliseconds
73.15% <= 0.6 milliseconds
79.76% <= 0.7 milliseconds
84.41% <= 0.8 milliseconds
87.66% <= 0.9 milliseconds
90.05% <= 1.0 milliseconds
91.86% <= 1.1 milliseconds
93.28% <= 1.2 milliseconds
94.35% <= 1.3 milliseconds
95.20% <= 1.4 milliseconds
95.89% <= 1.5 milliseconds
96.46% <= 1.6 milliseconds
96.93% <= 1.7 milliseconds
97.32% <= 1.8 milliseconds
97.67% <= 1.9 milliseconds
97.96% <= 2 milliseconds
99.44% <= 3 milliseconds
99.82% <= 4 milliseconds
99.93% <= 5 milliseconds
99.97% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
99.99% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 17 milliseconds
100.00% <= 21 milliseconds
100.00% <= 21 milliseconds
210247.47 requests per second


