2023-11-24 03:12:38
SET: 0.00
SET: 274613.56
SET: 255792.42
SET: 237699.08
SET: 248439.55
SET: 237039.16
SET: 234051.95
SET: 235952.02
SET: 240579.72
SET: 239530.89
SET: 232767.70
SET: 226262.45
SET: 227758.75
SET: 229640.11
SET: 231860.61
SET: 234405.77
SET: 234043.50
SET: 235479.66
SET: 236134.20
SET: 232833.52
SET: 229130.17
SET: 226049.14
SET: 223403.75
SET: 221016.17
SET: 222337.89
SET: 223156.75
SET: 222994.78
SET: 223786.73
SET: 224806.62
SET: 225338.12
SET: 226183.95
SET: 226463.38
SET: 226831.30
SET: 226254.97
SET: 226783.34
SET: 226869.30
SET: 227393.92
SET: 227887.59
SET: 228334.25
SET: 228087.78
SET: 226703.47
SET: 225368.72
SET: 223900.22
SET: 222923.36
SET: 221873.84
SET: 220629.22
SET: 219604.94
SET: 218286.59
SET: 217121.16
SET: 217812.61
SET: 218197.41
SET: 217987.45
SET: 218405.59
SET: 218761.64
SET: 219387.09
SET: 219497.70
SET: 219918.58
SET: 219976.70
SET: 220126.59
SET: 220549.03
SET: 220980.33
SET: 221136.83
SET: 221440.48
SET: 221492.80
SET: 221508.97
SET: 221140.70
SET: 221170.94
SET: 221294.33
SET: 221650.77
SET: 221998.27
SET: 222288.30
SET: 222238.05
SET: 222407.81
SET: 222710.56
SET: 222902.66
SET: 223043.98
SET: 223112.98
SET: 223106.62
SET: 222817.41
SET: 222837.23
SET: 222853.38
SET: 222890.83
SET: 223147.05
SET: 223236.73
SET: 223431.70
SET: 222853.05
SET: 222232.44
SET: 221600.70
SET: 220927.33
SET: 220281.31
SET: 219568.23
SET: 218914.42
SET: 218240.75
SET: 217613.89
SET: 217041.56
SET: 216549.31
SET: 216085.66
SET: 215514.45
SET: 214961.44
SET: 214345.89
SET: 213854.66
SET: 213147.27
SET: 212647.61
SET: 212137.14
SET: 211654.66
SET: 211663.73
SET: 211964.53
SET: 212192.27
SET: 212249.45
SET: 212497.55
SET: 212830.14
SET: 213044.61
SET: 213307.25
SET: 213466.12
SET: 213604.83
SET: 213827.92
SET: 213900.42
SET: 213986.73
SET: 214058.30
SET: 214243.47
SET: 214448.75
SET: 214175.98
SET: 214157.62
SET: 214142.69
SET: 214319.19
SET: 214510.53
SET: 214571.11
SET: 214521.14
SET: 214561.92
SET: 214548.52
SET: 214707.59
SET: 214804.66
SET: 214906.06
SET: 215023.03
SET: 215140.16
SET: 215243.22
SET: 215414.41
SET: 215550.41
SET: 215655.22
SET: 215893.64
SET: 216046.84
SET: 216105.52
SET: 216271.73
SET: 216332.70
SET: 216422.61
SET: 216473.31
SET: 216629.19
SET: 216316.03
SET: 216271.53
SET: 216399.62
SET: 216509.59
SET: 216648.61
SET: 216711.08
SET: 216519.86
SET: 216492.19
SET: 216523.48
SET: 216543.30
SET: 216662.31
SET: 216773.34
SET: 216912.56
SET: 217009.45
SET: 217071.73
SET: 217088.62
SET: 217114.73
SET: 217138.56
SET: 217292.03
SET: 217353.64
SET: 217404.73
SET: 217421.70
SET: 217426.92
SET: 217388.59
SET: 217455.14
SET: 217383.25
SET: 217042.17
SET: 217024.95
SET: 217030.62
SET: 217075.83
SET: 217172.58
SET: 217109.02
SET: 217051.17
SET: 217164.23
SET: 217234.53
SET: 217301.75
SET: 217272.09
SET: 217203.97
SET: 217267.84
SET: 217177.44
SET: 217230.69
SET: 217279.11
SET: 217443.48
SET: 217442.45
SET: 217416.14
SET: 217471.25
SET: 217533.92
SET: 217566.92
SET: 217612.53
SET: 217640.22
SET: 217559.30
SET: 217472.73
SET: 217412.28
SET: 217311.00
SET: 216989.61
SET: 216694.86
SET: 216359.36
SET: 216034.34
SET: 215679.73
SET: 215426.27
SET: 215179.88
SET: 214877.88
SET: 214538.80
SET: 214210.33
SET: 213973.62
SET: 213732.36
SET: 213468.28
SET: 213240.16
SET: 212987.75
SET: 212746.05
SET: 212499.20
SET: 212258.28
SET: 212133.52
SET: 211912.59
SET: 211621.72
SET: 211380.59
SET: 211177.36
SET: 210915.94
SET: 210576.52
SET: 210311.02
SET: 210031.50
SET: 209825.83
SET: 209642.25
SET: 209460.67
SET: 209347.02
SET: 209169.11
SET: 209020.58
SET: 208840.12
SET: 208690.20
SET: 208434.06
SET: 208221.52
SET: 207971.38
SET: 207758.25
SET: 207600.64
SET: 207614.38
SET: 207662.11
SET: 207705.48
SET: 207804.64
SET: 207864.45
SET: 207994.80
SET: 208077.45
SET: 208193.77
SET: 208269.69
SET: 208394.41
SET: 208495.56
SET: 208534.98
SET: 208640.47
SET: 208671.45
SET: 208684.62
SET: 208697.20
SET: 208687.27
SET: 208747.11
SET: 208771.39
SET: 208798.95
SET: 208872.62
SET: 208943.27
SET: 208973.00
SET: 208873.83
SET: 208913.88
SET: 209029.75
SET: 209018.70
SET: 209047.48
SET: 209045.14
SET: 209082.39
SET: 209142.50
SET: 209139.45
SET: 209195.98
SET: 209221.52
SET: 209172.84
SET: 209212.30
SET: 209257.00
SET: 209318.31
SET: 209352.56
SET: 209384.98
SET: 209459.86
SET: 209471.81
SET: 209510.94
SET: 209589.27
SET: 209574.27
SET: 209636.98
SET: 209656.38
SET: 209650.62
SET: 209549.38
SET: 209550.00
SET: 209598.64
SET: 209607.64
SET: 209645.06
SET: 209676.69
SET: 209663.52
SET: 209552.73
SET: 209579.39
SET: 209618.75
SET: 209634.20
SET: 209642.94
SET: 209645.78
SET: 209616.92
SET: 209605.67
SET: 209640.91
SET: 209630.08
SET: 209705.56
SET: 209707.92
SET: 209730.02
SET: 209692.73
SET: 209654.56
SET: 209743.27
SET: 209736.42
SET: 209746.31
SET: 209773.16
SET: 209881.88
SET: 209913.19
SET: 209923.09
SET: 209919.06
SET: 209943.23
SET: 209954.62
SET: 209903.20
SET: 209914.38
SET: 209933.52
SET: 209939.78
SET: 210017.98
SET: 210054.19
SET: 209930.52
SET: 209906.28
SET: 209916.25
SET: 209947.58
SET: 209973.78
SET: 209998.38
SET: 209957.03
SET: 209854.53
SET: 209871.22
SET: 209917.06
SET: 209901.50
SET: 209873.62
SET: 209873.56
SET: 209870.03
SET: 209901.89
SET: 209931.59
SET: 209918.77
SET: 209928.53
SET: 209911.36
SET: 209965.92
SET: 209965.80
SET: 209943.69
SET: 209957.09
SET: 209955.89
SET: 209974.48
SET: 209993.05
SET: 209987.22
SET: 209970.31
SET: 209953.67
SET: 209951.97
SET: 209959.86
SET: 209991.73
SET: 210001.33
SET: 209992.41
SET: 209992.91
SET: 209970.80
SET: 209966.59
SET: 210006.55
SET: 209984.14
SET: 209946.89
SET: 209954.50
SET: 209942.75
SET: 209918.94
SET: 209912.55
SET: 209924.64
SET: 209878.61
SET: 209870.41
SET: 209874.81
SET: 209914.17
SET: 209915.72
SET: 209922.25
SET: 209900.16
SET: 209893.53
SET: 209964.83
====== SET ======
  20000000 requests completed in 95.21 seconds
  16 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.88% <= 0.1 milliseconds
16.88% <= 0.2 milliseconds
35.66% <= 0.3 milliseconds
51.62% <= 0.4 milliseconds
64.19% <= 0.5 milliseconds
73.09% <= 0.6 milliseconds
79.66% <= 0.7 milliseconds
84.32% <= 0.8 milliseconds
87.63% <= 0.9 milliseconds
90.03% <= 1.0 milliseconds
91.85% <= 1.1 milliseconds
93.25% <= 1.2 milliseconds
94.34% <= 1.3 milliseconds
95.20% <= 1.4 milliseconds
95.91% <= 1.5 milliseconds
96.48% <= 1.6 milliseconds
96.95% <= 1.7 milliseconds
97.34% <= 1.8 milliseconds
97.67% <= 1.9 milliseconds
97.97% <= 2 milliseconds
99.49% <= 3 milliseconds
99.83% <= 4 milliseconds
99.93% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
99.99% <= 11 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 18 milliseconds
100.00% <= 24 milliseconds
100.00% <= 25 milliseconds
100.00% <= 25 milliseconds
210068.58 requests per second


