2023-11-24 03:16:17
SET: nan
SET: 563200.00
SET: 444464.00
SET: 378314.66
SET: 334928.00
SET: 321612.81
SET: 309493.34
SET: 303204.56
SET: 284840.75
SET: 271296.94
SET: 265959.25
SET: 265386.12
SET: 264484.84
SET: 261707.95
SET: 260414.50
SET: 259549.16
SET: 258566.09
SET: 256547.39
SET: 251368.44
SET: 246673.69
SET: 242364.98
SET: 237993.53
SET: 236380.02
SET: 238287.39
SET: 238719.73
SET: 237351.23
SET: 237818.30
SET: 237677.56
SET: 237616.56
SET: 237693.17
SET: 237984.28
SET: 238296.84
SET: 238783.75
SET: 239088.06
SET: 239295.47
SET: 239628.09
SET: 239670.45
SET: 239337.95
SET: 237336.44
SET: 235586.72
SET: 233699.80
SET: 231831.52
SET: 230218.17
SET: 228745.27
SET: 227018.00
SET: 225390.91
SET: 224058.41
SET: 223333.11
SET: 224137.27
SET: 224945.17
SET: 225114.89
SET: 225378.38
SET: 225989.70
SET: 226523.64
SET: 226727.47
SET: 226913.42
SET: 227124.16
SET: 227574.39
SET: 227782.45
SET: 227914.08
SET: 228014.66
SET: 228367.83
SET: 228405.23
SET: 228203.34
SET: 228124.70
SET: 227984.98
SET: 228293.94
SET: 228566.45
SET: 228713.36
SET: 228709.52
SET: 228062.38
SET: 227906.06
SET: 227706.11
SET: 227798.02
SET: 227971.48
SET: 227904.47
SET: 228055.56
SET: 227894.28
SET: 228029.72
SET: 227654.42
SET: 227649.55
SET: 227687.44
SET: 227734.16
SET: 227501.52
SET: 226637.34
SET: 225850.69
SET: 225043.28
SET: 224200.00
SET: 223499.47
SET: 222539.02
SET: 221925.44
SET: 221381.59
SET: 220899.64
SET: 220255.72
SET: 219537.02
SET: 218930.30
SET: 218328.36
SET: 217708.16
SET: 217275.56
SET: 216723.09
SET: 216230.31
SET: 215729.22
SET: 215207.84
SET: 214954.97
SET: 215190.77
SET: 215235.64
SET: 215524.11
SET: 215728.25
SET: 215733.44
SET: 215867.94
SET: 216109.92
SET: 216361.95
SET: 216310.45
SET: 216285.34
SET: 216350.19
SET: 216445.06
SET: 216658.53
SET: 216628.56
SET: 216711.34
SET: 216544.62
SET: 216558.22
SET: 216522.41
SET: 216487.70
SET: 216597.39
SET: 216643.12
SET: 216685.58
SET: 216849.98
SET: 216856.91
SET: 216873.89
SET: 216951.11
SET: 217071.48
SET: 217149.98
SET: 217131.58
SET: 217213.73
SET: 217317.34
SET: 217345.98
SET: 217356.78
SET: 217612.09
SET: 217648.17
SET: 217195.20
SET: 217090.70
SET: 217142.41
SET: 217098.33
SET: 217198.02
SET: 217302.55
SET: 217107.16
SET: 217026.41
SET: 217013.77
SET: 216972.12
SET: 216919.45
SET: 217001.80
SET: 216932.47
SET: 216809.12
SET: 216836.20
SET: 216701.58
SET: 216785.17
SET: 216794.09
SET: 216750.72
SET: 216748.39
SET: 216754.55
SET: 216867.78
SET: 216923.78
SET: 216981.06
SET: 216964.66
SET: 217012.59
SET: 216917.09
SET: 216946.06
SET: 216966.27
SET: 217003.34
SET: 216925.31
SET: 216914.03
SET: 216822.45
SET: 216625.58
SET: 216619.00
SET: 216654.80
SET: 216599.50
SET: 216602.83
SET: 216651.83
SET: 216455.89
SET: 216427.08
SET: 216412.44
SET: 216477.67
SET: 216566.61
SET: 216532.58
SET: 216522.38
SET: 216559.84
SET: 216589.86
SET: 216630.48
SET: 216639.39
SET: 216717.58
SET: 216803.36
SET: 216829.81
SET: 216928.11
SET: 216931.08
SET: 216905.50
SET: 216899.22
SET: 216845.84
SET: 216575.11
SET: 216496.44
SET: 216470.80
SET: 216426.06
SET: 216436.36
SET: 216162.62
SET: 215807.61
SET: 215488.53
SET: 215129.17
SET: 214796.92
SET: 214506.34
SET: 214180.73
SET: 213950.98
SET: 213639.34
SET: 213329.75
SET: 213111.33
SET: 212801.27
SET: 212558.52
SET: 212307.30
SET: 212062.72
SET: 211745.50
SET: 211520.70
SET: 211220.09
SET: 210932.55
SET: 210665.95
SET: 210429.73
SET: 210205.95
SET: 209978.19
SET: 209612.58
SET: 209373.47
SET: 209172.39
SET: 208956.06
SET: 208774.36
SET: 208411.50
SET: 208149.12
SET: 207993.66
SET: 207729.28
SET: 207496.28
SET: 207285.56
SET: 206987.16
SET: 206819.34
SET: 206645.97
SET: 206448.47
SET: 206238.56
SET: 206069.88
SET: 205885.28
SET: 205809.47
SET: 205853.44
SET: 205904.11
SET: 205925.11
SET: 206024.55
SET: 206094.44
SET: 206191.66
SET: 206311.22
SET: 206444.86
SET: 206520.20
SET: 206465.75
SET: 206482.64
SET: 206541.77
SET: 206518.22
SET: 206605.12
SET: 206699.55
SET: 206741.98
SET: 206607.56
SET: 206574.66
SET: 206614.89
SET: 206634.39
SET: 206683.06
SET: 206698.91
SET: 206609.88
SET: 206591.61
SET: 206593.52
SET: 206550.58
SET: 206512.47
SET: 206557.97
SET: 206548.00
SET: 206513.61
SET: 206538.75
SET: 206600.36
SET: 206637.88
SET: 206625.70
SET: 206645.48
SET: 206699.52
SET: 206718.33
SET: 206727.00
SET: 206750.23
SET: 206824.72
SET: 206815.22
SET: 206867.86
SET: 206887.36
SET: 206958.11
SET: 206977.38
SET: 207076.88
SET: 207107.62
SET: 207079.38
SET: 207048.89
SET: 207065.56
SET: 207106.59
SET: 207130.98
SET: 207164.83
SET: 207153.52
SET: 207017.47
SET: 206998.61
SET: 207031.06
SET: 207044.05
SET: 207037.78
SET: 207094.38
SET: 206957.84
SET: 206950.45
SET: 207017.84
SET: 207023.03
SET: 207061.50
SET: 207087.62
SET: 206970.47
SET: 206927.91
SET: 206948.16
SET: 206959.80
SET: 206966.06
SET: 206966.59
SET: 206971.28
SET: 206940.73
SET: 206985.52
SET: 206950.19
SET: 206946.17
SET: 207006.34
SET: 207046.19
SET: 207084.28
SET: 207086.12
SET: 207186.28
SET: 207222.73
SET: 207257.09
SET: 207329.95
SET: 207260.92
SET: 207239.12
SET: 207274.86
SET: 207312.88
SET: 207356.53
SET: 207415.44
SET: 207427.88
SET: 207309.83
SET: 207289.19
SET: 207305.02
SET: 207295.27
SET: 207279.75
SET: 207321.64
SET: 207284.06
SET: 207334.17
SET: 207326.34
SET: 207318.56
SET: 207326.91
SET: 207351.16
SET: 207360.09
SET: 207386.50
SET: 207410.45
SET: 207427.34
SET: 207429.89
SET: 207442.28
SET: 207453.08
SET: 207430.11
SET: 207424.25
SET: 207524.86
SET: 207576.84
SET: 207585.52
SET: 207578.84
SET: 207611.20
SET: 207576.48
SET: 207571.14
SET: 207626.80
SET: 207635.09
SET: 207631.89
SET: 207554.45
SET: 207530.64
SET: 207521.25
SET: 207553.48
SET: 207561.94
SET: 207556.92
SET: 207579.80
SET: 207527.47
SET: 207513.38
SET: 207537.30
SET: 207548.97
SET: 207566.83
SET: 207537.84
SET: 207550.17
SET: 207558.41
SET: 207600.17
SET: 207649.56
SET: 207651.81
SET: 207675.14
====== SET ======
  20000024 requests completed in 96.31 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.75% <= 0.1 milliseconds
16.00% <= 0.2 milliseconds
34.51% <= 0.3 milliseconds
50.62% <= 0.4 milliseconds
63.34% <= 0.5 milliseconds
72.42% <= 0.6 milliseconds
79.16% <= 0.7 milliseconds
83.96% <= 0.8 milliseconds
87.39% <= 0.9 milliseconds
89.89% <= 1.0 milliseconds
91.77% <= 1.1 milliseconds
93.20% <= 1.2 milliseconds
94.32% <= 1.3 milliseconds
95.19% <= 1.4 milliseconds
95.91% <= 1.5 milliseconds
96.49% <= 1.6 milliseconds
96.94% <= 1.7 milliseconds
97.32% <= 1.8 milliseconds
97.64% <= 1.9 milliseconds
97.93% <= 2 milliseconds
99.43% <= 3 milliseconds
99.80% <= 4 milliseconds
99.92% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 15 milliseconds
207671.62 requests per second


