2023-11-24 03:16:17
SET: 111999.99
SET: 479808.78
SET: 372790.44
SET: 334625.84
SET: 295128.84
SET: 279213.41
SET: 272426.38
SET: 266225.00
SET: 264567.72
SET: 253554.88
SET: 243924.84
SET: 240270.45
SET: 240981.02
SET: 241272.23
SET: 241217.94
SET: 241623.03
SET: 241355.33
SET: 240468.50
SET: 239765.44
SET: 235077.45
SET: 231281.89
SET: 228225.44
SET: 225458.39
SET: 223655.08
SET: 223980.02
SET: 223874.61
SET: 223589.05
SET: 223750.00
SET: 224418.17
SET: 224527.31
SET: 225563.33
SET: 225971.11
SET: 226268.44
SET: 226212.31
SET: 226042.81
SET: 226350.09
SET: 226652.75
SET: 227280.23
SET: 227412.47
SET: 227537.42
SET: 225905.64
SET: 224384.64
SET: 223295.52
SET: 221934.91
SET: 220472.14
SET: 219330.78
SET: 218496.30
SET: 217470.58
SET: 216355.16
SET: 216229.12
SET: 215793.39
SET: 215744.14
SET: 216305.69
SET: 216640.27
SET: 217275.19
SET: 217782.95
SET: 218306.28
SET: 218457.17
SET: 218646.45
SET: 218951.28
SET: 219291.80
SET: 219680.94
SET: 220083.31
SET: 220351.59
SET: 220646.97
SET: 220992.31
SET: 221173.56
SET: 221524.14
SET: 221723.77
SET: 221891.64
SET: 221773.23
SET: 221849.64
SET: 221843.30
SET: 222010.83
SET: 222265.48
SET: 222378.16
SET: 222298.91
SET: 221904.34
SET: 221908.66
SET: 222152.12
SET: 222287.97
SET: 222370.30
SET: 222318.78
SET: 222344.03
SET: 222259.41
SET: 221961.14
SET: 221224.59
SET: 220545.80
SET: 219741.73
SET: 219017.56
SET: 218400.45
SET: 217657.70
SET: 217096.95
SET: 216377.31
SET: 215550.12
SET: 214881.42
SET: 214308.95
SET: 213712.67
SET: 213248.67
SET: 212656.08
SET: 212015.83
SET: 211659.36
SET: 211025.98
SET: 210501.39
SET: 210000.39
SET: 209651.78
SET: 209927.06
SET: 210311.08
SET: 210576.94
SET: 210874.31
SET: 211146.80
SET: 211412.94
SET: 211632.06
SET: 211882.69
SET: 212034.66
SET: 212145.88
SET: 212299.84
SET: 212397.61
SET: 212203.97
SET: 212164.09
SET: 212291.72
SET: 212404.30
SET: 212517.91
SET: 212736.91
SET: 212665.97
SET: 212568.53
SET: 212703.39
SET: 212764.84
SET: 212863.08
SET: 212998.95
SET: 213216.89
SET: 213291.34
SET: 213347.95
SET: 213409.02
SET: 213417.12
SET: 213442.64
SET: 213645.11
SET: 213731.41
SET: 213817.14
SET: 213821.56
SET: 213866.36
SET: 213928.89
SET: 214065.11
SET: 214133.44
SET: 213766.78
SET: 213635.03
SET: 213584.92
SET: 213754.08
SET: 213822.62
SET: 213919.89
SET: 213739.48
SET: 213682.86
SET: 213737.23
SET: 213777.11
SET: 213849.06
SET: 213947.95
SET: 214012.16
SET: 213958.80
SET: 214051.08
SET: 214153.25
SET: 214252.95
SET: 214284.06
SET: 214339.67
SET: 214433.45
SET: 214522.39
SET: 214523.02
SET: 214510.91
SET: 214524.61
SET: 214618.11
SET: 214522.94
SET: 214580.73
SET: 214473.80
SET: 214496.81
SET: 214405.47
SET: 214396.80
SET: 214346.00
SET: 214071.52
SET: 214093.78
SET: 214110.42
SET: 214052.70
SET: 214021.81
SET: 214084.52
SET: 213862.52
SET: 213836.61
SET: 213891.12
SET: 213975.14
SET: 214084.05
SET: 214162.53
SET: 214127.22
SET: 214124.77
SET: 214114.98
SET: 214082.31
SET: 214087.47
SET: 214055.94
SET: 214060.84
SET: 214023.86
SET: 214068.88
SET: 214152.22
SET: 214161.42
SET: 214196.86
SET: 214167.48
SET: 213932.48
SET: 213856.58
SET: 213771.95
SET: 213534.66
SET: 213256.61
SET: 212893.23
SET: 212495.95
SET: 212196.77
SET: 211922.25
SET: 211629.05
SET: 211358.03
SET: 210959.12
SET: 210685.00
SET: 210419.11
SET: 210150.34
SET: 209926.77
SET: 209668.92
SET: 209414.20
SET: 209234.39
SET: 208963.59
SET: 208789.05
SET: 208548.48
SET: 208304.50
SET: 208110.09
SET: 207916.28
SET: 207746.55
SET: 207555.47
SET: 207192.69
SET: 206927.80
SET: 206669.78
SET: 206498.45
SET: 206375.47
SET: 206099.11
SET: 205810.77
SET: 205560.67
SET: 205390.39
SET: 205155.66
SET: 204979.86
SET: 204696.08
SET: 204425.86
SET: 204217.45
SET: 204044.22
SET: 203894.52
SET: 203702.58
SET: 203491.47
SET: 203544.77
SET: 203592.19
SET: 203675.72
SET: 203697.58
SET: 203779.89
SET: 203863.47
SET: 203911.98
SET: 203961.75
SET: 203987.66
SET: 204034.86
SET: 204091.34
SET: 204091.23
SET: 204110.84
SET: 204151.28
SET: 204238.05
SET: 204350.61
SET: 204382.22
SET: 204328.84
SET: 204146.84
SET: 204122.75
SET: 204177.64
SET: 204192.25
SET: 204245.23
SET: 204283.91
SET: 204103.88
SET: 204060.83
SET: 204041.67
SET: 204109.00
SET: 204153.55
SET: 204159.73
SET: 204097.86
SET: 204111.70
SET: 204145.12
SET: 204147.02
SET: 204147.58
SET: 204173.67
SET: 204205.39
SET: 204252.23
SET: 204314.42
SET: 204349.00
SET: 204345.77
SET: 204367.91
SET: 204417.48
SET: 204509.77
SET: 204546.61
SET: 204614.75
SET: 204648.39
SET: 204669.11
SET: 204774.42
SET: 204779.70
SET: 204867.52
SET: 204915.73
SET: 204893.56
SET: 204942.67
SET: 204970.66
SET: 204833.34
SET: 204767.58
SET: 204785.52
SET: 204843.53
SET: 204825.36
SET: 204819.94
SET: 204731.58
SET: 204635.48
SET: 204701.73
SET: 204736.52
SET: 204719.14
SET: 204722.09
SET: 204695.69
SET: 204620.14
SET: 204624.05
SET: 204619.25
SET: 204651.19
SET: 204689.98
SET: 204761.61
SET: 204781.42
SET: 204839.56
SET: 204871.02
SET: 204889.91
SET: 204931.39
SET: 204959.72
SET: 204979.44
SET: 204968.81
SET: 204986.25
SET: 204982.47
SET: 204996.06
SET: 205012.97
SET: 204975.33
SET: 204944.30
SET: 204993.47
SET: 205002.62
SET: 204998.12
SET: 204985.39
SET: 205016.55
SET: 204926.19
SET: 204939.17
SET: 204963.33
SET: 204965.47
SET: 204957.91
SET: 204970.19
SET: 204942.16
SET: 204971.70
SET: 204942.62
SET: 204959.59
SET: 204955.47
SET: 205006.02
SET: 204978.73
SET: 204995.25
SET: 205001.58
SET: 204999.03
SET: 205019.91
SET: 205059.17
SET: 205045.91
SET: 205058.75
SET: 205124.05
SET: 205131.59
SET: 205130.42
SET: 205087.22
SET: 205090.83
SET: 205084.41
SET: 205086.44
SET: 205163.33
SET: 205154.06
SET: 205121.56
SET: 205208.31
SET: 205178.80
SET: 205189.42
SET: 205186.48
SET: 205195.91
SET: 205238.55
SET: 205290.94
SET: 205291.94
SET: 205256.36
SET: 205268.34
SET: 205280.53
SET: 205292.56
SET: 205309.02
SET: 205311.61
SET: 205289.98
SET: 205301.38
SET: 205314.86
SET: 205355.03
SET: 205382.36
SET: 205396.69
SET: 205384.30
====== SET ======
  20000024 requests completed in 97.36 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.50% <= 0.1 milliseconds
15.07% <= 0.2 milliseconds
33.53% <= 0.3 milliseconds
49.66% <= 0.4 milliseconds
62.66% <= 0.5 milliseconds
71.91% <= 0.6 milliseconds
78.82% <= 0.7 milliseconds
83.75% <= 0.8 milliseconds
87.24% <= 0.9 milliseconds
89.79% <= 1.0 milliseconds
91.69% <= 1.1 milliseconds
93.12% <= 1.2 milliseconds
94.24% <= 1.3 milliseconds
95.11% <= 1.4 milliseconds
95.82% <= 1.5 milliseconds
96.39% <= 1.6 milliseconds
96.87% <= 1.7 milliseconds
97.27% <= 1.8 milliseconds
97.61% <= 1.9 milliseconds
97.90% <= 2 milliseconds
99.42% <= 3 milliseconds
99.83% <= 4 milliseconds
99.93% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 14 milliseconds
205419.20 requests per second


