2023-11-24 03:16:17
SET: nan
SET: 471296.00
SET: 370640.00
SET: 328480.00
SET: 295368.00
SET: 282374.41
SET: 275392.00
SET: 270121.16
SET: 266756.00
SET: 254257.78
SET: 245769.59
SET: 246240.64
SET: 248815.73
SET: 249550.30
SET: 249103.69
SET: 248765.67
SET: 248921.78
SET: 248080.92
SET: 244919.80
SET: 240708.91
SET: 236839.03
SET: 233406.22
SET: 230608.25
SET: 231029.22
SET: 232030.66
SET: 231855.41
SET: 232073.83
SET: 231918.25
SET: 231463.02
SET: 232039.72
SET: 232349.78
SET: 232883.39
SET: 233713.58
SET: 234037.81
SET: 234157.61
SET: 234018.28
SET: 233962.23
SET: 234440.12
SET: 233935.59
SET: 232215.75
SET: 230494.70
SET: 229116.16
SET: 227658.38
SET: 226242.34
SET: 224875.39
SET: 223256.38
SET: 221930.28
SET: 220392.41
SET: 219941.67
SET: 220225.58
SET: 220548.66
SET: 220322.75
SET: 220850.56
SET: 221187.66
SET: 221434.05
SET: 221784.33
SET: 222206.67
SET: 222369.47
SET: 222645.23
SET: 222868.84
SET: 223184.16
SET: 223459.78
SET: 223604.20
SET: 224009.64
SET: 224273.44
SET: 224421.83
SET: 224620.48
SET: 224812.75
SET: 225065.22
SET: 225504.66
SET: 225323.20
SET: 225002.64
SET: 225131.36
SET: 225157.06
SET: 225603.20
SET: 225626.61
SET: 225715.09
SET: 225308.47
SET: 225237.14
SET: 225053.00
SET: 225390.59
SET: 225343.80
SET: 225241.52
SET: 225193.41
SET: 224841.75
SET: 224025.59
SET: 223319.58
SET: 222442.95
SET: 221798.22
SET: 221192.78
SET: 220545.84
SET: 220000.89
SET: 219411.09
SET: 218765.86
SET: 218238.52
SET: 217367.30
SET: 216677.83
SET: 215965.69
SET: 215419.56
SET: 214965.58
SET: 214502.75
SET: 213956.28
SET: 213609.03
SET: 213088.67
SET: 212956.08
SET: 213360.14
SET: 213436.05
SET: 213580.30
SET: 213627.58
SET: 213811.64
SET: 214010.11
SET: 214075.30
SET: 214216.45
SET: 214261.39
SET: 214647.34
SET: 214885.95
SET: 215159.73
SET: 215349.28
SET: 215401.97
SET: 215268.02
SET: 215125.09
SET: 215243.62
SET: 215304.09
SET: 215377.11
SET: 215645.02
SET: 215808.31
SET: 215653.70
SET: 215573.31
SET: 215645.11
SET: 215718.78
SET: 215806.33
SET: 215880.09
SET: 216025.92
SET: 216220.55
SET: 216301.27
SET: 216342.88
SET: 216441.73
SET: 216580.02
SET: 216686.38
SET: 216719.64
SET: 216717.70
SET: 216721.69
SET: 216787.80
SET: 216860.38
SET: 216984.58
SET: 216710.61
SET: 216419.16
SET: 216403.03
SET: 216410.25
SET: 216453.02
SET: 216403.28
SET: 216456.33
SET: 216298.86
SET: 216311.95
SET: 216332.98
SET: 216310.00
SET: 216321.95
SET: 216381.64
SET: 216363.23
SET: 216364.17
SET: 216433.27
SET: 216388.86
SET: 216522.72
SET: 216540.31
SET: 216525.31
SET: 216535.89
SET: 216621.52
SET: 216528.14
SET: 216521.56
SET: 216572.61
SET: 216578.84
SET: 216372.28
SET: 216264.67
SET: 216268.12
SET: 216300.61
SET: 216292.48
SET: 216263.38
SET: 216103.02
SET: 215915.16
SET: 215885.25
SET: 215853.38
SET: 215826.25
SET: 215788.36
SET: 215798.27
SET: 215662.89
SET: 215663.67
SET: 215646.73
SET: 215614.06
SET: 215647.08
SET: 215611.55
SET: 215540.69
SET: 215562.52
SET: 215605.61
SET: 215536.73
SET: 215584.31
SET: 215538.20
SET: 215547.59
SET: 215471.30
SET: 215524.69
SET: 215555.20
SET: 215568.16
SET: 215521.59
SET: 215379.86
SET: 214918.69
SET: 214617.89
SET: 214268.08
SET: 214015.44
SET: 213712.09
SET: 213303.39
SET: 212955.53
SET: 212693.70
SET: 212409.55
SET: 212139.34
SET: 211880.61
SET: 211472.64
SET: 211235.27
SET: 210982.00
SET: 210738.89
SET: 210537.05
SET: 210303.16
SET: 210054.81
SET: 209802.92
SET: 209533.58
SET: 209308.66
SET: 209065.77
SET: 208786.34
SET: 208560.94
SET: 208408.95
SET: 208204.14
SET: 208008.80
SET: 207734.62
SET: 207521.83
SET: 207322.86
SET: 207099.52
SET: 206934.41
SET: 206684.11
SET: 206311.25
SET: 206051.66
SET: 205850.84
SET: 205648.77
SET: 205496.88
SET: 205265.16
SET: 205108.31
SET: 204832.44
SET: 204764.12
SET: 204822.25
SET: 204781.06
SET: 204821.03
SET: 204888.28
SET: 204972.84
SET: 205118.53
SET: 205213.88
SET: 205307.31
SET: 205350.19
SET: 205390.89
SET: 205511.77
SET: 205540.95
SET: 205604.42
SET: 205646.94
SET: 205686.89
SET: 205666.38
SET: 205724.95
SET: 205771.12
SET: 205829.34
SET: 205889.06
SET: 205975.72
SET: 205887.00
SET: 205740.59
SET: 205747.36
SET: 205773.36
SET: 205772.72
SET: 205826.50
SET: 205852.95
SET: 205687.86
SET: 205687.31
SET: 205763.66
SET: 205854.16
SET: 205906.48
SET: 205860.95
SET: 205768.19
SET: 205750.45
SET: 205802.05
SET: 205832.08
SET: 205834.67
SET: 205882.41
SET: 205887.81
SET: 205909.73
SET: 205965.61
SET: 206002.00
SET: 206066.80
SET: 206131.48
SET: 206168.91
SET: 206224.36
SET: 206283.81
SET: 206274.95
SET: 206305.95
SET: 206332.11
SET: 206398.25
SET: 206297.78
SET: 206260.03
SET: 206287.05
SET: 206297.95
SET: 206354.22
SET: 206342.33
SET: 206352.41
SET: 206238.03
SET: 206224.03
SET: 206251.28
SET: 206261.22
SET: 206279.27
SET: 206262.42
SET: 206136.64
SET: 206147.75
SET: 206213.25
SET: 206211.83
SET: 206207.05
SET: 206233.06
SET: 206121.78
SET: 206129.28
SET: 206117.92
SET: 206125.81
SET: 206160.05
SET: 206195.86
SET: 206156.78
SET: 206138.17
SET: 206207.30
SET: 206270.00
SET: 206334.17
SET: 206322.77
SET: 206344.98
SET: 206415.81
SET: 206401.75
SET: 206420.83
SET: 206472.64
SET: 206530.47
SET: 206578.50
SET: 206414.80
SET: 206358.75
SET: 206344.00
SET: 206362.00
SET: 206423.02
SET: 206459.16
SET: 206429.14
SET: 206428.12
SET: 206446.73
SET: 206457.83
SET: 206467.27
SET: 206467.72
SET: 206481.31
SET: 206437.27
SET: 206429.94
SET: 206428.77
SET: 206429.50
SET: 206427.06
SET: 206435.03
SET: 206405.09
SET: 206449.12
SET: 206483.56
SET: 206505.50
SET: 206503.33
SET: 206494.61
SET: 206522.61
SET: 206557.89
SET: 206585.56
SET: 206597.36
SET: 206606.28
SET: 206629.84
SET: 206665.14
SET: 206708.14
SET: 206696.39
SET: 206735.70
SET: 206757.73
SET: 206797.53
SET: 206791.34
SET: 206737.17
SET: 206731.53
SET: 206721.56
SET: 206752.95
SET: 206741.69
SET: 206761.14
SET: 206756.39
SET: 206718.02
SET: 206731.67
SET: 206759.70
SET: 206784.50
SET: 206770.88
SET: 206757.23
====== SET ======
  20000016 requests completed in 96.75 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.78% <= 0.1 milliseconds
16.16% <= 0.2 milliseconds
34.46% <= 0.3 milliseconds
50.31% <= 0.4 milliseconds
63.00% <= 0.5 milliseconds
72.07% <= 0.6 milliseconds
78.89% <= 0.7 milliseconds
83.76% <= 0.8 milliseconds
87.19% <= 0.9 milliseconds
89.70% <= 1.0 milliseconds
91.58% <= 1.1 milliseconds
93.01% <= 1.2 milliseconds
94.13% <= 1.3 milliseconds
95.04% <= 1.4 milliseconds
95.77% <= 1.5 milliseconds
96.37% <= 1.6 milliseconds
96.85% <= 1.7 milliseconds
97.25% <= 1.8 milliseconds
97.59% <= 1.9 milliseconds
97.89% <= 2 milliseconds
99.45% <= 3 milliseconds
99.82% <= 4 milliseconds
99.94% <= 5 milliseconds
99.97% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
99.99% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 23 milliseconds
100.00% <= 23 milliseconds
206722.78 requests per second


