2023-11-24 03:16:17
SET: nan
SET: 531424.00
SET: 390816.00
SET: 348885.34
SET: 303896.00
SET: 285452.81
SET: 278757.34
SET: 271602.28
SET: 265492.00
SET: 254936.89
SET: 247529.59
SET: 247662.55
SET: 248440.00
SET: 248563.69
SET: 248116.58
SET: 247328.00
SET: 247208.00
SET: 247427.77
SET: 245016.89
SET: 240144.84
SET: 236712.00
SET: 233374.47
SET: 229955.28
SET: 229942.62
SET: 230773.55
SET: 230955.69
SET: 230691.89
SET: 231183.66
SET: 231314.48
SET: 232120.25
SET: 232062.92
SET: 231816.31
SET: 231503.12
SET: 231920.52
SET: 232039.53
SET: 232099.64
SET: 232358.14
SET: 232566.38
SET: 232575.05
SET: 230754.72
SET: 228627.88
SET: 226986.34
SET: 225407.73
SET: 224008.19
SET: 222768.95
SET: 221735.70
SET: 220542.11
SET: 219407.47
SET: 218750.64
SET: 219393.12
SET: 219510.83
SET: 219848.50
SET: 219917.86
SET: 220209.77
SET: 220616.45
SET: 221171.81
SET: 221260.58
SET: 221444.47
SET: 221040.61
SET: 220951.39
SET: 221221.36
SET: 221195.05
SET: 221550.92
SET: 221686.78
SET: 222269.83
SET: 222539.59
SET: 222699.88
SET: 222895.48
SET: 223107.92
SET: 223389.31
SET: 223421.36
SET: 223306.53
SET: 222812.72
SET: 222790.84
SET: 222973.62
SET: 223043.62
SET: 223144.19
SET: 222950.05
SET: 222774.81
SET: 222559.48
SET: 222617.08
SET: 222560.69
SET: 222603.98
SET: 222654.08
SET: 222639.62
SET: 222331.19
SET: 221692.17
SET: 220945.39
SET: 220333.36
SET: 219703.45
SET: 219026.39
SET: 218204.25
SET: 217570.02
SET: 216950.11
SET: 216350.89
SET: 215775.08
SET: 214938.03
SET: 214382.06
SET: 213842.67
SET: 213528.08
SET: 213012.08
SET: 212547.91
SET: 212077.45
SET: 211572.67
SET: 211084.34
SET: 211279.81
SET: 211669.25
SET: 211966.81
SET: 211556.19
SET: 211680.28
SET: 211957.11
SET: 212182.84
SET: 212413.12
SET: 212584.69
SET: 212569.47
SET: 212473.56
SET: 212561.31
SET: 212821.44
SET: 213099.12
SET: 213237.19
SET: 213348.44
SET: 213382.25
SET: 213637.31
SET: 213798.52
SET: 213849.03
SET: 213979.59
SET: 214023.61
SET: 214064.61
SET: 213609.64
SET: 213625.19
SET: 213712.59
SET: 213824.30
SET: 213831.81
SET: 213957.78
SET: 213844.11
SET: 213892.30
SET: 213926.84
SET: 214016.92
SET: 214009.73
SET: 214151.77
SET: 214319.42
SET: 214382.16
SET: 214349.84
SET: 214393.38
SET: 214474.06
SET: 214486.56
SET: 214497.14
SET: 214272.56
SET: 214029.39
SET: 213971.33
SET: 213930.69
SET: 213978.77
SET: 214045.09
SET: 214117.86
SET: 213791.77
SET: 213799.20
SET: 213810.62
SET: 213828.03
SET: 213939.56
SET: 213971.83
SET: 213925.33
SET: 213844.03
SET: 213834.42
SET: 213877.39
SET: 213968.16
SET: 213880.62
SET: 213927.69
SET: 213850.12
SET: 213860.06
SET: 213941.80
SET: 213966.33
SET: 213974.47
SET: 214060.27
SET: 214051.69
SET: 213688.22
SET: 213683.92
SET: 213666.36
SET: 213681.17
SET: 213745.59
SET: 213794.98
SET: 213563.23
SET: 213567.16
SET: 213604.59
SET: 213654.91
SET: 213735.11
SET: 213764.81
SET: 213775.95
SET: 213838.66
SET: 213836.88
SET: 213869.30
SET: 213906.30
SET: 213916.75
SET: 213917.28
SET: 213751.38
SET: 213682.02
SET: 213657.80
SET: 213704.02
SET: 213749.61
SET: 213759.52
SET: 213617.09
SET: 213512.25
SET: 213449.34
SET: 213415.56
SET: 213428.45
SET: 213276.88
SET: 212925.33
SET: 212569.42
SET: 212254.28
SET: 211966.08
SET: 211661.52
SET: 211423.83
SET: 211141.84
SET: 210906.12
SET: 210594.89
SET: 210381.88
SET: 210150.91
SET: 209782.56
SET: 209500.62
SET: 209231.67
SET: 208969.86
SET: 208750.41
SET: 208536.70
SET: 208193.52
SET: 207949.08
SET: 207732.81
SET: 207523.02
SET: 207344.53
SET: 207123.22
SET: 206884.34
SET: 206616.27
SET: 206392.66
SET: 206182.06
SET: 205974.53
SET: 205843.31
SET: 205630.06
SET: 205446.45
SET: 205259.78
SET: 205027.05
SET: 204637.27
SET: 204347.12
SET: 204171.88
SET: 203982.95
SET: 203825.98
SET: 203586.73
SET: 203333.39
SET: 203139.81
SET: 202981.94
SET: 202997.06
SET: 203104.67
SET: 203086.69
SET: 203161.09
SET: 203160.61
SET: 203178.67
SET: 203208.47
SET: 203205.41
SET: 203220.69
SET: 203267.47
SET: 203338.09
SET: 203403.16
SET: 203437.56
SET: 203439.36
SET: 203441.02
SET: 203566.45
SET: 203484.55
SET: 203492.08
SET: 203521.39
SET: 203546.88
SET: 203624.41
SET: 203613.16
SET: 203476.42
SET: 203359.89
SET: 203341.95
SET: 203332.48
SET: 203393.00
SET: 203415.88
SET: 203422.89
SET: 203310.36
SET: 203260.30
SET: 203290.58
SET: 203336.34
SET: 203370.31
SET: 203417.17
SET: 203379.88
SET: 203404.91
SET: 203445.73
SET: 203489.66
SET: 203563.92
SET: 203606.78
SET: 203658.36
SET: 203677.14
SET: 203766.48
SET: 203820.22
SET: 203879.45
SET: 203902.23
SET: 203855.14
SET: 203903.02
SET: 203957.38
SET: 203990.14
SET: 204008.33
SET: 204066.59
SET: 204108.06
SET: 204037.78
SET: 204035.11
SET: 204114.70
SET: 204144.00
SET: 204182.64
SET: 204217.28
SET: 204193.02
SET: 204157.30
SET: 204138.98
SET: 204085.28
SET: 204120.30
SET: 204132.47
SET: 204170.88
SET: 204010.39
SET: 203964.47
SET: 203926.41
SET: 203946.52
SET: 204021.17
SET: 204051.80
SET: 203967.77
SET: 203951.42
SET: 203970.55
SET: 203972.12
SET: 204028.09
SET: 204065.45
SET: 204088.02
SET: 204108.88
SET: 204144.44
SET: 204206.16
SET: 204260.09
SET: 204321.64
SET: 204374.25
SET: 204392.52
SET: 204462.22
SET: 204478.98
SET: 204510.11
SET: 204528.91
SET: 204501.03
SET: 204482.20
SET: 204502.42
SET: 204552.16
SET: 204596.75
SET: 204575.52
SET: 204599.52
SET: 204600.38
SET: 204549.55
SET: 204526.77
SET: 204553.75
SET: 204579.84
SET: 204595.73
SET: 204612.98
SET: 204617.25
SET: 204534.94
SET: 204537.50
SET: 204522.28
SET: 204532.77
SET: 204579.75
SET: 204628.53
SET: 204662.06
SET: 204664.14
SET: 204732.39
SET: 204740.08
SET: 204798.41
SET: 204784.44
SET: 204816.30
SET: 204830.31
SET: 204817.52
SET: 204824.77
SET: 204832.67
SET: 204874.59
SET: 204923.38
SET: 204954.69
SET: 204953.67
SET: 204991.75
SET: 205034.14
SET: 205038.20
SET: 205057.34
SET: 205017.05
SET: 205008.20
SET: 205025.00
SET: 205049.44
SET: 205108.66
SET: 205143.59
SET: 205152.28
SET: 205120.95
SET: 205130.73
SET: 205140.95
SET: 205187.48
SET: 205285.33
====== SET ======
  20000032 requests completed in 97.39 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.98% <= 0.1 milliseconds
15.87% <= 0.2 milliseconds
33.96% <= 0.3 milliseconds
49.95% <= 0.4 milliseconds
62.51% <= 0.5 milliseconds
71.71% <= 0.6 milliseconds
78.60% <= 0.7 milliseconds
83.53% <= 0.8 milliseconds
87.03% <= 0.9 milliseconds
89.54% <= 1.0 milliseconds
91.42% <= 1.1 milliseconds
92.85% <= 1.2 milliseconds
93.99% <= 1.3 milliseconds
94.91% <= 1.4 milliseconds
95.65% <= 1.5 milliseconds
96.24% <= 1.6 milliseconds
96.72% <= 1.7 milliseconds
97.15% <= 1.8 milliseconds
97.51% <= 1.9 milliseconds
97.81% <= 2 milliseconds
99.41% <= 3 milliseconds
99.81% <= 4 milliseconds
99.92% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 19 milliseconds
100.00% <= 27 milliseconds
100.00% <= 27 milliseconds
205368.66 requests per second


