2023-11-24 03:16:17
SET: 119999.99
SET: 431330.69
SET: 318802.41
SET: 295105.19
SET: 276963.03
SET: 256140.67
SET: 253603.20
SET: 253502.28
SET: 250605.39
SET: 245186.48
SET: 238119.89
SET: 232607.55
SET: 234185.20
SET: 235592.98
SET: 235985.16
SET: 236067.14
SET: 236198.86
SET: 235600.30
SET: 235048.64
SET: 232050.50
SET: 228183.09
SET: 225145.27
SET: 222887.89
SET: 220508.27
SET: 221802.44
SET: 222893.34
SET: 223996.31
SET: 224104.25
SET: 225517.08
SET: 226619.61
SET: 227461.02
SET: 227451.58
SET: 227122.83
SET: 226756.81
SET: 227579.91
SET: 227957.50
SET: 228168.38
SET: 228435.31
SET: 228529.09
SET: 228101.30
SET: 226388.88
SET: 225016.58
SET: 223680.89
SET: 222448.22
SET: 220961.84
SET: 219663.06
SET: 218662.50
SET: 217807.56
SET: 216593.75
SET: 216686.08
SET: 217417.67
SET: 216590.83
SET: 216569.62
SET: 216877.55
SET: 217301.44
SET: 217527.88
SET: 217886.19
SET: 218058.50
SET: 218407.28
SET: 218996.48
SET: 219131.55
SET: 219581.03
SET: 220142.41
SET: 220607.27
SET: 221107.08
SET: 221619.58
SET: 221765.66
SET: 222130.81
SET: 222244.38
SET: 222177.09
SET: 222527.12
SET: 222061.27
SET: 222231.69
SET: 222364.59
SET: 222555.27
SET: 222635.95
SET: 222633.27
SET: 222499.78
SET: 222509.17
SET: 222705.81
SET: 222737.97
SET: 222810.03
SET: 222972.78
SET: 223126.61
SET: 223050.55
SET: 222526.16
SET: 221829.06
SET: 221213.45
SET: 220548.94
SET: 219922.19
SET: 219334.42
SET: 218570.11
SET: 217952.45
SET: 217357.70
SET: 216655.12
SET: 216207.77
SET: 215559.12
SET: 215122.39
SET: 214697.84
SET: 214141.30
SET: 213651.86
SET: 213081.33
SET: 212635.84
SET: 212109.78
SET: 211823.91
SET: 212038.53
SET: 212269.34
SET: 212383.72
SET: 212700.36
SET: 212810.44
SET: 213070.62
SET: 213328.72
SET: 213354.84
SET: 212994.38
SET: 213035.31
SET: 213066.38
SET: 213208.86
SET: 213479.88
SET: 213676.64
SET: 213567.64
SET: 213512.42
SET: 213679.67
SET: 213812.17
SET: 213927.72
SET: 213917.34
SET: 214091.86
SET: 214244.81
SET: 214523.55
SET: 214624.27
SET: 214653.02
SET: 214648.61
SET: 214723.17
SET: 214899.30
SET: 214987.02
SET: 215039.20
SET: 215180.62
SET: 215337.84
SET: 215487.86
SET: 215506.64
SET: 215144.61
SET: 214981.44
SET: 215083.02
SET: 215141.94
SET: 215255.28
SET: 215277.78
SET: 215037.56
SET: 214985.00
SET: 214946.66
SET: 214983.59
SET: 215059.73
SET: 215128.03
SET: 215061.62
SET: 215004.92
SET: 215099.41
SET: 215060.61
SET: 215149.59
SET: 215105.23
SET: 215155.53
SET: 215264.09
SET: 215305.92
SET: 215430.98
SET: 215411.70
SET: 215424.61
SET: 215499.75
SET: 215476.28
SET: 215263.16
SET: 215262.97
SET: 215297.45
SET: 215307.34
SET: 215326.58
SET: 215286.89
SET: 215004.56
SET: 214937.84
SET: 214971.14
SET: 214893.25
SET: 214840.55
SET: 214769.75
SET: 214656.19
SET: 214566.55
SET: 214584.19
SET: 214535.73
SET: 214497.17
SET: 214518.25
SET: 214566.55
SET: 214495.25
SET: 214533.28
SET: 214535.83
SET: 214575.12
SET: 214617.23
SET: 214639.27
SET: 214694.22
SET: 214602.64
SET: 214605.09
SET: 214521.52
SET: 214516.27
SET: 214486.64
SET: 214553.92
SET: 214342.92
SET: 214351.80
SET: 214367.34
SET: 214360.16
SET: 214300.05
SET: 214344.23
SET: 214117.20
SET: 213711.80
SET: 213369.78
SET: 213124.69
SET: 212876.56
SET: 212511.20
SET: 212173.05
SET: 211953.09
SET: 211679.75
SET: 211423.31
SET: 211233.98
SET: 210941.83
SET: 210721.84
SET: 210500.20
SET: 210309.62
SET: 210071.81
SET: 209843.41
SET: 209637.78
SET: 209401.77
SET: 209197.84
SET: 209001.75
SET: 208714.20
SET: 208325.88
SET: 208105.41
SET: 207929.98
SET: 207659.62
SET: 207482.80
SET: 207097.56
SET: 206800.94
SET: 206588.47
SET: 206392.09
SET: 206172.39
SET: 205914.14
SET: 205643.44
SET: 205429.00
SET: 205226.70
SET: 204983.94
SET: 204779.86
SET: 204599.34
SET: 204397.34
SET: 204224.91
SET: 204014.16
SET: 203923.91
SET: 203934.09
SET: 204023.69
SET: 204057.64
SET: 204195.59
SET: 204273.09
SET: 204357.25
SET: 204408.88
SET: 204413.77
SET: 204290.52
SET: 204291.64
SET: 204344.08
SET: 204423.62
SET: 204462.77
SET: 204556.55
SET: 204433.75
SET: 204411.50
SET: 204499.64
SET: 204533.38
SET: 204610.69
SET: 204656.78
SET: 204564.52
SET: 204553.05
SET: 204603.97
SET: 204619.14
SET: 204640.77
SET: 204659.77
SET: 204632.66
SET: 204641.58
SET: 204629.56
SET: 204732.28
SET: 204756.50
SET: 204781.59
SET: 204790.98
SET: 204832.05
SET: 204821.66
SET: 204853.80
SET: 204855.30
SET: 204887.08
SET: 204932.27
SET: 204905.78
SET: 204877.00
SET: 204857.34
SET: 204927.88
SET: 204985.64
SET: 205040.92
SET: 205063.39
SET: 204950.22
SET: 204996.86
SET: 205044.20
SET: 205074.92
SET: 205097.12
SET: 205107.75
SET: 204988.14
SET: 205036.81
SET: 205057.98
SET: 205110.78
SET: 205155.39
SET: 205136.70
SET: 205068.58
SET: 205044.31
SET: 205072.58
SET: 205103.67
SET: 205124.53
SET: 205101.84
SET: 205107.78
SET: 205144.12
SET: 205164.34
SET: 205202.02
SET: 205204.50
SET: 205200.67
SET: 205242.62
SET: 205271.91
SET: 205376.72
SET: 205369.70
SET: 205389.91
SET: 205435.20
SET: 205474.34
SET: 205359.19
SET: 205394.77
SET: 205436.05
SET: 205471.77
SET: 205535.05
SET: 205609.73
SET: 205481.09
SET: 205466.62
SET: 205472.06
SET: 205494.73
SET: 205520.50
SET: 205551.28
SET: 205440.67
SET: 205412.03
SET: 205375.77
SET: 205415.50
SET: 205411.61
SET: 205428.72
SET: 205425.47
SET: 205468.62
SET: 205481.78
SET: 205517.17
SET: 205535.95
SET: 205562.52
SET: 205594.52
SET: 205620.55
SET: 205598.94
SET: 205655.61
SET: 205676.22
SET: 205650.39
SET: 205652.69
SET: 205714.89
SET: 205758.53
SET: 205798.23
SET: 205794.22
SET: 205787.59
SET: 205815.67
SET: 205815.25
SET: 205794.45
SET: 205772.02
SET: 205795.86
SET: 205796.38
SET: 205804.42
SET: 205788.66
SET: 205735.77
SET: 205727.05
SET: 205742.66
SET: 205769.50
SET: 205797.92
SET: 205831.70
SET: 205855.25
SET: 205876.20
SET: 205858.08
SET: 205905.02
SET: 205903.70
SET: 205967.62
SET: 205939.91
SET: 205920.92
SET: 205904.89
SET: 205924.52
SET: 205948.14
SET: 205971.39
SET: 205977.56
SET: 205994.81
SET: 206007.44
SET: 206067.95
====== SET ======
  20000112 requests completed in 97.06 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.70% <= 0.1 milliseconds
15.42% <= 0.2 milliseconds
33.74% <= 0.3 milliseconds
49.90% <= 0.4 milliseconds
62.75% <= 0.5 milliseconds
71.96% <= 0.6 milliseconds
78.84% <= 0.7 milliseconds
83.80% <= 0.8 milliseconds
87.27% <= 0.9 milliseconds
89.79% <= 1.0 milliseconds
91.68% <= 1.1 milliseconds
93.13% <= 1.2 milliseconds
94.26% <= 1.3 milliseconds
95.15% <= 1.4 milliseconds
95.86% <= 1.5 milliseconds
96.43% <= 1.6 milliseconds
96.91% <= 1.7 milliseconds
97.31% <= 1.8 milliseconds
97.65% <= 1.9 milliseconds
97.96% <= 2 milliseconds
99.42% <= 3 milliseconds
99.82% <= 4 milliseconds
99.92% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 18 milliseconds
100.00% <= 21 milliseconds
100.00% <= 21 milliseconds
206069.88 requests per second


