2023-11-24 03:16:17
SET: nan
SET: 346784.00
SET: 293776.00
SET: 278058.66
SET: 271832.00
SET: 250675.20
SET: 249344.00
SET: 246326.86
SET: 246732.00
SET: 242801.78
SET: 234835.20
SET: 228625.45
SET: 229997.33
SET: 232273.23
SET: 232918.86
SET: 233600.00
SET: 234076.00
SET: 234202.36
SET: 234344.89
SET: 231823.16
SET: 227977.61
SET: 225000.58
SET: 223347.28
SET: 223464.64
SET: 224700.98
SET: 225026.08
SET: 225427.05
SET: 226204.66
SET: 227271.75
SET: 228372.27
SET: 228946.30
SET: 229522.52
SET: 229960.75
SET: 230428.69
SET: 230605.66
SET: 231397.69
SET: 232119.06
SET: 232366.58
SET: 232803.95
SET: 230879.52
SET: 228907.33
SET: 227282.69
SET: 225912.98
SET: 224759.45
SET: 223412.62
SET: 222326.08
SET: 221258.23
SET: 220137.81
SET: 219647.14
SET: 220330.64
SET: 219871.09
SET: 219861.70
SET: 220000.92
SET: 220400.45
SET: 221369.27
SET: 221913.78
SET: 221791.64
SET: 222084.03
SET: 221878.25
SET: 222072.52
SET: 222228.98
SET: 222711.59
SET: 222863.94
SET: 222807.83
SET: 223142.81
SET: 223355.80
SET: 223720.36
SET: 223771.31
SET: 224119.02
SET: 224506.69
SET: 224110.58
SET: 223876.56
SET: 224146.61
SET: 224129.27
SET: 224431.81
SET: 224496.44
SET: 224625.00
SET: 224282.08
SET: 224279.28
SET: 224314.58
SET: 224495.38
SET: 224496.77
SET: 224337.41
SET: 224361.09
SET: 224331.28
SET: 223567.23
SET: 222768.14
SET: 222142.92
SET: 221494.11
SET: 220913.78
SET: 220182.86
SET: 219563.59
SET: 218925.45
SET: 218422.80
SET: 217933.89
SET: 217375.81
SET: 216789.03
SET: 216197.53
SET: 215689.25
SET: 215149.88
SET: 214636.33
SET: 214100.62
SET: 213535.30
SET: 213055.16
SET: 213072.08
SET: 213309.27
SET: 213452.03
SET: 213575.98
SET: 213726.38
SET: 213820.02
SET: 214032.06
SET: 214105.11
SET: 214210.00
SET: 213853.56
SET: 213913.92
SET: 213975.45
SET: 214042.25
SET: 214118.05
SET: 214141.03
SET: 214114.45
SET: 214004.59
SET: 214194.52
SET: 214300.03
SET: 214525.30
SET: 214563.25
SET: 214673.78
SET: 214641.66
SET: 214710.03
SET: 214802.84
SET: 214996.88
SET: 215194.08
SET: 215365.31
SET: 215394.11
SET: 215581.00
SET: 215695.14
SET: 215858.06
SET: 215865.45
SET: 215890.48
SET: 215860.91
SET: 215476.64
SET: 215383.05
SET: 215465.02
SET: 215502.11
SET: 215601.34
SET: 215707.19
SET: 215578.16
SET: 215592.22
SET: 215573.45
SET: 215564.88
SET: 215642.08
SET: 215756.44
SET: 215823.94
SET: 215774.80
SET: 215872.66
SET: 215820.52
SET: 215800.00
SET: 215906.06
SET: 215900.55
SET: 215948.97
SET: 215964.78
SET: 215978.20
SET: 216102.72
SET: 216091.62
SET: 216187.42
SET: 216056.77
SET: 215942.41
SET: 215923.09
SET: 215930.08
SET: 215864.22
SET: 215887.17
SET: 215864.88
SET: 215586.55
SET: 215457.64
SET: 215456.89
SET: 215474.72
SET: 215359.98
SET: 215451.44
SET: 215251.92
SET: 215130.67
SET: 215126.06
SET: 215114.03
SET: 215083.58
SET: 215129.03
SET: 215137.64
SET: 215141.45
SET: 215165.98
SET: 215246.83
SET: 215261.81
SET: 215247.86
SET: 215251.67
SET: 215226.98
SET: 215201.72
SET: 215221.05
SET: 215267.02
SET: 215241.11
SET: 215162.64
SET: 215101.30
SET: 214909.20
SET: 214882.23
SET: 214857.94
SET: 214791.98
SET: 214734.81
SET: 214726.19
SET: 214357.70
SET: 214004.42
SET: 213688.31
SET: 213401.36
SET: 213058.12
SET: 212727.28
SET: 212416.73
SET: 212083.64
SET: 211835.19
SET: 211541.25
SET: 211255.62
SET: 210983.30
SET: 210728.42
SET: 210511.56
SET: 210277.83
SET: 210059.69
SET: 209799.92
SET: 209482.17
SET: 209266.73
SET: 209039.83
SET: 208835.62
SET: 208576.41
SET: 208156.41
SET: 207946.64
SET: 207743.23
SET: 207581.61
SET: 207348.89
SET: 206963.53
SET: 206706.84
SET: 206539.12
SET: 206385.72
SET: 206187.69
SET: 205858.50
SET: 205617.62
SET: 205419.41
SET: 205254.56
SET: 205091.78
SET: 204887.03
SET: 204662.75
SET: 204419.69
SET: 204216.95
SET: 204080.11
SET: 203930.80
SET: 203923.67
SET: 204000.25
SET: 204072.75
SET: 204110.36
SET: 204157.91
SET: 204215.77
SET: 204270.27
SET: 204122.14
SET: 204120.41
SET: 204211.69
SET: 204285.70
SET: 204464.20
SET: 204554.28
SET: 204463.34
SET: 204446.67
SET: 204536.03
SET: 204599.67
SET: 204650.19
SET: 204752.30
SET: 204706.97
SET: 204719.09
SET: 204747.92
SET: 204739.16
SET: 204742.95
SET: 204731.44
SET: 204731.92
SET: 204773.58
SET: 204844.92
SET: 204856.23
SET: 204890.36
SET: 204933.03
SET: 204946.41
SET: 205004.45
SET: 205017.22
SET: 205082.36
SET: 205101.17
SET: 205139.02
SET: 205126.52
SET: 205044.83
SET: 204994.23
SET: 205011.12
SET: 205077.97
SET: 205116.78
SET: 205180.47
SET: 205118.97
SET: 205009.05
SET: 204996.50
SET: 205099.77
SET: 205149.56
SET: 205216.16
SET: 205254.30
SET: 205145.61
SET: 205086.05
SET: 205133.02
SET: 205118.69
SET: 205141.55
SET: 205143.80
SET: 205047.02
SET: 205013.17
SET: 204986.45
SET: 205023.27
SET: 205047.14
SET: 205044.05
SET: 205030.53
SET: 204986.55
SET: 204962.08
SET: 205001.23
SET: 204997.84
SET: 204976.83
SET: 204952.45
SET: 204968.67
SET: 204947.25
SET: 204996.92
SET: 205015.06
SET: 205035.67
SET: 205046.20
SET: 205010.67
SET: 204919.80
SET: 204877.08
SET: 204942.97
SET: 204976.88
SET: 205039.73
SET: 205031.98
SET: 204878.91
SET: 204883.42
SET: 204927.34
SET: 204955.38
SET: 204970.00
SET: 205019.39
SET: 204921.14
SET: 204882.50
SET: 204922.98
SET: 204923.09
SET: 204959.06
SET: 204970.45
SET: 204979.33
SET: 204976.47
SET: 204960.19
SET: 205018.78
SET: 205068.12
SET: 205081.03
SET: 205087.12
SET: 205094.12
SET: 205153.66
SET: 205162.52
SET: 205184.00
SET: 205222.98
SET: 205296.19
SET: 205283.03
SET: 205295.28
SET: 205324.27
SET: 205356.48
SET: 205402.92
SET: 205408.45
SET: 205389.88
SET: 205413.41
SET: 205408.53
SET: 205425.81
SET: 205456.17
SET: 205493.45
SET: 205503.09
SET: 205466.50
SET: 205452.00
SET: 205465.39
SET: 205484.70
SET: 205505.44
SET: 205511.97
SET: 205475.59
SET: 205445.47
SET: 205458.34
SET: 205487.89
SET: 205477.42
SET: 205478.08
SET: 205426.92
SET: 205426.36
SET: 205431.77
SET: 205478.09
SET: 205462.30
SET: 205479.98
SET: 205486.78
SET: 205488.73
SET: 205474.62
SET: 205580.81
====== SET ======
  20000000 requests completed in 97.23 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.62% <= 0.1 milliseconds
15.59% <= 0.2 milliseconds
33.98% <= 0.3 milliseconds
49.88% <= 0.4 milliseconds
62.73% <= 0.5 milliseconds
72.00% <= 0.6 milliseconds
78.89% <= 0.7 milliseconds
83.73% <= 0.8 milliseconds
87.19% <= 0.9 milliseconds
89.74% <= 1.0 milliseconds
91.62% <= 1.1 milliseconds
93.05% <= 1.2 milliseconds
94.16% <= 1.3 milliseconds
95.04% <= 1.4 milliseconds
95.74% <= 1.5 milliseconds
96.31% <= 1.6 milliseconds
96.78% <= 1.7 milliseconds
97.17% <= 1.8 milliseconds
97.51% <= 1.9 milliseconds
97.82% <= 2 milliseconds
99.42% <= 3 milliseconds
99.82% <= 4 milliseconds
99.94% <= 5 milliseconds
99.98% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 13 milliseconds
205702.06 requests per second


