2023-11-24 03:16:17
SET: nan
SET: 240960.00
SET: 237712.00
SET: 224490.67
SET: 233064.00
SET: 227974.41
SET: 223050.67
SET: 224132.58
SET: 229624.00
SET: 232437.33
SET: 227040.00
SET: 221629.09
SET: 220392.00
SET: 222646.58
SET: 224502.72
SET: 226311.92
SET: 226779.31
SET: 227985.89
SET: 229522.33
SET: 228665.97
SET: 225284.55
SET: 222586.17
SET: 220277.05
SET: 218323.08
SET: 218140.98
SET: 219543.75
SET: 219331.19
SET: 219244.56
SET: 219440.66
SET: 219871.47
SET: 220491.14
SET: 221059.48
SET: 221457.31
SET: 222593.12
SET: 223051.39
SET: 223654.42
SET: 224303.06
SET: 224667.59
SET: 225209.12
SET: 225942.77
SET: 224391.95
SET: 222987.02
SET: 221823.44
SET: 220554.73
SET: 219560.39
SET: 218407.59
SET: 217157.45
SET: 216213.08
SET: 214883.42
SET: 214322.42
SET: 214743.25
SET: 214933.50
SET: 214581.14
SET: 214833.08
SET: 215399.83
SET: 215845.27
SET: 216640.44
SET: 217096.19
SET: 217237.25
SET: 217607.27
SET: 217905.09
SET: 218487.48
SET: 218867.39
SET: 219065.95
SET: 219600.39
SET: 219891.98
SET: 220162.62
SET: 220286.25
SET: 220475.41
SET: 220921.02
SET: 221002.02
SET: 221090.19
SET: 221132.81
SET: 221080.92
SET: 221334.78
SET: 221404.02
SET: 221664.62
SET: 221805.05
SET: 221471.42
SET: 221533.80
SET: 221635.41
SET: 221590.73
SET: 221581.97
SET: 221848.91
SET: 221866.12
SET: 221698.16
SET: 220924.39
SET: 220327.27
SET: 219567.95
SET: 218997.70
SET: 218458.61
SET: 217844.53
SET: 217156.17
SET: 216599.22
SET: 215992.86
SET: 215485.12
SET: 214785.02
SET: 214264.58
SET: 213874.08
SET: 213386.64
SET: 212956.61
SET: 212398.91
SET: 211865.92
SET: 211379.94
SET: 210917.14
SET: 211105.36
SET: 211311.47
SET: 211477.55
SET: 211758.73
SET: 212150.70
SET: 212502.95
SET: 212792.09
SET: 212863.00
SET: 213060.89
SET: 213300.50
SET: 213472.78
SET: 213650.66
SET: 213914.08
SET: 214033.14
SET: 214162.30
SET: 214126.69
SET: 213746.64
SET: 213836.44
SET: 213926.58
SET: 214017.86
SET: 214164.23
SET: 214198.61
SET: 214160.89
SET: 213978.83
SET: 214122.45
SET: 214178.48
SET: 214211.92
SET: 214388.08
SET: 214408.62
SET: 214550.44
SET: 214660.69
SET: 214838.48
SET: 214868.67
SET: 214975.62
SET: 215048.58
SET: 215188.36
SET: 215259.25
SET: 215350.30
SET: 215334.27
SET: 215254.69
SET: 215180.84
SET: 215184.92
SET: 215011.58
SET: 214782.23
SET: 214835.48
SET: 214902.20
SET: 214850.58
SET: 214859.83
SET: 214872.70
SET: 214746.47
SET: 214796.03
SET: 214789.19
SET: 214832.75
SET: 214864.03
SET: 214982.02
SET: 214969.98
SET: 215005.39
SET: 215084.39
SET: 215193.62
SET: 215185.67
SET: 215168.69
SET: 215223.80
SET: 215279.02
SET: 215229.05
SET: 215242.88
SET: 215250.53
SET: 215315.70
SET: 215274.30
SET: 215197.50
SET: 215025.81
SET: 215028.08
SET: 215046.14
SET: 215065.09
SET: 215073.94
SET: 215057.66
SET: 214907.39
SET: 214794.83
SET: 214808.31
SET: 214841.22
SET: 214988.50
SET: 214991.20
SET: 214903.23
SET: 214862.23
SET: 214906.78
SET: 214939.81
SET: 214925.36
SET: 214944.05
SET: 214971.70
SET: 214978.86
SET: 215002.59
SET: 215032.31
SET: 214994.00
SET: 214985.78
SET: 214905.84
SET: 214858.78
SET: 214796.19
SET: 214715.92
SET: 214608.58
SET: 214415.95
SET: 214174.08
SET: 213704.44
SET: 213305.17
SET: 213025.83
SET: 212721.62
SET: 212488.30
SET: 212182.25
SET: 211846.20
SET: 211534.30
SET: 211270.52
SET: 210994.56
SET: 210805.83
SET: 210483.19
SET: 210136.69
SET: 209855.72
SET: 209611.08
SET: 209407.91
SET: 209214.81
SET: 208968.41
SET: 208733.98
SET: 208490.95
SET: 208268.27
SET: 208129.94
SET: 207910.80
SET: 207737.50
SET: 207418.22
SET: 207155.39
SET: 206951.75
SET: 206708.08
SET: 206302.86
SET: 206015.11
SET: 205821.83
SET: 205596.97
SET: 205410.98
SET: 205240.28
SET: 204906.38
SET: 204721.20
SET: 204565.97
SET: 204352.53
SET: 204176.14
SET: 203918.45
SET: 203727.19
SET: 203818.28
SET: 203930.66
SET: 204032.83
SET: 204086.64
SET: 204075.17
SET: 204154.64
SET: 204217.23
SET: 204248.88
SET: 204359.09
SET: 204504.83
SET: 204579.95
SET: 204689.09
SET: 204745.62
SET: 204793.75
SET: 204815.55
SET: 204865.25
SET: 204933.48
SET: 204923.12
SET: 205027.59
SET: 205051.72
SET: 205073.62
SET: 205122.67
SET: 205126.84
SET: 205152.03
SET: 204970.53
SET: 204955.73
SET: 204996.56
SET: 205052.20
SET: 205124.52
SET: 205116.12
SET: 205026.67
SET: 204976.42
SET: 205018.25
SET: 205075.94
SET: 205115.17
SET: 205124.97
SET: 205126.66
SET: 205060.52
SET: 205073.45
SET: 205139.39
SET: 205169.97
SET: 205226.86
SET: 205228.48
SET: 205205.20
SET: 205270.53
SET: 205340.25
SET: 205368.09
SET: 205462.23
SET: 205469.34
SET: 205493.20
SET: 205550.52
SET: 205540.23
SET: 205605.16
SET: 205609.31
SET: 205606.19
SET: 205597.03
SET: 205430.89
SET: 205389.42
SET: 205369.50
SET: 205384.09
SET: 205404.97
SET: 205364.14
SET: 205267.48
SET: 205146.09
SET: 205126.52
SET: 205152.52
SET: 205195.06
SET: 205217.48
SET: 205250.08
SET: 205106.58
SET: 205113.20
SET: 205141.38
SET: 205167.33
SET: 205194.66
SET: 205203.62
SET: 205174.36
SET: 205199.33
SET: 205242.16
SET: 205275.84
SET: 205282.75
SET: 205310.70
SET: 205323.81
SET: 205336.66
SET: 205347.17
SET: 205407.27
SET: 205448.62
SET: 205477.70
SET: 205470.00
SET: 205426.38
SET: 205441.70
SET: 205422.69
SET: 205440.52
SET: 205467.67
SET: 205500.61
SET: 205481.34
SET: 205444.92
SET: 205421.80
SET: 205423.62
SET: 205519.08
SET: 205584.77
SET: 205618.00
SET: 205594.06
SET: 205597.30
SET: 205574.70
SET: 205561.00
SET: 205589.73
SET: 205628.47
SET: 205671.97
SET: 205654.52
SET: 205684.09
SET: 205723.33
SET: 205741.34
SET: 205754.44
SET: 205778.95
SET: 205767.09
SET: 205824.56
SET: 205785.02
SET: 205858.95
SET: 205904.11
SET: 205930.09
SET: 205906.12
SET: 205955.48
SET: 205965.91
SET: 205984.86
SET: 206036.20
SET: 206059.86
SET: 206059.91
SET: 206083.72
SET: 206083.62
SET: 206110.66
SET: 206147.58
SET: 206143.16
SET: 206150.27
SET: 206080.78
SET: 206074.31
SET: 206108.98
SET: 206130.44
SET: 206169.14
SET: 206192.98
SET: 206118.41
SET: 206125.77
SET: 206269.30
====== SET ======
  20000008 requests completed in 96.91 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.97% <= 0.1 milliseconds
16.11% <= 0.2 milliseconds
34.39% <= 0.3 milliseconds
50.47% <= 0.4 milliseconds
63.08% <= 0.5 milliseconds
72.08% <= 0.6 milliseconds
78.81% <= 0.7 milliseconds
83.66% <= 0.8 milliseconds
87.12% <= 0.9 milliseconds
89.67% <= 1.0 milliseconds
91.55% <= 1.1 milliseconds
93.01% <= 1.2 milliseconds
94.13% <= 1.3 milliseconds
95.01% <= 1.4 milliseconds
95.73% <= 1.5 milliseconds
96.31% <= 1.6 milliseconds
96.79% <= 1.7 milliseconds
97.20% <= 1.8 milliseconds
97.55% <= 1.9 milliseconds
97.85% <= 2 milliseconds
99.41% <= 3 milliseconds
99.80% <= 4 milliseconds
99.93% <= 5 milliseconds
99.97% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 14 milliseconds
206370.73 requests per second


