2023-11-24 03:16:17
SET: nan
SET: 236544.00
SET: 231024.00
SET: 221322.67
SET: 225568.00
SET: 222694.41
SET: 215013.33
SET: 217211.42
SET: 219976.00
SET: 220455.11
SET: 220012.80
SET: 215136.00
SET: 211914.67
SET: 215111.39
SET: 217837.72
SET: 218914.14
SET: 220710.00
SET: 221374.12
SET: 221904.00
SET: 223093.89
SET: 220438.41
SET: 218253.28
SET: 215523.00
SET: 213048.17
SET: 210890.19
SET: 212676.38
SET: 213631.14
SET: 215543.78
SET: 217086.70
SET: 217923.05
SET: 219377.69
SET: 220556.83
SET: 220841.39
SET: 221397.64
SET: 222129.16
SET: 222936.80
SET: 223614.25
SET: 223881.52
SET: 224075.77
SET: 223801.45
SET: 222628.12
SET: 221121.05
SET: 219823.28
SET: 218664.44
SET: 217663.70
SET: 216668.33
SET: 215662.67
SET: 214636.48
SET: 213571.08
SET: 212493.64
SET: 212513.20
SET: 212602.89
SET: 213041.69
SET: 213770.00
SET: 214446.45
SET: 214601.52
SET: 214922.44
SET: 214975.02
SET: 214390.84
SET: 214592.19
SET: 215103.06
SET: 215576.19
SET: 215739.39
SET: 216146.78
SET: 216408.44
SET: 216510.45
SET: 216941.94
SET: 217023.88
SET: 217181.91
SET: 217583.03
SET: 217843.34
SET: 217655.16
SET: 217707.72
SET: 217653.20
SET: 217743.28
SET: 218131.28
SET: 218116.30
SET: 218345.19
SET: 217765.47
SET: 217859.36
SET: 217903.31
SET: 218104.17
SET: 218298.20
SET: 218509.12
SET: 218609.91
SET: 218766.42
SET: 218906.88
SET: 218331.06
SET: 217641.81
SET: 217105.38
SET: 216509.77
SET: 215755.70
SET: 215090.12
SET: 214492.86
SET: 213808.25
SET: 213391.25
SET: 212584.09
SET: 212097.28
SET: 211605.39
SET: 210988.45
SET: 210480.09
SET: 209912.77
SET: 209385.39
SET: 208874.78
SET: 208479.78
SET: 207973.50
SET: 207491.56
SET: 207207.23
SET: 207258.70
SET: 207475.31
SET: 207742.38
SET: 207982.72
SET: 208206.20
SET: 208280.81
SET: 208296.58
SET: 208535.72
SET: 208651.05
SET: 208872.95
SET: 209130.67
SET: 209348.03
SET: 209377.59
SET: 209358.55
SET: 209433.41
SET: 209669.34
SET: 209607.91
SET: 209655.44
SET: 209691.30
SET: 209355.08
SET: 209269.02
SET: 209356.14
SET: 209541.08
SET: 209683.66
SET: 209841.50
SET: 209677.83
SET: 209643.34
SET: 209689.94
SET: 209799.36
SET: 209886.86
SET: 209934.39
SET: 210091.70
SET: 210263.45
SET: 210415.28
SET: 210528.72
SET: 210554.44
SET: 210580.91
SET: 210598.86
SET: 210341.36
SET: 210185.73
SET: 210193.44
SET: 210340.19
SET: 210421.41
SET: 210514.06
SET: 210472.27
SET: 210490.41
SET: 210537.80
SET: 210620.70
SET: 210813.48
SET: 210893.17
SET: 210865.95
SET: 210913.73
SET: 211009.30
SET: 211159.30
SET: 211225.70
SET: 211406.11
SET: 211522.47
SET: 211395.47
SET: 211364.03
SET: 211319.77
SET: 211414.45
SET: 211409.20
SET: 211472.14
SET: 211474.67
SET: 211276.84
SET: 211289.34
SET: 211271.00
SET: 211341.89
SET: 211394.70
SET: 211448.19
SET: 211305.09
SET: 211288.08
SET: 211347.30
SET: 211397.20
SET: 211416.27
SET: 211443.75
SET: 211482.59
SET: 211571.16
SET: 211668.92
SET: 211649.64
SET: 211682.31
SET: 211759.98
SET: 211605.84
SET: 211439.08
SET: 211483.81
SET: 211439.78
SET: 211451.41
SET: 211395.16
SET: 211400.31
SET: 211152.20
SET: 211115.94
SET: 211043.06
SET: 211035.70
SET: 211003.27
SET: 211039.70
SET: 210839.45
SET: 210805.62
SET: 210776.03
SET: 210785.39
SET: 210544.03
SET: 210290.23
SET: 209975.94
SET: 209727.56
SET: 209445.33
SET: 209183.09
SET: 208914.31
SET: 208602.31
SET: 208235.94
SET: 208031.98
SET: 207806.92
SET: 207559.72
SET: 207365.88
SET: 207016.20
SET: 206719.64
SET: 206489.91
SET: 206254.20
SET: 206035.97
SET: 205789.12
SET: 205491.62
SET: 205336.72
SET: 205097.50
SET: 204857.45
SET: 204659.20
SET: 204436.64
SET: 204220.28
SET: 204067.39
SET: 203878.38
SET: 203704.22
SET: 203456.41
SET: 203208.67
SET: 202977.11
SET: 202719.12
SET: 202505.80
SET: 202279.38
SET: 202016.75
SET: 201811.58
SET: 201621.03
SET: 201473.05
SET: 201303.27
SET: 201137.31
SET: 200935.05
SET: 200916.02
SET: 200908.25
SET: 201027.08
SET: 201091.92
SET: 201202.38
SET: 201276.72
SET: 201337.06
SET: 201392.30
SET: 201430.31
SET: 201481.91
SET: 201523.61
SET: 201567.56
SET: 201635.58
SET: 201677.44
SET: 201717.14
SET: 201735.59
SET: 201780.95
SET: 201809.12
SET: 201609.75
SET: 201594.08
SET: 201627.39
SET: 201635.70
SET: 201714.05
SET: 201748.08
SET: 201593.95
SET: 201653.16
SET: 201720.98
SET: 201752.77
SET: 201775.19
SET: 201813.91
SET: 201782.19
SET: 201809.06
SET: 201866.03
SET: 201930.88
SET: 201952.08
SET: 202015.36
SET: 202056.44
SET: 202093.98
SET: 202165.27
SET: 202188.95
SET: 202237.59
SET: 202343.59
SET: 202416.98
SET: 202486.59
SET: 202548.41
SET: 202570.86
SET: 202583.50
SET: 202573.92
SET: 202649.80
SET: 202552.03
SET: 202536.77
SET: 202637.59
SET: 202643.39
SET: 202626.17
SET: 202660.78
SET: 202575.55
SET: 202440.53
SET: 202426.61
SET: 202411.72
SET: 202386.34
SET: 202396.84
SET: 202415.84
SET: 202307.30
SET: 202309.33
SET: 202371.31
SET: 202439.45
SET: 202466.94
SET: 202488.39
SET: 202452.50
SET: 202474.05
SET: 202507.70
SET: 202634.61
SET: 202653.02
SET: 202690.86
SET: 202714.23
SET: 202772.89
SET: 202780.59
SET: 202823.88
SET: 202797.02
SET: 202861.17
SET: 202874.34
SET: 202923.12
SET: 202952.36
SET: 202997.72
SET: 203034.91
SET: 203097.84
SET: 203145.89
SET: 202996.03
SET: 203001.56
SET: 203034.89
SET: 203105.30
SET: 203141.12
SET: 203156.47
SET: 203107.48
SET: 203098.16
SET: 203158.98
SET: 203176.16
SET: 203193.23
SET: 203208.83
SET: 203218.09
SET: 203220.05
SET: 203201.08
SET: 203218.20
SET: 203267.77
SET: 203319.95
SET: 203331.89
SET: 203336.48
SET: 203340.69
SET: 203341.62
SET: 203343.56
SET: 203324.09
SET: 203336.19
SET: 203331.34
SET: 203290.83
SET: 203338.08
SET: 203389.09
SET: 203411.62
SET: 203417.56
SET: 203415.92
SET: 203426.30
SET: 203433.48
SET: 203428.09
SET: 203446.23
SET: 203427.17
SET: 203464.64
SET: 203441.27
SET: 203447.97
SET: 203466.95
SET: 203465.11
SET: 203471.09
SET: 203492.16
SET: 203499.05
SET: 203488.19
SET: 203497.98
SET: 203492.94
SET: 203506.17
SET: 203517.34
SET: 203573.78
SET: 203577.02
SET: 203835.06
SET: 204267.39
SET: 204723.34
====== SET ======
  20000016 requests completed in 97.65 seconds
  16 parallel clients
  32 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.58% <= 0.1 milliseconds
14.98% <= 0.2 milliseconds
33.32% <= 0.3 milliseconds
49.79% <= 0.4 milliseconds
62.65% <= 0.5 milliseconds
71.74% <= 0.6 milliseconds
78.56% <= 0.7 milliseconds
83.49% <= 0.8 milliseconds
87.02% <= 0.9 milliseconds
89.58% <= 1.0 milliseconds
91.47% <= 1.1 milliseconds
92.96% <= 1.2 milliseconds
94.13% <= 1.3 milliseconds
95.03% <= 1.4 milliseconds
95.74% <= 1.5 milliseconds
96.32% <= 1.6 milliseconds
96.81% <= 1.7 milliseconds
97.21% <= 1.8 milliseconds
97.56% <= 1.9 milliseconds
97.87% <= 2 milliseconds
99.42% <= 3 milliseconds
99.83% <= 4 milliseconds
99.93% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
99.99% <= 11 milliseconds
99.99% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 21 milliseconds
204815.36 requests per second


