2023-11-21 22:38:21
SET: 0.00
SET: 523537.88
SET: 396095.62
SET: 347585.12
SET: 309125.75
SET: 299271.56
SET: 292910.78
SET: 289337.91
SET: 277918.06
SET: 269978.69
SET: 265774.56
SET: 266620.19
SET: 267384.81
SET: 264093.44
SET: 263095.91
SET: 262729.91
SET: 262529.47
SET: 259947.33
SET: 255509.77
SET: 251530.48
SET: 249314.14
SET: 247441.17
SET: 247693.31
SET: 247366.00
SET: 248195.86
SET: 246631.48
SET: 247226.44
SET: 247217.17
SET: 247961.17
SET: 247857.75
SET: 247150.42
SET: 245608.77
SET: 244454.22
SET: 244476.31
SET: 245076.55
SET: 245379.92
SET: 246007.77
SET: 244100.69
SET: 242452.94
SET: 240316.48
SET: 238518.64
SET: 236955.06
SET: 235814.98
SET: 234797.53
SET: 233511.62
SET: 232034.81
SET: 232445.56
SET: 233091.94
SET: 233380.97
SET: 233191.62
SET: 233018.16
SET: 232863.39
SET: 232983.33
SET: 233387.14
SET: 233795.55
SET: 234201.73
SET: 234620.98
SET: 234669.84
SET: 235140.45
SET: 235260.16
SET: 235150.97
SET: 235108.78
SET: 235655.44
SET: 235217.25
SET: 235479.33
SET: 235596.34
SET: 235832.11
SET: 236289.02
SET: 236615.84
SET: 236786.75
SET: 236931.30
SET: 237173.14
SET: 237170.78
SET: 237558.66
SET: 237926.11
SET: 237858.66
SET: 237252.27
SET: 237236.84
SET: 237112.77
SET: 236700.09
SET: 236239.41
SET: 235324.97
SET: 234437.50
SET: 233666.17
SET: 232933.00
SET: 232171.53
SET: 231489.52
SET: 230686.81
SET: 229953.94
SET: 229270.22
SET: 228775.41
SET: 228115.42
SET: 227363.08
SET: 226689.12
SET: 226041.42
SET: 225641.94
SET: 224933.34
SET: 224358.02
SET: 223705.34
SET: 223594.30
SET: 223943.72
SET: 224130.77
SET: 224298.47
SET: 224356.11
SET: 224338.86
SET: 224314.31
SET: 224200.62
SET: 224287.52
SET: 224215.86
SET: 224307.17
SET: 224471.53
SET: 224323.83
SET: 224626.16
SET: 224736.08
SET: 224857.83
SET: 225061.98
SET: 225333.75
SET: 225488.27
SET: 225621.20
SET: 225855.36
SET: 226016.59
SET: 226036.27
SET: 226178.44
SET: 226196.88
SET: 225883.62
SET: 226054.56
SET: 225855.53
SET: 226056.72
SET: 226202.31
SET: 226338.45
SET: 226075.70
SET: 226117.23
SET: 226111.62
SET: 226191.94
SET: 226310.91
SET: 226262.53
SET: 226269.89
SET: 226288.81
SET: 226241.19
SET: 226283.69
SET: 226298.22
SET: 226447.27
SET: 226511.80
SET: 226239.97
SET: 226191.33
SET: 226274.16
SET: 226320.36
SET: 226418.58
SET: 226404.62
SET: 226194.69
SET: 226058.27
SET: 226063.92
SET: 225992.06
SET: 225899.62
SET: 225853.12
SET: 225878.73
SET: 225882.06
SET: 225857.25
SET: 225989.42
SET: 226102.42
SET: 226197.22
SET: 226380.42
SET: 226059.56
SET: 226132.67
SET: 226194.95
SET: 226244.02
SET: 226442.22
SET: 226494.06
SET: 226326.69
SET: 226225.41
SET: 226296.98
SET: 226342.47
SET: 226357.48
SET: 226436.61
SET: 226423.34
SET: 226419.73
SET: 226445.06
SET: 226425.31
SET: 226569.06
SET: 226533.81
SET: 226546.58
SET: 226535.69
SET: 226547.95
SET: 226483.19
SET: 226469.00
SET: 226440.62
SET: 226363.56
SET: 226289.89
SET: 226301.19
SET: 226235.22
SET: 226231.70
SET: 226325.00
SET: 226353.22
SET: 226092.83
SET: 225700.41
SET: 225307.17
SET: 225006.38
SET: 224700.36
SET: 224379.33
SET: 224168.39
SET: 223784.33
SET: 223518.14
SET: 223224.03
SET: 222904.80
SET: 222564.08
SET: 222312.61
SET: 222061.73
SET: 221838.45
SET: 221545.53
SET: 221186.61
SET: 220871.25
SET: 220610.42
SET: 220350.22
SET: 220122.20
SET: 219862.08
SET: 219619.70
SET: 219420.72
SET: 219184.08
SET: 218914.70
SET: 218715.33
SET: 218422.19
SET: 218229.52
SET: 218043.47
SET: 217809.17
SET: 217593.12
SET: 217342.59
SET: 217141.55
SET: 216951.42
SET: 216768.97
SET: 216595.39
SET: 216382.75
SET: 216043.61
SET: 216042.59
SET: 216097.86
SET: 216161.39
SET: 216224.66
SET: 216268.83
SET: 216345.81
SET: 216435.98
SET: 216521.67
SET: 216536.42
SET: 216561.27
SET: 216655.67
SET: 216614.16
SET: 216591.19
SET: 216630.03
SET: 216693.45
SET: 216759.53
SET: 216768.59
SET: 216846.28
SET: 216714.34
SET: 216696.73
SET: 216698.53
SET: 216789.17
SET: 216845.48
SET: 216920.05
SET: 216733.30
SET: 216753.34
SET: 216867.78
SET: 216908.52
SET: 216970.17
SET: 217014.09
SET: 217062.22
SET: 217165.78
SET: 217139.33
SET: 217209.31
SET: 217254.30
SET: 217255.00
SET: 217153.67
SET: 217142.73
SET: 217157.22
SET: 217162.03
SET: 217252.16
SET: 217337.53
SET: 217271.62
SET: 217157.70
SET: 217248.05
SET: 217324.11
SET: 217303.48
SET: 217417.89
SET: 217384.05
SET: 217357.62
SET: 217385.36
SET: 217393.12
SET: 217473.78
SET: 217507.98
SET: 217538.94
SET: 217591.52
SET: 217538.14
SET: 217519.66
SET: 217549.70
SET: 217574.27
SET: 217549.92
SET: 217460.59
SET: 217429.53
SET: 217475.64
SET: 217476.48
SET: 217461.41
SET: 217454.56
SET: 217314.86
SET: 217351.19
SET: 217438.48
SET: 217414.36
SET: 217488.52
SET: 217413.36
SET: 217216.86
SET: 217153.44
SET: 217179.88
SET: 217220.58
SET: 217142.84
SET: 217093.47
SET: 217042.56
SET: 217006.33
SET: 217006.69
SET: 216989.62
SET: 217008.81
SET: 217089.81
SET: 216985.31
SET: 216895.03
SET: 216922.30
SET: 216950.50
SET: 216962.08
SET: 216907.55
SET: 216887.72
SET: 216753.42
SET: 216754.94
SET: 216785.88
SET: 216834.52
SET: 216818.12
SET: 216756.36
SET: 216565.80
SET: 216561.58
SET: 216597.92
SET: 216604.58
SET: 216648.89
SET: 216648.30
SET: 216626.66
SET: 216637.81
SET: 216616.70
SET: 216651.39
SET: 216724.44
SET: 216715.28
SET: 216618.38
SET: 216646.03
SET: 216664.89
SET: 216659.62
SET: 216646.34
SET: 216629.19
SET: 216505.81
SET: 216440.59
SET: 216410.28
SET: 216414.59
SET: 216432.30
SET: 216387.23
SET: 216286.06
SET: 216277.97
SET: 216269.00
SET: 216301.48
SET: 216319.12
SET: 216299.09
SET: 216242.39
SET: 216227.45
SET: 216237.97
SET: 216257.39
SET: 216293.48
SET: 216254.31
SET: 216147.83
SET: 216166.33
SET: 216084.20
SET: 216051.05
====== SET ======
  20000128 requests completed in 92.57 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.11% <= 0.2 milliseconds
6.41% <= 0.3 milliseconds
15.09% <= 0.4 milliseconds
23.34% <= 0.5 milliseconds
32.11% <= 0.6 milliseconds
40.98% <= 0.7 milliseconds
49.48% <= 0.8 milliseconds
57.04% <= 0.9 milliseconds
63.63% <= 1.0 milliseconds
69.27% <= 1.1 milliseconds
74.02% <= 1.2 milliseconds
77.98% <= 1.3 milliseconds
81.24% <= 1.4 milliseconds
83.90% <= 1.5 milliseconds
86.04% <= 1.6 milliseconds
87.79% <= 1.7 milliseconds
89.23% <= 1.8 milliseconds
90.44% <= 1.9 milliseconds
91.47% <= 2 milliseconds
96.91% <= 3 milliseconds
98.66% <= 4 milliseconds
99.38% <= 5 milliseconds
99.67% <= 6 milliseconds
99.81% <= 7 milliseconds
99.88% <= 8 milliseconds
99.92% <= 9 milliseconds
99.94% <= 10 milliseconds
99.96% <= 11 milliseconds
99.98% <= 12 milliseconds
99.98% <= 13 milliseconds
99.98% <= 14 milliseconds
99.99% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 27 milliseconds
100.00% <= 28 milliseconds
100.00% <= 28 milliseconds
216058.77 requests per second


