2023-11-21 22:38:21
SET: nan
SET: 482560.00
SET: 390720.00
SET: 349379.50
SET: 309530.47
SET: 297259.78
SET: 291720.19
SET: 288717.28
SET: 277157.44
SET: 265784.09
SET: 259413.05
SET: 260164.31
SET: 259854.72
SET: 260733.08
SET: 261016.56
SET: 261337.59
SET: 259255.58
SET: 256857.77
SET: 252150.14
SET: 247774.47
SET: 244403.77
SET: 241500.11
SET: 242235.88
SET: 243127.42
SET: 243363.66
SET: 243579.73
SET: 244577.59
SET: 245067.98
SET: 245752.97
SET: 246356.55
SET: 246508.34
SET: 245863.56
SET: 245882.31
SET: 245138.58
SET: 244799.45
SET: 244677.41
SET: 244548.47
SET: 242914.98
SET: 241138.41
SET: 239525.30
SET: 238043.16
SET: 236196.52
SET: 234724.02
SET: 233408.44
SET: 232249.98
SET: 230612.31
SET: 230055.78
SET: 230644.78
SET: 230852.86
SET: 231519.05
SET: 230760.58
SET: 230739.81
SET: 231102.98
SET: 231134.38
SET: 231466.55
SET: 231640.17
SET: 231778.47
SET: 232076.28
SET: 232500.00
SET: 232554.94
SET: 232874.33
SET: 233137.23
SET: 233011.66
SET: 232683.53
SET: 232497.05
SET: 232591.12
SET: 232454.80
SET: 232546.78
SET: 232598.45
SET: 232862.64
SET: 232888.23
SET: 232625.84
SET: 232939.06
SET: 233161.33
SET: 233263.58
SET: 233377.61
SET: 233230.78
SET: 232960.31
SET: 233024.25
SET: 233236.69
SET: 233294.78
SET: 233043.50
SET: 232166.86
SET: 231438.03
SET: 230647.38
SET: 230014.47
SET: 229297.77
SET: 228590.91
SET: 227766.03
SET: 227200.36
SET: 226525.39
SET: 225864.20
SET: 225476.62
SET: 224820.97
SET: 224138.09
SET: 223479.03
SET: 222908.95
SET: 222278.44
SET: 221684.27
SET: 221126.64
SET: 220898.28
SET: 221003.36
SET: 221166.69
SET: 221512.97
SET: 221565.14
SET: 221504.88
SET: 221239.42
SET: 221534.75
SET: 221700.55
SET: 221977.42
SET: 222256.42
SET: 222443.20
SET: 222398.00
SET: 222512.61
SET: 222686.91
SET: 223078.38
SET: 223357.80
SET: 223466.03
SET: 223519.33
SET: 223642.12
SET: 223850.00
SET: 223904.88
SET: 224110.86
SET: 224393.83
SET: 224111.91
SET: 223971.61
SET: 223892.41
SET: 224190.34
SET: 224428.91
SET: 224445.66
SET: 224308.42
SET: 224233.83
SET: 224295.77
SET: 224405.09
SET: 224495.14
SET: 224621.98
SET: 225002.78
SET: 225224.91
SET: 225335.38
SET: 225455.41
SET: 225415.33
SET: 225494.88
SET: 225682.95
SET: 225495.19
SET: 225338.70
SET: 225312.06
SET: 225476.09
SET: 225641.16
SET: 225798.16
SET: 225701.12
SET: 225583.62
SET: 225573.16
SET: 225725.42
SET: 225879.67
SET: 225817.86
SET: 225895.67
SET: 226045.45
SET: 226055.66
SET: 226062.89
SET: 226155.31
SET: 226225.19
SET: 226412.38
SET: 226081.28
SET: 226016.33
SET: 226036.03
SET: 226001.02
SET: 225951.61
SET: 226025.70
SET: 225695.97
SET: 225556.48
SET: 225586.47
SET: 225505.02
SET: 225552.59
SET: 225566.89
SET: 225646.28
SET: 225615.88
SET: 225602.70
SET: 225745.95
SET: 225822.38
SET: 225843.64
SET: 225750.80
SET: 225618.53
SET: 225677.81
SET: 225684.72
SET: 225765.08
SET: 225862.89
SET: 225759.88
SET: 225404.86
SET: 225288.02
SET: 225253.62
SET: 225245.34
SET: 225318.86
SET: 225270.69
SET: 225180.59
SET: 224874.80
SET: 224578.73
SET: 224232.17
SET: 223959.09
SET: 223602.20
SET: 223250.22
SET: 222941.25
SET: 222678.77
SET: 222415.23
SET: 221902.27
SET: 221570.34
SET: 221334.48
SET: 221130.09
SET: 220824.31
SET: 220527.02
SET: 220227.52
SET: 219959.80
SET: 219657.19
SET: 219388.59
SET: 219111.62
SET: 218826.94
SET: 218618.38
SET: 218283.34
SET: 218059.48
SET: 217835.03
SET: 217539.20
SET: 217293.00
SET: 217042.22
SET: 216821.06
SET: 216621.22
SET: 216434.88
SET: 216232.03
SET: 215983.30
SET: 215721.42
SET: 215516.67
SET: 215302.53
SET: 215102.77
SET: 214918.31
SET: 214864.00
SET: 214914.69
SET: 214937.50
SET: 214891.67
SET: 214969.56
SET: 215062.39
SET: 215101.11
SET: 215242.52
SET: 215381.67
SET: 215487.56
SET: 215515.70
SET: 215391.16
SET: 215387.36
SET: 215480.02
SET: 215497.47
SET: 215584.80
SET: 215609.80
SET: 215473.08
SET: 215441.44
SET: 215528.61
SET: 215594.17
SET: 215659.58
SET: 215811.95
SET: 215801.55
SET: 215826.92
SET: 215889.55
SET: 215953.66
SET: 215997.42
SET: 216050.42
SET: 216066.89
SET: 216130.81
SET: 216140.53
SET: 216163.98
SET: 216151.78
SET: 216224.89
SET: 216263.08
SET: 216173.34
SET: 216209.55
SET: 216267.86
SET: 216307.33
SET: 216368.14
SET: 216418.56
SET: 216255.42
SET: 216207.66
SET: 216191.95
SET: 216239.16
SET: 216303.86
SET: 216361.89
SET: 216225.53
SET: 216192.39
SET: 216190.00
SET: 216212.61
SET: 216210.50
SET: 216263.39
SET: 216280.81
SET: 216286.06
SET: 216324.05
SET: 216368.06
SET: 216430.41
SET: 216453.31
SET: 216396.91
SET: 216296.47
SET: 216277.84
SET: 216328.61
SET: 216324.80
SET: 216372.58
SET: 216417.34
SET: 216306.23
SET: 216296.05
SET: 216350.41
SET: 216370.31
SET: 216370.69
SET: 216380.50
SET: 216227.27
SET: 216168.84
SET: 216199.02
SET: 216162.77
SET: 216119.41
SET: 216140.78
SET: 216144.84
SET: 216113.12
SET: 216110.11
SET: 216138.98
SET: 216148.28
SET: 216156.42
SET: 216065.77
SET: 216068.56
SET: 216083.78
SET: 216063.55
SET: 216090.05
SET: 216070.20
SET: 215970.80
SET: 215907.23
SET: 215940.67
SET: 215973.81
SET: 215968.91
SET: 216028.95
SET: 215929.16
SET: 215928.11
SET: 215980.39
SET: 216044.11
SET: 216092.75
SET: 216148.95
SET: 216138.88
SET: 216096.78
SET: 216133.11
SET: 216173.97
SET: 216175.34
SET: 216244.41
SET: 216115.80
SET: 216131.45
SET: 216141.05
SET: 216144.72
SET: 216102.59
SET: 216155.81
SET: 216042.02
SET: 216012.95
SET: 215973.16
SET: 215945.55
SET: 216018.77
SET: 216116.91
SET: 216035.23
SET: 216076.95
SET: 216117.09
SET: 216085.69
SET: 216098.34
SET: 216171.05
SET: 216098.52
SET: 216090.59
SET: 216116.47
SET: 216099.38
SET: 216111.61
SET: 216092.23
SET: 215980.12
SET: 215966.81
SET: 215979.97
SET: 215958.39
SET: 215931.55
SET: 215984.36
====== SET ======
  20000008 requests completed in 92.60 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.13% <= 0.2 milliseconds
6.45% <= 0.3 milliseconds
15.02% <= 0.4 milliseconds
23.16% <= 0.5 milliseconds
31.82% <= 0.6 milliseconds
40.62% <= 0.7 milliseconds
49.11% <= 0.8 milliseconds
56.69% <= 0.9 milliseconds
63.27% <= 1.0 milliseconds
68.91% <= 1.1 milliseconds
73.72% <= 1.2 milliseconds
77.74% <= 1.3 milliseconds
81.08% <= 1.4 milliseconds
83.78% <= 1.5 milliseconds
85.97% <= 1.6 milliseconds
87.78% <= 1.7 milliseconds
89.25% <= 1.8 milliseconds
90.48% <= 1.9 milliseconds
91.54% <= 2 milliseconds
96.95% <= 3 milliseconds
98.70% <= 4 milliseconds
99.40% <= 5 milliseconds
99.68% <= 6 milliseconds
99.80% <= 7 milliseconds
99.89% <= 8 milliseconds
99.93% <= 9 milliseconds
99.96% <= 10 milliseconds
99.98% <= 11 milliseconds
99.99% <= 12 milliseconds
99.99% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 23 milliseconds
215973.48 requests per second


