2023-11-21 22:38:22
SET: nan
SET: 514944.00
SET: 382592.00
SET: 346186.66
SET: 308592.00
SET: 298048.00
SET: 287760.00
SET: 289270.84
SET: 280188.00
SET: 269127.12
SET: 265193.59
SET: 265977.47
SET: 265983.34
SET: 266564.12
SET: 266429.03
SET: 264078.91
SET: 263060.94
SET: 258984.47
SET: 253571.92
SET: 249529.66
SET: 246356.50
SET: 242302.23
SET: 241619.17
SET: 240848.09
SET: 242310.45
SET: 242475.20
SET: 243665.42
SET: 244734.38
SET: 245123.19
SET: 245396.55
SET: 245516.31
SET: 245065.88
SET: 244159.36
SET: 244927.70
SET: 244840.25
SET: 244906.70
SET: 245077.59
SET: 243365.38
SET: 241473.14
SET: 239687.67
SET: 238087.33
SET: 236904.97
SET: 235488.06
SET: 234058.19
SET: 233115.45
SET: 231984.38
SET: 232493.53
SET: 232647.00
SET: 232504.30
SET: 232893.39
SET: 233231.75
SET: 234120.55
SET: 234857.72
SET: 235006.56
SET: 235461.22
SET: 236450.52
SET: 237029.97
SET: 236749.97
SET: 236975.19
SET: 237172.20
SET: 237230.48
SET: 237775.39
SET: 236980.41
SET: 236750.67
SET: 236856.88
SET: 236869.28
SET: 237125.02
SET: 237064.80
SET: 236891.14
SET: 236799.45
SET: 236775.88
SET: 236832.52
SET: 236906.67
SET: 236988.88
SET: 236930.16
SET: 236108.08
SET: 236212.27
SET: 236260.19
SET: 236391.33
SET: 236285.17
SET: 236012.98
SET: 235435.22
SET: 234814.20
SET: 233864.69
SET: 233429.47
SET: 232648.92
SET: 231988.09
SET: 231361.94
SET: 230768.16
SET: 230075.27
SET: 229416.58
SET: 228790.30
SET: 228287.09
SET: 227768.58
SET: 227285.25
SET: 226671.03
SET: 226094.27
SET: 225356.91
SET: 225365.58
SET: 225529.72
SET: 225841.88
SET: 225975.94
SET: 226228.70
SET: 226732.39
SET: 226842.55
SET: 226916.30
SET: 226999.52
SET: 227368.98
SET: 227610.50
SET: 227693.88
SET: 227742.88
SET: 227799.06
SET: 227955.33
SET: 228204.47
SET: 228606.91
SET: 228842.72
SET: 228622.19
SET: 228740.69
SET: 228992.41
SET: 229173.80
SET: 229239.97
SET: 229390.42
SET: 229568.55
SET: 229690.73
SET: 229761.19
SET: 229751.45
SET: 229833.50
SET: 229724.89
SET: 229655.72
SET: 229315.16
SET: 229339.48
SET: 229283.36
SET: 229325.73
SET: 229299.19
SET: 229269.92
SET: 229193.81
SET: 229271.33
SET: 229388.34
SET: 229516.64
SET: 229632.28
SET: 229528.56
SET: 229737.30
SET: 229897.81
SET: 230004.86
SET: 230024.48
SET: 230141.98
SET: 230232.91
SET: 229999.73
SET: 229885.53
SET: 229979.77
SET: 230025.86
SET: 229963.58
SET: 230036.30
SET: 229818.98
SET: 229884.91
SET: 229956.52
SET: 229881.52
SET: 229757.09
SET: 229690.73
SET: 229803.23
SET: 229792.38
SET: 229740.33
SET: 229798.28
SET: 229779.42
SET: 229865.88
SET: 229786.94
SET: 229563.88
SET: 229534.20
SET: 229366.39
SET: 229416.78
SET: 229214.69
SET: 229252.28
SET: 228918.52
SET: 228778.44
SET: 228789.41
SET: 228764.44
SET: 228713.75
SET: 228728.52
SET: 228744.38
SET: 228684.11
SET: 228701.98
SET: 228872.86
SET: 228849.09
SET: 228852.50
SET: 228695.25
SET: 228501.16
SET: 228413.70
SET: 228415.77
SET: 228476.50
SET: 228464.50
SET: 228397.25
SET: 227935.36
SET: 227618.03
SET: 227276.16
SET: 226982.81
SET: 226653.77
SET: 226279.44
SET: 225952.42
SET: 225653.27
SET: 225324.48
SET: 225014.34
SET: 224781.92
SET: 224539.12
SET: 224256.50
SET: 223819.70
SET: 223501.98
SET: 223232.08
SET: 222892.30
SET: 222642.36
SET: 222373.25
SET: 222093.12
SET: 221859.33
SET: 221465.84
SET: 221158.34
SET: 220836.83
SET: 220571.41
SET: 220284.59
SET: 219962.56
SET: 219801.92
SET: 219507.52
SET: 219273.36
SET: 219142.05
SET: 218965.53
SET: 218700.28
SET: 218560.00
SET: 218359.73
SET: 218182.47
SET: 217991.55
SET: 217778.17
SET: 217608.55
SET: 217586.41
SET: 217663.16
SET: 217712.70
SET: 217774.27
SET: 217631.94
SET: 217611.38
SET: 217756.73
SET: 217777.89
SET: 217929.33
SET: 217997.00
SET: 217984.16
SET: 217978.70
SET: 218037.80
SET: 218073.89
SET: 218129.75
SET: 218183.94
SET: 218231.09
SET: 218264.92
SET: 218333.16
SET: 218302.98
SET: 218264.61
SET: 218302.09
SET: 218358.95
SET: 218170.92
SET: 218194.86
SET: 218216.86
SET: 218224.81
SET: 218208.58
SET: 218248.86
SET: 218073.38
SET: 218200.08
SET: 218297.77
SET: 218307.55
SET: 218283.58
SET: 218274.22
SET: 218199.14
SET: 218247.27
SET: 218264.25
SET: 218218.42
SET: 218277.94
SET: 218334.42
SET: 218403.09
SET: 218475.39
SET: 218442.59
SET: 218457.39
SET: 218459.44
SET: 218447.17
SET: 218309.41
SET: 218214.03
SET: 218197.73
SET: 218176.98
SET: 218165.03
SET: 218232.66
SET: 218131.31
SET: 218123.25
SET: 218077.33
SET: 218050.95
SET: 218058.41
SET: 218075.25
SET: 218025.03
SET: 218006.47
SET: 218074.97
SET: 218136.75
SET: 218077.94
SET: 218131.47
SET: 218199.12
SET: 218189.30
SET: 218234.91
SET: 218319.05
SET: 218259.86
SET: 218270.34
SET: 218161.56
SET: 218101.78
SET: 218079.55
SET: 218068.30
SET: 218058.58
SET: 218083.62
SET: 218026.22
SET: 218029.19
SET: 218061.75
SET: 218071.61
SET: 218087.17
SET: 218079.14
SET: 217958.89
SET: 217923.23
SET: 217917.41
SET: 217863.56
SET: 217836.50
SET: 217849.12
SET: 217846.55
SET: 217870.36
SET: 217935.56
SET: 217911.98
SET: 217906.06
SET: 217873.83
SET: 217768.28
SET: 217697.12
SET: 217711.31
SET: 217744.41
SET: 217715.77
SET: 217745.06
SET: 217636.12
SET: 217588.34
SET: 217581.66
SET: 217585.25
SET: 217614.89
SET: 217607.14
SET: 217440.67
SET: 217374.34
SET: 217405.11
SET: 217377.08
SET: 217368.92
SET: 217342.02
SET: 217296.14
SET: 217278.62
SET: 217302.53
SET: 217319.02
SET: 217364.89
SET: 217434.02
SET: 217309.88
SET: 217279.64
SET: 217245.64
SET: 217228.30
SET: 217244.56
SET: 217228.31
SET: 217139.64
SET: 217060.72
SET: 217059.98
SET: 217060.88
SET: 217042.58
SET: 217046.44
SET: 216951.59
SET: 216939.52
SET: 216958.77
SET: 216955.27
SET: 216984.28
SET: 217015.84
SET: 216951.98
SET: 216937.91
====== SET ======
  20000080 requests completed in 92.19 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.87% <= 0.2 milliseconds
6.09% <= 0.3 milliseconds
15.01% <= 0.4 milliseconds
23.25% <= 0.5 milliseconds
31.82% <= 0.6 milliseconds
40.51% <= 0.7 milliseconds
49.05% <= 0.8 milliseconds
56.77% <= 0.9 milliseconds
63.51% <= 1.0 milliseconds
69.27% <= 1.1 milliseconds
74.13% <= 1.2 milliseconds
78.10% <= 1.3 milliseconds
81.35% <= 1.4 milliseconds
83.99% <= 1.5 milliseconds
86.14% <= 1.6 milliseconds
87.90% <= 1.7 milliseconds
89.35% <= 1.8 milliseconds
90.57% <= 1.9 milliseconds
91.62% <= 2 milliseconds
97.06% <= 3 milliseconds
98.79% <= 4 milliseconds
99.45% <= 5 milliseconds
99.71% <= 6 milliseconds
99.84% <= 7 milliseconds
99.90% <= 8 milliseconds
99.95% <= 9 milliseconds
99.96% <= 10 milliseconds
99.97% <= 11 milliseconds
99.98% <= 12 milliseconds
99.99% <= 13 milliseconds
99.99% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
216948.83 requests per second


