2023-11-21 22:38:22
SET: 0.00
SET: 307506.00
SET: 280415.19
SET: 261358.19
SET: 262129.86
SET: 246797.75
SET: 246636.48
SET: 246707.77
SET: 246233.75
SET: 242472.45
SET: 235718.61
SET: 231706.39
SET: 234688.86
SET: 238762.59
SET: 238151.91
SET: 239432.83
SET: 239948.03
SET: 239198.30
SET: 240157.83
SET: 236193.92
SET: 233038.48
SET: 230447.11
SET: 228198.02
SET: 229087.25
SET: 230848.41
SET: 232759.66
SET: 234000.00
SET: 235583.81
SET: 235985.19
SET: 236812.56
SET: 238078.77
SET: 238861.72
SET: 237875.52
SET: 238293.94
SET: 238322.41
SET: 238884.14
SET: 239458.03
SET: 238856.41
SET: 236854.11
SET: 235211.14
SET: 234058.08
SET: 233048.39
SET: 231614.48
SET: 230531.61
SET: 229317.12
SET: 228384.34
SET: 227063.34
SET: 227998.64
SET: 228737.31
SET: 229090.86
SET: 228105.73
SET: 228448.77
SET: 228859.72
SET: 229709.64
SET: 230107.53
SET: 230276.05
SET: 230381.62
SET: 231080.92
SET: 231072.50
SET: 231581.47
SET: 231867.95
SET: 232218.41
SET: 232203.03
SET: 231924.44
SET: 231829.77
SET: 231835.33
SET: 231615.62
SET: 231560.30
SET: 231784.33
SET: 231654.08
SET: 231537.58
SET: 231894.69
SET: 231835.34
SET: 231938.28
SET: 232198.22
SET: 232427.75
SET: 232421.30
SET: 231604.91
SET: 231572.28
SET: 231729.39
SET: 231836.23
SET: 232008.28
SET: 231401.02
SET: 230546.55
SET: 229772.11
SET: 229135.83
SET: 228388.14
SET: 227722.86
SET: 226830.09
SET: 226386.11
SET: 225878.83
SET: 225104.19
SET: 224426.95
SET: 223740.20
SET: 223168.36
SET: 222714.84
SET: 222153.58
SET: 221681.95
SET: 221042.53
SET: 220680.09
SET: 220270.25
SET: 220481.33
SET: 220758.00
SET: 221012.56
SET: 221219.81
SET: 221100.75
SET: 221207.69
SET: 221304.84
SET: 221687.31
SET: 221738.12
SET: 221802.53
SET: 221849.95
SET: 221643.17
SET: 221768.67
SET: 221899.55
SET: 222105.14
SET: 222300.30
SET: 222586.66
SET: 222640.61
SET: 222779.62
SET: 222996.77
SET: 223058.42
SET: 223244.05
SET: 223174.84
SET: 223078.11
SET: 222892.91
SET: 223010.53
SET: 223225.98
SET: 223363.12
SET: 223200.53
SET: 223269.39
SET: 223198.81
SET: 223267.84
SET: 223240.91
SET: 223552.17
SET: 223797.30
SET: 224105.78
SET: 224260.17
SET: 224507.78
SET: 224649.25
SET: 224970.00
SET: 224993.28
SET: 225073.64
SET: 225175.47
SET: 224896.91
SET: 224793.94
SET: 224810.41
SET: 224862.09
SET: 224918.92
SET: 224924.56
SET: 224845.50
SET: 224854.73
SET: 224917.69
SET: 224918.38
SET: 225038.02
SET: 225041.64
SET: 225087.64
SET: 225139.16
SET: 225229.50
SET: 225227.00
SET: 225194.75
SET: 225305.70
SET: 225440.14
SET: 225315.00
SET: 225432.34
SET: 225408.80
SET: 225323.66
SET: 225326.08
SET: 225362.16
SET: 225254.59
SET: 225037.16
SET: 225060.45
SET: 225042.03
SET: 225043.58
SET: 225070.81
SET: 225118.58
SET: 225230.67
SET: 225267.25
SET: 225310.97
SET: 225248.47
SET: 225160.36
SET: 225142.25
SET: 224944.88
SET: 224824.94
SET: 224848.61
SET: 224775.77
SET: 224780.88
SET: 224750.19
SET: 224528.02
SET: 224446.75
SET: 224291.61
SET: 224237.86
SET: 224235.28
SET: 224135.52
SET: 224029.84
SET: 223680.47
SET: 223398.28
SET: 223005.34
SET: 222735.70
SET: 222371.25
SET: 221934.98
SET: 221578.61
SET: 221386.73
SET: 221217.38
SET: 220878.84
SET: 220401.69
SET: 220055.19
SET: 219784.31
SET: 219548.47
SET: 219335.09
SET: 219057.20
SET: 218827.55
SET: 218617.41
SET: 218465.69
SET: 218210.19
SET: 217941.45
SET: 217806.50
SET: 217656.30
SET: 217393.36
SET: 217178.33
SET: 216980.56
SET: 216732.92
SET: 216538.08
SET: 216278.88
SET: 216125.61
SET: 215963.47
SET: 215709.55
SET: 215348.41
SET: 215137.12
SET: 214969.31
SET: 214799.89
SET: 214642.86
SET: 214498.95
SET: 214325.62
SET: 214301.62
SET: 214384.50
SET: 214386.75
SET: 214410.95
SET: 214461.97
SET: 214547.86
SET: 214593.73
SET: 214693.89
SET: 214802.86
SET: 214825.28
SET: 214925.89
SET: 214802.50
SET: 214800.22
SET: 214873.16
SET: 214891.50
SET: 214909.56
SET: 214986.94
SET: 214880.53
SET: 214849.48
SET: 214877.55
SET: 214847.34
SET: 214861.89
SET: 214910.92
SET: 214821.47
SET: 214821.08
SET: 214805.75
SET: 214898.66
SET: 214894.30
SET: 214885.20
SET: 214944.22
SET: 215040.27
SET: 215060.28
SET: 215150.47
SET: 215138.45
SET: 215220.16
SET: 215267.50
SET: 215157.72
SET: 215178.05
SET: 215169.55
SET: 215212.41
SET: 215222.75
SET: 215187.91
SET: 215026.23
SET: 215047.98
SET: 215060.03
SET: 215056.52
SET: 215126.80
SET: 215103.50
SET: 214911.09
SET: 214911.67
SET: 214927.11
SET: 214957.05
SET: 214933.86
SET: 214968.98
SET: 215041.83
SET: 215086.08
SET: 215196.28
SET: 215215.95
SET: 215216.23
SET: 215159.75
SET: 215213.83
SET: 215081.78
SET: 215126.36
SET: 215180.33
SET: 215169.23
SET: 215242.08
SET: 215318.36
SET: 215202.08
SET: 215205.34
SET: 215189.72
SET: 215134.44
SET: 215145.86
SET: 215162.86
SET: 215078.83
SET: 215071.98
SET: 215071.80
SET: 215094.38
SET: 215130.28
SET: 215111.77
SET: 215127.56
SET: 215156.73
SET: 215173.41
SET: 215234.50
SET: 215262.64
SET: 215232.80
SET: 215259.25
SET: 215245.98
SET: 215313.86
SET: 215238.45
SET: 215277.34
SET: 215287.88
SET: 215247.77
SET: 215181.03
SET: 215082.06
SET: 215117.80
SET: 215112.31
SET: 215040.50
SET: 215081.75
SET: 215004.39
SET: 215029.08
SET: 215076.78
SET: 215072.38
SET: 215088.64
SET: 215118.86
SET: 215057.23
SET: 215057.09
SET: 215049.98
SET: 215058.95
SET: 215043.58
SET: 215042.53
SET: 214949.69
SET: 214883.78
SET: 214870.73
SET: 214863.02
SET: 214875.02
SET: 214894.55
SET: 214888.66
SET: 214863.58
SET: 214836.56
SET: 214886.86
SET: 214898.67
SET: 214930.69
SET: 214912.12
SET: 214883.47
SET: 214909.00
SET: 214979.45
SET: 215021.19
SET: 214971.47
SET: 214927.41
SET: 214930.36
SET: 214941.28
SET: 214952.67
SET: 214979.41
SET: 214997.59
SET: 214951.92
SET: 214890.66
SET: 215036.14
====== SET ======
  20000000 requests completed in 92.81 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.26% <= 0.2 milliseconds
6.47% <= 0.3 milliseconds
14.81% <= 0.4 milliseconds
22.93% <= 0.5 milliseconds
31.69% <= 0.6 milliseconds
40.59% <= 0.7 milliseconds
49.08% <= 0.8 milliseconds
56.50% <= 0.9 milliseconds
63.01% <= 1.0 milliseconds
68.72% <= 1.1 milliseconds
73.60% <= 1.2 milliseconds
77.66% <= 1.3 milliseconds
81.01% <= 1.4 milliseconds
83.66% <= 1.5 milliseconds
85.81% <= 1.6 milliseconds
87.56% <= 1.7 milliseconds
89.04% <= 1.8 milliseconds
90.27% <= 1.9 milliseconds
91.35% <= 2 milliseconds
96.90% <= 3 milliseconds
98.72% <= 4 milliseconds
99.40% <= 5 milliseconds
99.71% <= 6 milliseconds
99.85% <= 7 milliseconds
99.90% <= 8 milliseconds
99.93% <= 9 milliseconds
99.95% <= 10 milliseconds
99.96% <= 11 milliseconds
99.97% <= 12 milliseconds
99.98% <= 13 milliseconds
99.99% <= 14 milliseconds
99.99% <= 15 milliseconds
100.00% <= 16 milliseconds
100.00% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 18 milliseconds
215500.98 requests per second


