2023-11-21 22:38:22
SET: nan
SET: 265396.81
SET: 260828.70
SET: 247138.31
SET: 251121.77
SET: 240185.31
SET: 240644.05
SET: 239424.98
SET: 243554.67
SET: 242528.19
SET: 237097.88
SET: 232090.08
SET: 233846.16
SET: 237344.81
SET: 238393.14
SET: 238344.59
SET: 239630.45
SET: 241635.72
SET: 241635.52
SET: 238336.06
SET: 235875.34
SET: 232922.38
SET: 230359.61
SET: 230765.08
SET: 231916.12
SET: 231882.42
SET: 232009.84
SET: 232616.67
SET: 233271.52
SET: 233925.34
SET: 234188.31
SET: 234927.19
SET: 234552.14
SET: 233764.88
SET: 234363.62
SET: 234778.41
SET: 235332.67
SET: 235696.30
SET: 234684.33
SET: 233094.25
SET: 231506.89
SET: 230084.41
SET: 228240.89
SET: 227445.78
SET: 226618.00
SET: 225728.86
SET: 224714.33
SET: 224724.31
SET: 225564.31
SET: 225927.77
SET: 225761.38
SET: 226148.72
SET: 226866.06
SET: 227564.20
SET: 228089.70
SET: 228912.31
SET: 229456.62
SET: 230256.56
SET: 230801.88
SET: 231099.02
SET: 231334.08
SET: 231485.52
SET: 231510.30
SET: 231367.91
SET: 231273.41
SET: 231116.95
SET: 231322.08
SET: 231802.05
SET: 232119.39
SET: 232289.50
SET: 232338.78
SET: 232814.33
SET: 232875.39
SET: 233053.42
SET: 233192.53
SET: 233399.55
SET: 233366.42
SET: 233381.50
SET: 233610.91
SET: 233448.52
SET: 233543.11
SET: 233037.50
SET: 232124.75
SET: 231425.39
SET: 230695.84
SET: 230135.19
SET: 229399.00
SET: 228772.66
SET: 228105.34
SET: 227265.52
SET: 226674.83
SET: 225985.42
SET: 225324.19
SET: 224795.73
SET: 224172.08
SET: 223681.67
SET: 222995.67
SET: 222430.78
SET: 222050.80
SET: 221368.31
SET: 221408.66
SET: 221984.02
SET: 222226.34
SET: 222460.14
SET: 223001.12
SET: 223086.42
SET: 223234.95
SET: 223702.45
SET: 223924.83
SET: 224184.17
SET: 224463.81
SET: 224550.61
SET: 224433.53
SET: 224522.48
SET: 224779.81
SET: 224912.84
SET: 225015.22
SET: 225137.16
SET: 225160.84
SET: 225269.84
SET: 225328.00
SET: 225586.52
SET: 225715.12
SET: 225852.19
SET: 225961.78
SET: 226059.39
SET: 226070.20
SET: 226065.75
SET: 226029.16
SET: 226152.20
SET: 226138.88
SET: 225966.62
SET: 226050.31
SET: 226104.31
SET: 226024.45
SET: 225977.03
SET: 226174.77
SET: 226193.20
SET: 225883.83
SET: 225804.05
SET: 225833.45
SET: 225885.08
SET: 225829.42
SET: 225944.05
SET: 226102.61
SET: 226252.14
SET: 226438.09
SET: 226383.91
SET: 226325.05
SET: 226341.22
SET: 226332.86
SET: 226241.22
SET: 226333.33
SET: 226343.38
SET: 226327.55
SET: 226482.08
SET: 226505.73
SET: 226225.09
SET: 226246.22
SET: 226376.67
SET: 226363.03
SET: 226344.00
SET: 226417.16
SET: 226345.08
SET: 226449.89
SET: 226393.98
SET: 226287.86
SET: 226213.30
SET: 226251.89
SET: 226172.98
SET: 226096.09
SET: 226118.62
SET: 226147.16
SET: 226125.70
SET: 226158.14
SET: 226181.62
SET: 226000.33
SET: 226061.83
SET: 225995.30
SET: 226032.56
SET: 226197.64
SET: 226203.88
SET: 226206.17
SET: 226223.66
SET: 226251.20
SET: 226309.38
SET: 226316.05
SET: 226325.39
SET: 226232.70
SET: 226105.70
SET: 226002.77
SET: 225959.33
SET: 225847.06
SET: 225642.70
SET: 225334.64
SET: 224834.16
SET: 224495.03
SET: 224230.28
SET: 223927.83
SET: 223650.91
SET: 223311.41
SET: 223077.06
SET: 222810.38
SET: 222549.77
SET: 221967.80
SET: 221371.08
SET: 220902.19
SET: 220666.48
SET: 220361.73
SET: 220166.05
SET: 219904.62
SET: 219684.17
SET: 219344.11
SET: 219083.47
SET: 218858.73
SET: 218665.23
SET: 218475.89
SET: 218110.77
SET: 217891.22
SET: 217790.62
SET: 217567.14
SET: 217342.62
SET: 217065.98
SET: 216772.61
SET: 216589.19
SET: 216412.22
SET: 216148.12
SET: 215975.22
SET: 215765.83
SET: 215562.45
SET: 215286.20
SET: 215181.20
SET: 214977.73
SET: 214965.38
SET: 214902.98
SET: 215032.81
SET: 215077.14
SET: 215142.02
SET: 215263.16
SET: 215311.59
SET: 215105.83
SET: 215191.92
SET: 215306.39
SET: 215393.97
SET: 215437.20
SET: 215491.05
SET: 215408.50
SET: 215358.98
SET: 215416.23
SET: 215525.28
SET: 215532.17
SET: 215588.30
SET: 215673.80
SET: 215730.69
SET: 215819.11
SET: 215903.58
SET: 215931.42
SET: 215976.11
SET: 215926.62
SET: 215792.72
SET: 215781.47
SET: 215782.81
SET: 215828.06
SET: 215849.73
SET: 215942.23
SET: 215860.64
SET: 215897.83
SET: 215929.70
SET: 215979.84
SET: 216024.48
SET: 216070.58
SET: 215935.58
SET: 215998.00
SET: 216020.14
SET: 216083.91
SET: 216131.62
SET: 216183.62
SET: 216225.44
SET: 216245.44
SET: 216268.28
SET: 216405.97
SET: 216431.12
SET: 216470.98
SET: 216395.78
SET: 216359.03
SET: 216369.78
SET: 216421.92
SET: 216448.42
SET: 216532.12
SET: 216522.55
SET: 216357.02
SET: 216330.95
SET: 216346.69
SET: 216410.11
SET: 216374.67
SET: 216381.75
SET: 216261.31
SET: 216244.17
SET: 216302.69
SET: 216275.91
SET: 216274.78
SET: 216281.94
SET: 216290.53
SET: 216341.17
SET: 216378.55
SET: 216440.73
SET: 216450.69
SET: 216437.34
SET: 216366.27
SET: 216370.88
SET: 216372.36
SET: 216388.12
SET: 216449.20
SET: 216443.67
SET: 216340.23
SET: 216257.64
SET: 216285.16
SET: 216386.94
SET: 216433.19
SET: 216447.06
SET: 216335.25
SET: 216302.83
SET: 216245.48
SET: 216280.17
SET: 216347.50
SET: 216296.45
SET: 216275.05
SET: 216264.03
SET: 216283.41
SET: 216312.19
SET: 216362.69
SET: 216325.38
SET: 216330.17
SET: 216222.11
SET: 216160.56
SET: 216154.36
SET: 216174.45
SET: 216211.03
SET: 216236.52
SET: 216054.81
SET: 216074.69
SET: 216055.70
SET: 216034.52
SET: 216074.50
SET: 216076.22
SET: 215967.73
SET: 215911.08
SET: 215971.89
SET: 215889.30
SET: 215938.34
SET: 216004.39
SET: 215949.09
SET: 215933.06
SET: 215941.95
SET: 215927.56
SET: 215991.17
SET: 216020.22
SET: 215952.81
SET: 215947.67
SET: 215929.64
SET: 215890.05
SET: 215950.94
SET: 216006.28
SET: 215881.27
SET: 215911.98
SET: 215862.30
SET: 215898.75
SET: 215977.00
SET: 216059.27
SET: 216032.50
====== SET ======
  20000016 requests completed in 92.50 seconds
  32 parallel clients
  16 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
1.36% <= 0.2 milliseconds
6.72% <= 0.3 milliseconds
14.98% <= 0.4 milliseconds
23.05% <= 0.5 milliseconds
31.79% <= 0.6 milliseconds
40.74% <= 0.7 milliseconds
49.30% <= 0.8 milliseconds
56.94% <= 0.9 milliseconds
63.58% <= 1.0 milliseconds
69.34% <= 1.1 milliseconds
74.23% <= 1.2 milliseconds
78.25% <= 1.3 milliseconds
81.49% <= 1.4 milliseconds
84.10% <= 1.5 milliseconds
86.21% <= 1.6 milliseconds
87.94% <= 1.7 milliseconds
89.37% <= 1.8 milliseconds
90.54% <= 1.9 milliseconds
91.54% <= 2 milliseconds
96.89% <= 3 milliseconds
98.68% <= 4 milliseconds
99.34% <= 5 milliseconds
99.64% <= 6 milliseconds
99.79% <= 7 milliseconds
99.86% <= 8 milliseconds
99.90% <= 9 milliseconds
99.93% <= 10 milliseconds
99.95% <= 11 milliseconds
99.96% <= 12 milliseconds
99.97% <= 13 milliseconds
99.97% <= 14 milliseconds
99.98% <= 15 milliseconds
99.99% <= 16 milliseconds
99.99% <= 17 milliseconds
100.00% <= 18 milliseconds
100.00% <= 19 milliseconds
100.00% <= 19 milliseconds
216223.39 requests per second


