2023-11-24 03:19:58
SET: nan
SET: 528448.00
SET: 410368.00
SET: 362208.00
SET: 311433.16
SET: 297361.03
SET: 290311.59
SET: 282625.56
SET: 272747.25
SET: 260213.14
SET: 250749.80
SET: 251450.58
SET: 253140.56
SET: 252329.64
SET: 252310.67
SET: 251266.92
SET: 251066.92
SET: 250350.72
SET: 246197.14
SET: 240890.19
SET: 237469.22
SET: 234434.70
SET: 231581.39
SET: 231671.88
SET: 232154.56
SET: 232376.08
SET: 233142.67
SET: 233721.05
SET: 233235.69
SET: 233804.00
SET: 233541.38
SET: 232877.88
SET: 232576.64
SET: 232049.42
SET: 231963.31
SET: 231683.83
SET: 232007.11
SET: 231838.36
SET: 231454.59
SET: 230297.48
SET: 228533.73
SET: 226876.25
SET: 225524.61
SET: 224180.00
SET: 222938.05
SET: 221401.58
SET: 220165.48
SET: 218915.28
SET: 218094.95
SET: 217910.58
SET: 217661.94
SET: 217941.69
SET: 218252.94
SET: 218623.22
SET: 218843.56
SET: 219365.27
SET: 219284.64
SET: 219578.31
SET: 219976.02
SET: 220273.75
SET: 220519.72
SET: 220635.98
SET: 220486.97
SET: 220263.98
SET: 220322.34
SET: 220830.30
SET: 220998.47
SET: 220949.22
SET: 221281.91
SET: 220891.12
SET: 221040.59
SET: 220903.88
SET: 221006.38
SET: 221114.41
SET: 221327.56
SET: 221372.98
SET: 221524.53
SET: 221610.25
SET: 221751.84
SET: 221863.67
SET: 221763.23
SET: 221949.56
SET: 221443.33
SET: 221271.81
SET: 221271.14
SET: 221234.38
SET: 220543.55
SET: 219806.45
SET: 218838.58
SET: 217900.36
SET: 217135.45
SET: 216394.36
SET: 215860.59
SET: 215157.39
SET: 214600.48
SET: 213949.58
SET: 213340.22
SET: 212864.77
SET: 212206.44
SET: 211334.16
SET: 210593.97
SET: 210054.31
SET: 209408.91
SET: 208909.25
SET: 208290.95
SET: 207661.27
SET: 207139.11
SET: 207146.27
SET: 207250.41
SET: 207461.83
SET: 207768.25
SET: 207823.94
SET: 207924.33
SET: 208177.75
SET: 208388.02
SET: 208552.36
SET: 208713.22
SET: 208351.23
SET: 208289.72
SET: 208339.97
SET: 208378.17
SET: 208547.38
SET: 208540.53
SET: 208516.12
SET: 208450.06
SET: 208506.59
SET: 208586.59
SET: 208655.75
SET: 208780.80
SET: 208840.95
SET: 208874.34
SET: 208915.77
SET: 208870.06
SET: 208971.25
SET: 209016.05
SET: 209088.59
SET: 208947.95
SET: 208849.06
SET: 208838.28
SET: 208930.05
SET: 208926.38
SET: 209096.97
SET: 208965.36
SET: 208719.06
SET: 208712.75
SET: 208754.59
SET: 208791.05
SET: 208862.27
SET: 208994.75
SET: 208872.38
SET: 208823.92
SET: 208902.12
SET: 208854.33
SET: 208937.80
SET: 208918.42
SET: 208952.73
SET: 208913.83
SET: 208895.78
SET: 208856.50
SET: 208847.48
SET: 208815.41
SET: 208797.03
SET: 208848.98
SET: 208843.58
SET: 208783.05
SET: 208801.17
SET: 208856.86
SET: 208907.84
SET: 208673.41
SET: 208487.73
SET: 208535.47
SET: 208575.55
SET: 208651.80
SET: 208620.28
SET: 208629.03
SET: 208388.56
SET: 208373.09
SET: 208366.83
SET: 208315.17
SET: 208311.62
SET: 208255.52
SET: 208070.86
SET: 208053.42
SET: 208142.45
SET: 208153.84
SET: 208189.31
SET: 208162.33
SET: 208146.59
SET: 208178.12
SET: 208104.08
SET: 208094.78
SET: 208089.94
SET: 208066.14
SET: 208052.05
SET: 208012.86
SET: 208021.81
SET: 208062.67
SET: 207971.59
SET: 208056.06
SET: 208069.12
SET: 207775.78
SET: 207667.58
SET: 207638.34
SET: 207661.23
SET: 207646.59
SET: 207626.16
SET: 207446.14
SET: 207425.95
SET: 207412.56
SET: 207483.78
SET: 207298.73
SET: 206942.47
SET: 206572.84
SET: 206302.48
SET: 206003.00
SET: 205738.55
SET: 205471.94
SET: 205212.38
SET: 204938.89
SET: 204722.55
SET: 204531.84
SET: 204346.06
SET: 204072.19
SET: 203867.61
SET: 203590.47
SET: 203280.55
SET: 203009.58
SET: 202675.78
SET: 202301.12
SET: 202034.92
SET: 201764.91
SET: 201478.53
SET: 201184.02
SET: 200986.20
SET: 200762.59
SET: 200540.34
SET: 200368.64
SET: 200163.30
SET: 199916.67
SET: 199705.97
SET: 199506.09
SET: 199219.86
SET: 198992.84
SET: 198792.70
SET: 198505.70
SET: 198338.17
SET: 198060.42
SET: 197861.73
SET: 197614.84
SET: 197415.45
SET: 197172.08
SET: 197028.89
SET: 196826.81
SET: 196630.11
SET: 196530.41
SET: 196570.98
SET: 196603.11
SET: 196679.17
SET: 196548.72
SET: 196578.97
SET: 196615.86
SET: 196670.48
SET: 196748.14
SET: 196775.70
SET: 196613.67
SET: 196562.48
SET: 196571.67
SET: 196581.88
SET: 196570.16
SET: 196604.78
SET: 196518.78
SET: 196425.75
SET: 196419.30
SET: 196429.36
SET: 196472.86
SET: 196478.34
SET: 196504.42
SET: 196463.11
SET: 196456.39
SET: 196527.20
SET: 196559.25
SET: 196648.11
SET: 196635.48
SET: 196620.25
SET: 196639.28
SET: 196667.34
SET: 196700.12
SET: 196682.42
SET: 196692.27
SET: 196705.27
SET: 196718.94
SET: 196689.64
SET: 196744.03
SET: 196757.31
SET: 196780.31
SET: 196766.50
SET: 196670.55
SET: 196701.34
SET: 196717.56
SET: 196720.09
SET: 196728.45
SET: 196765.67
SET: 196635.94
SET: 196659.70
SET: 196665.83
SET: 196651.69
SET: 196692.11
SET: 196735.08
SET: 196636.62
SET: 196627.94
SET: 196697.62
SET: 196777.88
SET: 196821.62
SET: 196893.19
SET: 196845.83
SET: 196872.02
SET: 196929.59
SET: 196985.39
SET: 197015.08
SET: 197039.48
SET: 197034.83
SET: 197089.91
SET: 197107.78
SET: 197081.38
SET: 197078.73
SET: 197092.34
SET: 197099.92
SET: 197075.53
SET: 197092.05
SET: 197108.08
SET: 196962.52
SET: 196949.95
SET: 196989.48
SET: 196981.52
SET: 197030.39
SET: 197035.81
SET: 196997.62
SET: 196991.38
SET: 197046.55
SET: 197058.88
SET: 197036.11
SET: 197071.06
SET: 197072.42
SET: 197070.14
SET: 197117.23
SET: 197119.09
SET: 197139.25
SET: 197136.44
SET: 197124.16
SET: 197113.33
SET: 197121.12
SET: 197082.48
SET: 197063.23
SET: 197050.44
SET: 197058.58
SET: 197072.17
SET: 197127.30
SET: 197179.19
SET: 197187.69
SET: 197220.66
SET: 197186.25
SET: 197180.92
SET: 197204.97
SET: 197225.27
SET: 197218.03
SET: 197219.88
SET: 197226.77
SET: 197189.08
SET: 197200.45
SET: 197179.78
SET: 197144.34
SET: 197132.30
SET: 197109.25
SET: 197089.81
SET: 197059.97
SET: 197052.56
SET: 197056.06
SET: 197004.73
SET: 197019.00
SET: 197037.91
SET: 197062.88
SET: 197073.81
SET: 197083.47
SET: 197087.83
SET: 197118.23
SET: 197128.03
SET: 197105.39
SET: 197072.88
SET: 197108.27
SET: 197102.72
SET: 197107.34
SET: 197117.61
SET: 197072.58
SET: 197043.50
SET: 197030.70
SET: 196991.58
SET: 196989.56
SET: 196989.56
SET: 196944.59
SET: 196890.69
SET: 196909.92
SET: 196895.84
SET: 196909.53
SET: 196914.34
SET: 196890.62
SET: 196920.25
====== SET ======
  20000008 requests completed in 101.50 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.45% <= 0.1 milliseconds
13.06% <= 0.2 milliseconds
30.04% <= 0.3 milliseconds
46.04% <= 0.4 milliseconds
59.86% <= 0.5 milliseconds
69.82% <= 0.6 milliseconds
77.17% <= 0.7 milliseconds
82.48% <= 0.8 milliseconds
86.26% <= 0.9 milliseconds
88.98% <= 1.0 milliseconds
90.98% <= 1.1 milliseconds
92.49% <= 1.2 milliseconds
93.69% <= 1.3 milliseconds
94.65% <= 1.4 milliseconds
95.41% <= 1.5 milliseconds
96.02% <= 1.6 milliseconds
96.53% <= 1.7 milliseconds
96.95% <= 1.8 milliseconds
97.31% <= 1.9 milliseconds
97.64% <= 2 milliseconds
99.38% <= 3 milliseconds
99.79% <= 4 milliseconds
99.91% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 15 milliseconds
100.00% <= 15 milliseconds
197040.53 requests per second


