2023-11-24 03:19:59
SET: nan
SET: 426336.00
SET: 341600.00
SET: 317173.34
SET: 286441.53
SET: 268195.03
SET: 261926.70
SET: 256758.42
SET: 255744.14
SET: 247363.84
SET: 238931.64
SET: 232540.91
SET: 234916.11
SET: 236951.45
SET: 237079.91
SET: 238271.72
SET: 238747.23
SET: 238194.62
SET: 238090.58
SET: 234253.25
SET: 230215.81
SET: 228423.28
SET: 225209.30
SET: 223364.72
SET: 225524.06
SET: 226066.83
SET: 226767.09
SET: 227040.11
SET: 228035.39
SET: 229226.02
SET: 230026.11
SET: 230471.38
SET: 229932.56
SET: 229069.78
SET: 228783.45
SET: 228385.58
SET: 228291.38
SET: 228535.88
SET: 228837.38
SET: 228095.12
SET: 226221.08
SET: 224670.06
SET: 223272.81
SET: 221878.78
SET: 220769.05
SET: 219162.77
SET: 218229.11
SET: 217112.62
SET: 216329.84
SET: 216238.91
SET: 216780.44
SET: 215962.38
SET: 215989.55
SET: 216383.23
SET: 216741.61
SET: 217080.55
SET: 217511.94
SET: 217774.42
SET: 217966.64
SET: 218111.14
SET: 218677.33
SET: 218509.19
SET: 218955.25
SET: 219200.11
SET: 218892.73
SET: 218649.44
SET: 218659.23
SET: 218628.16
SET: 218789.44
SET: 219298.83
SET: 219340.83
SET: 218868.95
SET: 218924.64
SET: 219143.56
SET: 219544.17
SET: 219862.03
SET: 219968.22
SET: 220000.20
SET: 220070.75
SET: 220255.70
SET: 220383.27
SET: 220648.84
SET: 220807.50
SET: 220828.98
SET: 220232.67
SET: 219958.61
SET: 219464.77
SET: 218668.38
SET: 217896.95
SET: 216996.38
SET: 216302.03
SET: 215644.38
SET: 215010.73
SET: 214412.73
SET: 213782.53
SET: 213316.06
SET: 212772.02
SET: 212208.20
SET: 211649.36
SET: 211210.02
SET: 210735.64
SET: 209813.02
SET: 209176.05
SET: 208782.11
SET: 208262.61
SET: 207816.94
SET: 207223.11
SET: 207140.69
SET: 207460.47
SET: 207679.30
SET: 208021.22
SET: 208038.61
SET: 208113.64
SET: 208285.00
SET: 208373.41
SET: 208590.14
SET: 208796.80
SET: 208831.27
SET: 208848.08
SET: 208440.77
SET: 208271.31
SET: 208399.39
SET: 208626.81
SET: 208680.48
SET: 208859.69
SET: 208637.62
SET: 208587.38
SET: 208598.88
SET: 208733.64
SET: 208872.25
SET: 208946.50
SET: 209068.67
SET: 208991.05
SET: 209156.50
SET: 209294.91
SET: 209300.72
SET: 209425.89
SET: 209562.80
SET: 209485.89
SET: 209380.41
SET: 209353.41
SET: 209363.55
SET: 209446.98
SET: 209604.39
SET: 209648.34
SET: 209350.66
SET: 209259.05
SET: 209308.80
SET: 209437.41
SET: 209464.89
SET: 209621.89
SET: 209407.80
SET: 209435.78
SET: 209424.73
SET: 209517.67
SET: 209581.14
SET: 209628.62
SET: 209626.20
SET: 209668.16
SET: 209756.44
SET: 209805.84
SET: 209857.02
SET: 209886.36
SET: 209961.33
SET: 210001.45
SET: 210035.08
SET: 209969.64
SET: 209904.98
SET: 209947.53
SET: 209970.28
SET: 209808.73
SET: 209685.73
SET: 209693.42
SET: 209789.58
SET: 209816.62
SET: 209879.55
SET: 209807.58
SET: 209585.94
SET: 209520.42
SET: 209460.11
SET: 209499.27
SET: 209513.27
SET: 209572.97
SET: 209349.38
SET: 209302.94
SET: 209267.89
SET: 209221.86
SET: 209210.20
SET: 209234.05
SET: 209201.12
SET: 209209.38
SET: 209153.14
SET: 209165.64
SET: 209177.17
SET: 209140.11
SET: 209155.91
SET: 209111.17
SET: 209052.61
SET: 209057.16
SET: 209056.02
SET: 209100.64
SET: 209122.86
SET: 208858.56
SET: 208792.56
SET: 208759.67
SET: 208756.59
SET: 208724.52
SET: 208733.06
SET: 208536.86
SET: 208279.77
SET: 207946.69
SET: 207654.98
SET: 207375.83
SET: 207035.47
SET: 206735.36
SET: 206470.77
SET: 206176.19
SET: 205903.64
SET: 205723.53
SET: 205475.55
SET: 205139.53
SET: 204920.17
SET: 204683.47
SET: 204469.69
SET: 204267.69
SET: 204029.50
SET: 203750.97
SET: 203582.41
SET: 203388.11
SET: 203165.06
SET: 202865.92
SET: 202624.20
SET: 202396.44
SET: 202155.38
SET: 201920.34
SET: 201565.48
SET: 201359.34
SET: 201131.58
SET: 200947.00
SET: 200724.20
SET: 200377.19
SET: 200146.14
SET: 199910.91
SET: 199712.11
SET: 199470.77
SET: 199254.48
SET: 199009.42
SET: 198837.30
SET: 198649.17
SET: 198448.03
SET: 198240.81
SET: 197981.97
SET: 197760.34
SET: 197722.05
SET: 197730.38
SET: 197753.58
SET: 197831.69
SET: 197873.84
SET: 197899.56
SET: 197983.27
SET: 198025.70
SET: 198031.92
SET: 198072.03
SET: 198118.89
SET: 197969.22
SET: 198023.95
SET: 198021.03
SET: 198073.02
SET: 198116.12
SET: 198190.92
SET: 198019.78
SET: 197979.05
SET: 198031.52
SET: 198097.78
SET: 198152.94
SET: 198192.56
SET: 198096.08
SET: 198079.62
SET: 198081.69
SET: 198093.03
SET: 198082.25
SET: 198076.33
SET: 198015.42
SET: 198004.00
SET: 197983.22
SET: 197976.48
SET: 198010.28
SET: 198056.22
SET: 198080.30
SET: 198125.80
SET: 198106.77
SET: 198152.84
SET: 198163.02
SET: 198191.11
SET: 198217.94
SET: 198246.64
SET: 198283.91
SET: 198301.20
SET: 198385.16
SET: 198403.83
SET: 198429.52
SET: 198371.92
SET: 198284.09
SET: 198267.58
SET: 198274.44
SET: 198283.03
SET: 198259.78
SET: 198250.12
SET: 198120.48
SET: 198123.34
SET: 198117.64
SET: 198137.59
SET: 198137.11
SET: 198168.50
SET: 198040.77
SET: 198067.70
SET: 198177.89
SET: 198209.47
SET: 198236.66
SET: 198236.56
SET: 198186.52
SET: 198229.33
SET: 198258.17
SET: 198302.69
SET: 198328.56
SET: 198386.75
SET: 198425.84
SET: 198416.28
SET: 198442.95
SET: 198512.14
SET: 198554.36
SET: 198566.17
SET: 198545.34
SET: 198523.48
SET: 198543.52
SET: 198623.48
SET: 198697.47
SET: 198719.66
SET: 198756.38
SET: 198739.19
SET: 198746.66
SET: 198764.78
SET: 198780.08
SET: 198811.52
SET: 198816.56
SET: 198785.77
SET: 198805.83
SET: 198846.14
SET: 198822.53
SET: 198829.84
SET: 198839.67
SET: 198818.64
SET: 198841.08
SET: 198823.39
SET: 198837.09
SET: 198858.39
SET: 198873.19
SET: 198902.25
SET: 198931.05
SET: 199005.58
SET: 199035.44
SET: 199019.05
SET: 199023.17
SET: 199040.23
SET: 199012.55
SET: 199027.80
SET: 199041.30
SET: 198969.81
SET: 198965.92
SET: 198999.75
SET: 198953.17
SET: 198934.53
SET: 198936.70
SET: 198893.94
SET: 198870.30
SET: 198870.33
SET: 198882.17
SET: 198890.06
SET: 198875.05
SET: 198834.38
SET: 198823.22
SET: 198793.81
SET: 198797.64
SET: 198827.59
SET: 198825.14
SET: 198850.72
SET: 198867.11
SET: 198918.64
SET: 198908.91
SET: 198901.27
SET: 198898.75
SET: 198913.27
SET: 198899.30
SET: 198878.91
SET: 198853.91
SET: 198826.75
SET: 198791.11
SET: 198791.97
SET: 198782.22
SET: 198792.73
SET: 198791.52
SET: 198787.27
SET: 198807.50
====== SET ======
  20000000 requests completed in 100.60 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.70% <= 0.1 milliseconds
13.95% <= 0.2 milliseconds
31.14% <= 0.3 milliseconds
47.06% <= 0.4 milliseconds
60.37% <= 0.5 milliseconds
70.03% <= 0.6 milliseconds
77.23% <= 0.7 milliseconds
82.52% <= 0.8 milliseconds
86.27% <= 0.9 milliseconds
89.01% <= 1.0 milliseconds
91.02% <= 1.1 milliseconds
92.52% <= 1.2 milliseconds
93.71% <= 1.3 milliseconds
94.66% <= 1.4 milliseconds
95.44% <= 1.5 milliseconds
96.07% <= 1.6 milliseconds
96.58% <= 1.7 milliseconds
97.01% <= 1.8 milliseconds
97.37% <= 1.9 milliseconds
97.70% <= 2 milliseconds
99.37% <= 3 milliseconds
99.78% <= 4 milliseconds
99.92% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 14 milliseconds
198817.03 requests per second


