2023-11-24 03:19:59
SET: 0.00
SET: 405577.72
SET: 318514.97
SET: 302444.75
SET: 279112.88
SET: 258845.72
SET: 257513.66
SET: 258416.89
SET: 256163.92
SET: 249634.84
SET: 240588.58
SET: 235678.67
SET: 237352.89
SET: 238961.56
SET: 240978.02
SET: 241657.16
SET: 241111.72
SET: 240956.02
SET: 239905.80
SET: 235037.69
SET: 230633.88
SET: 227915.45
SET: 225003.45
SET: 223141.88
SET: 224433.19
SET: 224799.75
SET: 225150.42
SET: 224898.11
SET: 225940.02
SET: 226914.52
SET: 227559.59
SET: 228049.55
SET: 227202.20
SET: 227299.08
SET: 227272.25
SET: 227406.38
SET: 227726.75
SET: 227961.52
SET: 228004.62
SET: 227585.00
SET: 225775.30
SET: 224271.52
SET: 222878.25
SET: 221436.72
SET: 220028.72
SET: 218408.17
SET: 216862.23
SET: 215603.23
SET: 214611.91
SET: 213870.58
SET: 214407.03
SET: 214836.53
SET: 215007.77
SET: 215065.70
SET: 215309.30
SET: 215406.17
SET: 215824.62
SET: 215956.78
SET: 216135.67
SET: 216624.06
SET: 216781.61
SET: 217138.52
SET: 217385.36
SET: 217747.77
SET: 217433.56
SET: 217649.72
SET: 217812.31
SET: 218121.89
SET: 218100.09
SET: 218164.72
SET: 218213.33
SET: 218041.58
SET: 218249.61
SET: 218252.55
SET: 218622.44
SET: 218712.03
SET: 219000.91
SET: 219054.17
SET: 219111.42
SET: 219195.56
SET: 219265.19
SET: 219317.31
SET: 219700.17
SET: 219301.77
SET: 218850.98
SET: 218869.02
SET: 218968.84
SET: 218304.83
SET: 217576.66
SET: 216830.69
SET: 216295.03
SET: 215591.48
SET: 214956.44
SET: 214336.16
SET: 213707.23
SET: 213100.98
SET: 212598.00
SET: 212049.97
SET: 211478.70
SET: 210846.44
SET: 210289.83
SET: 209691.34
SET: 209082.95
SET: 208483.27
SET: 207998.78
SET: 207492.73
SET: 207049.66
SET: 206924.59
SET: 207093.31
SET: 207263.34
SET: 207491.06
SET: 207702.86
SET: 207855.77
SET: 207924.12
SET: 207995.23
SET: 208064.55
SET: 208268.62
SET: 208568.73
SET: 208732.28
SET: 208602.19
SET: 208657.66
SET: 208639.80
SET: 208792.67
SET: 208843.45
SET: 208957.66
SET: 209004.98
SET: 208635.73
SET: 208600.25
SET: 208723.28
SET: 208690.66
SET: 208869.66
SET: 208971.92
SET: 208958.02
SET: 208937.59
SET: 208993.14
SET: 208931.77
SET: 208862.11
SET: 209024.17
SET: 209129.89
SET: 209067.91
SET: 209138.66
SET: 209171.66
SET: 209167.91
SET: 209219.92
SET: 209296.98
SET: 209379.83
SET: 209418.36
SET: 209565.62
SET: 209646.92
SET: 209740.22
SET: 209813.08
SET: 209645.77
SET: 209544.86
SET: 209560.39
SET: 209587.03
SET: 209676.89
SET: 209752.28
SET: 209826.91
SET: 209454.75
SET: 209378.39
SET: 209385.17
SET: 209391.84
SET: 209476.47
SET: 209475.45
SET: 209327.58
SET: 209293.75
SET: 209266.11
SET: 209310.44
SET: 209293.50
SET: 209344.91
SET: 209428.64
SET: 209438.62
SET: 209524.75
SET: 209486.16
SET: 209576.36
SET: 209626.77
SET: 209547.17
SET: 209573.28
SET: 209567.50
SET: 209618.44
SET: 209604.83
SET: 209622.48
SET: 209643.09
SET: 209498.47
SET: 209368.97
SET: 209314.89
SET: 209306.11
SET: 209395.61
SET: 209472.92
SET: 209281.48
SET: 209151.66
SET: 209023.03
SET: 209067.19
SET: 209137.41
SET: 209077.95
SET: 209089.50
SET: 208961.52
SET: 208961.34
SET: 208977.02
SET: 208910.05
SET: 208924.36
SET: 208943.64
SET: 208909.20
SET: 208854.45
SET: 208880.38
SET: 208869.38
SET: 208823.84
SET: 208837.33
SET: 208849.75
SET: 208542.16
SET: 208248.61
SET: 207971.05
SET: 207663.20
SET: 207356.77
SET: 206946.11
SET: 206677.70
SET: 206408.98
SET: 206065.19
SET: 205797.78
SET: 205514.84
SET: 205173.78
SET: 204896.81
SET: 204710.52
SET: 204485.30
SET: 204175.98
SET: 203825.28
SET: 203548.33
SET: 203306.55
SET: 203068.86
SET: 202854.20
SET: 202572.14
SET: 202298.22
SET: 202037.95
SET: 201796.25
SET: 201572.61
SET: 201329.64
SET: 201095.20
SET: 200866.02
SET: 200678.12
SET: 200457.02
SET: 200221.77
SET: 200029.06
SET: 199842.45
SET: 199631.98
SET: 199458.23
SET: 199236.28
SET: 198984.55
SET: 198703.64
SET: 198475.03
SET: 198299.66
SET: 198121.83
SET: 197917.91
SET: 197618.50
SET: 197533.72
SET: 197483.86
SET: 197541.64
SET: 197615.08
SET: 197648.25
SET: 197506.11
SET: 197456.34
SET: 197457.50
SET: 197522.88
SET: 197539.30
SET: 197642.17
SET: 197564.83
SET: 197563.39
SET: 197569.91
SET: 197534.28
SET: 197588.34
SET: 197624.30
SET: 197660.11
SET: 197635.84
SET: 197663.50
SET: 197745.28
SET: 197800.78
SET: 197822.27
SET: 197872.33
SET: 197897.44
SET: 197940.09
SET: 197960.77
SET: 197992.05
SET: 198006.05
SET: 198095.22
SET: 197980.12
SET: 197916.39
SET: 197883.52
SET: 197928.38
SET: 197927.34
SET: 197947.75
SET: 197899.31
SET: 197813.91
SET: 197826.94
SET: 197883.12
SET: 197893.72
SET: 197898.16
SET: 197887.08
SET: 197799.98
SET: 197824.41
SET: 197841.14
SET: 197865.38
SET: 197935.70
SET: 197990.48
SET: 197888.58
SET: 197851.00
SET: 197876.89
SET: 197943.62
SET: 197916.80
SET: 197963.58
SET: 197924.81
SET: 197954.70
SET: 197982.45
SET: 198022.98
SET: 198062.73
SET: 198093.03
SET: 198151.97
SET: 198182.11
SET: 198185.33
SET: 198240.92
SET: 198233.47
SET: 198260.77
SET: 198304.78
SET: 198294.31
SET: 198277.06
SET: 198294.08
SET: 198317.61
SET: 198359.39
SET: 198368.86
SET: 198301.06
SET: 198266.06
SET: 198285.55
SET: 198299.17
SET: 198324.12
SET: 198337.06
SET: 198308.08
SET: 198289.67
SET: 198318.17
SET: 198335.17
SET: 198358.61
SET: 198403.59
SET: 198427.27
SET: 198344.88
SET: 198318.20
SET: 198309.38
SET: 198320.92
SET: 198360.20
SET: 198355.31
SET: 198348.97
SET: 198307.17
SET: 198278.12
SET: 198299.38
SET: 198313.66
SET: 198345.91
SET: 198367.05
SET: 198360.98
SET: 198416.03
SET: 198447.53
SET: 198457.28
SET: 198504.16
SET: 198511.83
SET: 198459.22
SET: 198488.28
SET: 198481.66
SET: 198396.61
SET: 198352.39
SET: 198381.78
SET: 198406.45
SET: 198382.58
SET: 198434.56
SET: 198394.23
SET: 198403.88
SET: 198437.48
SET: 198434.81
SET: 198456.56
SET: 198468.92
SET: 198457.03
SET: 198461.39
SET: 198462.94
SET: 198432.56
SET: 198397.61
SET: 198369.02
SET: 198385.52
SET: 198350.95
SET: 198364.16
SET: 198367.33
SET: 198331.27
SET: 198305.28
SET: 198277.91
SET: 198272.44
SET: 198322.06
SET: 198328.17
SET: 198346.16
SET: 198339.92
SET: 198345.61
SET: 198358.69
SET: 198383.31
SET: 198359.16
SET: 198341.42
SET: 198323.84
SET: 198317.20
SET: 198263.94
SET: 198216.06
SET: 198200.58
SET: 198184.77
SET: 198114.20
====== SET ======
  20000000 requests completed in 100.95 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.51% <= 0.1 milliseconds
13.48% <= 0.2 milliseconds
30.77% <= 0.3 milliseconds
46.80% <= 0.4 milliseconds
60.41% <= 0.5 milliseconds
70.21% <= 0.6 milliseconds
77.43% <= 0.7 milliseconds
82.69% <= 0.8 milliseconds
86.43% <= 0.9 milliseconds
89.12% <= 1.0 milliseconds
91.09% <= 1.1 milliseconds
92.60% <= 1.2 milliseconds
93.76% <= 1.3 milliseconds
94.70% <= 1.4 milliseconds
95.46% <= 1.5 milliseconds
96.08% <= 1.6 milliseconds
96.58% <= 1.7 milliseconds
96.99% <= 1.8 milliseconds
97.35% <= 1.9 milliseconds
97.67% <= 2 milliseconds
99.32% <= 3 milliseconds
99.78% <= 4 milliseconds
99.92% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
99.99% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 12 milliseconds
100.00% <= 13 milliseconds
100.00% <= 14 milliseconds
100.00% <= 15 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 26 milliseconds
100.00% <= 26 milliseconds
198117.89 requests per second


