2023-11-24 03:19:59
SET: 40000.00
SET: 382629.50
SET: 311217.56
SET: 294444.75
SET: 275276.72
SET: 256012.78
SET: 255232.50
SET: 250659.05
SET: 250426.80
SET: 245103.52
SET: 237850.47
SET: 232674.67
SET: 232623.80
SET: 234330.36
SET: 235966.88
SET: 237304.19
SET: 237774.56
SET: 237848.98
SET: 239004.67
SET: 234364.14
SET: 229702.86
SET: 226893.17
SET: 224206.52
SET: 221818.81
SET: 223164.14
SET: 224240.61
SET: 224285.50
SET: 224996.59
SET: 225690.05
SET: 226457.05
SET: 227609.12
SET: 227576.31
SET: 226562.67
SET: 226563.56
SET: 226914.47
SET: 227215.17
SET: 227680.47
SET: 227873.30
SET: 227544.03
SET: 227238.22
SET: 225536.64
SET: 223880.59
SET: 222696.62
SET: 221174.11
SET: 219912.02
SET: 218683.97
SET: 217898.11
SET: 216901.98
SET: 215944.67
SET: 215836.11
SET: 215474.05
SET: 215387.12
SET: 216010.45
SET: 216623.55
SET: 216972.81
SET: 217358.05
SET: 217691.39
SET: 217888.45
SET: 218133.89
SET: 218562.92
SET: 218633.78
SET: 218610.55
SET: 218759.36
SET: 218383.50
SET: 218383.77
SET: 218586.78
SET: 218881.56
SET: 219158.47
SET: 219360.91
SET: 219437.39
SET: 218914.19
SET: 218936.69
SET: 219042.98
SET: 219020.16
SET: 219200.69
SET: 219383.66
SET: 219386.72
SET: 219256.33
SET: 219318.77
SET: 219444.02
SET: 219407.38
SET: 219372.03
SET: 219417.53
SET: 218944.69
SET: 218806.81
SET: 218889.34
SET: 218857.98
SET: 218084.94
SET: 217204.03
SET: 216281.45
SET: 215466.45
SET: 214638.06
SET: 213971.31
SET: 213251.45
SET: 212579.59
SET: 211862.78
SET: 211354.02
SET: 210862.67
SET: 210482.88
SET: 209964.05
SET: 209106.58
SET: 208442.81
SET: 207768.53
SET: 207191.20
SET: 206739.42
SET: 206286.78
SET: 205707.47
SET: 205177.56
SET: 205312.89
SET: 205618.39
SET: 205834.59
SET: 205934.88
SET: 206102.97
SET: 206386.41
SET: 206594.17
SET: 206718.22
SET: 206965.88
SET: 207155.44
SET: 207040.05
SET: 206716.12
SET: 206608.73
SET: 206516.86
SET: 206735.89
SET: 206866.84
SET: 206962.91
SET: 206849.39
SET: 206798.34
SET: 206819.64
SET: 206952.84
SET: 207079.73
SET: 207228.06
SET: 207310.64
SET: 207295.02
SET: 207454.97
SET: 207554.05
SET: 207731.28
SET: 207851.80
SET: 207981.55
SET: 208077.88
SET: 208211.95
SET: 208308.02
SET: 208373.89
SET: 208420.59
SET: 208406.47
SET: 208342.33
SET: 208161.27
SET: 208209.69
SET: 208296.17
SET: 208458.23
SET: 208486.08
SET: 208482.41
SET: 208098.72
SET: 207992.20
SET: 208018.19
SET: 207997.50
SET: 208064.19
SET: 208108.67
SET: 208050.12
SET: 207961.52
SET: 207940.64
SET: 208017.39
SET: 208091.20
SET: 208192.92
SET: 208127.77
SET: 208170.09
SET: 208230.91
SET: 208256.89
SET: 208319.33
SET: 208406.16
SET: 208462.62
SET: 208504.31
SET: 208490.89
SET: 208453.81
SET: 208453.22
SET: 208412.38
SET: 208455.55
SET: 208210.12
SET: 208088.56
SET: 208097.23
SET: 208147.08
SET: 208150.00
SET: 208170.56
SET: 208034.98
SET: 207893.19
SET: 207855.00
SET: 207878.78
SET: 207870.66
SET: 207809.59
SET: 207809.41
SET: 207716.81
SET: 207715.28
SET: 207677.23
SET: 207714.58
SET: 207722.52
SET: 207718.02
SET: 207675.81
SET: 207637.97
SET: 207688.36
SET: 207719.67
SET: 207637.48
SET: 207581.08
SET: 207557.22
SET: 207576.20
SET: 207524.39
SET: 207535.03
SET: 207610.80
SET: 207633.34
SET: 207615.80
SET: 207385.86
SET: 207358.03
SET: 207240.73
SET: 206891.69
SET: 206581.84
SET: 206189.89
SET: 205942.27
SET: 205642.03
SET: 205371.55
SET: 205127.73
SET: 204829.20
SET: 204559.72
SET: 204239.47
SET: 203975.11
SET: 203706.19
SET: 203438.98
SET: 203220.28
SET: 202949.64
SET: 202757.67
SET: 202537.25
SET: 202339.95
SET: 202074.94
SET: 201863.42
SET: 201696.23
SET: 201458.67
SET: 201279.28
SET: 201012.30
SET: 200790.73
SET: 200611.05
SET: 200384.95
SET: 200188.70
SET: 199964.53
SET: 199705.30
SET: 199454.06
SET: 199235.30
SET: 199023.59
SET: 198810.62
SET: 198500.92
SET: 198265.67
SET: 198085.16
SET: 197911.25
SET: 197767.27
SET: 197588.61
SET: 197347.14
SET: 197151.89
SET: 196981.06
SET: 196891.31
SET: 196944.39
SET: 196981.58
SET: 196972.16
SET: 197030.64
SET: 197084.59
SET: 197093.83
SET: 197203.50
SET: 197271.08
SET: 197316.50
SET: 197333.20
SET: 197387.08
SET: 197386.20
SET: 197447.62
SET: 197456.31
SET: 197333.52
SET: 197337.23
SET: 197287.33
SET: 197351.16
SET: 197333.91
SET: 197361.03
SET: 197327.00
SET: 197262.05
SET: 197278.16
SET: 197281.42
SET: 197320.30
SET: 197400.23
SET: 197370.78
SET: 197273.69
SET: 197282.53
SET: 197281.06
SET: 197276.67
SET: 197308.67
SET: 197350.48
SET: 197254.94
SET: 197225.03
SET: 197238.89
SET: 197268.17
SET: 197315.98
SET: 197322.84
SET: 197288.53
SET: 197330.25
SET: 197397.84
SET: 197429.77
SET: 197444.94
SET: 197465.56
SET: 197501.42
SET: 197536.61
SET: 197560.89
SET: 197598.61
SET: 197641.66
SET: 197606.17
SET: 197647.77
SET: 197470.36
SET: 197451.66
SET: 197490.66
SET: 197571.39
SET: 197667.88
SET: 197697.80
SET: 197649.66
SET: 197637.47
SET: 197665.59
SET: 197680.16
SET: 197688.28
SET: 197677.44
SET: 197626.27
SET: 197636.58
SET: 197631.78
SET: 197605.16
SET: 197650.39
SET: 197696.34
SET: 197705.05
SET: 197690.78
SET: 197682.69
SET: 197671.22
SET: 197634.62
SET: 197609.12
SET: 197593.16
SET: 197605.70
SET: 197629.50
SET: 197639.19
SET: 197639.73
SET: 197631.05
SET: 197643.39
SET: 197702.23
SET: 197710.14
SET: 197725.81
SET: 197719.81
SET: 197761.66
SET: 197825.81
SET: 197816.14
SET: 197835.36
SET: 197821.00
SET: 197823.41
SET: 197767.69
SET: 197766.30
SET: 197781.62
SET: 197726.34
SET: 197710.98
SET: 197688.11
SET: 197681.70
SET: 197687.70
SET: 197732.73
SET: 197763.64
SET: 197796.16
SET: 197785.72
SET: 197821.11
SET: 197822.98
SET: 197847.38
SET: 197827.75
SET: 197842.77
SET: 197863.58
SET: 197871.77
SET: 197859.17
SET: 197883.33
SET: 197912.22
SET: 197858.38
SET: 197808.61
SET: 197804.44
SET: 197744.11
SET: 197738.59
SET: 197777.41
SET: 197726.61
SET: 197728.91
SET: 197738.97
SET: 197753.89
SET: 197733.36
SET: 197753.50
SET: 197827.88
SET: 197807.98
SET: 197795.38
SET: 197764.53
SET: 197780.19
SET: 197794.84
SET: 197795.91
SET: 197749.27
SET: 197755.05
SET: 197739.75
SET: 197719.81
SET: 197712.42
SET: 197744.12
SET: 197718.09
SET: 197669.64
SET: 197666.73
SET: 197651.61
SET: 197693.33
SET: 197719.89
SET: 197716.72
SET: 197749.86
SET: 197769.73
SET: 197747.22
====== SET ======
  20000000 requests completed in 101.13 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.52% <= 0.1 milliseconds
13.66% <= 0.2 milliseconds
30.82% <= 0.3 milliseconds
46.63% <= 0.4 milliseconds
60.17% <= 0.5 milliseconds
69.94% <= 0.6 milliseconds
77.18% <= 0.7 milliseconds
82.48% <= 0.8 milliseconds
86.27% <= 0.9 milliseconds
89.01% <= 1.0 milliseconds
91.01% <= 1.1 milliseconds
92.53% <= 1.2 milliseconds
93.70% <= 1.3 milliseconds
94.66% <= 1.4 milliseconds
95.43% <= 1.5 milliseconds
96.04% <= 1.6 milliseconds
96.55% <= 1.7 milliseconds
96.97% <= 1.8 milliseconds
97.33% <= 1.9 milliseconds
97.63% <= 2 milliseconds
99.33% <= 3 milliseconds
99.79% <= 4 milliseconds
99.92% <= 5 milliseconds
99.96% <= 6 milliseconds
99.98% <= 7 milliseconds
99.99% <= 8 milliseconds
99.99% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 11 milliseconds
100.00% <= 13 milliseconds
100.00% <= 16 milliseconds
100.00% <= 16 milliseconds
197765.27 requests per second


