2023-11-24 03:19:59
SET: nan
SET: 298412.69
SET: 267346.62
SET: 250553.20
SET: 248766.47
SET: 235041.53
SET: 234386.16
SET: 234123.30
SET: 235188.80
SET: 236633.81
SET: 228293.94
SET: 223148.88
SET: 223062.59
SET: 225846.34
SET: 227168.95
SET: 229106.02
SET: 230083.91
SET: 231497.88
SET: 232950.25
SET: 230891.03
SET: 226789.77
SET: 223875.16
SET: 221158.94
SET: 218714.86
SET: 219189.34
SET: 219839.48
SET: 221439.50
SET: 222488.81
SET: 223978.30
SET: 224828.11
SET: 225703.39
SET: 225695.94
SET: 225066.33
SET: 225042.77
SET: 225194.97
SET: 225568.22
SET: 225821.30
SET: 225628.69
SET: 225808.61
SET: 225659.02
SET: 224745.66
SET: 223350.48
SET: 221694.30
SET: 220320.00
SET: 219061.84
SET: 217970.36
SET: 216717.11
SET: 215529.38
SET: 214560.91
SET: 213458.38
SET: 212812.28
SET: 212844.02
SET: 213824.95
SET: 214577.70
SET: 215178.28
SET: 215444.89
SET: 215357.75
SET: 215704.98
SET: 216157.66
SET: 216293.17
SET: 216568.58
SET: 216907.83
SET: 217346.48
SET: 217174.41
SET: 216965.70
SET: 217224.86
SET: 217420.94
SET: 217477.06
SET: 217603.94
SET: 217730.41
SET: 217327.92
SET: 217481.72
SET: 217443.39
SET: 217462.19
SET: 217452.38
SET: 217611.67
SET: 217590.91
SET: 217674.50
SET: 217933.47
SET: 218069.72
SET: 217978.70
SET: 218117.75
SET: 218122.75
SET: 218210.47
SET: 218251.17
SET: 218150.20
SET: 218252.03
SET: 217639.84
SET: 216949.25
SET: 216265.91
SET: 215629.39
SET: 215071.17
SET: 214437.83
SET: 213963.20
SET: 213353.41
SET: 212591.48
SET: 212038.64
SET: 211419.72
SET: 210856.17
SET: 210218.06
SET: 209369.11
SET: 208744.12
SET: 208216.66
SET: 207613.44
SET: 207248.44
SET: 206640.02
SET: 206116.69
SET: 205838.75
SET: 206190.41
SET: 206427.64
SET: 206760.56
SET: 206837.70
SET: 206976.02
SET: 207266.11
SET: 207399.06
SET: 207494.95
SET: 207571.81
SET: 207667.59
SET: 207063.55
SET: 207003.69
SET: 207072.22
SET: 207232.92
SET: 207450.52
SET: 207628.67
SET: 207532.36
SET: 207621.83
SET: 207609.08
SET: 207629.03
SET: 207710.16
SET: 207826.70
SET: 207809.33
SET: 207824.70
SET: 207932.16
SET: 207996.41
SET: 208061.83
SET: 208194.52
SET: 208207.88
SET: 208015.62
SET: 208139.75
SET: 208133.45
SET: 208041.11
SET: 208133.83
SET: 208146.62
SET: 207933.56
SET: 207756.12
SET: 207763.77
SET: 207719.59
SET: 207822.45
SET: 207858.23
SET: 207784.27
SET: 207670.78
SET: 207633.12
SET: 207670.69
SET: 207679.73
SET: 207750.77
SET: 207817.38
SET: 207787.58
SET: 207777.53
SET: 207835.22
SET: 207866.22
SET: 207920.03
SET: 208037.55
SET: 208080.36
SET: 208147.36
SET: 208133.98
SET: 208256.08
SET: 208320.42
SET: 208361.78
SET: 208335.08
SET: 208180.17
SET: 208176.11
SET: 208160.67
SET: 208195.44
SET: 208183.22
SET: 208131.06
SET: 207840.98
SET: 207763.02
SET: 207828.33
SET: 207784.72
SET: 207870.09
SET: 207809.70
SET: 207671.50
SET: 207629.02
SET: 207659.88
SET: 207750.56
SET: 207739.11
SET: 207754.09
SET: 207714.88
SET: 207694.44
SET: 207727.70
SET: 207667.86
SET: 207757.19
SET: 207794.94
SET: 207768.16
SET: 207822.77
SET: 207786.94
SET: 207830.78
SET: 207832.12
SET: 207756.89
SET: 207756.67
SET: 207514.95
SET: 207432.72
SET: 207379.62
SET: 207304.38
SET: 207293.52
SET: 207264.66
SET: 207033.78
SET: 206880.98
SET: 206835.00
SET: 206790.84
SET: 206738.27
SET: 206446.81
SET: 206112.25
SET: 205768.23
SET: 205500.83
SET: 205221.02
SET: 204984.08
SET: 204749.92
SET: 204452.91
SET: 204176.50
SET: 203915.61
SET: 203728.38
SET: 203488.28
SET: 203266.41
SET: 203031.67
SET: 202800.00
SET: 202534.59
SET: 202321.16
SET: 202039.69
SET: 201793.78
SET: 201568.52
SET: 201361.67
SET: 201157.28
SET: 200879.86
SET: 200560.38
SET: 200297.64
SET: 200074.12
SET: 199936.17
SET: 199696.42
SET: 199336.78
SET: 199085.95
SET: 198808.53
SET: 198626.05
SET: 198468.36
SET: 198218.50
SET: 197935.70
SET: 197771.05
SET: 197600.47
SET: 197426.23
SET: 197237.08
SET: 197027.19
SET: 196816.20
SET: 196605.45
SET: 196390.31
SET: 196231.75
SET: 196212.78
SET: 196220.58
SET: 196275.73
SET: 196356.84
SET: 196347.81
SET: 196379.56
SET: 196456.30
SET: 196353.84
SET: 196317.66
SET: 196349.89
SET: 196406.14
SET: 196475.67
SET: 196483.48
SET: 196379.16
SET: 196296.55
SET: 196339.16
SET: 196426.19
SET: 196428.62
SET: 196470.16
SET: 196433.55
SET: 196347.42
SET: 196382.78
SET: 196397.80
SET: 196452.28
SET: 196532.28
SET: 196523.88
SET: 196472.38
SET: 196466.52
SET: 196502.83
SET: 196496.14
SET: 196547.03
SET: 196592.36
SET: 196589.75
SET: 196619.02
SET: 196671.77
SET: 196692.28
SET: 196755.19
SET: 196770.12
SET: 196837.12
SET: 196809.48
SET: 196804.03
SET: 196873.28
SET: 196899.20
SET: 196954.56
SET: 196879.81
SET: 196853.86
SET: 196922.31
SET: 196976.34
SET: 196992.23
SET: 197018.53
SET: 197033.12
SET: 196983.45
SET: 196946.08
SET: 196976.34
SET: 196991.92
SET: 197028.03
SET: 197049.52
SET: 197013.97
SET: 197010.83
SET: 197032.56
SET: 197027.47
SET: 197048.64
SET: 197081.25
SET: 197093.25
SET: 197116.89
SET: 197112.91
SET: 197163.84
SET: 197197.58
SET: 197243.98
SET: 197311.61
SET: 197310.23
SET: 197314.06
SET: 197356.91
SET: 197404.52
SET: 197415.22
SET: 197451.83
SET: 197506.48
SET: 197518.59
SET: 197509.42
SET: 197524.25
SET: 197541.38
SET: 197559.16
SET: 197592.20
SET: 197614.56
SET: 197609.42
SET: 197653.33
SET: 197664.98
SET: 197655.36
SET: 197652.03
SET: 197677.62
SET: 197714.48
SET: 197701.67
SET: 197668.94
SET: 197704.50
SET: 197712.44
SET: 197696.86
SET: 197700.31
SET: 197700.94
SET: 197673.39
SET: 197700.28
SET: 197665.22
SET: 197645.36
SET: 197673.03
SET: 197664.25
SET: 197648.58
SET: 197653.95
SET: 197658.14
SET: 197683.25
SET: 197735.19
SET: 197772.52
SET: 197819.36
SET: 197819.81
SET: 197838.64
SET: 197839.20
SET: 197803.55
SET: 197836.53
SET: 197848.58
SET: 197854.44
SET: 197871.95
SET: 197834.45
SET: 197832.89
SET: 197841.03
SET: 197800.02
SET: 197789.25
SET: 197790.27
SET: 197783.70
SET: 197768.88
SET: 197790.20
SET: 197787.53
SET: 197805.36
SET: 197792.78
SET: 197760.30
SET: 197718.64
SET: 197679.92
SET: 197686.62
SET: 197684.27
SET: 197670.06
SET: 197673.72
SET: 197675.89
SET: 197685.61
SET: 197690.91
SET: 197656.02
SET: 197632.44
SET: 197640.77
SET: 197594.41
SET: 197606.33
SET: 197590.05
SET: 197543.84
SET: 197562.80
SET: 197543.33
====== SET ======
  20000008 requests completed in 101.25 seconds
  16 parallel clients
  64 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.39% <= 0.1 milliseconds
12.99% <= 0.2 milliseconds
30.17% <= 0.3 milliseconds
46.03% <= 0.4 milliseconds
59.84% <= 0.5 milliseconds
69.89% <= 0.6 milliseconds
77.23% <= 0.7 milliseconds
82.54% <= 0.8 milliseconds
86.33% <= 0.9 milliseconds
89.06% <= 1.0 milliseconds
91.06% <= 1.1 milliseconds
92.58% <= 1.2 milliseconds
93.77% <= 1.3 milliseconds
94.72% <= 1.4 milliseconds
95.50% <= 1.5 milliseconds
96.13% <= 1.6 milliseconds
96.65% <= 1.7 milliseconds
97.07% <= 1.8 milliseconds
97.42% <= 1.9 milliseconds
97.75% <= 2 milliseconds
99.38% <= 3 milliseconds
99.79% <= 4 milliseconds
99.93% <= 5 milliseconds
99.97% <= 6 milliseconds
99.99% <= 7 milliseconds
99.99% <= 8 milliseconds
100.00% <= 9 milliseconds
100.00% <= 10 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 22 milliseconds
197530.94 requests per second


