2023-11-21 23:01:38
SET: 0.00
SET: 568286.88
SET: 457133.75
SET: 382167.78
SET: 335736.78
SET: 309599.34
SET: 292231.53
SET: 282610.38
SET: 273925.12
SET: 263783.41
SET: 257454.25
SET: 256366.14
SET: 257164.17
SET: 256090.98
SET: 256685.12
SET: 255609.91
SET: 253898.09
SET: 253745.17
SET: 249474.23
SET: 244491.36
SET: 240511.48
SET: 235781.53
SET: 232370.56
SET: 230327.70
SET: 228885.27
SET: 229676.09
SET: 229592.00
SET: 229710.23
SET: 230010.28
SET: 231290.17
SET: 231225.36
SET: 231207.02
SET: 231220.77
SET: 231259.86
SET: 231386.92
SET: 232012.78
SET: 232061.27
SET: 230400.52
SET: 229167.02
SET: 228517.31
SET: 227976.02
SET: 227137.45
SET: 225571.36
SET: 223944.22
SET: 222731.09
SET: 221044.58
SET: 219359.16
SET: 218308.16
SET: 217177.02
SET: 216117.45
SET: 215062.50
SET: 214269.59
SET: 215255.34
SET: 215983.11
SET: 215323.75
SET: 214530.23
SET: 214459.38
SET: 214596.34
SET: 214479.39
SET: 214543.09
SET: 214067.42
SET: 213597.33
SET: 213364.80
SET: 213352.11
SET: 213542.81
SET: 213760.11
SET: 213793.05
SET: 213631.73
SET: 213607.72
SET: 213299.53
SET: 213419.75
SET: 213661.25
SET: 213467.05
SET: 213255.14
SET: 213055.58
SET: 212878.38
SET: 213048.02
SET: 213074.42
SET: 213084.84
SET: 213045.64
SET: 212623.23
SET: 212228.59
SET: 212029.42
SET: 212045.62
SET: 211843.09
SET: 211795.69
SET: 211176.08
SET: 210726.05
SET: 210496.84
SET: 210421.83
SET: 210381.81
SET: 210549.16
SET: 210199.88
SET: 210139.48
SET: 209868.47
SET: 209759.03
SET: 209913.14
SET: 209806.81
SET: 209602.55
SET: 209169.38
SET: 208582.84
SET: 207835.17
SET: 207194.55
SET: 206651.67
SET: 205715.78
SET: 205007.39
SET: 204362.98
SET: 203366.84
SET: 202661.53
SET: 202081.58
SET: 201526.38
SET: 201084.81
SET: 200289.05
SET: 199824.08
SET: 199353.81
SET: 198424.62
SET: 197666.86
SET: 197058.56
SET: 196460.28
SET: 195846.25
SET: 195410.50
SET: 195026.31
SET: 194571.14
SET: 194422.69
SET: 194427.14
SET: 194475.50
SET: 194499.25
SET: 194283.31
SET: 194347.12
SET: 194461.02
SET: 194187.64
SET: 194115.83
SET: 194146.06
SET: 193944.17
SET: 193843.58
SET: 193938.84
SET: 193757.69
SET: 193771.94
SET: 193718.81
SET: 193675.88
SET: 193733.73
SET: 193722.27
SET: 193915.20
SET: 193945.41
SET: 193884.20
SET: 193645.50
SET: 193584.98
SET: 193452.02
SET: 193186.95
SET: 193050.50
SET: 192999.17
SET: 192837.41
SET: 192694.17
SET: 192624.66
SET: 192406.83
SET: 192261.28
SET: 192357.77
SET: 192127.25
SET: 191889.55
SET: 191959.59
SET: 192033.56
SET: 192083.59
SET: 192012.23
SET: 191928.22
SET: 191781.31
SET: 191559.86
SET: 191412.89
SET: 191144.62
SET: 190872.50
SET: 190603.20
SET: 190299.09
SET: 190117.30
SET: 190000.98
SET: 190001.62
SET: 190007.77
SET: 189888.41
SET: 189706.06
SET: 189473.77
SET: 189282.88
SET: 189259.89
SET: 188932.91
SET: 188828.58
SET: 188803.48
SET: 188721.20
SET: 188682.02
SET: 188477.05
SET: 188307.45
SET: 188048.20
SET: 187883.70
SET: 187754.09
SET: 187630.39
SET: 187505.47
SET: 187455.77
SET: 187397.14
SET: 187371.08
SET: 187394.30
SET: 187296.92
SET: 187068.31
SET: 186814.55
SET: 186588.55
SET: 186463.58
SET: 186186.86
SET: 186100.09
SET: 186102.19
SET: 186037.06
SET: 185865.58
SET: 185726.56
SET: 185619.70
SET: 185354.98
SET: 185163.28
SET: 185049.98
SET: 184872.02
SET: 184851.61
SET: 184912.69
SET: 184908.58
SET: 184687.30
SET: 184638.55
SET: 184457.52
SET: 184313.34
SET: 184159.81
SET: 184126.25
SET: 184061.17
SET: 183936.06
SET: 183758.47
SET: 183611.70
SET: 183411.69
SET: 183277.52
SET: 183233.39
SET: 183161.59
SET: 183079.41
SET: 183038.38
SET: 182913.42
SET: 182766.53
SET: 182560.12
SET: 182403.44
SET: 182248.36
SET: 182192.70
SET: 182128.03
SET: 182036.64
SET: 181864.41
SET: 181708.55
SET: 181518.41
SET: 181316.64
SET: 181175.20
SET: 181140.66
SET: 180937.81
SET: 180824.72
SET: 180595.67
SET: 180435.50
SET: 180252.22
SET: 180147.38
SET: 180044.52
SET: 180009.33
SET: 179952.69
SET: 179830.66
SET: 179693.23
SET: 179568.42
SET: 179451.44
SET: 179353.31
SET: 179281.62
SET: 179178.53
SET: 179081.97
SET: 178990.78
SET: 178928.86
SET: 178849.75
SET: 178760.72
SET: 178752.98
SET: 178748.08
SET: 178686.34
====== SET ======
  12000000 requests completed in 67.17 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.49% <= 0.2 milliseconds
3.84% <= 0.3 milliseconds
9.73% <= 0.4 milliseconds
16.03% <= 0.5 milliseconds
22.71% <= 0.6 milliseconds
29.98% <= 0.7 milliseconds
37.74% <= 0.8 milliseconds
45.65% <= 0.9 milliseconds
53.12% <= 1.0 milliseconds
59.80% <= 1.1 milliseconds
65.58% <= 1.2 milliseconds
70.38% <= 1.3 milliseconds
74.31% <= 1.4 milliseconds
77.54% <= 1.5 milliseconds
80.16% <= 1.6 milliseconds
82.34% <= 1.7 milliseconds
84.15% <= 1.8 milliseconds
85.70% <= 1.9 milliseconds
87.02% <= 2 milliseconds
93.91% <= 3 milliseconds
96.63% <= 4 milliseconds
97.97% <= 5 milliseconds
98.70% <= 6 milliseconds
99.14% <= 7 milliseconds
99.41% <= 8 milliseconds
99.58% <= 9 milliseconds
99.71% <= 10 milliseconds
99.78% <= 11 milliseconds
99.83% <= 12 milliseconds
99.88% <= 13 milliseconds
99.91% <= 14 milliseconds
99.93% <= 15 milliseconds
99.95% <= 16 milliseconds
99.96% <= 17 milliseconds
99.98% <= 18 milliseconds
99.98% <= 19 milliseconds
99.99% <= 20 milliseconds
99.99% <= 21 milliseconds
99.99% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 26 milliseconds
100.00% <= 27 milliseconds
100.00% <= 27 milliseconds
178653.84 requests per second


