2023-11-21 23:01:38
SET: nan
SET: 530432.00
SET: 414736.00
SET: 354634.66
SET: 307480.00
SET: 293779.19
SET: 278720.00
SET: 271456.00
SET: 268104.00
SET: 257244.44
SET: 246937.59
SET: 242676.36
SET: 242930.67
SET: 242911.11
SET: 243114.55
SET: 241684.89
SET: 240853.80
SET: 239627.39
SET: 237923.17
SET: 235458.88
SET: 231042.19
SET: 227999.25
SET: 224470.59
SET: 222168.81
SET: 221169.58
SET: 222950.64
SET: 223342.45
SET: 223639.00
SET: 223466.98
SET: 223442.36
SET: 224480.50
SET: 224463.98
SET: 225344.31
SET: 225013.06
SET: 224997.41
SET: 224990.86
SET: 225428.62
SET: 225223.33
SET: 224099.27
SET: 223563.17
SET: 223418.25
SET: 222783.75
SET: 221595.12
SET: 220303.56
SET: 218905.12
SET: 217905.36
SET: 216770.47
SET: 215468.98
SET: 214364.19
SET: 212967.88
SET: 211660.59
SET: 210339.34
SET: 209920.72
SET: 210464.05
SET: 210584.20
SET: 210496.59
SET: 210543.38
SET: 211561.48
SET: 212079.92
SET: 212193.42
SET: 212148.64
SET: 212721.30
SET: 212590.58
SET: 212832.38
SET: 212915.28
SET: 212653.06
SET: 212516.78
SET: 212394.09
SET: 211954.88
SET: 211608.53
SET: 211676.25
SET: 211648.84
SET: 211800.66
SET: 211788.06
SET: 211287.69
SET: 210867.97
SET: 210931.64
SET: 210885.58
SET: 210967.88
SET: 210879.64
SET: 210476.48
SET: 210077.75
SET: 209874.67
SET: 209701.14
SET: 209692.33
SET: 209368.56
SET: 209307.98
SET: 209141.95
SET: 209257.22
SET: 209291.97
SET: 209256.31
SET: 208956.92
SET: 208868.69
SET: 208847.67
SET: 208903.62
SET: 208817.39
SET: 208746.61
SET: 208853.28
SET: 208832.84
SET: 208529.61
SET: 208013.73
SET: 207450.80
SET: 206531.20
SET: 205998.20
SET: 205348.91
SET: 204714.92
SET: 204103.61
SET: 203494.91
SET: 202824.34
SET: 202185.16
SET: 201568.33
SET: 201023.38
SET: 200408.50
SET: 199999.44
SET: 199305.59
SET: 198669.45
SET: 198225.88
SET: 197440.09
SET: 196778.17
SET: 196257.66
SET: 195807.38
SET: 195398.34
SET: 195024.05
SET: 194840.92
SET: 194803.84
SET: 194650.22
SET: 194444.47
SET: 194389.73
SET: 194183.22
SET: 193898.12
SET: 193893.86
SET: 193757.62
SET: 193587.83
SET: 193504.27
SET: 193285.20
SET: 193248.92
SET: 193062.47
SET: 193016.22
SET: 192966.45
SET: 193012.19
SET: 193006.56
SET: 193033.67
SET: 193242.70
SET: 193084.44
SET: 192938.58
SET: 192890.97
SET: 192570.20
SET: 192530.19
SET: 192527.25
SET: 192393.70
SET: 192264.89
SET: 192185.44
SET: 192254.05
SET: 192053.48
SET: 191970.72
SET: 191761.16
SET: 191749.38
SET: 191687.64
SET: 191757.39
SET: 191796.52
SET: 191872.31
SET: 191711.48
SET: 191513.97
SET: 191381.03
SET: 191090.66
SET: 190773.58
SET: 190528.11
SET: 190327.53
SET: 190215.31
SET: 190184.44
SET: 190219.97
SET: 190078.98
SET: 189784.12
SET: 189611.41
SET: 189431.19
SET: 189158.89
SET: 188824.30
SET: 188656.75
SET: 188548.19
SET: 188436.55
SET: 188318.33
SET: 188068.25
SET: 187872.56
SET: 187585.83
SET: 187242.70
SET: 186881.84
SET: 186730.25
SET: 186624.22
SET: 186581.36
SET: 186415.33
SET: 186317.31
SET: 186203.94
SET: 185984.02
SET: 185821.03
SET: 185624.95
SET: 185454.81
SET: 185363.72
SET: 185371.55
SET: 185327.98
SET: 185123.38
SET: 184910.77
SET: 184733.20
SET: 184522.42
SET: 184325.67
SET: 184192.12
SET: 184122.89
SET: 184124.47
SET: 183984.25
SET: 183812.50
SET: 183665.48
SET: 183535.55
SET: 183393.50
SET: 183223.09
SET: 183033.92
SET: 182929.67
SET: 182999.48
SET: 182861.73
SET: 182671.50
SET: 182453.64
SET: 182272.56
SET: 182077.16
SET: 181947.58
SET: 181882.23
SET: 181832.80
SET: 181671.52
SET: 181469.19
SET: 181232.45
SET: 181108.33
SET: 181067.53
SET: 180995.45
SET: 181040.11
SET: 181013.47
SET: 180889.80
SET: 180693.23
SET: 180518.31
SET: 180283.80
SET: 180181.83
SET: 180133.66
SET: 180042.17
SET: 179933.53
SET: 179707.53
SET: 179566.31
SET: 179354.23
SET: 179168.00
SET: 179069.23
SET: 178892.61
SET: 178683.25
SET: 178488.52
SET: 178266.23
SET: 178086.77
SET: 177961.19
SET: 177794.72
SET: 177602.16
SET: 177386.25
SET: 177140.83
SET: 176952.48
SET: 176794.33
SET: 176668.36
SET: 176476.59
SET: 176193.39
SET: 175991.28
SET: 175795.00
SET: 175614.88
SET: 175438.28
SET: 175256.86
SET: 175109.86
SET: 174873.95
SET: 174657.42
SET: 174507.14
SET: 174402.89
SET: 174281.30
SET: 174135.23
SET: 174066.64
SET: 173968.11
SET: 173975.05
SET: 173873.72
====== SET ======
  12000016 requests completed in 69.01 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.35% <= 0.2 milliseconds
3.35% <= 0.3 milliseconds
9.01% <= 0.4 milliseconds
14.97% <= 0.5 milliseconds
21.27% <= 0.6 milliseconds
27.92% <= 0.7 milliseconds
35.02% <= 0.8 milliseconds
42.26% <= 0.9 milliseconds
49.21% <= 1.0 milliseconds
55.63% <= 1.1 milliseconds
61.38% <= 1.2 milliseconds
66.49% <= 1.3 milliseconds
70.93% <= 1.4 milliseconds
74.67% <= 1.5 milliseconds
77.80% <= 1.6 milliseconds
80.40% <= 1.7 milliseconds
82.55% <= 1.8 milliseconds
84.38% <= 1.9 milliseconds
85.93% <= 2 milliseconds
93.86% <= 3 milliseconds
96.76% <= 4 milliseconds
98.10% <= 5 milliseconds
98.84% <= 6 milliseconds
99.25% <= 7 milliseconds
99.50% <= 8 milliseconds
99.65% <= 9 milliseconds
99.75% <= 10 milliseconds
99.82% <= 11 milliseconds
99.88% <= 12 milliseconds
99.91% <= 13 milliseconds
99.94% <= 14 milliseconds
99.95% <= 15 milliseconds
99.96% <= 16 milliseconds
99.97% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
99.99% <= 20 milliseconds
99.99% <= 21 milliseconds
99.99% <= 22 milliseconds
99.99% <= 23 milliseconds
100.00% <= 24 milliseconds
100.00% <= 24 milliseconds
173875.48 requests per second


