2023-11-21 23:01:38
SET: nan
SET: 457984.00
SET: 374784.00
SET: 330293.34
SET: 291616.00
SET: 273779.19
SET: 268048.00
SET: 264548.56
SET: 261296.00
SET: 253962.67
SET: 245180.80
SET: 239723.64
SET: 238544.00
SET: 238319.30
SET: 239003.72
SET: 238553.98
SET: 238916.28
SET: 239917.20
SET: 238252.84
SET: 234097.66
SET: 229994.41
SET: 226817.98
SET: 224379.50
SET: 221905.44
SET: 220827.73
SET: 222258.77
SET: 223233.59
SET: 223238.27
SET: 224285.59
SET: 224092.66
SET: 224818.88
SET: 225431.19
SET: 225754.33
SET: 226093.78
SET: 226015.28
SET: 226260.00
SET: 225525.55
SET: 224026.81
SET: 223255.91
SET: 222729.55
SET: 222603.77
SET: 222861.72
SET: 221710.59
SET: 220537.11
SET: 219019.27
SET: 217696.83
SET: 216480.53
SET: 215429.00
SET: 214309.38
SET: 213239.33
SET: 212290.77
SET: 211064.30
SET: 210670.78
SET: 210918.53
SET: 210573.08
SET: 210582.73
SET: 210681.14
SET: 210159.94
SET: 210405.08
SET: 210692.88
SET: 210455.03
SET: 210617.73
SET: 210985.17
SET: 210826.75
SET: 211055.98
SET: 211171.86
SET: 211200.59
SET: 211320.38
SET: 211410.78
SET: 211679.31
SET: 211674.06
SET: 211857.00
SET: 211615.16
SET: 211610.80
SET: 211848.53
SET: 211669.77
SET: 211730.50
SET: 211861.91
SET: 211645.16
SET: 211220.97
SET: 210906.73
SET: 210814.03
SET: 210892.81
SET: 210836.81
SET: 210767.66
SET: 210478.84
SET: 210213.22
SET: 210140.39
SET: 210190.22
SET: 210317.23
SET: 210066.17
SET: 209797.89
SET: 209475.31
SET: 209152.78
SET: 209347.34
SET: 209092.52
SET: 208858.25
SET: 208727.36
SET: 208756.12
SET: 208684.89
SET: 208079.28
SET: 207613.88
SET: 207056.66
SET: 206641.53
SET: 206107.44
SET: 205488.81
SET: 204970.83
SET: 204502.55
SET: 203946.12
SET: 203599.09
SET: 203036.33
SET: 202481.39
SET: 201978.02
SET: 201389.88
SET: 200675.36
SET: 199967.22
SET: 199343.44
SET: 198798.34
SET: 198169.02
SET: 197703.62
SET: 197139.17
SET: 196717.44
SET: 196624.16
SET: 196655.73
SET: 196601.47
SET: 196472.38
SET: 196621.58
SET: 196715.84
SET: 196674.30
SET: 196556.09
SET: 196473.14
SET: 196400.00
SET: 196175.55
SET: 196005.05
SET: 195790.81
SET: 195684.64
SET: 195438.30
SET: 195393.48
SET: 195385.14
SET: 195335.75
SET: 195217.91
SET: 195263.56
SET: 195187.05
SET: 195320.11
SET: 195286.44
SET: 195411.48
SET: 195291.52
SET: 195266.97
SET: 195304.75
SET: 195349.09
SET: 195255.41
SET: 195062.42
SET: 194929.80
SET: 194625.73
SET: 194324.56
SET: 194138.64
SET: 193964.11
SET: 193830.06
SET: 193628.53
SET: 193466.33
SET: 193468.36
SET: 193587.11
SET: 193604.75
SET: 193414.69
SET: 193227.92
SET: 192970.39
SET: 192827.61
SET: 192467.98
SET: 192225.45
SET: 191980.89
SET: 191926.47
SET: 191738.84
SET: 191627.19
SET: 191440.12
SET: 191230.11
SET: 191098.25
SET: 190826.22
SET: 190484.48
SET: 190234.75
SET: 190115.05
SET: 189862.52
SET: 189850.12
SET: 189757.59
SET: 189714.81
SET: 189579.39
SET: 189414.66
SET: 189268.38
SET: 189014.50
SET: 188830.23
SET: 188673.30
SET: 188470.39
SET: 188333.38
SET: 188315.17
SET: 188355.11
SET: 188413.89
SET: 188269.16
SET: 188125.73
SET: 187904.75
SET: 187651.94
SET: 187331.30
SET: 187027.77
SET: 186885.66
SET: 186816.31
SET: 186878.36
SET: 186659.92
SET: 186510.83
SET: 186262.42
SET: 186016.64
SET: 185853.59
SET: 185690.88
SET: 185571.12
SET: 185402.80
SET: 185475.95
SET: 185338.62
SET: 185223.78
SET: 185068.97
SET: 184847.97
SET: 184596.59
SET: 184435.94
SET: 184259.20
SET: 184118.56
SET: 184039.48
SET: 183925.56
SET: 183730.97
SET: 183576.22
SET: 183456.64
SET: 183321.86
SET: 183169.97
SET: 183083.03
SET: 183033.59
SET: 182942.61
SET: 182812.97
SET: 182661.84
SET: 182513.94
SET: 182357.88
SET: 182256.17
SET: 182160.62
SET: 182111.59
SET: 182013.56
SET: 181984.28
SET: 181932.34
SET: 181828.84
SET: 181600.05
SET: 181414.84
SET: 181300.31
SET: 181247.92
SET: 181133.83
SET: 181075.80
SET: 181030.22
SET: 180916.08
SET: 180762.05
SET: 180583.00
SET: 180491.27
SET: 180514.34
SET: 180362.05
SET: 180247.42
SET: 180073.92
SET: 179927.25
SET: 179834.38
SET: 179744.30
SET: 179684.19
SET: 179680.98
SET: 179653.23
SET: 179654.80
SET: 179509.23
SET: 179379.73
SET: 179228.97
SET: 179180.61
====== SET ======
  12000128 requests completed in 66.96 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.26% <= 0.2 milliseconds
3.11% <= 0.3 milliseconds
9.06% <= 0.4 milliseconds
15.44% <= 0.5 milliseconds
22.14% <= 0.6 milliseconds
29.37% <= 0.7 milliseconds
37.27% <= 0.8 milliseconds
45.26% <= 0.9 milliseconds
52.86% <= 1.0 milliseconds
59.67% <= 1.1 milliseconds
65.58% <= 1.2 milliseconds
70.50% <= 1.3 milliseconds
74.57% <= 1.4 milliseconds
77.85% <= 1.5 milliseconds
80.58% <= 1.6 milliseconds
82.78% <= 1.7 milliseconds
84.63% <= 1.8 milliseconds
86.19% <= 1.9 milliseconds
87.50% <= 2 milliseconds
94.24% <= 3 milliseconds
96.76% <= 4 milliseconds
98.05% <= 5 milliseconds
98.75% <= 6 milliseconds
99.14% <= 7 milliseconds
99.41% <= 8 milliseconds
99.60% <= 9 milliseconds
99.72% <= 10 milliseconds
99.81% <= 11 milliseconds
99.85% <= 12 milliseconds
99.91% <= 13 milliseconds
99.94% <= 14 milliseconds
99.96% <= 15 milliseconds
99.97% <= 16 milliseconds
99.98% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
99.99% <= 20 milliseconds
99.99% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 23 milliseconds
100.00% <= 36 milliseconds
100.00% <= 37 milliseconds
100.00% <= 37 milliseconds
179208.03 requests per second


