2023-11-21 23:01:38
SET: nan
SET: 454023.94
SET: 346794.41
SET: 320649.81
SET: 291396.59
SET: 271654.66
SET: 261004.66
SET: 257398.05
SET: 253457.28
SET: 247552.20
SET: 237568.98
SET: 231086.89
SET: 230349.89
SET: 230713.02
SET: 232349.52
SET: 232486.14
SET: 234256.88
SET: 234925.69
SET: 233203.03
SET: 230744.11
SET: 226311.08
SET: 223377.00
SET: 220744.47
SET: 218112.66
SET: 217344.89
SET: 218060.14
SET: 217262.39
SET: 218225.12
SET: 217431.59
SET: 217534.48
SET: 217990.67
SET: 218756.77
SET: 219103.45
SET: 218594.62
SET: 218440.27
SET: 218218.88
SET: 218000.89
SET: 217848.08
SET: 217447.66
SET: 216551.09
SET: 216310.25
SET: 216393.95
SET: 216786.67
SET: 216267.03
SET: 215030.98
SET: 213698.44
SET: 212640.77
SET: 211558.66
SET: 210388.34
SET: 208875.25
SET: 207655.88
SET: 206350.70
SET: 204838.02
SET: 203947.80
SET: 204607.05
SET: 204601.83
SET: 205020.55
SET: 205585.06
SET: 205851.66
SET: 206010.56
SET: 206058.09
SET: 206671.91
SET: 206848.08
SET: 207046.58
SET: 207333.34
SET: 207512.38
SET: 207897.27
SET: 207708.33
SET: 207535.75
SET: 207274.55
SET: 207331.97
SET: 207322.00
SET: 207555.31
SET: 207393.16
SET: 207027.45
SET: 206810.59
SET: 206792.14
SET: 206723.50
SET: 206750.11
SET: 206733.94
SET: 206193.61
SET: 205738.48
SET: 205453.98
SET: 205391.39
SET: 205526.62
SET: 205338.23
SET: 205344.25
SET: 205462.98
SET: 205388.94
SET: 205636.77
SET: 205895.44
SET: 206034.53
SET: 206112.00
SET: 206123.00
SET: 206172.89
SET: 205824.20
SET: 205683.97
SET: 205754.64
SET: 205660.39
SET: 205576.78
SET: 205531.28
SET: 205202.67
SET: 204493.00
SET: 204000.47
SET: 203391.02
SET: 202763.19
SET: 202303.47
SET: 201945.84
SET: 201447.14
SET: 201053.78
SET: 200618.16
SET: 200103.69
SET: 199458.25
SET: 199099.52
SET: 198471.11
SET: 197787.48
SET: 197245.97
SET: 196810.72
SET: 196393.94
SET: 195991.94
SET: 195333.95
SET: 194838.50
SET: 194273.58
SET: 193786.47
SET: 193513.64
SET: 193274.48
SET: 193204.50
SET: 193276.58
SET: 193301.33
SET: 193379.47
SET: 193467.72
SET: 193566.81
SET: 193594.19
SET: 193831.70
SET: 193712.36
SET: 193606.88
SET: 193577.67
SET: 193289.42
SET: 193257.62
SET: 193254.80
SET: 193101.53
SET: 192903.50
SET: 192850.77
SET: 192555.98
SET: 192502.84
SET: 192537.30
SET: 192501.42
SET: 192402.97
SET: 192465.48
SET: 192641.30
SET: 192631.47
SET: 192546.42
SET: 192641.69
SET: 192635.19
SET: 192505.06
SET: 192447.33
SET: 192318.44
SET: 192327.81
SET: 192099.94
SET: 191924.59
SET: 191677.73
SET: 191483.58
SET: 191383.55
SET: 191169.84
SET: 191015.84
SET: 190858.86
SET: 190722.45
SET: 190668.27
SET: 190778.75
SET: 190492.20
SET: 190394.25
SET: 190186.20
SET: 189985.97
SET: 189708.33
SET: 189530.78
SET: 189361.47
SET: 189275.09
SET: 189252.00
SET: 189221.62
SET: 189049.42
SET: 188912.73
SET: 188691.72
SET: 188553.58
SET: 188378.33
SET: 188115.88
SET: 187995.17
SET: 187720.75
SET: 187753.19
SET: 187752.03
SET: 187762.56
SET: 187688.78
SET: 187575.45
SET: 187445.58
SET: 187302.88
SET: 187031.16
SET: 186798.70
SET: 186660.03
SET: 186598.38
SET: 186619.48
SET: 186528.77
SET: 186338.77
SET: 186198.53
SET: 185999.88
SET: 185710.77
SET: 185422.16
SET: 185270.27
SET: 185224.39
SET: 185067.31
SET: 184968.17
SET: 184828.55
SET: 184646.72
SET: 184428.89
SET: 184245.55
SET: 184075.91
SET: 183943.70
SET: 183835.16
SET: 183643.14
SET: 183526.97
SET: 183361.00
SET: 183253.31
SET: 183182.62
SET: 183248.06
SET: 183126.34
SET: 182937.58
SET: 182760.98
SET: 182511.27
SET: 182321.44
SET: 182130.47
SET: 182020.08
SET: 181990.09
SET: 181829.59
SET: 181666.59
SET: 181455.02
SET: 181226.58
SET: 181011.44
SET: 180885.77
SET: 180763.80
SET: 180656.08
SET: 180455.53
SET: 180263.53
SET: 180098.59
SET: 179936.81
SET: 179839.11
SET: 179637.38
SET: 179451.98
SET: 179320.66
SET: 179168.05
SET: 179069.98
SET: 179010.67
SET: 178850.62
SET: 178680.47
SET: 178578.02
SET: 178410.17
SET: 178292.28
SET: 178179.86
SET: 178077.45
SET: 177912.44
SET: 177661.38
SET: 177513.50
SET: 177324.42
SET: 177144.92
SET: 177058.14
SET: 176842.59
SET: 176685.94
SET: 176531.55
SET: 176367.58
SET: 176259.88
SET: 176225.75
SET: 176127.48
SET: 176114.17
SET: 176082.16
SET: 175940.81
SET: 175838.34
====== SET ======
  12000016 requests completed in 68.21 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.28% <= 0.2 milliseconds
3.07% <= 0.3 milliseconds
8.85% <= 0.4 milliseconds
15.06% <= 0.5 milliseconds
21.59% <= 0.6 milliseconds
28.67% <= 0.7 milliseconds
36.22% <= 0.8 milliseconds
43.85% <= 0.9 milliseconds
51.13% <= 1.0 milliseconds
57.70% <= 1.1 milliseconds
63.53% <= 1.2 milliseconds
68.53% <= 1.3 milliseconds
72.74% <= 1.4 milliseconds
76.17% <= 1.5 milliseconds
79.02% <= 1.6 milliseconds
81.41% <= 1.7 milliseconds
83.40% <= 1.8 milliseconds
85.10% <= 1.9 milliseconds
86.54% <= 2 milliseconds
93.97% <= 3 milliseconds
96.74% <= 4 milliseconds
98.10% <= 5 milliseconds
98.83% <= 6 milliseconds
99.23% <= 7 milliseconds
99.46% <= 8 milliseconds
99.63% <= 9 milliseconds
99.75% <= 10 milliseconds
99.82% <= 11 milliseconds
99.86% <= 12 milliseconds
99.91% <= 13 milliseconds
99.94% <= 14 milliseconds
99.96% <= 15 milliseconds
99.97% <= 16 milliseconds
99.98% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
99.99% <= 21 milliseconds
99.99% <= 22 milliseconds
99.99% <= 23 milliseconds
100.00% <= 24 milliseconds
100.00% <= 25 milliseconds
100.00% <= 25 milliseconds
175932.67 requests per second


