2023-11-21 23:01:38
SET: 0.00
SET: 377874.97
SET: 313375.50
SET: 295894.19
SET: 275546.72
SET: 257184.70
SET: 253317.39
SET: 250595.34
SET: 247689.09
SET: 244265.73
SET: 236570.98
SET: 230949.97
SET: 229750.02
SET: 229856.36
SET: 231464.09
SET: 233198.19
SET: 234304.83
SET: 235177.45
SET: 233590.77
SET: 230746.47
SET: 226536.81
SET: 223787.11
SET: 220743.95
SET: 217773.00
SET: 215229.53
SET: 215602.81
SET: 216346.28
SET: 217266.52
SET: 218003.70
SET: 218712.19
SET: 218832.73
SET: 218881.66
SET: 218715.22
SET: 219264.06
SET: 218341.67
SET: 218159.00
SET: 217739.06
SET: 216818.91
SET: 216066.38
SET: 215760.12
SET: 215576.92
SET: 215314.77
SET: 215643.48
SET: 215205.58
SET: 213945.05
SET: 212948.30
SET: 211395.06
SET: 210377.25
SET: 209381.12
SET: 208237.23
SET: 207359.38
SET: 206052.45
SET: 205412.98
SET: 204800.61
SET: 204825.67
SET: 204979.67
SET: 205300.83
SET: 205467.44
SET: 205327.09
SET: 205619.17
SET: 205826.98
SET: 206290.88
SET: 206323.03
SET: 206818.61
SET: 206672.83
SET: 206534.47
SET: 206551.41
SET: 206726.03
SET: 206282.08
SET: 206255.19
SET: 206395.53
SET: 206413.14
SET: 206801.17
SET: 206765.06
SET: 206285.25
SET: 205862.52
SET: 206073.45
SET: 206436.59
SET: 206608.30
SET: 206600.97
SET: 206168.91
SET: 205621.62
SET: 205439.81
SET: 205591.84
SET: 205370.61
SET: 205265.81
SET: 205242.58
SET: 205266.88
SET: 205391.55
SET: 205331.78
SET: 205216.55
SET: 204983.42
SET: 204924.47
SET: 205043.03
SET: 205055.75
SET: 205031.20
SET: 204782.17
SET: 204883.48
SET: 204777.64
SET: 204661.67
SET: 204626.30
SET: 204463.19
SET: 203991.39
SET: 203442.09
SET: 202943.59
SET: 202213.55
SET: 201603.08
SET: 201055.95
SET: 200583.75
SET: 200021.98
SET: 199351.97
SET: 198885.72
SET: 198367.02
SET: 198088.50
SET: 197600.17
SET: 197071.69
SET: 196450.39
SET: 196095.59
SET: 195704.28
SET: 195459.19
SET: 195054.92
SET: 194707.25
SET: 194266.25
SET: 193812.16
SET: 193821.28
SET: 193877.80
SET: 194024.47
SET: 194284.59
SET: 194477.25
SET: 194311.16
SET: 194340.61
SET: 194379.36
SET: 194240.55
SET: 193942.09
SET: 194028.73
SET: 193909.33
SET: 193703.55
SET: 193762.98
SET: 193680.28
SET: 193585.42
SET: 193572.52
SET: 193589.48
SET: 193544.98
SET: 193464.03
SET: 193565.73
SET: 193570.16
SET: 193588.31
SET: 193471.86
SET: 193514.61
SET: 193667.69
SET: 193542.81
SET: 193428.89
SET: 193072.56
SET: 192948.38
SET: 192594.17
SET: 192504.78
SET: 192458.94
SET: 192244.30
SET: 192066.75
SET: 191887.45
SET: 191909.33
SET: 191883.48
SET: 191683.19
SET: 191541.44
SET: 191407.25
SET: 191120.12
SET: 190881.12
SET: 190808.78
SET: 190542.52
SET: 190347.66
SET: 190214.31
SET: 190299.48
SET: 190146.42
SET: 189934.30
SET: 189860.20
SET: 189712.08
SET: 189568.17
SET: 189457.86
SET: 189229.92
SET: 189060.95
SET: 189084.72
SET: 189094.45
SET: 189051.05
SET: 188974.58
SET: 188834.67
SET: 188738.78
SET: 188552.00
SET: 188405.02
SET: 188228.97
SET: 188065.09
SET: 187937.52
SET: 187814.03
SET: 187815.84
SET: 187851.06
SET: 187731.33
SET: 187511.30
SET: 187384.00
SET: 187093.84
SET: 186801.27
SET: 186666.28
SET: 186544.97
SET: 186457.59
SET: 186459.38
SET: 186297.88
SET: 186087.17
SET: 185874.83
SET: 185636.42
SET: 185422.59
SET: 185247.06
SET: 185242.48
SET: 185227.30
SET: 185078.06
SET: 184999.27
SET: 184795.48
SET: 184570.91
SET: 184410.41
SET: 184130.50
SET: 183813.27
SET: 183566.81
SET: 183391.39
SET: 183327.77
SET: 183141.67
SET: 182965.73
SET: 182876.08
SET: 182794.64
SET: 182699.86
SET: 182607.47
SET: 182542.12
SET: 182561.97
SET: 182502.38
SET: 182323.47
SET: 182242.19
SET: 182194.23
SET: 182004.48
SET: 181899.11
SET: 181859.48
SET: 181752.09
SET: 181605.56
SET: 181440.12
SET: 181206.92
SET: 181046.64
SET: 180929.06
SET: 180715.55
SET: 180707.39
SET: 180637.95
SET: 180501.14
SET: 180362.86
SET: 180235.45
SET: 180141.47
SET: 180017.70
SET: 179912.83
SET: 179911.64
SET: 179802.69
SET: 179686.77
SET: 179526.84
SET: 179421.80
SET: 179244.45
SET: 179098.02
SET: 178998.58
SET: 178916.45
SET: 178826.47
SET: 178771.09
SET: 178675.45
SET: 178563.00
SET: 178438.77
SET: 178313.22
SET: 178231.75
SET: 178249.02
SET: 178206.77
SET: 178175.66
====== SET ======
  12000008 requests completed in 67.35 seconds
  32 parallel clients
  256 bytes payload
  keep alive: 1
  host configuration "save": 
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 0.1 milliseconds
0.39% <= 0.2 milliseconds
3.60% <= 0.3 milliseconds
9.61% <= 0.4 milliseconds
16.21% <= 0.5 milliseconds
23.29% <= 0.6 milliseconds
30.88% <= 0.7 milliseconds
38.90% <= 0.8 milliseconds
46.74% <= 0.9 milliseconds
53.92% <= 1.0 milliseconds
60.20% <= 1.1 milliseconds
65.64% <= 1.2 milliseconds
70.19% <= 1.3 milliseconds
73.95% <= 1.4 milliseconds
77.10% <= 1.5 milliseconds
79.74% <= 1.6 milliseconds
81.99% <= 1.7 milliseconds
83.90% <= 1.8 milliseconds
85.52% <= 1.9 milliseconds
86.90% <= 2 milliseconds
93.86% <= 3 milliseconds
96.48% <= 4 milliseconds
97.88% <= 5 milliseconds
98.65% <= 6 milliseconds
99.11% <= 7 milliseconds
99.36% <= 8 milliseconds
99.56% <= 9 milliseconds
99.72% <= 10 milliseconds
99.81% <= 11 milliseconds
99.86% <= 12 milliseconds
99.91% <= 13 milliseconds
99.96% <= 14 milliseconds
99.97% <= 15 milliseconds
99.98% <= 16 milliseconds
99.99% <= 17 milliseconds
99.99% <= 18 milliseconds
99.99% <= 19 milliseconds
100.00% <= 20 milliseconds
100.00% <= 21 milliseconds
100.00% <= 22 milliseconds
100.00% <= 22 milliseconds
178173.84 requests per second


